"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_asc_same",0.0641179502518233,-0.00871685949862877,-0.00788892140901282,-0.00784590347993662,-0.0210893602709071,-0.0122619808160353,-0.0114696229348665,-0.0218967007557065,-0.0212437513914627,-0.00549076254266017,-1.77368420611226e-05,-0.0117788290122764,-0.0062402090098066,-0.00697458429477819,-0.00988734389349382,0.0337617590164988,-0.00470381100607056,-0.00429411120040943,-0.00435991023648634,-0.0110172254739928,-0.0061776111471055,-0.00623821066857284,-0.0107314635426478,-0.0103506691367606,-0.00295991492728317,-7.44170060366819e-05,-0.00725929047889931,-0.00297357291124806,-0.00384980940882686,-0.00497881317834997
"b_City_Midwest_same",-0.00871685949862877,0.0278492646199933,0.00798973772589912,0.00785359108527152,-0.00103901534666317,-0.000420630661586752,0.000304717664347374,0.00167167649036501,0.00228791020388773,0.000207143831154637,-0.000163055730417022,-0.000891164889569279,0.000253415254506331,0.000363509638681133,-0.000990539544790157,-0.00467270050794971,0.0152202455646301,0.00432102923261672,0.00425020397510885,-0.000588197820214029,-0.000284734888681489,0.000160209228962814,0.0008397490490245,0.00114181553016676,0.000126161983093282,-6.29233441229222e-05,-0.000421994573695696,0.00011944421329922,0.000169799137168559,-0.000565323402012105
"b_City_South_same",-0.00788892140901282,0.00798973772589912,0.0216521729850053,0.00788749054601485,7.38680568608186e-05,-0.000186193448995389,0.000141832458699472,0.00172874089183483,0.00130298671823186,-0.000264259468946885,0.00015354395882722,-0.000896270798907822,4.72764084243883e-05,0.000107312959599412,-0.000571978550778789,-0.00419946567342976,0.0043185082322705,0.0112051328209851,0.00425740861696449,1.88060991215296e-05,-9.28417777549997e-05,2.82053032796923e-05,0.000863123330793411,0.000586392692073105,-0.000137399137719612,8.96736211919971e-05,-0.000432169939159906,7.08336385441132e-05,1.31410304376391e-05,-0.000315323853674696
"b_City_Northeast_same",-0.00784590347993662,0.00785359108527152,0.00788749054601485,0.0222133685438248,-0.000612311040111488,-0.000384808075770712,-0.00124816515335002,0.000713679662818762,0.001308983402831,-0.000340923275227495,-6.12684668581213e-05,-0.000998043577765175,0.000409629325608784,-0.000530932601826887,0.00115876096815237,-0.00421963230604795,0.00424504907263479,0.00426725392655361,0.0112917708107706,-0.000314439866538138,-0.000152442151997155,-0.000562991749059244,0.000323364597477415,0.000651071777146402,-0.00017532771260576,-8.05847113007293e-06,-0.000471546925779796,0.000229295836959499,-0.000289808581259366,0.000522306919695602
"b_Age_GenZ_same",-0.0210893602709071,-0.00103901534666317,7.38680568608186e-05,-0.000612311040111488,0.0602244488376066,0.010207565002023,0.0106690989411896,0.00206067082922632,0.00426210897778814,0.000809798991650912,0.000282309624860893,0.00871755885980336,-0.00198458405893773,0.00209855965145726,-0.000123779086479631,-0.0113318060834002,-0.000519816768470345,-4.755162335832e-06,-0.000303471456110673,0.0365168378631701,0.00511439316642356,0.00545327729365254,0.00137790871470918,0.00251157491962955,0.000489653278764855,0.000127098599349009,0.0045201773217374,-0.000918515555680006,0.00111829915508518,-7.08263576907751e-05
"b_Age_Millenials_same",-0.0122619808160353,-0.000420630661586752,-0.000186193448995389,-0.000384808075770712,0.010207565002023,0.0174490365468757,0.00943874300408721,0.000372759328037457,0.00240426688482438,0.000233408752925072,-0.000135828385254987,4.61223201673692e-05,-0.000359139453263198,0.00147816869150797,0.00131966520117083,-0.00621142480623354,-0.000272738919170273,-0.000120025595158008,-0.000168751895341708,0.00507059420628058,0.00886654149631426,0.00473724912106063,0.00023214726791162,0.00128430060305871,0.000117064078062266,-5.87426711084651e-05,-6.94594678493398e-05,-0.000136452704749463,0.000837657973679632,0.000703298744040412
"b_Age_Older_same",-0.0114696229348665,0.000304717664347374,0.000141832458699472,-0.00124816515335002,0.0106690989411896,0.00943874300408721,0.0287373694271338,0.000422392698769065,0.000154330418163768,-0.000459585286839727,0.000347291237978927,0.000703741626986368,0.000193736972780541,0.00575655663091462,-0.00192279918476776,-0.00595810107789907,0.000152921502978945,8.92264041092735e-05,-0.000566655913599973,0.00554860769327991,0.00476424130712175,0.0137346343054945,0.000123575302572895,7.14386461413514e-06,-0.000225409778403792,0.000180162205824996,0.000436697582685261,9.3659295553676e-05,0.00314060718762825,-0.00104136180482595
"b_Inc_Mid_same",-0.0218967007557065,0.00167167649036501,0.00172874089183483,0.000713679662818762,0.00206067082922632,0.000372759328037457,0.000422392698769065,0.0363283645189354,0.0270057489362328,-0.000138336698552009,-0.000378299728795642,-0.00591696855568915,0.000952674373092526,-0.00218256867278736,0.000338713490083514,-0.0109076737945122,0.000854643181769731,0.000840823718253181,0.000401479331813678,0.000848307448485927,0.000139677870046561,0.000250753280646299,0.0194633316890876,0.0140563528431829,-2.76825155966514e-05,-0.000211381592228671,-0.00324212028789602,0.00038419157810724,-0.00132025975291806,0.000108396426195901
"b_Inc_High_same",-0.0212437513914627,0.00228791020388773,0.00130298671823186,0.001308983402831,0.00426210897778814,0.00240426688482438,0.000154330418163768,0.0270057489362328,0.0348695026744711,-0.000135806735023303,-0.000589392180358601,-0.00974894897357409,0.00112032249704262,-0.00217372332840757,-0.000282038555755448,-0.0105333859283835,0.00116048206981519,0.0006210793741988,0.000757203809495675,0.00204205649791618,0.00121962988843401,0.000214694237688024,0.014064998077977,0.0178296317120928,-1.75117190960958e-05,-0.000289355699951685,-0.00514294997951076,0.000439041055031826,-0.00129150107170408,-0.000200028496348076
"b_Hel_same",-0.00549076254266017,0.000207143831154637,-0.000264259468946885,-0.000340923275227495,0.000809798991650912,0.000233408752925072,-0.000459585286839727,-0.000138336698552009,-0.000135806735023303,0.00428451245393747,-0.000446127474193263,9.01327450126317e-05,-0.000696416413386963,-0.000232542495739149,0.000666248750117388,-0.0029484986202949,0.000129790568459636,-0.000114891140365164,-0.000150227856601547,0.000427927936921756,0.000111572996536641,-0.00015342087013563,-0.000111418510733,-6.3961848773763e-05,0.00226362944721888,-0.000222997948476379,9.50287938994743e-05,-0.000407018559791224,-0.000104763457995997,0.000335174510358306
"b_Vdc_same",-1.77368420611226e-05,-0.000163055730417022,0.00015354395882722,-6.12684668581213e-05,0.000282309624860893,-0.000135828385254987,0.000347291237978927,-0.000378299728795642,-0.000589392180358601,-0.000446127474193263,0.00265360808145088,-0.000542658845729313,-2.72646526616848e-05,-0.000463872458726368,2.93020521017379e-05,-5.22663022883829e-05,-6.55798583587278e-05,7.44970452378996e-05,-3.29516578879482e-05,0.000167599994393277,-4.9564356482592e-05,0.000136808988249164,-0.00016518053026821,-0.000275019572803721,-0.000233298811887237,0.00142639407875258,-0.000337481541189387,-2.82089760706045e-06,-0.000291442439285802,4.47914233535699e-05
"b_Edc_MoreBachelor_same",-0.0117788290122764,-0.000891164889569279,-0.000896270798907822,-0.000998043577765175,0.00871755885980336,4.61223201673692e-05,0.000703741626986368,-0.00591696855568915,-0.00974894897357409,9.01327450126317e-05,-0.000542658845729313,0.0236839601651942,-6.29897547407263e-05,9.87662071743819e-05,0.000687687661806453,-0.00699584652750102,-0.000427790649902668,-0.000355706598494794,-0.000458958349032407,0.00480601638220437,-7.51279036347352e-06,0.000514608252671238,-0.00350458465817766,-0.00544204504932644,3.78920801947636e-05,-0.000294523019551655,0.0134147158928913,-8.3814417139813e-05,0.000133571290850937,0.000317306028735098
"b_Gen_NonMale_same",-0.0062402090098066,0.000253415254506331,4.72764084243883e-05,0.000409629325608784,-0.00198458405893773,-0.000359139453263198,0.000193736972780541,0.000952674373092526,0.00112032249704262,-0.000696416413386963,-2.72646526616848e-05,-6.29897547407263e-05,0.0130137788879634,0.00176565872576703,-0.000946790895836035,-0.00317254639829892,0.000132018735137144,6.96892070507821e-05,0.000284413414911751,-0.0011149343302794,-0.00019766446108912,0.000167066871974737,0.00040312460120859,0.000569138852717889,-0.000361423805993633,-2.79113287951277e-05,4.319318416872e-05,0.00698120740895466,0.0010036509254484,-0.000551528558121626
"b_Chl_Yes_same",-0.00697458429477819,0.000363509638681133,0.000107312959599412,-0.000530932601826887,0.00209855965145726,0.00147816869150797,0.00575655663091462,-0.00218256867278736,-0.00217372332840757,-0.000232542495739149,-0.000463872458726368,9.87662071743819e-05,0.00176565872576703,0.0144148210435257,0.000516935184468889,-0.00382099420109538,0.000170180554322814,-2.45209678827961e-05,-0.000352040197830074,0.00123911761487251,0.000870431139185849,0.00305825144717799,-0.00111080730977537,-0.00121975447534822,-0.000126488579350534,-0.000298489630809548,-5.0180444874588e-05,0.00110344166440513,0.00772001190651154,0.000366888939392199
"b_Ngh_NonUrban_same",-0.00988734389349382,-0.000990539544790157,-0.000571978550778789,0.00115876096815237,-0.000123779086479631,0.00131966520117083,-0.00192279918476776,0.000338713490083514,-0.000282038555755448,0.000666248750117388,2.93020521017379e-05,0.000687687661806453,-0.000946790895836035,0.000516935184468889,0.0139534143293804,-0.00503905412441626,-0.000570444978053546,-0.000288740719397081,0.000588864860285698,-0.000168634944790837,0.000654774629694697,-0.000971003516279143,5.34425981769489e-06,-0.000195442532705735,0.000355895699289608,4.90706092971271e-05,0.000445292695555092,-0.000624580834055463,0.000361832327184478,0.00728208907517157
"b_asc_grtr",0.0337617590164988,-0.00467270050794971,-0.00419946567342976,-0.00421963230604795,-0.0113318060834002,-0.00621142480623354,-0.00595810107789907,-0.0109076737945122,-0.0105333859283835,-0.0029484986202949,-5.22663022883829e-05,-0.00699584652750102,-0.00317254639829892,-0.00382099420109538,-0.00503905412441626,0.0787515043623799,-0.0121327067669159,-0.0115848189616699,-0.0121886546216572,-0.0295183943029941,-0.0181948532690839,-0.020100107482737,-0.0207804173816022,-0.0207555787566636,-0.00591193824769131,-0.000943821227484937,-0.0156113956139156,-0.0084723857446466,-0.0124448493440486,-0.01213722797701
"b_City_Midwest_grtr",-0.00470381100607056,0.0152202455646301,0.0043185082322705,0.00424504907263479,-0.000519816768470345,-0.000272738919170273,0.000152921502978945,0.000854643181769731,0.00116048206981519,0.000129790568459636,-6.55798583587278e-05,-0.000427790649902668,0.000132018735137144,0.000170180554322814,-0.000570444978053546,-0.0121327067669159,0.0431045516023024,0.0120563040174228,0.0119111634070651,-0.00187144663768047,-0.00118295279287035,8.8184295040953e-05,0.00157690828478705,0.00226824773553001,0.00019435090067339,-0.000385440042871976,-0.000646584173022524,0.000299382408157577,0.000494316127028905,-0.00125368686878771
"b_City_South_grtr",-0.00429411120040943,0.00432102923261672,0.0112051328209851,0.00426725392655361,-4.755162335832e-06,-0.000120025595158008,8.92264041092735e-05,0.000840823718253181,0.0006210793741988,-0.000114891140365164,7.44970452378996e-05,-0.000355706598494794,6.96892070507821e-05,-2.45209678827961e-05,-0.000288740719397081,-0.0115848189616699,0.0120563040174228,0.0311593494205136,0.0119297483388087,0.000924535816903637,-0.000213535272127006,8.05333438439084e-05,0.00171110863034259,0.000634081593938765,-0.000443458750906052,9.45660540343411e-05,-0.000810185856017329,-0.000183545701644604,0.000712466884228123,-0.00134625846134137
"b_City_Northeast_grtr",-0.00435991023648634,0.00425020397510885,0.00425740861696449,0.0112917708107706,-0.000303471456110673,-0.000168751895341708,-0.000566655913599973,0.000401479331813678,0.000757203809495675,-0.000150227856601547,-3.29516578879482e-05,-0.000458958349032407,0.000284413414911751,-0.000352040197830074,0.000588864860285698,-0.0121886546216572,0.0119111634070651,0.0119297483388087,0.0333896306346062,3.3255838326792e-05,-0.000215170555533611,-0.0011902300251146,0.000868166647413385,0.00183765028514228,-0.000617438548355833,-0.000200511911080969,-0.00116829308679704,0.000537582547175209,-0.000182383202986545,0.00172455003699246
