"","b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"b_asc_smlr",1,-0.210355410012287,-0.210902078374481,-0.213938598991117,-0.31263886095694,-0.343768185988161,-0.262833863854375,-0.408287702779561,-0.44365150725167,-0.315854527663394,-0.360129944354445,-0.0331829494463769,-0.297369588695983,-0.227893471767212,-0.181630909990369,-0.32556450642733,-0.221563626696466,0.462976102495593,-0.0975058472009029,-0.0980325492143846,-0.0957685900456463,-0.149453032996625,-0.167863256631435,-0.11955009219956,-0.199009742164256,-0.217973565469493,-0.125943803256147,-0.180364293487634,-0.0155726165641266,-0.127640604731289,-0.111234224197101,-0.0861168228913374,-0.157386958090252,-0.105247353048551
"b_City_Midwest_smlr",-0.210355410012287,1,0.309070224102762,0.302221498700281,-0.0258480943117548,-0.00874172434828454,0.0169080162021989,0.0504454096199863,0.075712216881287,0.0143217813901159,0.047899783864124,-0.0211853471055672,-0.0225515244005948,0.00675324283234944,0.0225055460236346,-0.0418267752149667,0.0208226533117621,-0.0961448649434347,0.478031313850063,0.143149032407944,0.136394050670852,-0.0117939898250179,-0.00487887167808056,0.00817262292210841,0.0205196960539398,0.0325366104463382,0.00820852641313654,0.0256380221174454,-0.0101284493966756,-0.00979560605010714,0.00670701299144833,0.0113895100171551,-0.0212811745517446,0.00789013396843292
"b_City_South_smlr",-0.210902078374481,0.309070224102762,1,0.344001304158763,0.0107086274975965,-0.00892738191336393,0.00540186004644192,0.0652812453908362,0.0521911946682094,-0.0105929584994437,0.0334067547732006,0.0147184003681698,-0.0340476435590198,0.00352026012837301,0.0120625620628283,-0.0348604149584928,-0.0221905721612442,-0.0965704763275963,0.145946005860905,0.513990719747897,0.155505775491568,0.00445159053026307,-0.00542548609975185,0.00166466605569184,0.0294002474559577,0.0240872067759443,-0.0042262525066761,0.0164889325389347,0.00580452800404543,-0.0158651647817212,0.00509367307984269,0.00809200542009934,-0.0187213900021638,-0.0125323362333777
"b_City_Northeast_smlr",-0.213938598991117,0.302221498700281,0.344001304158763,1,-0.0145987556866057,-0.0219986217883299,-0.0511950916327235,0.0257338390195935,0.0481754663595025,-0.0333713283252497,0.0754741647435153,-0.00765350590662358,-0.0387114075792847,0.0330054233885877,-0.031010682794121,0.0772938322856545,-0.0326170376360929,-0.0961999961634625,0.142342588514273,0.158591304983098,0.488097563789363,-0.00812214300462563,-0.0118280859464934,-0.0239730865880059,0.00999950578541737,0.0186465259752877,-0.0174473039743111,0.0361828042273693,-0.00413702135944634,-0.0191333687956878,0.0168714763769064,-0.0133622059963809,0.039244089035283,-0.0161640458572562
"b_Age_GenZ_smlr",-0.31263886095694,-0.0258480943117548,0.0107086274975965,-0.0145987556866057,1,0.362173930604117,0.271843230814168,0.0498905718404066,0.0939396593399808,0.056724902429174,-0.0395575460561934,0.0212841618399203,0.235318939777222,-0.0767152401717025,0.0807704759925713,-0.0182213794624726,-0.105752546593548,-0.151827289545626,-0.0123971873440015,0.00682054738435401,-0.00651785691866016,0.476612001054618,0.179959661300224,0.12498513392634,0.0220537101274655,0.0454560265433197,0.0352431434566659,-0.0207180852174266,0.00774002297729089,0.103028217622155,-0.0298760771605836,0.0435841891825009,-0.0077783040248874,-0.0458582456956551
"b_Age_Millenials_smlr",-0.343768185988161,-0.00874172434828454,-0.00892738191336393,-0.0219986217883299,0.362173930604117,1,0.412809988335587,0.0154875663970403,0.100159787197499,0.0278793610828443,-0.0156281732611464,-0.0279545409317062,0.00786590553475325,-0.0342468099272797,0.0905768347617322,0.0728580363769043,-0.0240957100671037,-0.167819793338013,-0.00515158124262418,-0.00261889868373276,-0.0101157081843718,0.178148760374862,0.495215659260099,0.190737091605897,0.00485454644082809,0.0454346747110868,0.0187708596179683,-0.00905488577300405,-0.0114832147168259,0.00358991407962718,-0.0108971399989644,0.0432937599312815,0.0338743055209825,-0.0113780509807978
"b_Age_Older_smlr",-0.262833863854375,0.0169080162021989,0.00540186004644192,-0.0511950916327235,0.271843230814168,0.412809988335587,1,0.0207517235353614,0.0130317437103667,-0.0440633872377398,0.00697148761669641,0.0378935588903387,0.0271317250258774,0.00487635481946788,0.2651873581456,-0.0932235488949177,0.0440643304221902,-0.128278693728015,0.00818097848193467,0.00267156955090472,-0.0249153437354661,0.132743386868783,0.205728806179074,0.464367365880553,0.0101250131284749,0.00722223821834112,-0.0191899432916571,0.00203582184626423,0.0183099630514885,0.00900203323673779,0.00452400583994283,0.128665152511639,-0.0473236610268359,0.0240164014239852
"b_Inc_Mid_smlr",-0.408287702779561,0.0504454096199863,0.0652812453908362,0.0257338390195935,0.0498905718404066,0.0154875663970403,0.0207517235353614,1,0.717046092506702,-0.0299885225827796,0.0350084730758438,-0.0326317750286438,-0.19874848186692,0.0351090840433524,-0.0890804551410531,0.0137468098590061,0.0644775425602672,-0.202818974355581,0.0222804511588395,0.0306078024556242,0.00914127934387586,0.0238988792420879,0.00681282953520018,0.0102430317065647,0.478875081802941,0.350838419998255,-0.0192085819173377,0.0182451705327401,-0.0175109299620663,-0.0909106814910384,0.0159703850732769,-0.0416819887329457,0.00400037550626404,0.0291671571563372
"b_Inc_High_smlr",-0.44365150725167,0.075712216881287,0.0521911946682094,0.0481754663595025,0.0939396593399808,0.100159787197499,0.0130317437103667,0.717046092506702,1,-0.0242359900954846,0.128100624961467,-0.0540807718976359,-0.331127913286977,0.044339161050065,-0.097238737273798,-0.0156706920016185,0.155404457298876,-0.221095085749012,0.0344408968785519,0.0252601172991342,0.0177193455825476,0.0475377973649205,0.0483969566723463,0.00749484354761553,0.350003699978292,0.489467437244459,-0.0140756611598914,0.0638022248759625,-0.0282239103537726,-0.155408621809285,0.0199554019643769,-0.0440528477770157,-0.0123074756006976,0.0722656058084723
"b_Hel_smlr",-0.315854527663394,0.0143217813901159,-0.0105929584994437,-0.0333713283252497,0.056724902429174,0.0278793610828443,-0.0440633872377398,-0.0299885225827796,-0.0242359900954846,1,0.0872609020028899,-0.115732765749179,0.015003124861599,-0.0840596925307055,-0.0180742554908009,0.0750518047651812,0.0122007822413014,-0.113292211622825,0.00367027675485316,-0.00649957401991349,-0.0171122556057991,0.0265172102958352,0.0120548094379526,-0.0202228845070835,-0.0167544135833958,-0.0116691946793817,0.430844288025341,0.0419333268931667,-0.0502424469247059,0.00542644517255704,-0.0356771672779021,-0.00381451576446752,0.0335260557379698,0.00211390421663426
"b_Rem_smlr",-0.360129944354445,0.047899783864124,0.0334067547732006,0.0754741647435153,-0.0395575460561934,-0.0156281732611464,0.00697148761669641,0.0350084730758438,0.128100624961467,0.0872609020028899,1,0.0615758692796161,0.10373731050705,0.0945670642562554,-0.154739213918103,0.0504394797818413,-0.00369773503426795,-0.183281867748745,0.0282144440847482,0.0218258302705293,0.037983884419859,-0.0179588564263667,-0.00695859180191212,0.00270408017971602,0.0151304328789897,0.06040623139829,0.0509101805645233,0.493714155000662,0.0324909465473189,0.0463903612056267,0.0463227834314574,-0.0719429092560422,0.022644428260705,-0.00111077341529449
"b_Vdc_smlr",-0.0331829494463769,-0.0211853471055672,0.0147184003681698,-0.00765350590662358,0.0212841618399203,-0.0279545409317062,0.0378935588903387,-0.0326317750286438,-0.0540807718976359,-0.115732765749179,0.0615758692796161,1,-0.0639141972375315,0.0137773266032634,-0.0847367879161144,0.0113367901334957,-0.0345714037175196,-0.0156578992259359,-0.0109908988399307,0.00590745507087348,-0.00370920038003779,0.00674160840187286,-0.0132224317551692,0.0169427671650962,-0.0173645742897673,-0.0281151483235167,-0.0524402188164338,0.0312954018667486,0.475032730633422,-0.030294080930396,0.00905000947531078,-0.0405176711692751,0.0105436701685142,-0.0159392833829992
"b_Edc_MoreBachelor_smlr",-0.297369588695983,-0.0225515244005948,-0.0340476435590198,-0.0387114075792847,0.235318939777222,0.00786590553475325,0.0271317250258774,-0.19874848186692,-0.331127913286977,0.015003124861599,0.10373731050705,-0.0639141972375315,1,0.00470271495977069,0.00327155093640346,0.0412097649913449,0.0367537964827499,-0.136349576901078,-0.0106924202373436,-0.014615609804794,-0.0174450594627303,0.107367039112214,0.00251484400929326,0.00869340573160454,-0.0942959848783049,-0.160218992028905,0.0138161564569768,0.0454910651996214,-0.0305200257579792,0.45117995484547,0.00401633357228826,0.00101104068741574,0.022355235991717,0.019945842648743
"b_Gen_NonMale_smlr",-0.227893471767212,0.00675324283234944,0.00352026012837301,0.0330054233885877,-0.0767152401717025,-0.0342468099272797,0.00487635481946788,0.0351090840433524,0.044339161050065,-0.0840596925307055,0.0945670642562554,0.0137773266032634,0.00470271495977069,1,0.097736835234205,-0.0659117141225177,-0.0558432078447843,-0.105459716872406,0.00509865343984722,-0.00226141502372589,0.0134520798957301,-0.0337693141000002,-0.0134555512031944,0.00270079197510197,0.0200520821973072,0.0235436536698074,-0.0532654333078763,0.0511844134727049,0.00657282098500198,-0.000361940133050108,0.482755363988603,0.0410583879915611,-0.0351492327762026,-0.0279794641141287
"b_Chl_Yes_smlr",-0.181630909990369,0.0225055460236346,0.0120625620628283,-0.031010682794121,0.0807704759925713,0.0905768347617322,0.2651873581456,-0.0890804551410531,-0.097238737273798,-0.0180742554908009,-0.154739213918103,-0.0847367879161144,0.00327155093640346,0.097736835234205,1,0.0255042502428639,-0.00839252309108108,-0.0896128404696322,0.0106583523667409,0.0118249632501789,-0.00985861390403415,0.0421888479384633,0.04177358415945,0.120508557950392,-0.0428239124891384,-0.0452151813396663,0.0071845778328793,-0.0801384764378599,-0.0384574110777639,0.000115624595508189,0.0490195052527747,0.485696232073483,0.0165664875690366,0.00121821267795931
"b_Ngh_NonUrban_smlr",-0.32556450642733,-0.0418267752149667,-0.0348604149584928,0.0772938322856545,-0.0182213794624726,0.0728580363769043,-0.0932235488949177,0.0137468098590061,-0.0156706920016185,0.0750518047651812,0.0504394797818413,0.0113367901334957,0.0412097649913449,-0.0659117141225177,0.0255042502428639,1,0.0565609824025764,-0.150341536199808,-0.0229235234277374,-0.022115659248113,0.0363491494773894,-0.00873978897200166,0.0330075666953138,-0.0440083678824191,0.00486929721903012,-0.0109829500327823,0.0294498635854177,0.0234237064701343,0.00945558134017982,0.0195601184963808,-0.0331741395810513,0.0123225453931335,0.497642157343811,0.02860186150883
"b_Rac_Other_smlr",-0.221563626696466,0.0208226533117621,-0.0221905721612442,-0.0326170376360929,-0.105752546593548,-0.0240957100671037,0.0440643304221902,0.0644775425602672,0.155404457298876,0.0122007822413014,-0.00369773503426795,-0.0345714037175196,0.0367537964827499,-0.0558432078447843,-0.00839252309108108,0.0565609824025764,1,-0.104917329610259,0.00733405436121104,-0.0161697426353776,-0.0187761901446023,-0.0487376696459534,-0.0121571079936953,0.0230988127412005,0.0313565220071631,0.0747469491599901,-0.00334309717598587,0.000594516701370922,-0.0174729682348691,0.0177811645881522,-0.0285525140227848,-0.00209678143844948,0.0292381725216889,0.478163610907371
"b_asc_grtr",0.462976102495593,-0.0961448649434347,-0.0965704763275963,-0.0961999961634625,-0.151827289545626,-0.167819793338013,-0.128278693728015,-0.202818974355581,-0.221095085749012,-0.113292211622825,-0.183281867748745,-0.0156578992259359,-0.136349576901078,-0.105459716872406,-0.0896128404696322,-0.150341536199808,-0.104917329610259,1,-0.204575817115412,-0.205838664472065,-0.209276182812927,-0.344055836662847,-0.360102691975609,-0.27293120370618,-0.385852695396006,-0.426125827785283,-0.285516139159423,-0.376104512833036,-0.0469913597923492,-0.326173163944381,-0.181273709767166,-0.217157227105842,-0.299988977131167,-0.191772870720836
"b_City_Midwest_grtr",-0.0975058472009029,0.478031313850063,0.145946005860905,0.142342588514273,-0.0123971873440015,-0.00515158124262418,0.00818097848193467,0.0222804511588395,0.0344408968785519,0.00367027675485316,0.0282144440847482,-0.0109908988399307,-0.0106924202373436,0.00509865343984722,0.0106583523667409,-0.0229235234277374,0.00733405436121104,-0.204575817115412,1,0.327051393822094,0.313358744580985,-0.0271055243758108,-0.0261704728046367,0.00597466424546183,0.0324784835901856,0.0533109258199148,0.0181592885118833,0.052853068276991,-0.0179198769747155,-0.0132647364269954,0.009090432863397,0.019303331094756,-0.0579854783818217,0.00707916040411141
"b_City_South_grtr",-0.0980325492143846,0.143149032407944,0.513990719747897,0.158591304983098,0.00682054738435401,-0.00261889868373276,0.00267156955090472,0.0306078024556242,0.0252601172991342,-0.00649957401991349,0.0218258302705293,0.00590745507087348,-0.014615609804794,-0.00226141502372589,0.0118249632501789,-0.022115659248113,-0.0161697426353776,-0.205838664472065,0.327051393822094,1,0.349538730224664,0.0186410710746492,-0.0039103519032011,0.00648993922504917,0.0432391071721936,0.0238704110363341,-0.0220750947392856,0.0322088966841117,0.0179374941172689,-0.0216371032491281,-0.000654448319077962,0.018645148449362,-0.0436882136774922,-0.0249140995343276
"b_City_Northeast_grtr",-0.0957685900456463,0.136394050670852,0.155505775491568,0.488097563789363,-0.00651785691866016,-0.0101157081843718,-0.0249153437354661,0.00914127934387586,0.0177193455825476,-0.0171122556057991,0.037983884419859,-0.00370920038003779,-0.0174450594627303,0.0134520798957301,-0.00985861390403415,0.0363491494773894,-0.0187761901446023,-0.209276182812927,0.313358744580985,0.349538730224664,1,-0.00107737758451221,-0.00759973387845323,-0.0394488761705719,0.0146855553099,0.0350110967729084,-0.0327119000463101,0.0682864786893265,-0.00188603443737568,-0.0359335295601814,0.0320097636157092,-0.02359718826036,0.0633935545583548,-0.0311758291417876
"b_Age_GenZ_grtr",-0.149453032996625,-0.0117939898250179,0.00445159053026307,-0.00812214300462563,0.476612001054618,0.178148760374862,0.132743386868783,0.0238988792420879,0.0475377973649205,0.0265172102958352,-0.0179588564263667,0.00674160840187286,0.107367039112214,-0.0337693141000002,0.0421888479384633,-0.00873978897200166,-0.0487376696459534,-0.344055836662847,-0.0271055243758108,0.0186410710746492,-0.00107737758451221,1,0.384167038539634,0.269380482367342,0.0409640263004931,0.0901909273242353,0.0733641514671503,-0.0425350219607666,0.0333280310330581,0.231699203450959,-0.0798020957547184,0.0984938755978459,-0.00946458815700892,-0.123315606347571
"b_Age_Millenials_grtr",-0.167863256631435,-0.00487887167808056,-0.00542548609975185,-0.0118280859464934,0.179959661300224,0.495215659260099,0.205728806179074,0.00681282953520018,0.0483969566723463,0.0120548094379526,-0.00695859180191212,-0.0132224317551692,0.00251484400929326,-0.0134555512031944,0.04177358415945,0.0330075666953138,-0.0121571079936953,-0.360102691975609,-0.0261704728046367,-0.0039103519032011,-0.00759973387845323,0.384167038539634,1,0.40803548728241,0.00270878314027792,0.0926966550428939,0.032106151450077,-0.0198927384655574,-0.00975929154089644,0.0129866136497087,-0.0341234420690037,0.0992979901652631,0.0679456914448001,-0.0313480143508002
