"","b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"b_asc_smlr",0.0742178580839701,-0.0100447190018934,-0.00889052815354706,-0.00906334880102335,-0.0196073714421115,-0.0130209409106449,-0.0129905611428856,-0.0203873707924529,-0.022606894899257,-0.0056665761981179,-0.0121730529536649,-0.000486218898304076,-0.0122782769472223,-0.00740881644273186,-0.00623237622289589,-0.0108894845278551,-0.00791363390619566,0.0384627323527169,-0.00502410866434689,-0.00455737598267054,-0.00456841391999093,-0.0104654019334543,-0.00699431510416869,-0.00702706775641966,-0.0113323072220984,-0.0126172394297393,-0.00235280121703514,-0.00676870656368287,-0.000256728559637663,-0.00615289370893236,-0.00413862525922012,-0.00330405420641556,-0.00574950988184209,-0.00432547942357866
"b_City_Midwest_smlr",-0.0100447190018934,0.0307227294018694,0.00838261574215098,0.00823759793941061,-0.00104299117949156,-0.000213034275248949,0.000537668924883923,0.00162066131073696,0.00248222191852259,0.000165312752188987,0.00104171644621818,-0.000199723019420867,-0.000599090546257887,0.000141255382794291,0.000496854407773316,-0.000900119857704457,0.000478508049655758,-0.0051390558980995,0.015847486842225,0.0042816254147025,0.0041861373099738,-0.000531358482319909,-0.000130793040223786,0.000309073219978549,0.000751779737218008,0.00121173740294392,9.86618652438633e-05,0.000619035178142499,-0.000107431402674867,-0.000303806848759367,0.000160554510581604,0.00028115117005611,-0.000500188113180233,0.000208633063453519
"b_City_South_smlr",-0.00889052815354706,0.00838261574215098,0.0239433540471089,0.00827747582642507,0.000381459568926382,-0.000192060955597861,0.000151645038386233,0.00185149114154917,0.00151054781652161,-0.000107941682361444,0.000641376217195366,0.000122494262523411,-0.000798483999781007,6.50024899236334e-05,0.000235094110525353,-0.000662279189657954,-0.000450178008659147,-0.00455684458929323,0.00427128807682848,0.0135718211046269,0.00421334635486316,0.00017705356459895,-0.000128400433572355,5.55763006256645e-05,0.000950896555160634,0.000791927168742663,-4.48437743898885e-05,0.000351468128382927,5.43522829167841e-05,-0.000434383612027028,0.00010764330588762,0.000176341128272866,-0.000388452981507958,-0.00029254547960758
"b_City_Northeast_smlr",-0.00906334880102335,0.00823759793941061,0.00827747582642507,0.0241819142436531,-0.000522616824925652,-0.000475623482931124,-0.00144432871805074,0.000733483978544124,0.00140125124519231,-0.000341741916195941,0.00145622915875306,-6.40130324624011e-05,-0.00091236993542387,0.000612482082988386,-0.000607388216113807,0.00147572774145119,-0.000664986968866007,-0.00456192082002426,0.00418653140341997,0.00420838114407084,0.0132904633659074,-0.000324648156636775,-0.000281316464891184,-0.000804339338861054,0.000325022681433712,0.000616097684974267,-0.0001860492355148,0.000775083469344245,-3.89306349605485e-05,-0.000526469398273263,0.000358312444742033,-0.000292636475491563,0.000818328102301279,-0.000379196458098748
"b_Age_GenZ_smlr",-0.0196073714421115,-0.00104299117949156,0.000381459568926382,-0.000522616824925652,0.052996161675378,0.0115920934076925,0.0113535875899817,0.00210514203760541,0.00404497586598964,0.000859954322496452,-0.00112989378451024,0.000263536881179434,0.00821042722175057,-0.00210749522546113,0.00234198735228167,-0.00051501457903961,-0.0031918048056081,-0.0106585811762014,-0.00053978340433226,0.000267936446680949,-0.000262733332852904,0.0282022756446948,0.00633625601701578,0.00620798395139929,0.00106119126047836,0.00222341220957394,0.000556353814111787,-0.000657011145626558,0.000107825838411879,0.00419676591615814,-0.000939310649470446,0.00141304546523067,-0.00024011262583348,-0.00159260657696664
"b_Age_Millenials_smlr",-0.0130209409106449,-0.000213034275248949,-0.000192060955597861,-0.000475623482931124,0.0115920934076925,0.0193305831070894,0.0104127407999977,0.000394681138607489,0.00260471742982238,0.000255261144521661,-0.000269598060651911,-0.00020904389238278,0.000165751653091869,-0.000568205381962648,0.00158616846881824,0.00124370105351217,-0.00043922341881275,-0.00711529661674913,-0.000135468145708073,-6.21343171261477e-05,-0.000246267393670161,0.00636652213355285,0.0105305774792947,0.00572173383035811,0.000141078532025638,0.00134219682916752,0.000178962015816762,-0.000173422869244213,-9.66149533390734e-05,8.83167101767729e-05,-0.000206918095963053,0.000847720603126981,0.0006315398396007,-0.000238648776752992
"b_Age_Older_smlr",-0.0129905611428856,0.000537668924883923,0.000151645038386233,-0.00144432871805074,0.0113535875899817,0.0104127407999977,0.0329143109010818,0.000690060661619492,0.000442221302615424,-0.000526440970124123,0.000156929254953055,0.00036976041886919,0.000746030280083753,0.000105572407281574,0.00605975262219386,-0.00207651024456488,0.00104810028858933,-0.00709699112893584,0.000280718987968485,8.27083245839379e-05,-0.000791493606365866,0.00619016533583974,0.00570851084990643,0.0181770789042965,0.000383952741692275,0.000278400813964846,-0.000238737311467718,5.08783557662505e-05,0.000201019522522308,0.000288981038183717,0.000112093132528531,0.00328744336090411,-0.00115127372569407,0.000657308392639575
"b_Inc_Mid_smlr",-0.0203873707924529,0.00162066131073696,0.00185149114154917,0.000733483978544124,0.00210514203760541,0.000394681138607489,0.000690060661619492,0.0335955246413626,0.024582867082368,-0.000361972187348207,0.000796159262263542,-0.000321694809194926,-0.00552117100304942,0.000767932336321484,-0.00205651951994087,0.000309356112886921,0.00154943182637602,-0.0113364387523655,0.000772393926345446,0.000957333416266651,0.000293383603608139,0.00112593992666568,0.000190986899190846,0.000405078551472497,0.0183464798202709,0.0136632548307639,-0.00024142944817125,0.000460669600906539,-0.000194226422299999,-0.00294843785533058,0.000399778622534817,-0.00107595498529206,9.83216930282926e-05,0.000806498706913691
"b_Inc_High_smlr",-0.022606894899257,0.00248222191852259,0.00151054781652161,0.00140125124519231,0.00404497586598964,0.00260471742982238,0.000442221302615424,0.024582867082368,0.0349856132857845,-0.0002985279028731,0.00297291206330911,-0.000544064348864273,-0.00938700831525063,0.000989680377115242,-0.00229083469088997,-0.000359872767054364,0.00381093462369217,-0.0126110481936444,0.00121840971651013,0.000806251366183952,0.000580337411553407,0.00228549761250236,0.00138451651320904,0.000302466537441037,0.01368381441993,0.0194524746741972,-0.000180537645045879,0.00164392304265875,-0.000319462815829322,-0.00514346994072913,0.000509763447867097,-0.00116044267255304,-0.000308689319973907,0.0020391315929205
"b_Hel_smlr",-0.0056665761981179,0.000165312752188987,-0.000107941682361444,-0.000341741916195941,0.000859954322496452,0.000255261144521661,-0.000526440970124123,-0.000361972187348207,-0.0002985279028731,0.0043366945695679,0.000712992866986378,-0.000409919323422382,0.00014974344019249,-0.000660586900638409,-0.000149916532988908,0.000606815437578876,0.000105339287334832,-0.0022751331741136,4.5714332932661e-05,-7.30389745322862e-05,-0.000197321687585729,0.000448853092880868,0.000121415772928221,-0.000287337651061548,-0.000230620784137418,-0.000163277601261412,0.00194560189935656,0.000380399249634906,-0.000200220520529471,6.32311657679087e-05,-0.00032087305438153,-3.53772270288018e-05,0.000296053197274236,2.10006909130643e-05
