"","Factor1","Factor2","Factor3","Factor4"
"H07_1",-0.0753652352431911,0.0340229876815462,0.472152654739283,0.141814537142454
"H07_2",-0.110862063117349,0.65736680228436,-0.0982267470068174,0.00677444677704488
"H07_3",0.240212902044158,0.238680301202486,-0.112731288888728,-0.0869720566073173
"H07_4",-0.0196283762672057,0.645433233314352,0.209736479870489,-0.116878517666465
"H07_5",-0.108054541064783,0.159908721186182,0.770342341163166,-0.0198002151850171
"H07_6",0.590097464868619,0.0943939960720861,-0.0414497546866035,0.0144929323552513
"H07_7",0.138282049646049,-0.0893728473116084,0.709833062288073,0.0133763865965606
"H07_8",0.805020139852614,-0.0896780847469675,0.0987784800017153,-0.00849105132354289
"H07_9",0.886190456921514,-0.0709928292140867,-0.0723037582524536,0.131060534497543
"H07_10",0.471856112810272,0.3107385722919,0.103437370525289,-0.0530186158163803
"H07_11",-0.0372715652733834,0.801255702325934,0.0195392958188483,0.00890887996645606
"H07_12",0.300308851689014,0.444556165035811,-0.0511893915770859,0.0436120763741876
"H07_13",-0.0923528748455667,0.16397731579295,-0.104168309889547,0.240243090037436
"H07_14",0.0152164744144523,-0.0973800306479246,0.114386086529701,0.480195615832975
"H07_15",-0.0187524596727984,-0.036463740979169,0.254054758145195,0.47444979001765
"H07_16",0.0118312471296028,0.375613929735093,-0.0644941913508472,0.365435170062289
"H07_17",0.176827577932344,-0.0675709158901172,0.00621056561807459,0.570067894495792
