"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.330554826140382,0.0313232175000663,0.0102210539812079,-0.040727528207496,0.0501848672359116,0.0445962851401027,-0.208080460019175,0.00708790688047213,-0.0400342025973319,0.0408315746111383,0.0152194283351182,-0.329841529335895,-0.317679902469153,-0.410324704325351,-0.593361653415551,-0.580829584435098,-0.573941195863897,-0.254144237629667,-0.237220759496941,-0.188431271383138,-0.0478939919021431,-0.129944423577072,-0.381596023454678,-0.249964716666969,0.011886503712648,0.0101437089892774,-0.0110220364492735,0.0157145820373219,0.0115262593175396,-0.0700430872090066,0.00480203235546948,-0.020233282012739,0.0153152576931111,0.0118915977429105,-0.108075210503193,-0.104422659528293,-0.133370675981417,-0.203845941700336,-0.192073169441611,-0.179170435249148,-0.0867161870780977,-0.0818318811367263,-0.0626095792519928,-0.0141948771254505,-0.045062387948983,-0.131371663640452,-0.0787943786173659
"asc_grtr",0.330554826140382,1,0.0119396930655134,0.00991069849575202,-0.0132993793949535,0.0175983643971973,0.0118219851163031,-0.072441461217865,0.00388834406859753,-0.0215906718034626,0.0165440625725651,0.0116338290315262,-0.110470351831846,-0.106045970709595,-0.136343979337541,-0.188744266210051,-0.184140912588233,-0.182067818215419,-0.0918198468645869,-0.0854847730949924,-0.0644763209475913,-0.0170716705355987,-0.0473675445595389,-0.131161248951073,-0.082343635489846,0.0364635696204056,-0.0225848663233204,-0.0495330219796209,0.0520712866503685,0.0231817826653209,-0.202215225758194,-0.0279123195075374,-0.0718489923231056,0.0697781507226769,0.0411306844663335,-0.340078325019701,-0.340977854070119,-0.432108519705385,-0.512988763583486,-0.485387730264518,-0.467084789883401,-0.268902785451084,-0.25064005680515,-0.21020309670991,-0.0944712380844999,-0.178970105161224,-0.390694542104773,-0.254159133290996
"b_FA1A_smlr",0.0313232175000663,0.0119396930655134,1,-0.084615489846732,0.184871026540855,-0.190495226359291,0.10282199406785,-0.128982563744033,-0.0630656281661078,-0.183541566613184,-0.0642909081767997,0.0335555438342485,-0.0178115587910211,-0.00391293421814029,-0.0185745653986943,0.0546702427036018,0.0427637438152569,0.0147654553957929,-0.02035444763524,-0.0554606901538243,-0.0217401242192199,-0.100519936744678,-0.0449834661807599,0.0376819911152788,0.0277664272403563,0.34265690032369,-0.0269372568255748,0.0535579059435282,-0.0537987507406621,0.0408798447115522,-0.0450021927379178,-0.0230154484895311,-0.0642011538037117,-0.0210529034162348,0.011295129525866,-0.00654923720912717,-0.00379466941389161,-0.00644671075135531,0.0197392448425747,0.0157370225849153,0.00622490344985231,-0.00699706822145608,-0.0193642843418658,-0.00662874085832865,-0.0324262372069864,-0.0155613959406678,0.0127036434686536,0.00721401839552931
"b_FA2A_smlr",0.0102210539812079,0.00991069849575202,-0.084615489846732,1,-0.30047609389865,-0.273849075568775,0.0388510098844376,-0.0999694827831905,-0.0150447969256615,-0.122647059612198,0.0430031819527485,-0.0904091763985658,-0.0203946906906998,-0.0311628389786829,-0.00398407425296653,-0.0326356616407837,0.0156249650687304,0.0880743934184847,-0.076027218839945,-0.102205441426031,-0.0111293780459613,0.0259493134457219,-0.0884577662265351,0.0727686098249963,-0.0418060501684595,-0.0301497268381247,0.301902067349136,-0.0854637057752644,-0.0765728388559728,0.00612744774913246,-0.0373226212729138,-0.00648788321991825,-0.0457798892788303,0.0165774251995454,-0.0216946947613368,-0.0071884834864477,-0.0114745010950483,-0.00304538616386682,-0.0106781069700325,0.00692560311875107,0.0307790536672012,-0.0252863022090246,-0.0354884504457404,-0.00464360527428678,0.00693774435322374,-0.0273636761851632,0.0236693077880776,-0.00687099774023943
"b_FA3A_smlr",-0.040727528207496,-0.0132993793949535,0.184871026540855,-0.30047609389865,1,-0.185076603991441,-0.310688804280028,0.270758659165124,0.00718142039176706,0.0317273807378081,0.0348218503366386,-0.089706107373526,0.035389234567687,0.0219527324662399,0.0351524417468374,0.00752697181061785,0.0158937777186862,0.00516507421958714,-0.000254614555303748,0.0295544727064219,0.0431334381963222,0.067547758947835,-0.0736139223146485,-0.0341168239576904,0.0383144018703687,0.0596317559934933,-0.0861203066770605,0.28904989619495,-0.0524246800908999,-0.09980366664826,0.086908267229176,0.00242167753503991,0.0109592931530373,0.0115315584896343,-0.0235017572787055,0.0105000539236679,0.00801845142935078,0.0104122405908942,0.00296215973028224,0.00634261888838066,0.0014740216567706,2.78534701409419e-05,0.00896761393580453,0.0152928825760493,0.0199958412197025,-0.0216249141536529,-0.00995286854162399,0.0148612189905564
"b_FA4A_smlr",0.0501848672359116,0.0175983643971973,-0.190495226359291,-0.273849075568775,-0.185076603991441,1,0.124723779921033,-0.134696286972085,-0.030090437496486,-0.0230989461417033,-0.0729443638210878,0.0616231783689009,0.00398283821959679,-0.00552499401510121,-0.00709070739426083,-0.00261930286012233,-0.0152545463358617,-0.0356418377602708,-0.0443818555351287,-0.108086494999794,0.0108226616996196,-0.109419661101553,0.0723449058228944,0.0160083175644271,0.00934122403854496,-0.0607846093218594,-0.0780240604083174,-0.0528574526463176,0.288374795975461,0.036533210982079,-0.0430284886302708,-0.0102871801195755,-0.00712705965207735,-0.0233398185201374,0.0235640959766794,0.00129875171198497,-0.000347304356104942,-0.00231431759745468,0.00105772274286767,-0.00274705859268717,-0.00855833518980469,-0.0149837280533727,-0.0357994079343916,0.00527516651128293,-0.035458496346688,0.0254170696896098,0.00494098756927753,0.00546711516640782
"b_FA5A_smlr",0.0445962851401027,0.0118219851163031,0.10282199406785,0.0388510098844376,-0.310688804280028,0.124723779921033,1,-0.117125310602967,0.105834448386085,-0.0503827601079122,-0.0320040712182912,-0.0927222674289631,0.06431583597572,0.0193594248445878,-0.0331196616169514,0.0140704724657378,0.0092216335618445,0.0231983231908758,-0.0641264059083306,-0.0973033697899437,0.121547076466523,-0.0530724530296381,0.00669206963067516,-0.184506497164858,0.0656854696065477,0.0424506979162139,0.0121639579211632,-0.0936321757543708,0.0366530987514162,0.326442512949141,-0.0345078008236636,0.0327647701372301,-0.0172070701748396,-0.010084900977819,-0.0285118354428339,0.0210144119081483,0.00602574446065311,-0.0120377971212701,0.00511429639426562,0.00309848214536681,0.00912432405263802,-0.0214056866836992,-0.032091709708321,0.0385551733788923,-0.0173359343932919,0.00144201479084449,-0.0647038784052036,0.0242663836064449
"b_FA6A_smlr",-0.208080460019175,-0.072441461217865,-0.128982563744033,-0.0999694827831905,0.270758659165124,-0.134696286972085,-0.117125310602967,1,-0.0192456042009911,-0.131347920371784,-0.0562135737026715,-0.00621155831681377,0.000879067146702746,0.000294043536799271,-0.0112091284212235,0.0569327436474194,0.123622460050824,0.201799256395836,0.130303034659216,0.236015508136799,-0.0566701993654149,0.0725139958262488,0.0468982056382672,0.0212491768713257,-0.0333347412025663,-0.0448334140325369,-0.0349877449156187,0.0787435026611542,-0.0396812668932153,-0.0319197993937669,0.335697386309379,-0.00561527613647307,-0.0438669493288449,-0.0185241654996793,-0.00204654542224932,0.00045335845295817,0.00266395733476614,-0.00167640680040512,0.020983281290453,0.0432127141665317,0.0671657574038575,0.0434491929108527,0.0775249771426092,-0.0169351207580674,0.0204571890807097,0.0159740366997131,0.00830124461887073,-0.00887291932453064
"b_FA1H_smlr",0.00708790688047213,0.00388834406859753,-0.0630656281661078,-0.0150447969256615,0.00718142039176706,-0.030090437496486,0.105834448386085,-0.0192456042009911,1,-0.435125489702654,-0.000588939826961468,0.0150775583593381,-0.021611206507439,0.0126220028606804,-0.0164335524354858,0.00452119396997976,-0.00176755410642087,-0.00490258655156148,0.0111118631590941,0.0100220152969785,-0.0145389144454417,-0.0342184393786971,0.0174797867112132,0.00333884889595424,-0.0111829470703173,-0.0244040040620119,-0.00414068374042163,0.00219887843666459,-0.00981053744765511,0.0324856135997616,-0.0062041003616672,0.320698037354603,-0.154944253362703,-0.00202347614666867,0.00450193526103847,-0.00865762309855764,0.00446230249182728,-0.00679267227805962,-0.000392259850818454,-0.00193342076603202,-0.00329461041613766,0.00305125663321905,0.00355429236334893,-0.00465985642391801,-0.012397264311521,0.00901187163822874,-0.0017002018842897,-0.000361459772648852
"b_FA2H_smlr",-0.0400342025973319,-0.0215906718034626,-0.183541566613184,-0.122647059612198,0.0317273807378081,-0.0230989461417033,-0.0503827601079122,-0.131347920371784,-0.435125489702654,1,0.165972282919977,-0.120511561830295,-0.016872628593104,-0.00774598828213643,-0.000908769715934422,0.0232661501191455,0.0692739605691945,0.110486803099917,0.00806896714888009,0.030249069922429,0.0176500951326256,-0.0108900599526661,-0.123526422295369,0.0518588116232925,-0.00877786026601802,-0.0614167780417901,-0.0306833794860639,0.0133179923799657,-0.00241707107075313,-0.017095780789949,-0.0412933427316758,-0.133495071109062,0.350659036091874,0.0562128999261553,-0.037561185828062,-0.00442319751745461,-0.000907807472753579,-0.00129570891746616,0.0101421938748051,0.0274192723136179,0.0412613769971348,-0.000266160691485199,0.00727069808944956,0.00249957062145179,-0.00195799355373769,-0.0430879084152775,0.0208803256008569,0.00333681488655885
"b_FA3H_smlr",0.0408315746111383,0.0165440625725651,-0.0642909081767997,0.0430031819527485,0.0348218503366386,-0.0729443638210878,-0.0320040712182912,-0.0562135737026715,-0.000588939826961468,0.165972282919977,1,-0.356315677127613,-0.0115911945093762,-0.00860171928647028,-0.0184434476916072,-0.0223844126860723,-0.0154850227270745,-0.0226702915730969,-0.0390255113182938,-0.0451637180306068,-0.0190736528637101,-0.0507789104369413,0.0692982598962503,-0.00386316383794838,0.0280731118901788,-0.0221895229852507,0.011209976766405,0.0102086313364857,-0.0228387134048578,-0.0088345747024393,-0.0189076853482376,-0.00172767513105178,0.0608484156760128,0.326995237527689,-0.122141285175343,-0.0053851279511205,-0.00569539606636237,-0.00642113210765859,-0.00904226002924155,-0.00569151616868051,-0.00966578948805129,-0.0111127126729066,-0.0122803184869758,-0.00573631856687101,-0.0173345684375783,0.0237231131388588,0.00227344097281982,0.00619305232072885
"b_FA4H_smlr",0.0152194283351182,0.0116338290315262,0.0335555438342485,-0.0904091763985658,-0.089706107373526,0.0616231783689009,-0.0927222674289631,-0.00621155831681377,0.0150775583593381,-0.120511561830295,-0.356315677127613,1,-0.01408412673817,0.00905165994939844,0.0077558568955195,0.0134419152814443,0.0103941640336628,-0.0151938818497239,0.00750358017817226,0.00534863589083609,-0.0188352220279766,0.00744575867427655,0.0169825687830357,0.0116382612143085,-0.0872150069957909,0.0105898737896015,-0.0256592741518266,-0.0238700702930742,0.022885512867106,-0.0326939748547239,-0.00230723626018701,0.00329631795720165,-0.0486616353319595,-0.120448558243232,0.317873575948634,-0.00400837517887797,0.00448207066736756,0.00362036105909267,0.00603349123048043,0.00592976951553066,-0.00301537098826317,0.00106231108166041,0.000335947873212248,-0.00564795057132345,0.000595732609180588,0.00474198062930864,0.00253740116294196,-0.0269163466378475
"b_City_Northeast_smlr",-0.329841529335895,-0.110470351831846,-0.0178115587910211,-0.0203946906906998,0.035389234567687,0.00398283821959679,0.06431583597572,0.000879067146702746,-0.021611206507439,-0.016872628593104,-0.0115911945093762,-0.01408412673817,1,0.517629057860137,0.595888676737063,-0.00294696119481414,-0.0100493945559775,-0.0322488306159095,-0.0323978046319692,-0.0733383660055292,-0.0645656042338505,-0.020741658350373,-0.0142293843528126,0.0869878100195182,-0.0396545831310937,-0.00658060345884457,-0.00823352061711934,0.00857593064398769,0.00100413883270004,0.0212998996915748,0.000434987632408388,-0.00841706048759824,-0.00404273608077016,-0.00599547282471145,-0.00526558943390869,0.33171009128302,0.169223334888527,0.193000211237757,-0.00150666824616524,-0.00336739414310454,-0.0130414092332251,-0.00785035856518131,-0.0216086138525272,-0.0216119550585096,-0.00588495330523361,-0.00457320508247163,0.0296465079269443,-0.0152689026675917
"b_City_South_smlr",-0.317679902469153,-0.106045970709595,-0.00391293421814029,-0.0311628389786829,0.0219527324662399,-0.00552499401510121,0.0193594248445878,0.000294043536799271,0.0126220028606804,-0.00774598828213643,-0.00860171928647028,0.00905165994939844,0.517629057860137,1,0.583913293888979,0.00742626163681245,0.00219938297740647,-0.00465804581831538,-0.00978778624286081,-0.0402333988287173,-0.0098183883864062,-0.0297342787893858,-0.0100690157621569,-0.00832799658230491,-0.0507105401636716,-0.00397992658506471,-0.0122741871387332,0.00699848103791587,-0.000642782611662345,0.00522726200031854,0.00258291972386012,0.00327556845499191,-0.00251800334506402,-0.00503110595648933,0.00388480658090065,0.167757126382144,0.341274645791086,0.189122792928132,0.00349730436977517,0.000983439429943043,-0.00226605991623805,-0.00127396970757215,-0.0111292233532819,-0.00464871655850754,-0.00886708111645531,-0.00425484363272248,-0.0027758991319768,-0.0181310056998869
"b_City_West_smlr",-0.410324704325351,-0.136343979337541,-0.0185745653986943,-0.00398407425296653,0.0351524417468374,-0.00709070739426083,-0.0331196616169514,-0.0112091284212235,-0.0164335524354858,-0.000908769715934422,-0.0184434476916072,0.0077558568955195,0.595888676737063,0.583913293888979,1,0.0112945207962768,0.0105866731332656,0.0081135921466945,-0.00684459434925287,-0.0428844629522908,-0.0121658424932412,0.000991897943891236,-0.00910221645147981,0.0529549355263483,-0.0173860175492571,-0.00647962375796017,-0.00354291815822686,0.00911083070851596,-0.00239143482227315,-0.0107198773484938,-0.00173457547177093,-0.00664415936617729,-0.000174284044488716,-0.00708336215934167,0.00301180090107112,0.192797887625363,0.190635234309812,0.32184791229746,0.00250368555987812,0.00302801183059247,5.7584516981257e-05,0.000413736886615476,-0.0113306248697954,-0.00473468582434858,0.00222559840855135,-0.00238000935746442,0.0180890616805405,-0.00818458443672245
"b_Age_Millenials_smlr",-0.593361653415551,-0.188744266210051,0.0546702427036018,-0.0326356616407837,0.00752697181061785,-0.00261930286012233,0.0140704724657378,0.0569327436474194,0.00452119396997976,0.0232661501191455,-0.0223844126860723,0.0134419152814443,-0.00294696119481414,0.00742626163681245,0.0112945207962768,1,0.78035214541072,0.72787358564549,-0.0277236726155983,0.00967896887970623,0.0636947868774142,-0.227747746825113,-0.0692032603480405,0.0845044361963706,0.0578994922077747,0.0179844062861064,-0.0115049487963493,0.00124438115683619,0.000414252509574474,0.00528250776130864,0.0184638679160066,-0.00159778072620958,0.0103762993450678,-0.00839849495221036,0.00266970214293299,-0.00126866513058067,0.00257519256058276,0.00239763477194614,0.350003238541476,0.2607673882205,0.230652895926215,-0.00681799357676665,0.00442784875919649,0.0204981301355523,-0.0745569208274427,-0.0205688693378754,0.0270562148099746,0.0173904349123108
"b_Age_GenX_smlr",-0.580829584435098,-0.184140912588233,0.0427637438152569,0.0156249650687304,0.0158937777186862,-0.0152545463358617,0.0092216335618445,0.123622460050824,-0.00176755410642087,0.0692739605691945,-0.0154850227270745,0.0103941640336628,-0.0100493945559775,0.00219938297740647,0.0105866731332656,0.78035214541072,1,0.755086626054388,-0.0330862033129929,-0.0458302608091601,0.0626046321745702,-0.203737594671776,-0.0879198818578219,0.070168896187362,0.055886827283174,0.0149040039868817,0.00129678948085713,0.00370910291870442,-0.00331487830209893,0.00422094345688728,0.0397881750785806,-0.00258218967425642,0.0274545795649299,-0.00565048743242681,0.00113219035658472,-0.00294446536319259,-0.000110778681860292,0.00318898051096363,0.270601326814543,0.340189175234349,0.240163976535126,-0.00903955707004184,-0.0133855115579437,0.0201458975142321,-0.0682306724709702,-0.0263675752461843,0.022585662321313,0.0160069512399995
"b_Age_Older_smlr",-0.573941195863897,-0.182067818215419,0.0147654553957929,0.0880743934184847,0.00516507421958714,-0.0356418377602708,0.0231983231908758,0.201799256395836,-0.00490258655156148,0.110486803099917,-0.0226702915730969,-0.0151938818497239,-0.0322488306159095,-0.00465804581831538,0.0081135921466945,0.72787358564549,0.755086626054388,1,0.00200053515352179,0.000772674036344316,0.0585001676030241,-0.169102714088451,-0.080870576336988,0.0317545859370397,0.0870087211307686,0.00568752822401275,0.0236698154378172,-0.000101467111967498,-0.00868747589067958,0.00973004758085895,0.0659094322616404,-0.00370248367572408,0.0424810513902025,-0.00923770933944418,-0.00669018086536382,-0.0120823833785265,-0.00288642105329102,0.000885763590316821,0.252876915912588,0.254003748429412,0.324415653983748,0.00233423147610903,0.00192716809086891,0.0176701054540328,-0.0575415656976653,-0.0254076162210391,0.0103559289995845,0.0275404674668171
"b_Inc_Mid_smlr",-0.254144237629667,-0.0918198468645869,-0.02035444763524,-0.076027218839945,-0.000254614555303748,-0.0443818555351287,-0.0641264059083306,0.130303034659216,0.0111118631590941,0.00806896714888009,-0.0390255113182938,0.00750358017817226,-0.0323978046319692,-0.00978778624286081,-0.00684459434925287,-0.0277236726155983,-0.0330862033129929,0.00200053515352179,1,0.60558296201074,0.0179136145127874,-0.170362550772828,-0.00422223824794119,-0.0217659244286392,0.0219289580959035,-0.00722887134377936,-0.0232214630167201,5.71060722033272e-05,-0.0135532394210848,-0.0199923731139199,0.0448939069179562,0.00358260241457049,0.00188013749762216,-0.0119704834011924,0.000900720795109427,-0.00867132879408695,-0.00174622150036923,-0.000203096819640663,-0.00900406362254565,-0.0112739237892592,0.00132403461396674,0.327342866519852,0.201957502778088,0.00492374717372928,-0.0521263731790746,-0.00218932444137991,-0.00885021513612474,0.00627697028386615
"b_Inc_High_smlr",-0.237220759496941,-0.0854847730949924,-0.0554606901538243,-0.102205441426031,0.0295544727064219,-0.108086494999794,-0.0973033697899437,0.236015508136799,0.0100220152969785,0.030249069922429,-0.0451637180306068,0.00534863589083609,-0.0733383660055292,-0.0402333988287173,-0.0428844629522908,0.00967896887970623,-0.0458302608091601,0.000772674036344316,0.60558296201074,1,0.0149380897197141,-0.288750384522751,-0.013181587723799,-0.0551201454577864,0.127193096917207,-0.0197310037996714,-0.0311632937453153,0.00879962798029264,-0.032875380884341,-0.0306390847477903,0.0790225343923708,0.00409781890036752,0.0101480353382171,-0.0130920551261913,0.00147669746218736,-0.0229078967597209,-0.0113624175349847,-0.012318354507109,0.00353621903428118,-0.0161377973572241,0.000809278255441597,0.19869630701557,0.324783489403434,0.00523666565256636,-0.0872631720178747,-0.00340523006189581,-0.0208898306489372,0.040719348985361
"b_Vpp_Sufficient_smlr",-0.188431271383138,-0.0644763209475913,-0.0217401242192199,-0.0111293780459613,0.0431334381963222,0.0108226616996196,0.121547076466523,-0.0566701993654149,-0.0145389144454417,0.0176500951326256,-0.0190736528637101,-0.0188352220279766,-0.0645656042338505,-0.0098183883864062,-0.0121658424932412,0.0636947868774142,0.0626046321745702,0.0585001676030241,0.0179136145127874,0.0149380897197141,1,-0.00106710696928305,-0.00906512020997752,0.0542576654084457,-0.0340268555697141,-0.00678431957721818,-0.00463488149711078,0.0142420193488955,0.00500837221742786,0.0370193277429978,-0.016943611158337,-0.00481175451236459,0.00353704548693896,-0.00528082770384614,-0.00546734027870221,-0.0216820383065332,-0.00475498031303088,-0.00465981552192185,0.022833760754815,0.0215963312469454,0.0174963469766157,0.00482527527711204,0.00521338863533918,0.332601350024121,-0.000542424454752115,-0.00105158035368889,0.0206398561306492,-0.0115040594282865
"b_Edc_MoreBachelor_smlr",-0.0478939919021431,-0.0170716705355987,-0.100519936744678,0.0259493134457219,0.067547758947835,-0.109419661101553,-0.0530724530296381,0.0725139958262488,-0.0342184393786971,-0.0108900599526661,-0.0507789104369413,0.00744575867427655,-0.020741658350373,-0.0297342787893858,0.000991897943891236,-0.227747746825113,-0.203737594671776,-0.169102714088451,-0.170362550772828,-0.288750384522751,-0.00106710696928305,1,0.0159697422471598,-0.0137683513809036,-0.000714320037968333,-0.034612572086827,0.0107845732924788,0.0207857267396926,-0.0334649652917993,-0.0195387357035194,0.0223920629825651,-0.0125830285182288,-0.00411171455315574,-0.0165767400208424,0.0049067635815863,-0.00629576487915869,-0.0088317452898515,0.00175441900696728,-0.08577603876048,-0.0748895164903163,-0.0595846143704975,-0.0546377775830117,-0.0927956231902203,-0.00102223746922715,0.312303123359222,0.00378701630489489,-0.00235428266763138,0.00237040846454195
"b_Gen_NonFemale_smlr",-0.129944423577072,-0.0473675445595389,-0.0449834661807599,-0.0884577662265351,-0.0736139223146485,0.0723449058228944,0.00669206963067516,0.0468982056382672,0.0174797867112132,-0.123526422295369,0.0692982598962503,0.0169825687830357,-0.0142293843528126,-0.0100690157621569,-0.00910221645147981,-0.0692032603480405,-0.0879198818578219,-0.080870576336988,-0.00422223824794119,-0.013181587723799,-0.00906512020997752,0.0159697422471598,1,0.0242942139936003,0.0336659624233445,-0.0156767364305009,-0.0195212561740384,-0.0181650436875271,0.0257813807042694,-0.00242081756288923,0.0159990734430294,0.00803674759039062,-0.0496559628013465,0.0252995608028052,0.0107989358169566,-0.00405150177879239,-0.00275217130664701,-0.00257114254680412,-0.0222034996341775,-0.0266536850154434,-0.0245760344199079,-0.00328193106542246,-0.00545516153113267,-0.00128903618041495,0.00315370132923621,0.328538310551722,0.00897754940917781,0.0180800399155075
"b_Ngh_NonUrban_smlr",-0.381596023454678,-0.131161248951073,0.0376819911152788,0.0727686098249963,-0.0341168239576904,0.0160083175644271,-0.184506497164858,0.0212491768713257,0.00333884889595424,0.0518588116232925,-0.00386316383794838,0.0116382612143085,0.0869878100195182,-0.00832799658230491,0.0529549355263483,0.0845044361963706,0.070168896187362,0.0317545859370397,-0.0217659244286392,-0.0551201454577864,0.0542576654084457,-0.0137683513809036,0.0242942139936003,1,0.0894415683229628,0.0123347958711296,0.0198497370423602,-0.0082915808766227,0.00342973385523724,-0.0595321603307023,0.00837081765648449,-0.0018397583358564,0.0233241548862112,0.00136034219023705,-0.000304763639531209,0.0286852045410256,-0.00309506638958169,0.0181833966414032,0.0286881238145417,0.0222150375833979,0.00942613090976778,-0.00845580706885793,-0.0194478005795563,0.0202533699591476,-0.000873326525479476,0.00947568699144661,0.34476230040714,0.0280983441915252
"b_Rac_Other_smlr",-0.249964716666969,-0.082343635489846,0.0277664272403563,-0.0418060501684595,0.0383144018703687,0.00934122403854496,0.0656854696065477,-0.0333347412025663,-0.0111829470703173,-0.00877786026601802,0.0280731118901788,-0.0872150069957909,-0.0396545831310937,-0.0507105401636716,-0.0173860175492571,0.0578994922077747,0.055886827283174,0.0870087211307686,0.0219289580959035,0.127193096917207,-0.0340268555697141,-0.000714320037968333,0.0336659624233445,0.0894415683229628,1,0.0064643188275151,-0.0125687596958496,0.0108969264386056,0.00364849760945057,0.0197020620844245,-0.00882364306516335,-0.00180262013391959,-0.00423980830341573,0.00861052772245453,-0.0285274771253311,-0.0138223522603344,-0.0180266972086659,-0.00679315268416751,0.0225935543219221,0.0216172363020051,0.030771675297198,0.00621772454216454,0.0396894032822192,-0.0102360823068653,-0.000739831332727955,0.0116427990188739,0.030721753714624,0.353807926085471
"b_FA1A_grtr",0.011886503712648,0.0364635696204056,0.34265690032369,-0.0301497268381247,0.0596317559934933,-0.0607846093218594,0.0424506979162139,-0.0448334140325369,-0.0244040040620119,-0.0614167780417901,-0.0221895229852507,0.0105898737896015,-0.00658060345884457,-0.00397992658506471,-0.00647962375796017,0.0179844062861064,0.0149040039868817,0.00568752822401275,-0.00722887134377936,-0.0197310037996714,-0.00678431957721818,-0.034612572086827,-0.0156767364305009,0.0123347958711296,0.0064643188275151,1,-0.0871085444272391,0.178483257208097,-0.187859993892746,0.0664032453222526,-0.175794098322606,-0.0389524870470868,-0.207187883930328,-0.0586712510489207,0.00310678015400971,-0.0278174016894995,-0.00748209448879238,-0.0215356403288634,0.0573081124793278,0.0358432385886891,0.0076193629708422,-0.0307925990336183,-0.0639580782302473,-0.0181958697009237,-0.10102455114345,-0.0532689813587428,0.0519730085934479,0.0618140041226178
