"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0229538602856641,0.0104466086230763,0.000173021713606189,5.79255568167921e-05,-0.000254660883539567,0.000271934760568245,0.00020860846168201,-0.00107735603625256,4.00337206534656e-05,-0.000245982743322233,0.000194460019253278,6.59726334913969e-05,-0.00521372532856436,-0.00503212300324589,-0.00563673933688077,-0.0109243488881406,-0.0110033139092562,-0.0116489997436566,-0.00342022702786946,-0.00333435093094827,-0.00215655392221622,-0.000549868477304536,-0.00134401880823047,-0.00423062059506861,-0.00279810169097555,9.14695802371472e-05,8.79464069089356e-05,-0.000106771550157216,0.000130768351621105,7.93140183036e-05,-0.000513991920339314,4.152931071742e-05,-0.00016686212724742,0.000106127433570588,7.64458522563915e-05,-0.0024148619492514,-0.00231344661980652,-0.00258682435030769,-0.00481374114219484,-0.00483317111354183,-0.00509660531520977,-0.00170830335143419,-0.00166049697836436,-0.0010177470256124,-0.0002465272522281,-0.000660699129722096,-0.0020023254544956,-0.00125294916857869
"asc_grtr",0.0104466086230763,0.0435118862346515,9.08036892054153e-05,7.73312246022656e-05,-0.000114493716263015,0.000131292627692584,7.61376965053239e-05,-0.000516405953018784,3.02376981164173e-05,-0.000182648328470358,0.000108480692383735,6.94327307275481e-05,-0.00240416703358836,-0.00231276639136535,-0.00257876840206931,-0.00478438302592329,-0.0048028735575148,-0.00508780565363548,-0.00170132514132164,-0.00165433502896822,-0.0010159765404241,-0.000269854643676862,-0.000674535265269418,-0.00200208204397617,-0.00126908557725574,0.000386329458927343,-0.000269596923603913,-0.000660639623802031,0.000596587585772764,0.000219626370821511,-0.00204305921073377,-0.000332354571635274,-0.000815808471679606,0.000665731178773349,0.00036404556268344,-0.0104621576388314,-0.0104008059690313,-0.011539194811868,-0.0166787924183571,-0.0168162962833032,-0.0182930645776821,-0.00729350371358927,-0.00700232273487858,-0.00470450846750936,-0.00225896235112685,-0.00361281825020539,-0.00819872653930775,-0.00556442158160663
"b_FA1A_smlr",0.000173021713606189,9.08036892054153e-05,0.00132926861786272,-0.000115399231632801,0.00027817721196925,-0.00024840169338609,0.000115743808344031,-0.000160707988005294,-8.57194125420169e-05,-0.000271385350960211,-7.36821459348226e-05,3.50032420644102e-05,-6.77521763087046e-05,-1.49156630315447e-05,-6.14041122258606e-05,0.000242217544061456,0.000194952586781301,7.21184845869124e-05,-6.59192864658397e-05,-0.000187595489774161,-5.98753235809035e-05,-0.00027772086064621,-0.000111964185483273,0.000100533913955106,7.47968474995757e-05,0.000634542253524146,-5.62021843868433e-05,0.000124852085861704,-0.000107733436886785,6.7693865386164e-05,-7.94699970258904e-05,-4.78991263418371e-05,-0.000127412718859889,-3.5107011412607e-05,1.74736423094207e-05,-3.52156288348663e-05,-2.0230992487633e-05,-3.00900758066529e-05,0.00011217335406551,9.52942168784566e-05,4.26113980035001e-05,-3.31710666205905e-05,-9.45573984410855e-05,-2.59303636092908e-05,-0.000135521550552665,-5.4905594019082e-05,4.65950491613942e-05,2.76053953774799e-05
"b_FA2A_smlr",5.79255568167921e-05,7.73312246022656e-05,-0.000115399231632801,0.00139924362390495,-0.000463877079936909,-0.000366371790254604,4.48698223971591e-05,-0.000127795098339805,-2.09803670835626e-05,-0.00018605845062555,5.05654165551114e-05,-9.6760208364732e-05,-7.95937078776062e-05,-0.000121875756535278,-1.35128361900834e-05,-0.000148349917328792,7.30823713033537e-05,0.000441356675431714,-0.000252616999630847,-0.000354692033161317,-3.14482902787376e-05,7.35567377867361e-05,-0.000225892841723324,0.000199187975919408,-0.000115542755830978,-5.72828660189129e-05,0.000646258410110975,-0.000204406276339881,-0.000157323414838728,1.04102218557369e-05,-6.76210564770827e-05,-1.38532434533582e-05,-9.32148232537769e-05,2.83621553668231e-05,-3.44338879812043e-05,-3.96572229681547e-05,-6.27649729763093e-05,-1.45837012674507e-05,-6.22577944634762e-05,4.3027079580157e-05,0.000216166663008633,-0.00012298975736562,-0.000177795757229272,-1.86368776335858e-05,2.97488643645073e-05,-9.90564538288179e-05,8.90712048826805e-05,-2.69759547449737e-05
"b_FA3A_smlr",-0.000254660883539567,-0.000114493716263015,0.00027817721196925,-0.000463877079936909,0.00170330586913959,-0.000273188191119388,-0.000395892518941319,0.00038188162261788,1.10493506542973e-05,5.31038652221733e-05,4.51756588730953e-05,-0.000105926822963052,0.000152381567335842,9.47258578168198e-05,0.000131544967638684,3.7749815164723e-05,8.20201130281483e-05,2.85572417745185e-05,-9.3341838122013e-07,0.000113161913878525,0.000134474480503222,0.000211255092219872,-0.000207408290687184,-0.000103035596088682,0.000116832935207404,0.000125002474022586,-0.00020339737406287,0.000762754849340254,-0.000118837650875031,-0.000187079636999165,0.00017372829524168,5.70511507182138e-06,2.46202489347566e-05,2.17675631999491e-05,-4.11559383512654e-05,6.39110867285935e-05,4.8392013255116e-05,5.5013495079865e-05,1.9054940230829e-05,4.34762962495166e-05,1.14218636910921e-05,1.49472942308084e-07,4.95690861729846e-05,6.77184275334272e-05,9.46000643074077e-05,-8.63698925253789e-05,-4.13237467255375e-05,6.43740904183953e-05
"b_FA4A_smlr",0.000271934760568245,0.000131292627692584,-0.00024840169338609,-0.000366371790254604,-0.000273188191119388,0.00127916968427203,0.000137726881298538,-0.000164634097143949,-4.01210846645736e-05,-3.35043993463217e-05,-8.20091195627613e-05,6.3058812376909e-05,1.48618095121095e-05,-2.06599626327632e-05,-2.29946107897241e-05,-1.13840819870185e-05,-6.82197749889883e-05,-0.000170772343637047,-0.000140999098242572,-0.000358646221919935,2.92400182078177e-05,-0.000296557808982199,0.000176641143359282,4.18969243029483e-05,2.46845255059729e-05,-0.000110421183507516,-0.000159693073368814,-0.000120874905279548,0.000566491408009143,5.93452036148147e-05,-7.45389578510932e-05,-2.10020746226971e-05,-1.387516150917e-05,-3.81800981466337e-05,3.57602636454622e-05,6.85059926414491e-06,-1.81639867246672e-06,-1.05965808935777e-05,5.8964241677227e-06,-1.63181004889137e-05,-5.74698625019764e-05,-6.96820491760805e-05,-0.000171485581807021,2.0242839956488e-05,-0.000145375032483964,8.79733691221307e-05,1.77780016489649e-05,2.05226128307742e-05
"b_FA5A_smlr",0.00020860846168201,7.61376965053239e-05,0.000115743808344031,4.48698223971591e-05,-0.000395892518941319,0.000137726881298538,0.000953258617454161,-0.000123582281497326,0.00012181829166796,-6.30859891268814e-05,-3.10611068409081e-05,-8.19081330277941e-05,0.000207175423053039,6.24930125987285e-05,-9.27179201008934e-05,5.27912893537513e-05,3.5600831192759e-05,9.59522880063631e-05,-0.000175868909323263,-0.000278717346124772,0.000283484529757863,-0.000124172221598455,1.41054080270593e-05,-0.000416859214520404,0.000149841321733193,6.65709712916253e-05,2.14918465803253e-05,-0.000184840154791118,6.2156709420443e-05,0.000457768371269328,-5.16042889305648e-05,5.77449845604922e-05,-2.89185074341849e-05,-1.42413937719346e-05,-3.73522180090954e-05,9.56887677885994e-05,2.72052641051037e-05,-4.75807310856825e-05,2.46118386586774e-05,1.58888318630151e-05,5.28923493948256e-05,-8.59352780850677e-05,-0.000132704580353552,0.000127720091224668,-6.13561436301383e-05,4.30860568997925e-06,-0.000200974420536392,7.86358850346734e-05
"b_FA6A_smlr",-0.00107735603625256,-0.000516405953018784,-0.000160707988005294,-0.000127795098339805,0.00038188162261788,-0.000164634097143949,-0.000123582281497326,0.0011678852300603,-2.45195060661711e-05,-0.000182040858571599,-6.03875775448934e-05,-6.07348920071825e-06,3.13427485070326e-06,1.05061926843053e-06,-3.47331640564151e-05,0.000236434264187867,0.000528255918801309,0.000923874574149021,0.000395550022735744,0.000748292462810782,-0.000146296622504163,0.000187789731154345,0.000109414817929404,5.31391454963127e-05,-8.41693720098831e-05,-7.78209598563077e-05,-6.84241619887338e-05,0.000172060289939754,-7.44830685222822e-05,-4.95443273471534e-05,0.000555662627840122,-1.09540060151212e-05,-8.16020539458345e-05,-2.89543768082948e-05,-2.96761338355451e-06,2.28496815639595e-06,1.33126408030964e-05,-7.33429236293353e-06,0.000111770265230195,0.000245272709891782,0.00043095784087682,0.000193071757099196,0.000354837424057911,-6.20954202201964e-05,8.01403939471711e-05,5.28294910220891e-05,2.85396338146446e-05,-3.18256268315303e-05
"b_FA1H_smlr",4.00337206534656e-05,3.02376981164173e-05,-8.57194125420169e-05,-2.09803670835626e-05,1.10493506542973e-05,-4.01210846645736e-05,0.00012181829166796,-2.45195060661711e-05,0.0013898251570313,-0.000657870178958805,-6.90172002852086e-07,1.60823206200657e-05,-8.40570303871729e-05,4.91973827268774e-05,-5.55499866518825e-05,2.04824282636154e-05,-8.239478183231e-06,-2.44849219689664e-05,3.6797114935851e-05,3.4662979693579e-05,-4.09441200131406e-05,-9.66696625774397e-05,4.44872997061692e-05,9.10854946494645e-06,-3.08030180046524e-05,-4.62099886293566e-05,-8.83376003782811e-06,5.24139805105218e-06,-2.00883761572288e-05,5.50053406592317e-05,-1.12026829330871e-05,0.000682461506399921,-0.000314426493175967,-3.45027459114371e-06,7.12139671055074e-06,-4.7601113384148e-05,2.43262943496765e-05,-3.24189890175598e-05,-2.27932754566884e-06,-1.19713758089549e-05,-2.30606178321652e-05,1.47909399255833e-05,1.77468353733791e-05,-1.8639051556723e-05,-5.29799294285802e-05,3.25129777687869e-05,-6.37654867427044e-06,-1.41432886745807e-06
"b_FA2H_smlr",-0.000245982743322233,-0.000182648328470358,-0.000271385350960211,-0.00018605845062555,5.31038652221733e-05,-3.35043993463217e-05,-6.30859891268814e-05,-0.000182040858571599,-0.000657870178958805,0.00164471700312832,0.000211586272678658,-0.000139833722685227,-7.13909700702721e-05,-3.28440018101567e-05,-3.34173384301725e-06,0.000114661689211287,0.000351287354268476,0.000600273773656821,2.90676778914066e-05,0.000113812080949947,5.40719607221228e-05,-3.34676933968235e-05,-0.000341999354678916,0.000153900674595289,-2.6302145157973e-05,-0.00012651071471378,-7.12102048411835e-05,3.45342629438019e-05,-5.38402365637228e-06,-3.14896788676029e-05,-8.11126849488185e-05,-0.000309038506419245,0.000774094888849684,0.000104269446450306,-6.46354438950388e-05,-2.64557620437109e-05,-5.38364247164774e-06,-6.72716004282034e-06,6.41106669783264e-05,0.000184688186669799,0.000314178235063079,-1.40354538198452e-06,3.94920238187009e-05,1.08763253969843e-05,-9.1025333634547e-06,-0.000169107422325235,8.51898707731485e-05,1.42032606103932e-05
