"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.3082336956248,0.0174573044464772,0.0197543211424435,-0.0395261560360854,0.0425886427584798,0.0480756085811917,-0.20299418841873,0.0145555413724415,-0.0305902284660565,0.0410008328563519,0.00578614456522357,-0.318137782117664,-0.302185480072798,-0.389657200595353,-0.599741667188631,-0.583820197177362,-0.575266614249452,-0.235027130067461,-0.225806201828444,-0.186433841509061,-0.0496494816528306,-0.121601432540014,-0.384302549602217,-0.26500513737807,-0.00299723693540594,0.0124221388479619,-0.0051769773341246,0.0167090712923838,0.0164998794719112,-0.0702179568954875,0.0153426736952556,-0.0223610087839439,0.0273262414929186,0.00553195061567231,-0.10247295315835,-0.0908769310948222,-0.122639610977248,-0.211855537032652,-0.196937336203817,-0.190001013267713,-0.0836058988157175,-0.0828969031789233,-0.0589789011790327,-0.000878854835422465,-0.0400215381826813,-0.135677274693568,-0.0709572221756848
"asc_grtr",0.308233695624799,1,-0.00310037784035735,0.00972280368137806,-0.00840401969414556,0.017063555115288,0.0128772144870761,-0.0704271227952835,0.0104015149633353,-0.0242932747293939,0.0292060790471242,0.00329135385182292,-0.099179059161352,-0.0919482877480307,-0.119757176170597,-0.180627411437547,-0.173527715474906,-0.177399358703478,-0.084449678250335,-0.0813047089898839,-0.0606085275114718,-0.00731129122226848,-0.0416633947568302,-0.124833134937914,-0.0709953125800311,0.037251911302285,-0.0300431688347987,-0.0949779493532828,0.045526380968703,0.0203351474231978,-0.239754572123394,-0.0318113676521106,-0.0902371342338601,0.104046974741354,0.0983970777970686,-0.33948382628335,-0.336600601662272,-0.439506277844996,-0.567069570530851,-0.555934193894668,-0.547740955666409,-0.286675181665901,-0.243284900694978,-0.216933543346912,-0.0617878949763776,-0.194753875400997,-0.403098125428202,-0.227326413784544
"b_FA1A_smlr",0.0174573044464769,-0.00310037784035704,1,-0.0791920394627661,0.187148824385698,-0.18481238302483,0.100664375656526,-0.135228692039449,-0.0660298742230288,-0.202128246420489,-0.0645936832689547,0.00608559990026538,-0.0222468001411756,0.00398299038456377,-0.0190338162971095,0.057421838344983,0.047496284551573,0.0213159019966853,-0.0224041550876176,-0.0678185605344222,-0.00563500056334945,-0.0940638154386409,-0.0483266302830668,0.0661979323994529,0.0237480642191494,0.338376387740304,-0.0271989755782358,0.0582481921958605,-0.070498333822818,0.0199462709879122,-0.0330312053646638,-0.0229248185437716,-0.0472590597467119,-0.00996824543300394,-0.00534625774978594,-0.00676131446813715,0.00787991041284793,0.0031922424502193,0.0309350735558855,0.0270590683381447,0.0156155533707032,-0.00504448122900771,-0.0156932071811106,-0.0185436649830796,-0.0284467553204701,-0.0298194210857801,0.0195904484295453,0.0147079026477869
"b_FA2A_smlr",0.0197543211424434,0.00972280368137943,-0.0791920394627661,1,-0.298682027443459,-0.272694004172048,0.0379927901031437,-0.118378821590345,-0.0287122463567015,-0.123490002187109,0.0399525826920985,-0.0916455177350909,-0.0262002887417477,-0.0392126389304157,-0.00719704627730543,-0.0303417516799436,0.0194747238342723,0.0800008099602815,-0.0769686394578081,-0.0966605075078737,-0.0101112358185558,0.00342932237825989,-0.0939400652053352,0.0660127000050208,-0.0305047671971953,-0.0342229943758506,0.290251018614649,-0.0795985159459031,-0.0672957527832113,0.0140417915135728,-0.0465432363691236,0.00255293677530585,-0.0530132678265439,0.0185204384411208,-0.0205536181651142,-0.00796219465161885,-0.0118167994904105,-0.00895597918861419,-0.0175024232244443,0.00132804881230729,0.0153463987456175,-0.0125039876884916,-0.0253605592217562,0.000870575236932127,-0.00936477236785251,-0.0126147207856628,0.0286871214303317,-0.00109856627635957
"b_FA3A_smlr",-0.039526156036085,-0.00840401969414611,0.187148824385698,-0.298682027443459,1,-0.177221888472278,-0.318600418209157,0.285274053120081,0.00768618537269832,0.00691401563565501,0.0371994459541805,-0.0983969300221638,0.0345150546882516,0.0233177084572339,0.0299826398951032,0.00603030276565775,0.0146569426850902,0.00783663544420959,0.00371771184441423,0.0318131866186556,0.0389535084583188,0.0661244860713101,-0.0717517971556356,-0.0297112536820894,0.0291255963653473,0.0661463774104047,-0.078633841637388,0.271682542368194,-0.0432588886783652,-0.0977821485511536,0.0740958003111801,0.00924279717260962,0.00947527902732916,-0.00147048909056594,-0.00930762531974404,0.00130815545070995,0.0169315229274875,0.0130622167160627,0.00737608348160038,0.00932258454498814,0.00541397876902779,-0.0081884602718634,-0.00176473578542205,0.0178151207782834,0.00717411871982305,-0.0296074655789347,-0.00273500994456437,0.017652243801321
"b_FA4A_smlr",0.0425886427584795,0.0170635551152878,-0.18481238302483,-0.272694004172048,-0.177221888472278,1,0.122892524735228,-0.13495559811129,-0.0370827620276969,-0.00151607989715454,-0.0638127918360096,0.0678920145444075,-0.0151917788055789,-0.0157323693107,-0.0223064009133043,0.0109921366073119,-0.00289198170903702,-0.0154951880146894,-0.0424794234632066,-0.101474121478779,0.0161413202615017,-0.10405069515967,0.065301823246402,0.00986123895998425,0.0222631468777404,-0.0781878235176911,-0.0671603579487075,-0.0430640620805151,0.284477966710842,0.0288264716281613,-0.0335036853547879,-0.0088538862827487,-0.00744498300152172,-0.0195125342114899,0.0224443042699972,-0.000540191742880967,0.00498208766232427,-0.000223445661552566,-0.00262524783046266,-0.00708082013960699,-0.00964934317997595,-0.00811907884175599,-0.0279111173125002,0.00605904967318603,-0.0385567431421525,0.0203213022607367,-0.000389380488049671,0.00743310383538888
"b_FA5A_smlr",0.048075608581191,0.0128772144870761,0.100664375656526,0.0379927901031436,-0.318600418209157,0.122892524735228,1,-0.120560425885421,0.100339547103399,-0.0500478841617377,-0.0253438240772092,-0.100779767814458,0.0463312540411774,0.0143527845233295,-0.0500046281966601,0.0192766123841412,0.000885540131971711,0.0216511117604684,-0.0648828005635156,-0.09665189605967,0.132947960905508,-0.0460133584854095,0.00706225608929118,-0.182591845921647,0.0554482192081223,0.0265826030964832,0.0211743089517007,-0.0890300720292497,0.0245652960762974,0.330615349497655,-0.0288623748491901,0.0241880210952571,-0.0177762070851407,-0.00616100284037907,-0.0442619844106045,0.020206369111687,0.000654667546963207,-0.0224569939185359,0.002437509041995,-0.0100922787593884,0.000950142162885904,-0.0238333133870383,-0.0219280986158208,0.02744912013274,-0.0114025715015418,0.00580783355503394,-0.0622378695204583,0.0216996492725222
"b_FA6A_smlr",-0.20299418841873,-0.0704271227952841,-0.135228692039449,-0.118378821590345,0.285274053120081,-0.13495559811129,-0.120560425885421,1,-0.0158093792543882,-0.139399366099572,-0.067176906428803,-0.011975190327017,0.00647977892464876,0.0142859840504494,-0.00160627334845738,0.0492400676476829,0.112535795207391,0.190844890197043,0.130515923552674,0.230405285931956,-0.0480584012865622,0.0768548875027962,0.0466879835416728,0.0129652825628503,-0.0434838855521016,-0.0364577556403488,-0.0421858286565504,0.0648798147409031,-0.0301723009389665,-0.0289027413190528,0.332966570310966,-0.00958325333901344,-0.0461155925640454,-0.0346231096963177,0.00886515973812783,-0.0146857254035908,-0.00272753902530471,-0.0182085150932901,0.0312812233517715,0.0432372731203999,0.0739070992174952,0.0520616086062488,0.0839082921442032,-0.0104306421465533,0.0185764042851618,0.0162055231421481,0.00997747355042779,-0.0102069326470897
"b_FA1H_smlr",0.0145555413724415,0.0104015149633351,-0.0660298742230287,-0.0287122463567016,0.00768618537269837,-0.0370827620276969,0.100339547103399,-0.0158093792543881,1,-0.417309330074908,0.0197178004412323,0.012798913739579,-0.012509446084633,0.0110014563131995,-0.014402275453359,-0.00909106001274643,-0.0161422306543556,-0.0199656152199152,0.010798335962588,0.0075145685908593,-0.0286384438713533,-0.0247773594404198,0.0174666161398603,0.00511777514706858,-0.0136937503876609,-0.0253990146595653,0.00543830006273616,0.00883162216055529,-0.0076297108299169,0.0264070894007122,-0.0109562681810434,0.308469973579695,-0.142386010443328,-0.00370176444145702,0.000586783950954153,0.00610348130264899,0.009133524273618,-0.00475872625223579,-0.0163574735387418,-0.0114195776628666,-0.0192576294530229,0.00336361396169147,0.00130440316706345,0.00112539058821295,-0.0137365044982741,0.00442578589798694,0.00113134442810847,-0.00552156249264417
"b_FA2H_smlr",-0.030590228466057,-0.0242932747293947,-0.202128246420489,-0.123490002187109,0.00691401563565506,-0.00151607989715458,-0.0500478841617378,-0.139399366099571,-0.417309330074908,1,0.167740063526742,-0.118902387903949,-0.0293631574217025,-0.0118671043162813,-0.00477997106850903,0.0131517553053996,0.0570666686376007,0.100525115122926,0.00855844745727245,0.0472984773192273,0.0182462758287929,-0.0196047509640537,-0.119172736442815,0.0434174488342295,-0.000186408543819083,-0.0440926591361283,-0.0375098460236415,0.0207643115910586,-0.00861739074602697,-0.0248969318715829,-0.041749110806459,-0.127052349533894,0.317054125039545,0.0323154579400501,-0.0264913221955634,-0.012831089880655,0.00352504038532793,-0.00176495225305872,0.0118592441961234,0.0259903816493916,0.0459659068529659,-0.00756643117463657,0.00294498627394724,0.0143587923579847,0.00632116607766862,-0.0323049052392754,0.0184683838642813,0.007434406543314
