"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0228787011410808,0.0103079071042618,9.6245984728904e-05,0.000111825672278026,-0.000246335242181408,0.000229218714586831,0.000224566664175125,-0.0010488415216991,8.2325812283369e-05,-0.000185227973333582,0.000195688633774402,2.51438009499217e-05,-0.00499332211222897,-0.00478703721123937,-0.00531330519856215,-0.0112557660208361,-0.0112511028850829,-0.0117865182681958,-0.00315218178323303,-0.00316383472215256,-0.0021276590433905,-0.000569316280593998,-0.00125731200343891,-0.00427117154807552,-0.00296026999099184,-2.24705367734636e-05,0.000110730183016166,-4.94847692067685e-05,0.000140844083580489,0.000112505416893907,-0.000523009921663434,0.000132621358126776,-0.000189290452839389,0.000192778127172171,3.62161125827374e-05,-0.00223687908264091,-0.00202852059014585,-0.00237469443118257,-0.00516052121627871,-0.00506227596976765,-0.00552312552052964,-0.00162942352068402,-0.00168259480129131,-0.000949992778944238,-1.55201501036853e-05,-0.000581676739180733,-0.00204892450191929,-0.00113291373208859
"asc_grtr",0.0103079071042618,0.0488820487704288,-2.49849840172642e-05,8.04507212864052e-05,-7.65575536028987e-05,0.000134240885970758,8.79227866083915e-05,-0.000531894171085081,8.59930349896822e-05,-0.000215015086560088,0.000203753555606123,2.09062068334046e-05,-0.00227537684956051,-0.00212909908969616,-0.00238694614758102,-0.00495511239095939,-0.00488814238056976,-0.00531284843094744,-0.00165558039177692,-0.00166514723017861,-0.00101104395188355,-0.000122543981046229,-0.00062967730626801,-0.00202797521799695,-0.00115921961834854,0.000408225329893479,-0.000391448284615309,-0.00132701884858823,0.000560929708292817,0.000202674450454302,-0.00261028335565626,-0.000401933107416898,-0.00111655887988562,0.00107291750094112,0.000941596326232773,-0.0108320676057552,-0.010982461084687,-0.0124394468774203,-0.0201905946257165,-0.0208881588779372,-0.0232735819353373,-0.00816669195851373,-0.00721797558983175,-0.00510751151522019,-0.00159492838677621,-0.00413745274492026,-0.00889792294268188,-0.00530529030657288
"b_FA1A_smlr",9.62459847289026e-05,-2.49849840172618e-05,0.00132855489424118,-0.000108027668950046,0.000281062652660229,-0.000239696343480622,0.000113310556026066,-0.000168371733799794,-8.99957914463356e-05,-0.000294934061723879,-7.42911431872588e-05,6.37263603606392e-06,-8.41426055186909e-05,1.52046538628864e-05,-6.25434737969376e-05,0.00025969404763887,0.00022057164788243,0.000105243224874482,-7.24095580791792e-05,-0.00022898158591377,-1.54969174012257e-05,-0.000259917514016185,-0.000120410664590803,0.000177293267200357,6.39262624187427e-05,0.000611317023919915,-5.84246682104446e-05,0.000134168883499608,-0.000143198747168329,3.2773924258323e-05,-5.92871030826194e-05,-4.77520915349529e-05,-9.64043129673943e-05,-1.69461343956281e-05,-8.4342699890618e-06,-3.55662814327592e-05,4.23858714793943e-05,1.48952194926911e-05,0.00018158458211866,0.000167611829455727,0.000109385673315618,-2.36912317126354e-05,-7.67585944352595e-05,-7.19769216963948e-05,-0.000121055793047199,-0.000104438637590182,7.12914242183833e-05,5.65880920426145e-05
"b_FA2A_smlr",0.000111825672278026,8.04507212864166e-05,-0.000108027668950047,0.00140064298598018,-0.000460573664713615,-0.000363144862651157,4.39106360841988e-05,-0.000151338115807924,-4.01811975180342e-05,-0.000185013617767936,4.71808569006962e-05,-9.85373597806099e-05,-0.000101748602712452,-0.000153697684159515,-2.42819966340642e-05,-0.000140896279894577,9.28614223351568e-05,0.000405563432486939,-0.000255420123185986,-0.000335100469280258,-2.85515419293387e-05,9.72960570900768e-06,-0.000240327390342565,0.000181530368060827,-8.43126592097658e-05,-6.34831429363492e-05,0.000640164274307074,-0.000188255771261321,-0.000140353095243348,2.36898998536395e-05,-8.5776112627683e-05,5.46009909284403e-06,-0.000111037566812955,3.23278752253023e-05,-3.3293531506491e-05,-4.30045184990244e-05,-6.52639983408161e-05,-4.29079818309776e-05,-0.000105487250517513,8.44655935504021e-06,0.00011037825331899,-6.02967134551433e-05,-0.000127364414857332,3.4695885791388e-06,-4.09189083370146e-05,-4.53642364931059e-05,0.000107189898334821,-4.33984822270561e-06
"b_FA3A_smlr",-0.000246335242181405,-7.65575536029037e-05,0.000281062652660229,-0.000460573664713615,0.00169766725232721,-0.000259826974275995,-0.000405394116768017,0.00040151256706268,1.18421107626736e-05,1.14041997273432e-05,4.83637532845526e-05,-0.000116475290277955,0.000147568445521939,0.000100621243847709,0.000111368540525642,3.08290792754011e-05,7.69431520111184e-05,4.37377673765413e-05,1.35824959918142e-05,0.000121421529252158,0.000121097302186676,0.000206543626117994,-0.000202091364759535,-8.99508620108567e-05,8.86262674262962e-05,0.000135085594551603,-0.000190936841890204,0.000707404179177812,-9.93281295983867e-05,-0.000181619652431301,0.000150337019208746,2.17633851662136e-05,2.1849420801091e-05,-2.82585754431427e-06,-1.65986601277778e-05,7.77863179137469e-06,0.00010295143247603,6.88976576893708e-05,4.8942953665617e-05,6.52776770429424e-05,4.28702629771749e-05,-4.3472028938454e-05,-9.7573420894022e-06,7.81669202281953e-05,3.45110309321315e-05,-0.000117219470927804,-1.12509283068336e-05,7.67733966808254e-05
"b_FA4A_smlr",0.000229218714586829,0.000134240885970756,-0.000239696343480622,-0.000363144862651156,-0.000259826974275994,0.00126613839987023,0.000135042625014311,-0.00016403709865722,-4.93406246280406e-05,-2.15958772894928e-06,-7.16482480824655e-05,6.94041201476067e-05,-5.60928968973483e-05,-5.86289681680722e-05,-7.15544203087587e-05,4.85308456157534e-05,-1.31110185014351e-05,-7.46858144085571e-05,-0.000134028383252929,-0.000334470739101464,4.33352441108089e-05,-0.000280678261760765,0.000158838064056043,2.57828035501061e-05,5.85043944430707e-05,-0.000137897503154965,-0.000140834010967801,-9.68356308096072e-05,0.000564104857070237,4.62390664122989e-05,-5.87055590016764e-05,-1.80040939144364e-05,-1.48260662376132e-05,-3.23829522802125e-05,3.45664351052882e-05,-2.77399775439626e-06,2.61614638019064e-05,-1.01782661715935e-06,-1.50435025698918e-05,-4.28179852545033e-05,-6.59859777447531e-05,-3.72244874995774e-05,-0.000133273365750945,2.29590042060045e-05,-0.000160178425560148,6.94807286050163e-05,-1.38330496970454e-06,2.79187096856085e-05
"b_FA5A_smlr",0.000224566664175121,8.79227866083918e-05,0.000113310556026066,4.39106360841988e-05,-0.000405394116768018,0.000135042625014312,0.000953695271027296,-0.000127180395974188,0.000115869445817185,-6.18726487110364e-05,-2.46964312215134e-05,-8.94137141068354e-05,0.000148469593991314,4.64214292324348e-05,-0.000139213512405556,7.38636357022898e-05,3.48428250769701e-06,9.05702772204455e-05,-0.000177669130381574,-0.000276488729172153,0.000309776235604832,-0.000107723870682606,1.49086034848253e-05,-0.0004143279776946,0.000126460170822414,4.06891867667947e-05,3.85361226857744e-05,-0.00017374853131831,4.22763447882789e-05,0.000460261667088424,-4.38917537081324e-05,4.26876151994816e-05,-3.07231365359269e-05,-8.87397898135899e-06,-5.91620957413954e-05,9.00555888033528e-05,2.98356643295954e-06,-8.87805278659047e-05,1.21224141199516e-05,-5.29658720832968e-05,5.63906004067675e-06,-9.48354297235896e-05,-9.08722630407536e-05,9.02695311878511e-05,-4.11121990028922e-05,1.7234203402601e-05,-0.000191894573742651,7.07362580519703e-05
"b_FA6A_smlr",-0.00104884152169911,-0.000531894171085086,-0.000168371733799794,-0.000151338115807924,0.00040151256706268,-0.00016403709865722,-0.000127180395974188,0.00116686649416901,-2.01937688853265e-05,-0.00019062486774171,-7.24082122320934e-05,-1.17521946630108e-05,2.29683302863699e-05,5.11091047462118e-05,-4.94648176322681e-06,0.000208700926507448,0.000489780586653303,0.000883063230625238,0.000395322615880112,0.000729063343208678,-0.000123862974986962,0.000199023920946192,0.000109019551183102,3.25424793090058e-05,-0.000109698395533666,-6.17272889059433e-05,-8.49241336231715e-05,0.000140055377608755,-5.74367197631528e-05,-4.45068235268653e-05,0.00056008929710596,-1.87076955543409e-05,-8.81617116991039e-05,-5.51618507171931e-05,1.31070514631224e-05,-7.23974986818996e-05,-1.37496499930311e-05,-7.962444205663e-05,0.00017208078559618,0.000250998401692975,0.000485188004784554,0.00022914455711396,0.00038462810906607,-3.79428173452549e-05,7.4085860074963e-05,5.31919459075854e-05,3.40278360615486e-05,-3.68036071753039e-05
"b_FA1H_smlr",8.23258122833693e-05,8.59930349896808e-05,-8.99957914463354e-05,-4.01811975180342e-05,1.18421107626737e-05,-4.93406246280407e-05,0.000115869445817185,-2.01937688853264e-05,0.00139824719761644,-0.000624680925663995,2.32652479580216e-05,1.37496314711877e-05,-4.85387635802824e-05,4.30843638931982e-05,-4.85500258617484e-05,-4.21795221060204e-05,-7.69052211881092e-05,-0.000101128917040622,3.58035746422595e-05,2.60290472223574e-05,-8.0798444022612e-05,-7.02376870871338e-05,4.46467080708953e-05,1.40614868879955e-05,-3.78160124921477e-05,-4.70744805012207e-05,1.19842014600881e-05,2.08695008679412e-05,-1.58990315357122e-05,4.45132693994213e-05,-2.01744028675499e-05,0.000659176346235862,-0.000297975759707223,-6.45599120790716e-06,9.49681680022366e-07,3.29372374542293e-05,5.04011506272277e-05,-2.27794895618372e-05,-9.85022773302717e-05,-7.25678232757002e-05,-0.000138391086302224,1.62061369098763e-05,6.54529728456441e-06,4.48129157345139e-06,-5.99696203651242e-05,1.59021050319507e-05,4.22367003889548e-06,-2.17940791340714e-05
"b_FA2H_smlr",-0.000185227973333586,-0.000215015086560094,-0.000294934061723879,-0.000185013617767935,1.14041997273433e-05,-2.15958772894934e-06,-6.18726487110365e-05,-0.00019062486774171,-0.000624680925663996,0.00160256754595086,0.000211885976742565,-0.000136749175168246,-0.000121974648756526,-4.97542815856151e-05,-1.72504255715228e-05,6.53261468987035e-05,0.000291065673576681,0.000545109099225289,3.03795079437645e-05,0.00017539514632326,5.51117256975216e-05,-5.94966760946314e-05,-0.000326117249918561,0.000127711656905475,-5.51106244989439e-07,-8.7488536387893e-05,-8.84926924442987e-05,5.25297473447985e-05,-1.92244786703392e-05,-4.49294375086997e-05,-8.23003075303157e-05,-0.000290661568102279,0.000710335001736507,6.03365756493924e-05,-4.59007372227008e-05,-7.41291964401419e-05,2.08248726285955e-05,-9.04487188369151e-06,7.64545347164888e-05,0.000176816546409297,0.000353636690836168,-3.9028389989096e-05,1.58203832502496e-05,6.12116422602643e-05,2.95439432632719e-05,-0.000124265016365308,7.38142525423827e-05,3.14151422784472e-05
