"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.332936832037371,0.0216867413798438,0.0083854593385535,-0.0211601826621312,0.049335484538389,0.0266242575485413,-0.230673669328229,-0.00295843044923837,-0.0435881471143762,0.0319994042520267,0.0213164122850582,-0.202070399663124,-0.164127198902602,-0.173122355691812,-0.629933937777163,-0.616929359679475,-0.611122587952818,-0.277348803036905,-0.282331915415345,-0.21018820758074,-0.0508189813256677,-0.145417924672253,-0.375789116060926,-0.279650442010944,0.00859727275054972,0.00860489853109787,-0.00598836284065265,0.0153339266381569,0.00548976914278362,-0.0763404383406301,0.000886712000613181,-0.0218313819131724,0.0118867932821054,0.0146896290472568,-0.0636259309647121,-0.0525704702701429,-0.0554257182696072,-0.217146532951999,-0.204183359654278,-0.192263089674733,-0.0928620923443949,-0.0951605635222764,-0.0702804523424388,-0.0138229502974233,-0.0499228149743254,-0.129453820476139,-0.0898921297399132
"asc_grtr",0.332936832037371,1,0.00867087769244041,0.00873205860928229,-0.00751565463731695,0.0175785508442072,0.00480882502183592,-0.0798505841463752,-0.000303453393067869,-0.0243346825465164,0.013696983085159,0.0150494463810522,-0.0664903958552917,-0.0543979415283922,-0.0579026014841748,-0.203429754486122,-0.197902061972056,-0.197190778105523,-0.0999298530606437,-0.101121639232834,-0.0731811382583478,-0.0173922414631302,-0.0532017325438284,-0.130414613903205,-0.0940237484531111,0.0252631237412686,-0.0284545802080638,-0.0288492109524252,0.0482504322444272,0.000449478422440549,-0.222669008545724,-0.0332638529767,-0.0750195608436322,0.0707468389525662,0.0400567945375261,-0.197381756451714,-0.178204682738818,-0.173116832100286,-0.539937899501531,-0.509515319233324,-0.494461333398104,-0.300333807203736,-0.307961100442018,-0.235176067474788,-0.0989639312018017,-0.188704161491161,-0.371357111664015,-0.28537765361488
"b_FA1A_smlr",0.0216867413798438,0.00867087769244041,1,-0.0846010763956279,0.18486714718031,-0.190488184559999,0.102800161923476,-0.12898082942406,-0.0630620955846226,-0.183540484779964,-0.0642832730057437,0.0335690558870252,0.0185834448730118,0.0141907888595301,-0.00196121753618364,0.0546781587673207,0.0427712941640452,0.0147716275116776,-0.0203536150663095,-0.0554608173514134,-0.0217399967259097,-0.100516098009138,-0.0449822977345032,0.0376881035433837,0.027777886239539,0.342623934278914,-0.0269326843687723,0.0535491361285027,-0.0537917362586686,0.0408747719174369,-0.0449964293595033,-0.0230146862447954,-0.0641959427957965,-0.0210472313534145,0.011296906278116,0.0064503801342607,0.00214668501001386,-0.00111263481934117,0.0197389904406993,0.0157383915642802,0.00622958296593399,-0.00699578513438059,-0.0193645411293077,-0.00662461155043511,-0.0324218363511251,-0.0155565836751797,0.0127041676088777,0.00721062532758289
"b_FA2A_smlr",0.0083854593385535,0.00873205860928229,-0.0846010763956279,1,-0.300474677788,-0.27384566401824,0.0388334930732046,-0.0999582597661813,-0.0150485703047984,-0.122656340886386,0.0430051564279186,-0.0904034128465627,0.0039846840834092,-0.032218972583873,-0.0199611778440249,-0.0326067007267496,0.0156586419651919,0.0881118967090891,-0.0760375129217541,-0.102214318671158,-0.011131036089673,0.0259378802865606,-0.0884620396774602,0.072771159352272,-0.0417882939144555,-0.0301397195673311,0.301874493371844,-0.0854489460439286,-0.076559979448226,0.00611140821817867,-0.0373251806603482,-0.00648601213769422,-0.0457701118389981,0.0165734848939677,-0.0216946656924201,0.00304378731930954,-0.0102125782234861,-0.0053146078708903,-0.0106581839365915,0.00694144446457137,0.0307893885110623,-0.0252889067524129,-0.0354889630391345,-0.00464482043049034,0.00693069184390258,-0.0273608343071932,0.0236634540669454,-0.00686163355277362
"b_FA3A_smlr",-0.0211601826621312,-0.00751565463731695,0.18486714718031,-0.300474677788,1,-0.185074246544082,-0.310698268948978,0.270761822664108,0.00718370081516627,0.0317252504690811,0.0348263949903984,-0.0897142866936804,-0.0351552969166906,-0.00992282313731662,0.00570694609526166,0.00754136616754803,0.0159103468990824,0.00517857266035443,-0.0002602862957187,0.0295483324406306,0.0431344087166781,0.0675501640308905,-0.07361432212005,-0.0341172792152946,0.0383202159915907,0.0596202186804659,-0.0861093857374545,0.289020520839602,-0.0524194138165977,-0.0997979340882889,0.0869011601764437,0.00241956958232224,0.0109611954136954,0.0115311645826296,-0.0234990761295646,-0.0104104778843336,-0.00127336396891276,0.00170939008872708,0.00297064949608879,0.00635063748278338,0.00148235654714904,2.90044057399218e-05,0.00896703718334901,0.0152931755827971,0.0199939602502849,-0.0216206904154124,-0.00995212864427275,0.0148602664970901
"b_FA4A_smlr",0.049335484538389,0.0175785508442072,-0.190488184559999,-0.27384566401824,-0.185074246544082,1,0.124722206202649,-0.134703112119617,-0.0300919230407212,-0.0230990195478281,-0.0729430781550295,0.0616184062777599,0.00708857921733749,0.000729160325049842,0.0119647621164583,-0.00261122539308705,-0.0152490458124656,-0.0356380096440986,-0.0443821978719201,-0.108087654527857,0.0108163665833919,-0.109424464699453,0.0723398081500932,0.0160055910399689,0.00934808141290354,-0.060771872178124,-0.0780109751100937,-0.0528487599396684,0.288344961621173,0.0365245776879042,-0.043024503527169,-0.0102823630880167,-0.00712755904377601,-0.0233399662221221,0.0235611119884428,0.00231552134045924,0.00195124167131003,0.0038706026628566,0.00106326216490949,-0.00273982344250668,-0.00855082379897716,-0.014983684138682,-0.0357992536086677,0.00526944459558517,-0.0354588763319795,0.0254118273068005,0.00493991010826888,0.00547108833106435
"b_FA5A_smlr",0.0266242575485413,0.00480882502183592,0.102800161923476,0.0388334930732046,-0.310698268948978,0.124722206202649,1,-0.117126164834524,0.105833719246662,-0.0503687898280303,-0.0320156880110609,-0.0927379594809717,0.0331212947525358,0.055912606222434,0.109745620851165,0.0140671835311855,0.00921150526901699,0.0231914992761934,-0.0641166968040393,-0.097286273103353,0.12155489843119,-0.0530681959534253,0.00670067569348036,-0.18451074118119,0.0656620835613937,0.0424471458707083,0.0121624581231364,-0.0936219534391336,0.0366480948845922,0.326420691381613,-0.0344986244592799,0.0327639325914679,-0.0171982280661744,-0.0100820460631282,-0.0285075798275401,0.0120363288162164,0.0192135721221959,0.0368040550511665,0.00511509687576442,0.0030978698249059,0.0091233102478514,-0.0214018713738589,-0.0320868997311389,0.0385473065834538,-0.0173348609569747,0.00144417688904911,-0.0647008626929985,0.0242654293810255
"b_FA6A_smlr",-0.230673669328229,-0.0798505841463752,-0.12898082942406,-0.0999582597661813,0.270761822664108,-0.134703112119617,-0.117126164834524,1,-0.0192461718088262,-0.13134077244545,-0.0562196865488624,-0.00621686743959871,0.0112073923860574,0.0116432384611981,0.012521243919504,0.056937730142554,0.123625322946111,0.201807014619606,0.130292464401702,0.236008170227452,-0.0566780263171977,0.0725214546333741,0.0469012344213316,0.0212495658799142,-0.0333397100978639,-0.0448253018846207,-0.0349869006632918,0.0787389004580147,-0.0396781845924661,-0.0319107785824256,0.335676857564718,-0.00561818310522776,-0.0438569035942837,-0.0185199478645912,-0.00204794967691844,0.00167601582459068,0.00479174683551258,0.00223280911771579,0.0209798886372456,0.0432064405033633,0.0671586310679382,0.0434448126059763,0.0775178767967108,-0.0169353169930542,0.0204553879363931,0.0159750267223393,0.00830019226253452,-0.0088703002978696
"b_FA1H_smlr",-0.00295843044923837,-0.000303453393067869,-0.0630620955846226,-0.0150485703047984,0.00718370081516627,-0.0300919230407212,0.105833719246662,-0.0192461718088262,1,-0.435131693547715,-0.000588013946382616,0.0150822948139936,0.0164302442606992,0.031253207593654,-0.00864030951081326,0.00453012614664272,-0.00175786787823758,-0.00489489758933673,0.011115056068811,0.0100215680125849,-0.0145350980969461,-0.0342186126174989,0.0174678908587404,0.00333942839682411,-0.0111808210245447,-0.0244015005756111,-0.00414236865106349,0.00219624116453477,-0.00980699325541829,0.0324822653673353,-0.00620772423165846,0.320671873608202,-0.154929534060599,-0.0020221126831628,0.00450223876409651,0.00679302574895091,0.0120731401788186,-0.0032278158560221,-0.000388097576114117,-0.00192866131572615,-0.0032895273384804,0.00305028372579427,0.00355144825064518,-0.00466204280602864,-0.0124005597506266,0.00901048270945526,-0.00170327467597925,-0.000360810316499162
"b_FA2H_smlr",-0.0435881471143762,-0.0243346825465164,-0.183540484779964,-0.122656340886386,0.0317252504690811,-0.0230990195478281,-0.0503687898280303,-0.13134077244545,-0.435131693547715,1,0.165978128895212,-0.120512841192152,0.00090543570140313,-0.00809644095007278,-0.0189639296944849,0.0232766667776578,0.0692872309246656,0.11050208964595,0.00806762469247617,0.0302472752599098,0.017655333892906,-0.0109022446836003,-0.123521021317464,0.0518623628359436,-0.008769373712759,-0.0614093896590204,-0.0306753640092824,0.0133206806000092,-0.0024188747392084,-0.0170953786207374,-0.0412865929978836,-0.133489716682426,0.350638372032034,0.0562117055818947,-0.037552042418773,0.00129303909279075,0.000262468873117672,-0.0038596129779583,0.0101541615589872,0.027428662953511,0.0412676309868702,-0.000270205613453432,0.00726976049741465,0.00249900230374305,-0.00196269824972458,-0.0430873888193297,0.0208789975218176,0.0033382688322008
