"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0199001891780876,0.00901422718512961,0.000111536132153457,4.42498333965205e-05,-0.000123197232734823,0.000248922073073735,0.000115963025199829,-0.00111206174283285,-1.55587387744893e-05,-0.000249367042150896,0.000141900669815627,8.60366323472129e-05,-0.00258471827757818,-0.0020814230889979,-0.00216135395785518,-0.0107979914250057,-0.0108814314349816,-0.0115487299822253,-0.00347541807294832,-0.00369509235238704,-0.00223984185872315,-0.000543265545304957,-0.00140046163592207,-0.00387921825958994,-0.00291474011882967,6.16026353324073e-05,6.94666807503259e-05,-5.40162471451275e-05,0.000118811581470339,3.51755394840695e-05,-0.000521630330877461,7.14035382414594e-06,-0.00016764538531258,7.66967072991108e-05,8.79297156002476e-05,-0.0011490684478676,-0.000934993522505645,-0.000985822927726211,-0.00477557760010422,-0.00478485766482755,-0.00509292199931089,-0.00170338733331529,-0.00179797125304308,-0.0010637925289729,-0.000223526381399622,-0.000681560459233073,-0.00183723463995575,-0.00133098795801045
"asc_grtr",0.00901422718512961,0.03683630906449,6.06727655883884e-05,6.26918197303475e-05,-5.95330053224876e-05,0.000120669227471058,2.84964301046554e-05,-0.000523743233973253,-2.17127321527937e-06,-0.000189411255437183,8.26374530737309e-05,8.26417046864223e-05,-0.00115712128819758,-0.000938580933584245,-0.000983513375862112,-0.00474429732168247,-0.00474908958296735,-0.0050699297707081,-0.00170366993615669,-0.001800606756717,-0.00106100546705808,-0.000252959628542967,-0.000697089435720698,-0.00183162148581119,-0.00133331062944099,0.00024628336983152,-0.00031253051590794,-0.000354045999784639,0.00050864649407458,3.91836586685001e-06,-0.00207003369019699,-0.000364434220522101,-0.00078378030324486,0.000621052766571909,0.000326219925392014,-0.00484984892746082,-0.00431216433847051,-0.0041892505219862,-0.0161557182675615,-0.0162448376586315,-0.0178202131700702,-0.00749529312158848,-0.00791646056906426,-0.0048431170288123,-0.00217728074236079,-0.00350506640669283,-0.00717052492986353,-0.00574886182939287
"b_FA1A_smlr",0.000111536132153457,6.06727655883884e-05,0.00132918476291476,-0.000115378462072466,0.000278166838351596,-0.000248391156010391,0.000115717729584443,-0.000160701568759522,-8.57127636784736e-05,-0.000271372974514994,-7.36723643878556e-05,3.50164805011709e-05,6.14328709489873e-05,4.6510437330938e-05,-6.32794338760163e-06,0.000242228883759971,0.000194969670106912,7.21436836347628e-05,-6.59153239179136e-05,-0.000187592582870688,-5.98732122185544e-05,-0.000277706409029773,-0.000111958993190004,0.000100546828588511,7.48251503445837e-05,0.000634483538138198,-5.61920026707e-05,0.000124833987888221,-0.000107717194221658,6.7687130312495e-05,-7.94603207017421e-05,-4.7896775820436e-05,-0.000127403697465193,-3.50970859111488e-05,1.74762576962882e-05,3.01065598592734e-05,9.8673183108757e-06,-5.11451322596353e-06,0.000112192033076345,9.53175999755683e-05,4.26475568065094e-05,-3.31646551197926e-05,-9.45577268503081e-05,-2.59147414299407e-05,-0.000135497014119756,-5.48887859495052e-05,4.6597223784523e-05,2.75923989408684e-05
"b_FA2A_smlr",4.42498333965205e-05,6.26918197303475e-05,-0.000115378462072466,0.00139930491655197,-0.000463892120797081,-0.00036638480815719,4.4851406369643e-05,-0.000127784194754781,-2.09862984414734e-05,-0.00018607508585697,5.05697331349437e-05,-9.67568441705751e-05,1.35154959293027e-05,-0.000108347544940087,-6.60825029903183e-05,-0.000148211671966037,7.32372894847367e-05,0.000441537931505123,-0.000252659853569831,-0.00035473548852656,-3.14537317259259e-05,7.35272403245418e-05,-0.000225911219643557,0.000199198878637303,-0.000115495894494632,-5.72671237430372e-05,0.000646226541575192,-0.000204385738590358,-0.000157302194443384,1.03837818725979e-05,-6.76297345457748e-05,-1.38497674484087e-05,-9.32008616231925e-05,2.83565521123197e-05,-3.443541960715e-05,1.45765125401544e-05,-4.81647947268953e-05,-2.50660781018647e-05,-6.21561055196098e-05,4.31346331513451e-05,0.000216271727328614,-0.000123007780169916,-0.000177806087553381,-1.86431328427927e-05,2.97188642391284e-05,-9.90517686829826e-05,8.9054417649826e-05,-2.69406180413957e-05
"b_FA3A_smlr",-0.000123197232734823,-5.95330053224876e-05,0.000278166838351596,-0.000463892120797081,0.00170335776975275,-0.000273196000273322,-0.000395917957034967,0.000381893829071196,1.10531381342008e-05,5.3100674897128e-05,4.51830360057574e-05,-0.000105938845392973,-0.00013156053145218,-3.68162369353159e-05,2.08449495631316e-05,3.78200706069471e-05,8.21021585503757e-05,2.86312494529535e-05,-9.5423731952095e-07,0.000113141683021455,0.000134479843334287,0.000211269570980061,-0.000207414888152779,-0.000103038313820908,0.000116852124387575,0.000124984594784625,-0.000203378772167219,0.000762727342965878,-0.000118828849173527,-0.000187082244485396,0.000173723310502179,5.70032474816915e-06,2.46259295063868e-05,2.17675482379075e-05,-4.1152854369432e-05,-5.50055803264539e-05,-6.62588101129601e-06,8.89514642676472e-06,1.91138755998919e-05,4.35401915840035e-05,1.14880976624595e-05,1.55655064525757e-07,4.95677316169496e-05,6.77242802288769e-05,9.45913014587471e-05,-8.63573316816102e-05,-4.1322831262421e-05,6.43729467128645e-05
"b_FA4A_smlr",0.000248922073073735,0.000120669227471058,-0.000248391156010391,-0.00036638480815719,-0.000273196000273322,0.00127923642690656,0.000137731292044488,-0.000164647565029407,-4.01245129944911e-05,-3.35051061871986e-05,-8.20112526128845e-05,6.30560205618893e-05,2.29888113783274e-05,2.34449681142922e-06,3.78724688861946e-05,-1.13485176743509e-05,-6.81930423755045e-05,-0.000170752133413729,-0.000141005603273418,-0.000358664358715745,2.92238354618713e-05,-0.000296583812830485,0.000176635272625867,4.18907889940893e-05,2.47032231204167e-05,-0.000110404813507031,-0.000159673669954066,-0.000120864263111505,0.000566453897219573,5.93360585593318e-05,-7.45368200670054e-05,-2.09931151747239e-05,-1.38770772581874e-05,-3.81820321372627e-05,3.57575232362181e-05,1.06024771196508e-05,8.79882355564457e-06,1.74547238401019e-05,5.92870953376988e-06,-1.6278637847836e-05,-5.74282882120284e-05,-6.96851700721914e-05,-0.000171493047046999,2.02224624095487e-05,-0.000145378377097789,8.79605675274186e-05,1.77752454198421e-05,2.05387017883236e-05
"b_FA5A_smlr",0.000115963025199829,2.84964301046554e-05,0.000115717729584443,4.4851406369643e-05,-0.000395917957034967,0.000137731292044488,0.000953293993386974,-0.000123586099368395,0.000121820929758867,-6.30691515022778e-05,-3.10735031644756e-05,-8.19240951086054e-05,9.2726238954251e-05,0.000155193801816502,0.000299878112246587,5.27764228900473e-05,3.55603495805164e-05,9.59222909534285e-05,-0.000175847713288158,-0.000278677377600009,0.000283508641186668,-0.000124166762314487,1.41239671492835e-05,-0.000416875619884772,0.000149790342514089,6.65689805292109e-05,2.14900278447306e-05,-0.000184832707474284,6.21500703473791e-05,0.000457771964232842,-5.15934763727639e-05,5.77454800616279e-05,-2.89053948213078e-05,-1.42378860369296e-05,-3.7348229134369e-05,4.75762950710018e-05,7.47927808411686e-05,0.000143274229654688,2.46213405962194e-05,1.58890037694039e-05,5.28942394817783e-05,-8.59234138887768e-05,-0.000132690038922119,0.000127703044645165,-6.13526363642899e-05,4.31529547323785e-06,-0.00020097620923523,7.86366968823806e-05
"b_FA6A_smlr",-0.00111206174283285,-0.000523743233973253,-0.000160701568759522,-0.000127784194754781,0.000381893829071196,-0.000164647565029407,-0.000123586099368395,0.0011678970133078,-2.45205978789257e-05,-0.000182030383268707,-6.03955087324815e-05,-6.07875402272504e-06,3.47287188451562e-05,3.57706863961698e-05,3.78698766062557e-05,0.000236440458443355,0.00052824050758167,0.00092388054193279,0.000395524808810339,0.000748283264081791,-0.00014631787994262,0.000187813317911872,0.000109423655403229,5.31402693355294e-05,-8.41821123505542e-05,-7.78100117543663e-05,-6.84242329863557e-05,0.000172059762120189,-7.44784895660209e-05,-4.95333564166366e-05,0.000555652482604026,-1.09599029239534e-05,-8.15871971750775e-05,-2.89484583604469e-05,-2.96973564571668e-06,7.33269356144583e-06,2.06459217151367e-05,9.62083691659236e-06,0.000111776332755111,0.000245284914115421,0.00043096957759085,0.000193057442339694,0.0003548144340715,-6.20996838831162e-05,8.01326366437959e-05,5.28348630265467e-05,2.85372143237628e-05,-3.18173826170879e-05
"b_FA1H_smlr",-1.55587387744893e-05,-2.17127321527937e-06,-8.57127636784736e-05,-2.09862984414734e-05,1.10531381342008e-05,-4.01245129944911e-05,0.000121820929758867,-2.45205978789257e-05,0.00138985292671793,-0.00065788075694312,-6.89105949875827e-07,1.60876473458903e-05,5.55405727352729e-05,0.000104744258668857,-2.85074166466835e-05,2.05217355899965e-05,-8.19393740206027e-06,-2.44458600773282e-05,3.68085099922369e-05,3.46622556831714e-05,-4.09338692058923e-05,-9.66728283113643e-05,4.44579634227607e-05,9.11020131838256e-06,-3.07973851756584e-05,-4.62073370978284e-05,-8.83762076356454e-06,5.23542748598346e-06,-2.00815436078011e-05,5.500330877293e-05,-1.12097628031007e-05,0.000682423284022635,-0.000314412939881661,-3.44804704728339e-06,7.1221182986984e-06,3.24213303171117e-05,5.67469865178047e-05,-1.51723256557539e-05,-2.2556398451161e-06,-1.19442935419793e-05,-2.3028223093384e-05,1.47866913154492e-05,1.77331974530246e-05,-1.86489534616847e-05,-5.29938107940427e-05,3.25094183473734e-05,-6.3883729651807e-06,-1.41184566097994e-06
"b_FA2H_smlr",-0.000249367042150896,-0.000189411255437183,-0.000271372974514994,-0.00018607508585697,5.3100674897128e-05,-3.35051061871986e-05,-6.30691515022778e-05,-0.000182030383268707,-0.00065788075694312,0.00164469013280436,0.000211595709780497,-0.00013983505508411,3.32951954932949e-06,-2.95180323218916e-05,-6.80635379911051e-05,0.000114704961097302,0.000351331619029912,0.000600329690745624,2.90629628527434e-05,0.000113805964119936,5.4087684060478e-05,-3.35054590775959e-05,-0.000341985418312777,0.000153909617201718,-2.6276429244645e-05,-0.000126498917292684,-7.11924535260927e-05,3.45426901427868e-05,-5.38805742419607e-06,-3.14904487758735e-05,-8.11018337217698e-05,-0.00030902840396561,0.000774075386731842,0.000104268280878155,-6.46207275684212e-05,6.71331222291417e-06,1.34201690871672e-06,-1.97353477621859e-05,6.41993331229975e-05,0.000184785018052795,0.000314263604229075,-1.42489465276225e-06,3.94874676156582e-05,1.087432942571e-05,-9.1242046406e-06,-0.000169109863073746,8.5186904434236e-05,1.42097751200633e-05
"b_FA3H_smlr",0.000141900669815627,8.26374530737309e-05,-7.36723643878556e-05,5.05697331349437e-05,4.51830360057574e-05,-8.20112526128845e-05,-3.10735031644756e-05,-6.03955087324815e-05,-6.89105949875827e-07,0.000211595709780497,0.000988161433703102,-0.000320467169688035,5.25605753943673e-05,2.42903863024393e-05,1.45455378367927e-05,-8.55159015940961e-05,-6.08790814402803e-05,-9.54871488159917e-05,-0.00010895723586479,-0.000131706844610922,-4.53009249163217e-05,-0.000120955546060901,0.000148715651518607,-8.89322103224675e-06,6.5208074368095e-05,-3.54213458539932e-05,2.01595783546196e-05,2.05161264485022e-05,-3.94324705700739e-05,-1.26058788055665e-05,-2.87825681822383e-05,-3.09727878069091e-06,0.000104114958871844,0.000470134018380697,-0.000162910799085511,2.58449533139335e-05,-3.4061173198978e-07,8.77614426227884e-07,-4.4334982092463e-05,-2.97403159695709e-05,-5.70783029195793e-05,-4.5407094331717e-05,-5.16806898213514e-05,-1.93378304817632e-05,-6.24533041418625e-05,7.2167616347106e-05,7.19083982690825e-06,2.04354711360256e-05
