"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.322496965594199,0.00644858621983299,0.0163319908146109,-0.0229833294084702,0.0310079782484134,0.0193948071411192,-0.216099051908662,0.00630476247280481,-0.0354505404155178,0.0284878364785233,0.0207245188936071,-0.21866313727107,-0.166660835722313,-0.178957533088326,-0.641724127442843,-0.625562204500467,-0.621936029548331,-0.253229082915447,-0.262604787594897,-0.216380814765036,-0.0441729926935309,-0.131514217844133,-0.378352492579179,-0.295241231885033,-0.000425952945973916,0.00621152233361155,0.00320786457163939,0.0183281369552223,0.00448018141537883,-0.0851879188180107,0.0136017468853207,-0.0234281093184429,0.019255936508286,0.0094978366879865,-0.0732972999940142,-0.0450474572737193,-0.0578677628042474,-0.228873372286612,-0.209280717073904,-0.205476293904362,-0.0899742667598672,-0.100208634987043,-0.0628357849838126,-0.000542462983280888,-0.0424825360662249,-0.134102308688534,-0.0837850360115287
"asc_grtr",0.322496965594198,1,-0.00138843338219042,0.00497068494622725,-0.000953583901308169,0.0186139821122451,-0.000156823988207219,-0.0890617573328262,0.00839910634907094,-0.0278425573374033,0.0223991943777057,0.00834682279262978,-0.0732165539111753,-0.0495996627293949,-0.0590886929376207,-0.203760845403416,-0.19229566270699,-0.200310316922203,-0.0952232971870934,-0.102935053085773,-0.0660817882273455,-0.00820394647037885,-0.0459019511599098,-0.127022844101147,-0.0859041503326022,0.020971971296696,-0.0291360877917911,-0.0592534108830278,0.0479562491442993,0.0209800313002318,-0.276695797309109,-0.0262223055751292,-0.0835081129938161,0.10690540270035,0.0736872527511335,-0.153325363137984,-0.156477734990304,-0.152715397131161,-0.579063784720234,-0.563084050125385,-0.549210587152352,-0.33106722834605,-0.321015940644103,-0.217917400283028,-0.0805680462204865,-0.193729101730721,-0.396225479574061,-0.251501463145728
"b_FA1A_smlr",0.00644858621983325,-0.00138843338219011,1,-0.0791659898218852,0.187146448838217,-0.184773181433534,0.100631215895444,-0.135231007175725,-0.0660206452005388,-0.202133186047681,-0.0645842732299975,0.00612881857275745,0.0190501873597699,0.0235626875242619,-0.00671476480512386,0.0574338957857864,0.0475130631678493,0.0213240305249094,-0.0224041684847002,-0.0678298720545348,-0.00560542853882439,-0.0940535241502182,-0.0483156042047058,0.0662182582785924,0.0237698290447935,0.338309927896389,-0.0271829710779079,0.0582328495346129,-0.0704709999958845,0.0199383757739832,-0.0330264231204423,-0.0229285064716496,-0.0472536872186087,-0.00996108063854742,-0.00533823773931662,-0.00318474119171391,0.00591472706984675,-0.0112032079683042,0.0309315271842934,0.0270603668591802,0.0156255503117208,-0.0050467271087457,-0.0157030520157419,-0.0185170303924903,-0.0284403717596178,-0.0298092765284571,0.0195867722462511,0.0147003050026449
"b_FA2A_smlr",0.0163319908146112,0.00497068494622784,-0.0791659898218853,1,-0.298680477713933,-0.272675628438671,0.0379678468062444,-0.118364944621743,-0.028708550139306,-0.12351034094701,0.0399555405124345,-0.0916236750920302,0.00718664308435395,-0.0381823061498261,-0.0234595577214123,-0.0302932952248475,0.0195421389483974,0.0800683215977931,-0.0769906609509564,-0.0966772326194665,-0.0101143963801661,0.00340001606599361,-0.0939557874218121,0.0660178957357574,-0.0304669622767984,-0.0341976367732513,0.290200415708126,-0.0795690211560382,-0.0672822966018608,0.0140147739116303,-0.0465358149883085,0.00257194917225743,-0.0530018254073244,0.0185131375011738,-0.0205468755027906,0.00895575651950082,-0.00466157279938001,-1.75605212206126e-05,-0.0174505424044631,0.0013764060697613,0.0153812330698135,-0.0125135270309908,-0.0253599776222695,0.000863813367447932,-0.00939450727532473,-0.0126149203247958,0.0286766262231491,-0.00108281308402425
"b_FA3A_smlr",-0.0229833294084703,-0.000953583901308004,0.187146448838217,-0.298680477713933,1,-0.177200245273094,-0.318609457136196,0.285276855974023,0.00768503514506591,0.0069016361424245,0.0372080372714001,-0.0984170478752219,-0.0299785768848044,-0.00286977532672669,0.00995392393083627,0.00608319873788057,0.0147107748380563,0.00788853843791725,0.0037022543872506,0.0317869428154003,0.0389528403598473,0.0661188848486579,-0.071758504074207,-0.0297111252191757,0.029137249330353,0.0661291492109996,-0.0786122552603454,0.271645498260761,-0.0432482939436901,-0.0977799014563012,0.0740752461086738,0.00921542263799092,0.00948590416694292,-0.00147265657340808,-0.00931311624809226,-0.0130561848852323,0.00646009322104068,-0.0120071127298432,0.00740804753334275,0.00935330979738226,0.00544637327646083,-0.00818242345794055,-0.00176580398126781,0.0178173999804311,0.00716231779716311,-0.0295954214620561,-0.00273056073687551,0.0176642006447188
"b_FA4A_smlr",0.0310079782484137,0.0186139821122452,-0.184773181433535,-0.272675628438671,-0.177200245273094,1,0.122870167831496,-0.134978622300315,-0.0370938682603881,-0.00150730226624118,-0.0638034351862187,0.0678561354444121,0.0223125295182257,0.00401780193576583,0.00492785108056645,0.0110256881958729,-0.00286581032692107,-0.0154655709026318,-0.0424950045257418,-0.101486025376633,0.0161357645938934,-0.104056515717676,0.0652895211602863,0.00986715427986472,0.0222986799995458,-0.0781480131257126,-0.0671462408836377,-0.0430466683100467,0.28444613867845,0.0288152464272638,-0.0335051625320464,-0.00884305723412243,-0.00744884328148481,-0.0195179145315541,0.0224395775642638,0.00022943253939299,0.00597451085946153,-0.000403982687397679,-0.00261323084382029,-0.00706794206878339,-0.00963647910780413,-0.00812354119294217,-0.0279198403145831,0.00605787384233702,-0.0385533710086473,0.0203065662353866,-0.000389722880231015,0.00745196216205981
"b_FA5A_smlr",0.0193948071411191,-0.000156823988207405,0.100631215895444,0.0379678468062444,-0.318609457136196,0.122870167831496,1,-0.120573743136292,0.100337813053123,-0.0500139677384764,-0.0253689890107271,-0.100800056475851,0.0500023079129503,0.066367275878013,0.105541079835193,0.0192689016020533,0.00086274309129971,0.0216360891508061,-0.064876528026508,-0.096637175785378,0.132965372377107,-0.0459998677757776,0.00708234463112738,-0.182602938050446,0.0554002286726213,0.0265801823449896,0.0211793782912279,-0.089019027442546,0.0245606823896255,0.330578135516584,-0.0288570455965644,0.0241913752342556,-0.0177556617717933,-0.00614939404886007,-0.0442488063219803,0.0224449445476319,0.0232440797345076,0.0469076840239016,0.00244051519481874,-0.010085491712545,0.000946994646863964,-0.0238334608487845,-0.021931927153328,0.0274368273814846,-0.0114004971707244,0.00581251489141521,-0.0622318866668516,0.021695273726405
"b_FA6A_smlr",-0.216099051908663,-0.0890617573328261,-0.135231007175724,-0.118364944621743,0.285276855974023,-0.134978622300315,-0.120573743136292,1,-0.0157896186389484,-0.139384269126191,-0.0671954699356243,-0.0119985157825674,0.00158923690421536,0.0181230884743788,0.00925522185709567,0.0492545799313924,0.112547451304685,0.190867261618481,0.130502065304849,0.230392546027029,-0.0480793967143933,0.0768615787063076,0.0466999904555162,0.0129580209707057,-0.0434979118316783,-0.0364474516243864,-0.0421729218012501,0.0648657475128911,-0.0301756587091349,-0.028897728685094,0.332917392359008,-0.00958055959072035,-0.046097113152926,-0.0346067197274411,0.00885797291457313,0.018200797660822,0.015085580943344,0.00171756875877606,0.0312885045003886,0.0432458658177493,0.0739044571515927,0.0520594233287976,0.0838930604393606,-0.0104411221516752,0.0185745440771579,0.0162149701338881,0.00998275061274228,-0.0101902056773362
"b_FA1H_smlr",0.00630476247280479,0.00839910634907072,-0.0660206452005388,-0.028708550139306,0.00768503514506593,-0.0370938682603881,0.100337813053123,-0.0157896186389483,1,-0.417328348458175,0.0197363315514638,0.0128116816147818,0.0143902445150121,0.0270495720268897,-3.79078199341242e-06,-0.00907489054248357,-0.0161219025152526,-0.01994622872279,0.0108056784215661,0.00751176099031559,-0.028651456260239,-0.0247597541199732,0.0174471070912348,0.00512820954485054,-0.0137026420139639,-0.0253993955575787,0.0054508752284609,0.00880274923287301,-0.00762203884393603,0.0264064640810753,-0.0109544828804948,0.308410237742343,-0.142358180571283,-0.00369881681435901,0.000595618965886418,0.00476135114739562,0.015297682543193,0.0120814300273906,-0.0163384759599305,-0.0113984040631824,-0.0192329738463805,0.00336164870216912,0.00129663152336216,0.00111526477175648,-0.0137287277633526,0.0044141335984121,0.00114530513225964,-0.00553509917024488
"b_FA2H_smlr",-0.0354505404155179,-0.0278425573374039,-0.202133186047682,-0.12351034094701,0.00690163614242448,-0.00150730226624102,-0.0500139677384765,-0.139384269126191,-0.417328348458176,1,0.167742389828494,-0.118903784153035,0.0047821183897159,-0.00896210297420883,-0.0296415234370542,0.0131712551926701,0.0570889155981136,0.100552371297665,0.00855034431791406,0.047293161009588,0.0182579984274112,-0.0196325832206496,-0.119150164660069,0.0434206193463684,-0.000152157788584118,-0.0440790443964642,-0.0374999956752878,0.0207756432029282,-0.00862755472221148,-0.0248934245326097,-0.0417381809927043,-0.127042910140615,0.317022857953505,0.0323070207096491,-0.0264862794239909,0.00175972336153758,0.00583808839466178,-0.013178683626768,0.0118840138038663,0.0260111102203635,0.0459740777508919,-0.00756777668488458,0.0029528671283116,0.0143560350732651,0.00629405947889562,-0.0322997359511335,0.0184533246471972,0.00743651793758153
