"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0203766965244714,0.0092555232053276,3.35499309386258e-05,8.72541522052173e-05,-0.000135181794664805,0.000157509348451391,8.55015891315607e-05,-0.0010537416109623,3.36541805632089e-05,-0.000202577840816769,0.000128321553347024,8.49938423002726e-05,-0.0028140035029647,-0.00215462823190429,-0.0022545957653292,-0.0113646730662232,-0.0113760999938963,-0.0120249872440848,-0.00320530581110458,-0.00347250654598166,-0.00233051439804367,-0.00047803422513202,-0.0012833280252768,-0.00396845690400655,-0.00311245186300259,-3.01393650539788e-06,5.22555389130768e-05,2.89401715932121e-05,0.000145804289030262,2.88326118112467e-05,-0.000598863323618095,0.000110962033120354,-0.000187183058777791,0.000128205077880757,5.86841560164874e-05,-0.00133945856271752,-0.000822223764869717,-0.0010197585565382,-0.00526328747744481,-0.00507860136436706,-0.00563832130845894,-0.0016549702098043,-0.00191964913469916,-0.000955259581562529,-9.04030927408136e-06,-0.000582736775840425,-0.00191131849356856,-0.00126252709045928
"asc_grtr",0.00925552320532758,0.0404219169306622,-1.01740467862194e-05,3.74028570477034e-05,-7.89961163238532e-06,0.000133172250929534,-9.73739481407404e-07,-0.000611665651035622,6.31458676791783e-05,-0.000224088600556371,0.000142106552230346,4.82131783638939e-05,-0.00132708856432075,-0.000903148319279091,-0.00104849086199787,-0.00508242380253885,-0.00492531432821116,-0.00545486227006396,-0.00169762072216748,-0.00191710230915681,-0.00100243538710614,-0.000125045063012545,-0.0006308668140542,-0.00187649955353323,-0.00127550259107683,0.000209003371100684,-0.000345228849441013,-0.000752904678581832,0.000537327106332905,0.000190167405074307,-0.00273964212010435,-0.000301295159624757,-0.000939722298122635,0.00100249403975494,0.000641254010658748,-0.0039463615550037,-0.00402266491865539,-0.00379040010298013,-0.0187555494427507,-0.0192455222164439,-0.0212260196389228,-0.00857688568022304,-0.00866133574291261,-0.00466603326542643,-0.00189111341829344,-0.00374281551134775,-0.00795391180172873,-0.00533772659478054
"b_FA1A_smlr",3.35499309386272e-05,-1.01740467862172e-05,0.00132837429120056,-0.000107988861984923,0.000281047805822651,-0.000239643229195808,0.000113269969499418,-0.000168364642859125,-8.99794631039394e-05,-0.000294917158927563,-7.42780099022853e-05,6.41760691963036e-06,6.2595289508371e-05,7.77780332215376e-05,-2.15994578381658e-05,0.000259698951687345,0.000220612071121338,0.000105269254010366,-7.24065843574602e-05,-0.000229010172376332,-1.54147044081375e-05,-0.000259878638652351,-0.000120377613515551,0.000177335696332917,6.39801177597403e-05,0.000611196076023761,-5.83881271594797e-05,0.000134136342753945,-0.000143138266916154,3.27620828078429e-05,-5.9279508030696e-05,-4.77582962660698e-05,-9.6395851176609e-05,-1.69332523142289e-05,-8.4214605534174e-06,-1.48596572816144e-05,2.75643524621378e-05,-5.0407644713316e-05,0.000181617012738108,0.000167664814419792,0.00010947545554695,-2.37014561482807e-05,-7.68058186629962e-05,-7.18751955310659e-05,-0.000121015720643313,-0.000104401507582241,7.12775925882947e-05,5.65579855801246e-05
"b_FA2A_smlr",8.7254152205219e-05,3.74028570477078e-05,-0.000107988861984923,0.00140074852806467,-0.000460601451389998,-0.000363155315825673,4.38851804476613e-05,-0.000151327398660508,-4.01785953481001e-05,-0.000185048511937133,4.71878672666247e-05,-9.8519888488368e-05,2.42486929472772e-05,-0.000129423799419787,-7.74910813651291e-05,-0.000140659249057217,9.3176886595178e-05,0.000405894186517968,-0.00025550954899698,-0.000335179803864867,-2.85618416322062e-05,9.64709012296564e-06,-0.000240381868891218,0.000181551543312997,-8.42108378097008e-05,-6.34427159147269e-05,0.000640096582975634,-0.000188209824983563,-0.00014033499514524,2.36476331462832e-05,-8.57729270256611e-05,5.50117292786739e-06,-0.000111028206339751,3.23172060282168e-05,-3.32855052334628e-05,4.29098288522406e-05,-2.2308245370442e-05,-8.11355652828767e-08,-0.000105216524456512,8.75738994303474e-06,0.000110660454333777,-6.03482664767335e-05,-0.000127373410005278,3.44308287798316e-06,-4.10487924580476e-05,-4.53690517797072e-05,0.000107161321750938,-4.27800155963447e-06
"b_FA3A_smlr",-0.000135181794664805,-7.89961163238395e-06,0.000281047805822651,-0.000460601451389997,0.00169776178940778,-0.0002598176747559,-0.000405432792375305,0.00040153120016669,1.18409797307003e-05,1.13839407293654e-05,4.83780535197715e-05,-0.000116505070708414,-0.000111360599481799,-1.07092282982822e-05,3.61979944210092e-05,3.10965402156517e-05,7.72200247225535e-05,4.40257681693651e-05,1.35267553076398e-05,0.000121327900626559,0.000121099864823033,0.000206537624091782,-0.000202120254934258,-8.99530011254078e-05,8.86636638453913e-05,0.000135063156927227,-0.000190895646587048,0.000707390263167816,-9.93098776801927e-05,-0.000181639153250295,0.000150312223689528,2.17003362394273e-05,2.18765845602538e-05,-2.83017669564785e-06,-1.66097340204128e-05,-6.88698418846402e-05,3.40353340014599e-05,-6.10760219093741e-05,4.91741738085252e-05,6.55166553163669e-05,4.31386936224779e-05,-4.34435498258443e-05,-9.76406566664092e-06,7.81862125560226e-05,3.44538894549935e-05,-0.000117181218529293,-1.12336305612891e-05,7.68315726793531e-05
"b_FA4A_smlr",0.000157509348451393,0.000133172250929535,-0.000239643229195808,-0.000363155315825673,-0.0002598176747559,0.00126628654172429,0.00013503124737206,-0.000164076115878504,-4.93595876661672e-05,-2.14718041308009e-06,-7.16445747162982e-05,6.93731211414663e-05,7.15808701960996e-05,1.29487075203479e-05,1.54765938061966e-05,4.86758329448315e-05,-1.29918036863602e-05,-7.45425028847967e-05,-0.000134088914625653,-0.000334538252858103,4.33233164286671e-05,-0.000280718189590458,0.000158820866955954,2.57997854594912e-05,5.86008474627903e-05,-0.000137844524676328,-0.000140817001020624,-9.68107818413219e-05,0.000564093541827016,4.62285029451476e-05,-5.871655188057e-05,-1.79837915283734e-05,-1.48360142565841e-05,-3.23946356955775e-05,3.45628820274011e-05,1.04519043010368e-06,2.71844909413017e-05,-1.7746900981257e-06,-1.4980927602565e-05,-4.27569776120245e-05,-6.59182377234628e-05,-3.72491492801374e-05,-0.00013333026675955,2.29579808431295e-05,-0.00016016759138175,6.94380619365986e-05,-1.38468764657578e-06,2.79926486385384e-05
"b_FA5A_smlr",8.55015891315601e-05,-9.7373948140856e-07,0.000113269969499418,4.38851804476613e-05,-0.000405432792375305,0.00013503124737206,0.000953770015345922,-0.000127200540264257,0.000115875031639869,-6.18322900047129e-05,-2.47228335225843e-05,-8.94373091711627e-05,0.000139217571204515,0.000185629812687759,0.000287670401573521,7.38278942140899e-05,3.39437119500298e-06,9.05050085211296e-05,-0.000177663589510082,-0.00027646464884981,0.000309832189833074,-0.000107699501947432,1.49519202440545e-05,-0.000414369492715677,0.000126354913781972,4.06897828591528e-05,3.8548051556256e-05,-0.000173749220808641,4.22714700080824e-05,0.00046027507170604,-4.38890840477115e-05,4.26967893096606e-05,-3.06917113660246e-05,-8.85784035091623e-06,-5.91497166407723e-05,8.87390523009278e-05,9.17882401768961e-05,0.000178837915918286,1.21422251768298e-05,-5.29501178335487e-05,5.62199642442706e-06,-9.48448860391816e-05,-9.08967697202538e-05,9.02408530865652e-05,-4.11047409029964e-05,1.72496788652706e-05,-0.000191895468226091,7.07284796421671e-05
"b_FA6A_smlr",-0.00105374161096231,-0.000611665651035622,-0.000168364642859125,-0.000151327398660508,0.00040153120016669,-0.000164076115878504,-0.000127200540264258,0.00116688688805484,-2.01692348527099e-05,-0.000190603262998446,-7.24315246679525e-05,-1.17754638514192e-05,4.89423920357505e-06,5.60684425547187e-05,2.79031367436739e-05,0.00020873856294468,0.000489785648159941,0.00088311617943938,0.000395294493616006,0.000729048379321388,-0.000123919467760887,0.000199048523073963,0.000109050900223914,3.25245456636682e-05,-0.000109734081912415,-6.17144882305072e-05,-8.49015192569167e-05,0.000140038675710021,-5.74455283883233e-05,-4.4504055152636e-05,0.000560058874607209,-1.87032933034117e-05,-8.81354279522082e-05,-5.51376825244637e-05,1.30971862789286e-05,7.95937961755514e-05,6.58914817140183e-05,7.2430634324767e-06,0.000172184526123198,0.000251134858094225,0.000485295450318356,0.00022914939177827,0.000384583139277889,-3.79847283974722e-05,7.40762235938206e-05,5.32262214187132e-05,3.40482284540896e-05,-3.67455444032572e-05
"b_FA1H_smlr",3.36541805632087e-05,6.31458676791766e-05,-8.99794631039393e-05,-4.01785953481001e-05,1.18409797307003e-05,-4.93595876661672e-05,0.000115875031639869,-2.01692348527098e-05,0.00139832075730287,-0.000624717221208536,2.32885841589935e-05,1.37640314485977e-05,4.85125100634373e-05,9.16084853369403e-05,-1.25107695703586e-08,-4.2100425729219e-05,-7.68025613056233e-05,-0.000101026711343197,3.58298047080019e-05,2.60206839771983e-05,-8.08381289263909e-05,-7.01915784711562e-05,4.45989785743725e-05,1.40905305272939e-05,-3.78413359210184e-05,-4.70795570067201e-05,1.20126005124198e-05,2.08036682882627e-05,-1.5883991624662e-05,4.45179492230815e-05,-2.01733536708675e-05,0.000659090446262012,-0.000297953327814681,-6.45119126892604e-06,9.64053636273416e-07,2.27933432668202e-05,7.31445379526269e-05,5.57719105156739e-05,-9.84260099709195e-05,-7.24595232290317e-05,-0.000138251881956297,1.61979742845015e-05,6.50683509702075e-06,4.44149170490692e-06,-5.99349278538086e-05,1.58614898982136e-05,4.27616572053842e-06,-2.18492314380752e-05
"b_FA2H_smlr",-0.000202577840816769,-0.000224088600556376,-0.000294917158927564,-0.000185048511937133,1.13839407293653e-05,-2.14718041307985e-06,-6.18322900047131e-05,-0.000190603262998446,-0.000624717221208536,0.00160252339421899,0.00021189380849261,-0.000136752093036829,1.72585650138656e-05,-3.249256682764e-05,-0.000104726001813527,6.54140506956837e-05,0.000291145440631699,0.000545213404627102,3.03511249774962e-05,0.000175377581433731,5.51469508031898e-05,-5.95819777926226e-05,-0.000326058044295828,0.000127719256953022,-4.49836946765121e-07,-8.74661365214178e-05,-8.84709718398779e-05,5.25623598653059e-05,-1.92475298173146e-05,-4.49270942590545e-05,-8.22845931785942e-05,-0.000290646736330903,0.000710321851860658,6.03215916048869e-05,-4.58936312801103e-05,9.01822373910031e-06,2.98831042456223e-05,-6.51280384375103e-05,7.66408426110672e-05,0.000177014604906486,0.000353782562784057,-3.90369135705023e-05,1.58633869059024e-05,6.12046147527053e-05,2.94157091811721e-05,-0.000124249961945352,7.37575920583612e-05,3.14252813972845e-05
