"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.115855112457912,-0.195007903928311,-0.179958987741682,-0.193962973065352,-0.624981380732961,-0.595253511193285,-0.564928395166716,-0.262539976890726,-0.236299096601045,-0.231446510291924,-0.112584835452793,-0.200177248128042,-0.337773791882354,-0.282388547993784,-0.0202912570658676,-0.017309760531455,-0.0188870351261434,-0.0830503530324399,-0.075575237551057,-0.0585070346091361,-0.0261420896561683,-0.024457201868827,-0.0267640845205579,-0.00115631529778744,-0.00877586939821542,-0.0435287180644317,-0.0338543543388695
"asc_grtr",0.115855112457912,1,-0.0229979616087831,-0.0210768043849341,-0.0236892772413448,-0.0754409003033398,-0.0707912609088569,-0.0661416848915122,-0.0312003197189159,-0.0293762590313388,-0.0307578784782634,-0.005232679935941,-0.0196187142077395,-0.0457802394986715,-0.0382296532806678,-0.196557395352477,-0.186632963495466,-0.190584445875956,-0.515558080425861,-0.458831424776837,-0.360494514942421,-0.32325632620965,-0.287316136490975,-0.257327391389699,-0.0792418290362898,-0.279743314158053,-0.349490531161443,-0.326411592205987
"b_City_Midwest_smlr",-0.195007903928311,-0.0229979616087831,1,0.335259239325579,0.343234758655627,-0.0190482958031348,-0.0150125669934187,-0.0126169152708759,0.00992130149407867,0.04837043123575,0.012723906974268,0.00197720222387181,-0.00762389713294005,-0.0655877879950626,0.0170614384206579,0.0977922042335633,0.0363894160623707,0.0356677203246964,-0.00210837123298104,-0.00180766379028849,-0.000945621731358098,-8.17628331343834e-05,0.00479891264147325,0.00165927157147013,-0.00156680124430764,-0.00289967276077536,-0.00599194855202178,0.00229106683937807
"b_City_South_smlr",-0.179958987741682,-0.0210768043849341,0.335259239325579,1,0.375446568957993,-0.00112665888836805,-0.0050978686241926,-0.00795825561160897,-0.00367489386271266,-0.0097767564045451,0.00049965983743414,-0.0305409978602001,-0.00915129013045603,-0.0559137513936158,-0.0369520224371974,0.0348855672050178,0.117478646961604,0.0391929418491461,-0.00118638542612768,-0.00171310223552345,-0.001856661350304,-0.00149150433543954,-0.000520933134602626,-0.00081363509369288,-0.00347814685589313,-0.000997157588375765,-0.00623919733075708,-0.00578704850262241
"b_City_Northeast_smlr",-0.193962973065352,-0.0236892772413448,0.343234758655627,0.375446568957993,1,-0.0172445672453291,-0.0222920688294952,-0.0462820080035588,-0.0260961159380154,-0.0300315122235043,-0.0846861238804771,-0.0217846725794241,-0.00907366178490367,0.080253105265689,-0.0465531793767944,0.0357154420103439,0.040874004020821,0.121858950338985,-0.00221389998233885,-0.00267562613512319,-0.00511547353715257,-0.00305332698880936,-0.00368464708720014,-0.00994756571083827,-0.00350494901208214,-0.00222424117693374,0.00976454091476272,-0.00580002610227091
"b_Age_Millenials_smlr",-0.624981380732961,-0.0754409003033398,-0.0190482958031348,-0.00112665888836805,-0.0172445672453291,1,0.810145163552613,0.756483004529762,-0.0374303918702775,-0.0187056965624012,0.0671155238507067,-0.227851402277653,-0.0690128392414469,0.0776391052621488,0.0567269585835434,-0.00149466544561953,-0.00208631940889192,-0.00305847735697389,0.132152356806578,0.099404014526891,0.0758493330583408,-0.00543942030868411,1.45296724841285e-05,0.00841531488510028,-0.0295828012713198,-0.0118335202841019,0.0117017047042582,0.00773378335005845
"b_Age_GenX_smlr",-0.595253511193285,-0.0707912609088569,-0.0150125669934187,-0.0050978686241926,-0.0222920688294952,0.810145163552613,1,0.752575552055438,-0.0435385782922397,-0.0850457475632552,0.068647290987502,-0.206564129312614,-0.0795500684921164,0.0484315814738338,0.065516873602134,-0.00132843406765548,-0.00290974200139091,-0.00422639929260331,0.104268227135505,0.126486350058,0.0758607500137958,-0.00666774115749872,-0.0074150614885445,0.00887147704098926,-0.0286365485629853,-0.0143690994517458,0.00906478444136056,0.00842967478778354
"b_Age_Older_smlr",-0.564928395166716,-0.0661416848915122,-0.0126169152708759,-0.00795825561160897,-0.0462820080035588,0.756483004529762,0.752575552055438,1,-0.0136421593420381,-0.0494348078525073,0.0678125840485896,-0.181300085634373,-0.0615625406136682,-0.0190981426685731,0.0999592774571553,-0.000757438088836812,-0.00370938425431918,-0.00820418166327415,0.0984004797411968,0.093981269040846,0.0990955756406006,-0.00333123433740216,-0.00379810528878281,0.00872319504570522,-0.0272647217993181,-0.0144315366056667,0.00264069315747893,0.0127061390403917
"b_Inc_Mid_smlr",-0.262539976890726,-0.0312003197189159,0.00992130149407867,-0.00367489386271266,-0.0260961159380154,-0.0374303918702775,-0.0435385782922397,-0.0136421593420381,1,0.632476677616742,0.0415960767224779,-0.20276366688042,-0.0231343705409266,-0.0282159318777571,0.0374027012125278,-0.000443729724906106,-0.00109524023523101,-0.00141959482653002,-0.00614046105400509,-0.00744555890789873,-0.00350676842165458,0.110152794441923,0.0597422824805431,0.00452473380242805,-0.017591307743237,0.000858137905493359,-0.00541449874506639,0.0026683601192454
"b_Inc_High_smlr",-0.236299096601045,-0.0293762590313388,0.04837043123575,-0.0097767564045451,-0.0300315122235043,-0.0187056965624012,-0.0850457475632552,-0.0494348078525073,0.632476677616742,1,0.0452393738958474,-0.326560741717206,-0.0452346522881498,-0.0573384957656083,0.145620328642788,0.00459354801122228,-0.000663777222037649,-0.00358730688028006,-0.00116120706138929,-0.0102997884268401,-0.00493436670874113,0.0653017369181096,0.104938363540702,0.0051810996408927,-0.0368626123332081,-0.00367361121388348,-0.00874429915262032,0.0169811269030218
