"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.332440161997897,-0.214135580029103,-0.171474424051378,-0.190395909141422,-0.649234196912533,-0.619861633787233,-0.603228456057778,-0.234130361628188,-0.227648762217649,-0.252200878983387,-0.0421507015833874,-0.140821157837475,-0.38455929134938,-0.323639759020195,-0.0558088183660133,-0.0344834120050324,-0.049091766460415,-0.227101865449667,-0.207440787380937,-0.187663700227334,-0.0826846582527551,-0.085719993432201,-0.0820397260462134,-0.00228198637050462,-0.0431551474697659,-0.144774719120993,-0.0901206036968339
"asc_grtr",0.332440161997899,1,-0.0606416967772156,-0.0411620635400608,-0.0563054063793651,-0.21324030713462,-0.197655264008504,-0.194471112210491,-0.0918045098991021,-0.0912528403544045,-0.0884161596286748,-0.00888863860290482,-0.0516798217769755,-0.142668877434974,-0.0990149134636881,-0.177443378926859,-0.162865394594333,-0.17193394221036,-0.570735693708742,-0.538560580344995,-0.477072830114451,-0.312772511995351,-0.276310027650964,-0.212317189361765,-0.0996415496881851,-0.27041754671601,-0.332054258799628,-0.248313832437405
"b_City_Midwest_smlr",-0.214135580029103,-0.0606416967772158,1,0.330686332845468,0.324707975734974,0.000466842730985121,-0.00028674052608057,-0.00123728783548505,0.0113447500603606,0.041583857892418,0.0342190709196425,0.00306775699633463,-0.000358749229808927,-0.0567162206985072,0.0146944225024762,0.327598144311677,0.10282055354236,0.101853957090787,-0.00444200684790797,-0.00837951162802134,-0.00838373344514935,0.0035897919437315,0.0173892757406982,0.00351898945735716,-0.00401414916231416,-0.00309952214943732,-0.0271011332027652,0.0047487748575217
"b_City_South_smlr",-0.171474424051378,-0.0411620635400604,0.330686332845468,1,0.335298176182819,-0.00134408451131136,-0.00768089674334914,-0.010647584906722,-0.00873621587551304,-0.00403854523487438,0.0116805557745297,-0.0269934322039992,-0.00223915846510003,-0.0600698203191019,-0.0464786455661261,0.103339768851392,0.342123643103279,0.106326924824191,-0.0204882449645743,-0.0195643115874557,-0.0202218609500323,-0.00547435779085603,-0.0184714251049813,-0.00674886787700799,-0.00296442487034256,0.00730538868709146,-0.0133446578512424,-0.0161567743878001
"b_City_Northeast_smlr",-0.190395909141423,-0.0563054063793652,0.324707975734974,0.335298176182819,1,-0.00447549618399699,-0.0100901967757407,-0.0325401845796662,-0.018973294882197,-0.0288026440354196,-0.0680884353911362,-0.0425601066288193,-0.0188463921112336,0.0874324761697129,-0.0372140589772968,0.103419355790067,0.106882319596192,0.339024003526798,-0.00813400029007053,-0.0171266295524745,-0.0216542538515432,-0.00610174849241727,-0.00496403630981029,-0.0305096403941002,-0.0101450011318005,-0.00144831147349838,0.0207587736646455,-0.0113571302883741
"b_Age_Millenials_smlr",-0.649234196912533,-0.21324030713462,0.000466842730984504,-0.00134408451131161,-0.00447549618399719,1,0.790641700520598,0.754186759725832,-0.0574642183132412,-0.0169835557182538,0.080653947967397,-0.22062544218334,-0.0876513411415082,0.0967331421294003,0.0831589645850426,-0.00647612995339049,-0.0248881857137134,-0.0095080560113162,0.366288974317976,0.284904933938196,0.246418750898232,-0.0226195125917791,-0.00790735201754109,0.0269325481640157,-0.0854407590794299,-0.0352871446039864,0.050420777550541,0.00246470101149538
"b_Age_GenX_smlr",-0.619861633787235,-0.197655264008505,-0.000286740526080657,-0.00768089674334897,-0.0100901967757405,0.7906417005206,1,0.756325403109297,-0.0715730863273314,-0.0929769503183391,0.0829602668997174,-0.200037597507437,-0.0957610311551358,0.0682453331160455,0.0928934034016045,-0.0108296794768499,-0.0252311269369361,-0.0190649522670574,0.289918318576171,0.359369691048608,0.246523506005292,-0.0230461850018856,-0.0224214652059187,0.0264483478165819,-0.0848815001095214,-0.042048649674273,0.0308390813070328,0.00375627638873295
"b_Age_Older_smlr",-0.603228456057777,-0.194471112210492,-0.00123728783548559,-0.0106475849067221,-0.0325401845796663,0.754186759725832,0.756325403109295,1,-0.0357044357217122,-0.0580560931065139,0.0862850186491116,-0.171935017732533,-0.0687844591068031,0.000682744723153609,0.128276216487939,-0.0109844737217871,-0.0272784661333063,-0.0245882748146137,0.273611112848801,0.268828092431819,0.325232446659006,-0.0118246803046573,-0.0106373708554005,0.0302575028650779,-0.0720585872944038,-0.0291998964636745,0.0130062140045208,0.0175055823826564
"b_Inc_Mid_smlr",-0.234130361628187,-0.0918045098991011,0.0113447500603604,-0.00873621587551338,-0.0189732948821973,-0.0574642183132419,-0.0715730863273322,-0.0357044357217129,1,0.588958198114399,0.0468045787907427,-0.185455421514466,-0.0227710341224794,-0.0456632940396655,0.0385828260264588,0.00389694330667781,-0.00372442226909136,-0.00557180253482877,-0.0231163917817161,-0.0245836686117085,-0.0114803520628206,0.342736181685644,0.212050046104738,0.0286282448401796,-0.0636287453539053,-0.013314832246896,-0.018405240469463,0.0229927766696333
"b_Inc_High_smlr",-0.227648762217648,-0.0912528403544035,0.0415838578924179,-0.00403854523487444,-0.0288026440354197,-0.0169835557182536,-0.0929769503183395,-0.0580560931065137,0.588958198114399,1,0.0450048491643578,-0.332015164963541,-0.0302783601473178,-0.074721233462098,0.165339326750706,0.0185475525431478,-0.016368857711156,-0.00399171202555561,-0.00694110560869249,-0.0244884665735296,-0.010167625371228,0.208359307949672,0.345456115683181,0.0261983643191995,-0.115102472179348,-0.0196995980853564,-0.0294299338022247,0.0784312054955737
