"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr"
"asc_smlr",1,-0.478764046672122,0.000263930578163819,-0.000111129466611065,0.00021756370691453,-8.23245450679006e-05,-0.000164838656308755,0.000379428173898504,-0.00037441004165214,-1.72617985697472e-05,0.00016801535012825,-3.52329938267261e-05,0.759720247412789,0.759720263845593,0.759720243202501,0.759720275801358,2.07664553782393,2.07664558910019,2.07664560357398,2.07664568001051,-1.41439437679829,-1.41439437268026,-1.41439439969605,-1.66044069257773,-1.66044073634588,NA,NA,NA,NA,NA,NA,NA,NA,-1.06615326731111e-05,1.29824607065753e-05,0.000118017340682169,-0.000154392481734444,-0.000108465463329461,0.00040730209703377,-0.000170684077609919,1.57960874199399e-05,-2.25512325774169e-05,-1.43370613950059e-05,-0.117728293287091,-0.117728276955895,-0.117728365748758,-0.117728295631181,NA,NA,NA,NA,NA,NA,NA,1.18674334719968,1.18674329878722,-0.784827433136201,-0.784827511820842,-1.24190958544921,-1.24190978948029,NA,NA,NA,NA
"asc_grtr",-0.478764046672122,1,0.000122928947278603,-4.68138433753946e-05,0.000116102802167077,-7.16351278252911e-05,-9.38761842789029e-05,0.000281968403031547,-0.000161504309498507,-4.43631678776556e-05,5.01303168321383e-05,1.55897424011309e-05,0.340950103950671,0.340950123743704,0.340950117086159,0.340950113146815,0.653660673954564,0.653660735265233,0.653660692031943,0.653660713346178,0.418334802245691,0.418334800708623,0.418334812221277,-0.191905220149285,-0.191905237408757,NA,NA,NA,NA,NA,NA,NA,NA,-4.04333452261568e-05,-2.10276094909683e-05,0.00011314477820817,-0.000116875973499338,-8.32235625284859e-05,0.000418544717894236,-6.29330183820303e-05,-4.6079699832071e-05,-1.06578785792991e-05,-2.14058959265592e-05,-0.148917596201157,-0.148917582645908,-0.148917563145152,-0.148917672681096,NA,NA,NA,NA,NA,NA,NA,0.349788077351424,0.349788087657269,-0.647671997436403,-0.64767198130598,-0.848925108405651,-0.84892516263074,NA,NA,NA,NA
"b_FA1A_smlr",0.000263930578163819,0.000122928947278603,1,-0.0887575347478781,0.186017754554998,-0.188378790912053,0.069355207301549,-0.156081513026305,-0.0478803338983138,-0.200410117011631,-0.0653176838394471,0.0159700200647149,-0.00021524798051577,-0.000221603239030177,-0.000215643527277953,-0.000218723240632202,0.000221351448960211,0.000228896222750156,0.000226007252799228,0.000220564038272452,-0.000310135435641942,-0.000312620419419423,-0.000316437242513634,-5.80183154231409e-05,-5.84907539254809e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.123126527560759,-0.00650106606024663,0.0221097120253497,-0.0202574959644569,0.0164367162237854,-0.0163877840292742,-0.00631120877959388,-0.0219960299292586,-0.00703371131062212,0.00699862065113575,-0.000134634451653151,-0.000135793394209413,-0.000134841432309643,-0.000136512667683685,NA,NA,NA,NA,NA,NA,NA,-2.16191920233613e-05,-2.16429361995947e-05,-0.00012563813643722,-0.000125854353789967,-0.000138562871088257,-0.000138597855049757,NA,NA,NA,NA
"b_FA2A_smlr",-0.000111129466611065,-4.68138433753946e-05,-0.0887575347478781,1,-0.314984763767847,-0.291360084831813,0.0567637824986962,-0.0715671363134698,-0.0137777393113217,-0.128145694641148,0.0356939399780382,-0.11361838518907,-4.21139227905494e-06,-8.16132232370573e-06,-1.10405138169038e-05,-3.75147128641225e-06,-4.96577419489333e-05,-5.51243151182774e-05,-4.83174986120707e-05,-3.30385966106968e-05,8.95771386595211e-05,8.239759763559e-05,8.05987515591974e-05,1.55833086672826e-05,1.51104296455398e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.00913835627206655,0.100151698152335,-0.0300622546845181,-0.0276805523993861,0.00632863813129595,-0.0136258009968896,-0.00187143574044463,-0.0133776822107024,0.00392706518730601,-0.0113821595287209,3.53020877075799e-05,3.4541047548479e-05,3.2053516870996e-05,3.52061044709759e-05,NA,NA,NA,NA,NA,NA,NA,-6.00741388234875e-05,-6.01178679895879e-05,6.37735572754793e-05,6.38983536349233e-05,4.99309984254259e-05,4.9046358508343e-05,NA,NA,NA,NA
"b_FA3A_smlr",0.00021756370691453,0.000116102802167077,0.186017754554998,-0.314984763767847,1,-0.193157514420109,-0.310591478031446,0.260529217329844,0.00578995643791012,0.0304937714841289,0.0335192256792282,-0.109846743539917,2.9717906551076e-07,9.05953017285503e-06,7.1276738772285e-06,9.51903870154221e-06,8.27981414578791e-05,8.25201375624431e-05,8.42561423333414e-05,8.17352748905071e-05,-0.000171840849487085,-0.000172913907680828,-0.000170787201921492,-2.10359461981599e-05,-1.93015674567033e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.0208023743764405,-0.0281262442743143,0.0962772764501562,-0.0179446821183456,-0.0312974515079357,0.0316495633819296,0.00148130270337749,0.00654635376669219,0.00256627827489211,-0.00599708107228128,-9.52447771837262e-05,-9.14222593934147e-05,-9.30199544008537e-05,-9.18944967423764e-05,NA,NA,NA,NA,NA,NA,NA,5.52768958605786e-05,5.54406277331422e-05,-9.64317962724223e-05,-9.60908873860465e-05,-5.97575783678481e-05,-6.02624522582926e-05,NA,NA,NA,NA
"b_FA4A_smlr",-8.23245450679006e-05,-7.16351278252911e-05,-0.188378790912053,-0.291360084831813,-0.193157514420109,1,0.137638235896353,-0.141701833670854,-0.0304042329736619,-0.0308090841529315,-0.065664443605861,0.0532602855120753,4.4480860122531e-05,4.72135561885603e-05,4.11530856994262e-05,4.22177951479472e-05,-5.97180764072071e-05,-6.02065198559391e-05,-6.31763033374659e-05,-6.7381696334815e-05,9.32762291590548e-05,8.93507709128729e-05,8.34188227831873e-05,-7.97040015426558e-06,-7.32578316865873e-06,NA,NA,NA,NA,NA,NA,NA,NA,-0.0197121653470439,-0.0256651125788498,-0.0180840186662461,0.10279816710162,0.0141834992881246,-0.0138873673945165,-0.00282430796178275,-0.00318001800750015,-0.00849255541408644,0.00626013323167763,5.23117432652017e-05,5.29517906035444e-05,5.25563717344748e-05,5.19295576087659e-05,NA,NA,NA,NA,NA,NA,NA,2.40164734220785e-05,2.40481517351856e-05,3.25096856094844e-05,3.20133296408709e-05,4.64817085053878e-05,4.70978566316569e-05,NA,NA,NA,NA
"b_FA5A_smlr",-0.000164838656308755,-9.38761842789029e-05,0.069355207301549,0.0567637824986962,-0.310591478031446,0.137638235896353,1,-0.177297003151615,0.108342562826574,-0.0637107761439425,-0.038561578068431,-0.0738011986664826,-8.71984047048572e-05,-7.30700654233614e-05,-8.22977370332207e-05,-9.3861817340208e-05,-7.94144744264269e-05,-7.71739755334692e-05,-8.06029633020985e-05,-7.82407773971997e-05,0.000131424389132727,0.000125285340676366,0.000122103544149603,3.68196638528186e-05,4.23123463376171e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.0157425081737633,0.00664890054996858,-0.0312944245704379,0.0148306435032811,0.120394415416626,-0.0113486586899293,0.0129995574456733,-0.00581205073379452,0.000226601938714252,-0.00846407308357807,8.07569944160791e-05,9.06456820854387e-05,8.49592740330823e-05,7.82933905568733e-05,NA,NA,NA,NA,NA,NA,NA,-0.000118995197718082,-0.000118547638987794,0.00010034866129114,0.000100205245485342,3.81106276315721e-05,3.84972412893289e-05,NA,NA,NA,NA
"b_FA6A_smlr",0.000379428173898504,0.000281968403031547,-0.156081513026305,-0.0715671363134698,0.260529217329844,-0.141701833670854,-0.177297003151615,1,-0.000713759766039361,-0.172402423062148,-0.0503310052614276,-0.00484552317806369,7.58583471535404e-05,7.61791829130862e-05,7.48220829292632e-05,7.36017646708652e-05,-1.74323109430899e-05,-9.92063636540567e-06,1.16596110547851e-06,1.67869441921603e-05,-0.000225739953100171,-0.000213497057958129,-0.000202806158988057,7.51683454192255e-05,7.30859904067897e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.0151411056801561,-0.0133251207805623,0.0301366523509686,-0.0158717393572916,-0.00995600401084308,0.134501772373588,-0.00151700710769218,-0.0143655753777715,-0.00619781431156762,0.00188826611783611,-0.000113137545735328,-0.000110925044181966,-0.000112362485381761,-0.000113720736590592,NA,NA,NA,NA,NA,NA,NA,0.000138979016651903,0.000138742030147809,-0.00015810876929752,-0.00015777586401649,-6.65165833256115e-05,-6.58106195084713e-05,NA,NA,NA,NA
"b_FA1H_smlr",-0.00037441004165214,-0.000161504309498507,-0.0478803338983138,-0.0137777393113217,0.00578995643791012,-0.0304042329736619,0.108342562826574,-0.000713759766039361,1,-0.463850311320887,-0.00744530251921568,0.00551019296609671,-7.09520695780382e-05,-7.17279116896588e-05,-6.4847252444892e-05,-7.15062216445353e-05,-0.000311448307259504,-0.000309454126086747,-0.00031160023707083,-0.00031129944723267,0.00030789964289502,0.000309418030722987,0.000309252691062574,0.000212824377479079,0.000212684544919501,NA,NA,NA,NA,NA,NA,NA,NA,-0.00679807092998847,-0.0028091530985606,0.00054937342509304,-0.0035541358040145,0.0133969391404626,-0.00185448164694417,0.103715750956579,-0.0536394672593889,-0.000300594712696877,0.00177227284658516,0.00027347551026024,0.000271444599299473,0.000274362011224274,0.000271064167623089,NA,NA,NA,NA,NA,NA,NA,-0.000292191511476966,-0.00029222985077095,0.000209637896481517,0.000209461276048931,0.00013673024134863,0.00013684325162083,NA,NA,NA,NA
"b_FA2H_smlr",-1.72617985697472e-05,-4.43631678776556e-05,-0.200410117011631,-0.128145694641148,0.0304937714841289,-0.0308090841529315,-0.0637107761439425,-0.172402423062148,-0.463850311320887,1,0.152146757866416,-0.13469209419917,4.889071475552e-05,4.76471097302952e-05,5.00319952435845e-05,5.21375635849486e-05,7.91836056183217e-05,8.21551484605614e-05,8.85198153250624e-05,9.7741710618492e-05,-2.25437789316841e-07,-2.22110471765536e-07,1.4986876907099e-06,-8.57176199215649e-05,-8.48828606840768e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.0222045047347037,-0.00740532790565602,0.0085079910505438,8.19259908435132e-05,-0.00416774953536235,-0.0153895096244545,-0.0448112386667112,0.133595646132719,0.0227027347623557,-0.008160134193201,-6.35932971650232e-05,-6.17515120824966e-05,-6.15092697217574e-05,-6.15769887951399e-05,NA,NA,NA,NA,NA,NA,NA,8.37206586773686e-05,8.37837069775971e-05,-1.69965465159214e-05,-1.68563722130784e-05,-3.00610557577406e-05,-3.08960075762791e-05,NA,NA,NA,NA
"b_FA3H_smlr",0.00016801535012825,5.01303168321383e-05,-0.0653176838394471,0.0356939399780382,0.0335192256792282,-0.065664443605861,-0.038561578068431,-0.0503310052614276,-0.00744530251921568,0.152146757866416,1,-0.344519804999267,0.000110575267504615,0.00010849552910046,0.000109881281994088,0.000107584907392722,0.000118508968310051,0.000114603234771778,0.000113977836695307,0.000112128979019984,-0.000171368012542285,-0.000175617369286089,-0.00017546957055712,-0.000130187335729452,-0.000130876830609984,NA,NA,NA,NA,NA,NA,NA,NA,-0.00682787227597427,0.000602446315140899,0.00122140552734972,-0.00957026876356593,0.000171235975137535,-0.00517668499604079,-0.000186678045056571,0.0225703811734519,0.122509324670729,-0.0432236186653304,-0.000105399681262669,-0.000108733836643769,-0.000108257341553373,-0.00010867111959521,NA,NA,NA,NA,NA,NA,NA,0.000234117397249455,0.000234014426786219,-9.15269631660998e-05,-9.18456784574956e-05,-0.000123885142988857,-0.000123446375785062,NA,NA,NA,NA
"b_FA4H_smlr",-3.52329938267261e-05,1.55897424011309e-05,0.0159700200647149,-0.11361838518907,-0.109846743539917,0.0532602855120753,-0.0738011986664826,-0.00484552317806369,0.00551019296609671,-0.13469209419917,-0.344519804999267,1,-2.68621161286567e-05,-3.02392224067597e-05,-2.64896292846938e-05,-2.59413360830506e-05,1.26133514686323e-05,1.29837823553625e-05,1.27541936688373e-05,8.89185842340218e-06,1.20961673207349e-05,1.3177475541346e-05,1.24552249465687e-05,2.52429849127526e-05,2.45944768201438e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.0058557846143698,-0.0102823893729395,-0.00648574942745931,0.00717330232431989,-0.00812827182514531,0.00147746278111579,0.00284315335216032,-0.0112945647478429,-0.0431000890194815,0.113778134613445,1.78890925465548e-05,1.72800563713395e-05,1.86025982801546e-05,1.89807996033737e-05,NA,NA,NA,NA,NA,NA,NA,-2.63315496173091e-05,-2.64023105477311e-05,1.01306175040476e-06,1.10133181656821e-06,-1.80475622214128e-06,-1.45388101050431e-06,NA,NA,NA,NA
"b_City_Midwest_smlr",0.759720247412789,0.340950103950671,-0.00021524798051577,-4.21139227905494e-06,2.9717906551076e-07,4.4480860122531e-05,-8.71984047048572e-05,7.58583471535404e-05,-7.09520695780382e-05,4.889071475552e-05,0.000110575267504615,-2.68621161286567e-05,1,0.999999970560713,0.999999968958121,0.999999975034995,0.997597567341399,0.99759749613325,0.997597573162172,0.997597528877447,-1.10048532805765,-1.10048536138392,-1.10048537616394,-0.847189349096542,-0.847189338757268,NA,NA,NA,NA,NA,NA,NA,NA,1.15617914150234e-05,4.87796720896816e-05,-2.12692434277826e-05,-2.01655312312374e-05,-1.96742518285294e-05,-0.000105868684967486,-8.60948815800958e-05,6.78923041248016e-05,1.18683199061822e-06,-5.65667193818592e-06,-0.717921798102872,-0.717921885964426,-0.717922087782379,-0.717921922243824,NA,NA,NA,NA,NA,NA,NA,-0.335278693990964,-0.335278739858587,-0.122265455929695,-0.122265470752817,-0.591234957589439,-0.591235109869742,NA,NA,NA,NA
"b_City_Northeast_smlr",0.759720263845593,0.340950123743704,-0.000221603239030177,-8.16132232370573e-06,9.05953017285503e-06,4.72135561885603e-05,-7.30700654233614e-05,7.61791829130862e-05,-7.17279116896588e-05,4.76471097302952e-05,0.00010849552910046,-3.02392224067597e-05,0.999999970560713,1,0.999999974134972,0.999999980283673,0.997597618026841,0.997597547057154,0.99759762363213,0.997597578263681,-1.10048537293529,-1.1004854071895,-1.10048542285045,-0.847189387722696,-0.847189377857261,NA,NA,NA,NA,NA,NA,NA,NA,1.0633683850464e-05,4.84321834280366e-05,-2.0532197682268e-05,-1.98099833954215e-05,-1.74850539628869e-05,-0.000105450065926172,-8.65772509030136e-05,6.73312569473894e-05,7.78894784530848e-07,-6.0500343069268e-06,-0.71792185424157,-0.717921914906484,-0.717922130184363,-0.717921964734342,NA,NA,NA,NA,NA,NA,NA,-0.33527863041008,-0.335278676336518,-0.122265488506999,-0.122265503344642,-0.59123502067335,-0.591235172926518,NA,NA,NA,NA
"b_City_South_smlr",0.759720243202501,0.340950117086159,-0.000215643527277953,-1.10405138169038e-05,7.1276738772285e-06,4.11530856994262e-05,-8.22977370332207e-05,7.48220829292632e-05,-6.4847252444892e-05,5.00319952435845e-05,0.000109881281994088,-2.64896292846938e-05,0.999999968958121,0.999999974134972,1,0.999999978180148,0.997597605856187,0.997597535356734,0.997597612229407,0.997597567687691,-1.10048534791585,-1.10048538153414,-1.10048539729029,-0.847189378274882,-0.847189367915051,NA,NA,NA,NA,NA,NA,NA,NA,1.11322427009272e-05,4.81001016307711e-05,-2.08101476692673e-05,-1.99022666877853e-05,-1.86678803830647e-05,-0.000105837258368882,-8.58142272165123e-05,6.80412215574091e-05,7.50497986424815e-07,-5.54925072746146e-06,-0.717921860917717,-0.717921935008975,-0.717922124111492,-0.717921971627998,NA,NA,NA,NA,NA,NA,NA,-0.335278686288106,-0.335278732164224,-0.122265462687693,-0.122265477530341,-0.591235020324187,-0.591235172568019,NA,NA,NA,NA
"b_City_West_smlr",0.759720275801358,0.340950113146815,-0.000218723240632202,-3.75147128641225e-06,9.51903870154221e-06,4.22177951479472e-05,-9.3861817340208e-05,7.36017646708652e-05,-7.15062216445353e-05,5.21375635849486e-05,0.000107584907392722,-2.59413360830506e-05,0.999999975034995,0.999999980283673,0.999999978180148,1,0.997597601225816,0.997597530897817,0.997597607818569,0.997597563505852,-1.1004853534663,-1.10048538718793,-1.10048540279967,-0.847189377989016,-0.847189367701966,NA,NA,NA,NA,NA,NA,NA,NA,1.0850497484186e-05,4.90344230903635e-05,-2.03631701445945e-05,-2.01186442453679e-05,-2.0444009171419e-05,-0.000106203775307707,-8.67974127581511e-05,6.83765588145229e-05,4.3107956143691e-07,-5.24266746896811e-06,-0.717921844125756,-0.717921918372328,-0.71792212040243,-0.717921948249269,NA,NA,NA,NA,NA,NA,NA,-0.335278661164095,-0.335278707029477,-0.122265475961817,-0.122265490770003,-0.59123501263404,-0.591235164876707,NA,NA,NA,NA
"b_Age_GenZ_smlr",2.07664553782393,0.653660673954564,0.000221351448960211,-4.96577419489333e-05,8.27981414578791e-05,-5.97180764072071e-05,-7.94144744264269e-05,-1.74323109430899e-05,-0.000311448307259504,7.91836056183217e-05,0.000118508968310051,1.26133514686323e-05,0.997597567341399,0.997597618026841,0.997597605856187,0.997597601225816,1,0.999999983964445,0.99999998295625,0.999999979846502,-1.27712610090471,-1.277126098039,-1.27712612229873,-0.886763321727236,-0.88676333243187,NA,NA,NA,NA,NA,NA,NA,NA,-1.38452846907478e-05,-8.59653061215889e-06,8.87335977852288e-05,-0.000110732585189011,-0.000101665350113041,0.000265719074582385,-0.000190927309830863,6.59428803422738e-05,-2.07271374352321e-05,6.46989640984572e-06,-0.920822352522519,-0.920822410297379,-0.920822579187506,-0.920822580905565,NA,NA,NA,NA,NA,NA,NA,1.19949483941347,1.19949483679775,-1.19254849415643,-1.19254853178271,-0.409166495324333,-0.409166504659306,NA,NA,NA,NA
"b_Age_Millenials_smlr",2.07664558910019,0.653660735265233,0.000228896222750156,-5.51243151182774e-05,8.25201375624431e-05,-6.02065198559391e-05,-7.71739755334692e-05,-9.92063636540567e-06,-0.000309454126086747,8.21551484605614e-05,0.000114603234771778,1.29837823553625e-05,0.99759749613325,0.997597547057154,0.997597535356734,0.997597530897817,0.999999983964445,1,0.999999993619969,0.999999990360294,-1.27712611878361,-1.27712611646492,-1.27712614027477,-0.886763253364947,-0.886763263673112,NA,NA,NA,NA,NA,NA,NA,NA,-1.25959262418315e-05,-9.40906246069443e-06,8.86699506263266e-05,-0.000110931081946136,-0.000101269002172329,0.000266987880298167,-0.000190980309062471,6.6717601150769e-05,-2.10784087742949e-05,6.57866779320056e-06,-0.920822403101452,-0.920822460939251,-0.920822629618125,-0.920822631331509,NA,NA,NA,NA,NA,NA,NA,1.19949481581312,1.19949481323443,-1.19254854723487,-1.19254858504533,-0.409166517001936,-0.409166526504722,NA,NA,NA,NA
