"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr"
"asc_smlr",13233127.5771586,-7638307.60826019,0.055971457645632,-0.0256751443173552,0.0590379025043212,-0.0191439063045163,-0.0305228502626571,0.0761273643757995,-0.0849732502477797,-0.00402337812537246,0.0318251105133649,-0.00609368908945558,1934130.18228663,1934130.21671593,1934130.10273168,1934130.23186485,8650705.43376701,8650705.04298731,8650705.35822372,8650705.51240451,-7928853.77703363,-7928853.89371846,-7928853.72446403,-20978129.2066258,-20978129.192782,-1266450.86381948,-1266450.84855744,-1155925.86604633,-1155925.90350277,-2039840.402506,-2039840.94171718,9551237.98750719,9551238.13457221,-0.00236934999477094,0.00328919367072871,0.0337623750213578,-0.0356065178707074,-0.0216164489377583,0.084257891064258,-0.0443771446530871,0.00367190094844185,-0.00446465745152583,-0.00268172705070934,-87394.2617085704,-87394.2426513873,-87394.2876256213,-87394.2482363769,-6455865.77112204,-6455865.53408856,-6455865.98999441,-6455865.69234134,-5190230.03796211,-5190229.66715511,-5190229.68602235,19625159.1517914,19625158.7812691,-11189262.1201183,-11189263.09082,-5568767.26694051,-5568767.5897479,9804718.69032427,9804718.46816238,6699950.61817229,6699950.23682742
"asc_grtr",-7638307.60826019,19234846.7598045,0.0314299859040951,-0.0130398044009381,0.0379839641126516,-0.0200835451255675,-0.0209572630661574,0.0682063452201081,-0.0441908111542829,-0.0124663831935408,0.0114481292551742,0.00325074422016252,1046492.07550212,1046492.1322465,1046492.07857447,1046492.0914489,3282877.09515246,3282877.17371444,3282877.05333295,3282877.09805465,2827333.24191161,2827333.2813635,2827333.2448144,-2923097.43539604,-2923097.6193121,128242.93032815,128242.967200107,-3565388.53608503,-3565388.586608,-1946436.16897169,-1946435.96907878,8788283.3396953,8788283.02300307,-0.0108333398065628,-0.00642296340697732,0.0390242707686415,-0.0324968834466614,-0.0199964220174097,0.104387601676702,-0.0197268627518268,-0.0129141012123328,-0.00254391000481341,-0.00482726291340781,-133278.839561592,-133278.816855453,-133278.767468294,-133278.884810678,-4672620.86595235,-4672620.80369364,-4672620.34377643,-4672620.61964532,-4073719.5210714,-4073719.59330807,-4073719.39215792,6973880.47193327,6973880.83023396,-11132571.8999887,-11132571.472392,-4589354.26390738,-4589354.06910901,1944773.18355054,1944773.17565717,-3551955.92048745,-3551956.07619795
"b_FA1A_smlr",0.055971457645632,0.0314299859040951,0.00339853163431311,-0.000328627046267612,0.000808934347391186,-0.000702017008537606,0.000205806697282393,-0.00050185365749727,-0.000174143120138273,-0.000748581096974774,-0.000198274171609072,4.42639956708178e-05,-0.0087818394975706,-0.00904112579913545,-0.00879797698128583,-0.00892362551546264,0.0147769882742479,0.0152806614963494,0.0150877999908845,0.014724421407904,-0.0278615765448455,-0.028084820042085,-0.0284277100889809,-0.0117468902523917,-0.0118425439202549,0.00762606003297069,0.00691194962009277,-0.00205677666947724,-0.00238438368064761,-0.0312893698972737,-0.030956132506032,0.00396860518621105,0.00438823909977977,0.000438506077117376,-2.63955926128102e-05,0.000101364214655484,-7.48692574069806e-05,5.24955320218576e-05,-5.4328608178433e-05,-2.62962186051884e-05,-8.19407886178027e-05,-2.23160233664003e-05,2.09788312875186e-05,-0.00160166868418222,-0.00161545582944922,-0.00160413050245041,-0.0016240124580252,0.0141386978451714,0.0142052694035007,0.0141912502097912,0.0141454185039813,0.00338540708476076,0.00336113287062967,0.0032996330493623,-0.00572941458473804,-0.00573570727814137,-0.0287053712024533,-0.0287547714145237,-0.00995704273509066,-0.00995955560215077,0.00108260613154382,0.0011006563706345,-0.00402276023422465,-0.00400201065779456
"b_FA2A_smlr",-0.0256751443173552,-0.0130398044009381,-0.000328627046267612,0.00403371144750667,-0.0014922967069984,-0.00118291200574463,0.000183509483070827,-0.000250695202115989,-5.45926114995101e-05,-0.00052147079363921,0.000118042014410833,-0.000343084044277606,-0.000187188369703556,-0.00036275523943657,-0.000490729804203077,-0.000166745755161747,-0.00361158035656916,-0.00400916094707029,-0.00351410505126195,-0.00240287888171218,0.00876714597127662,0.00806446588603191,0.00788840785128691,0.00343735371668933,0.00333304635160948,-0.00224354673618401,-0.0020952173020334,0.00178184900277872,0.00107655647566569,0.0126802835783384,0.0133451905116416,0.0047645831133563,0.00432860556611145,-3.54567418964761e-05,0.000443008348595272,-0.000150151570526226,-0.000111454927241396,2.20203543487218e-05,-4.92126945379339e-05,-8.49498133520511e-06,-5.42929535301019e-05,1.35739777817377e-05,-3.71706589417675e-05,0.000457534264288271,0.000447670734231718,0.000415430886223448,0.000456290189893866,-0.00243203831495014,-0.00248651737269118,-0.00241389313275363,-0.00230934533744551,0.00183867050936464,0.00175283911363489,0.00171696619363171,-0.017344632384754,-0.0173572582696357,0.0158740988089217,0.0159051620916936,0.00390895349198756,0.00383969718256298,0.0122286187851728,0.0122967190528379,-0.00147693118612012,-0.00152300654618469
"b_FA3A_smlr",0.0590379025043212,0.0379839641126516,0.000808934347391186,-0.0014922967069984,0.00556450375564248,-0.000921074584875855,-0.00117933591920462,0.00107188852974804,2.69458575106174e-05,0.000145746427272645,0.000130195779716507,-0.000389582913423584,1.5514299963401e-05,0.000472954808742641,0.000372101804839323,0.000496943550826062,0.00707280540536769,0.00704905718836214,0.00719735086278227,0.00698201251319135,-0.0197536915845168,-0.0198770436331505,-0.0196325707561665,-0.00544988589409648,-0.00500055174048919,0.0059410532046228,0.00663397802436834,-0.002620035464174,-0.00327432345193799,-0.0334199086842943,-0.0335787878541369,-0.0118691320405566,-0.011469221331781,9.47991524328955e-05,-0.000146125544867236,0.000564797715796576,-8.48635305219976e-05,-0.000127903910007328,0.000134259069210004,7.8975454006452e-06,3.12049053757073e-05,1.04184611621889e-05,-2.3002567718432e-05,-0.00144985713506725,-0.00139166900787958,-0.00141598947012843,-0.00139885747569082,0.0112577723567782,0.0112606299659394,0.0112832221797688,0.0112626525016699,-0.00253605657786568,-0.00252596976450044,-0.00250031619010115,0.0187448512554939,0.0188003744957779,-0.0281922345199675,-0.0280925680175326,-0.00549470079727486,-0.00554112329026685,-0.0261770398647608,-0.0262143184611586,-0.00427100458550438,-0.0042492823879757
"b_FA4A_smlr",-0.0191439063045163,-0.0200835451255675,-0.000702017008537606,-0.00118291200574463,-0.000921074584875855,0.00408639121362062,0.000447861612357047,-0.000499603428400267,-0.000121257194352601,-0.000126189237325966,-0.000218569696384613,0.000161872455849701,0.00198995794790734,0.00211221165165923,0.0018410819131713,0.00188871428701199,-0.00437153220438341,-0.00440728733928569,-0.00462468401618369,-0.00493253057942284,0.00918860515014377,0.00880190993626147,0.00821755568448709,-0.0017695475399336,-0.0016264329246995,-0.00330237701483022,-0.00413582551633263,0.00137990437438982,0.00189309867441784,0.01787252131076,0.0179674262963592,-0.00127459301899067,-0.0012968285525128,-7.69808373550201e-05,-0.000114265289389315,-9.09119206628766e-05,0.000416607849325175,4.96723821408483e-05,-5.04838636224027e-05,-1.29037849626006e-05,-1.29900172927379e-05,-2.95457466837673e-05,2.0576747349229e-05,0.000682401517463701,0.000690750816889624,0.000685592452985688,0.000677415825457638,-0.00719748874323375,-0.0071972653694769,-0.00720531739580733,-0.0072290319634583,0.000253897977825733,0.000209139328972589,0.000135129111502053,0.00697917902590672,0.00698838488609119,0.00814476884910988,0.00802041488884959,0.00366260338855169,0.00371115340849039,0.00243980950488993,0.0024579491622434,0.00520900959216486,0.00522179744060799
"b_FA5A_smlr",-0.0305228502626571,-0.0209572630661574,0.000205806697282393,0.000183509483070827,-0.00117933591920462,0.000447861612357047,0.00259101269859033,-0.000497755576642095,0.000344062521689921,-0.000207788363538336,-0.0001022066793543,-0.000178606673077038,-0.00310630475725121,-0.00260300508634728,-0.00293172614595666,-0.00334367821629135,-0.00462905496809453,-0.00449845638937036,-0.00469833157418499,-0.00456064011539446,0.0103090673225374,0.0098275140774913,0.00957793021935333,0.00650918669577149,0.00748021371153798,-0.000451524067057615,-0.000841934421582538,0.0022041132947093,0.00224141902066584,0.01730118113483,0.016314547873009,0.00276914192999666,0.00327692127093112,4.89538693800955e-05,2.35714222211652e-05,-0.000125273051538908,4.785935842224e-05,0.000335739731615818,-3.28505007851988e-05,4.72931709724618e-05,-1.89048983448565e-05,6.27747514295021e-07,-2.21532451479582e-05,0.00083885276036467,0.00094157014075854,0.000882503111040893,0.00081326225461716,-0.00434675312209535,-0.00433038250217005,-0.00432110402089837,-0.00430213157066061,0.00154377254676248,0.00148620429861788,0.00143646857448504,-0.0275352698867679,-0.0274317062209135,0.0200189998718085,0.0199903889461552,0.00239121546593283,0.00241547291924306,0.021341304232105,0.0211900419683922,0.0067223856867518,0.00677475217208941
"b_FA6A_smlr",0.0761273643757995,0.0682063452201081,-0.00050185365749727,-0.000250695202115989,0.00107188852974804,-0.000499603428400267,-0.000497755576642095,0.00304200509913575,-2.45604050632265e-06,-0.000609251897492351,-0.000144545735361271,-1.27063302449717e-05,0.00292808780695173,0.00294047186825391,0.00288808851154049,0.00284098501036289,-0.00110101398110273,-0.000626581215324106,7.36413795559892e-05,0.00106025295317506,-0.0191865565171564,-0.0181459833968852,-0.0172373197088949,0.0143988264696697,0.0139999418495695,0.0110440681878504,0.0116942243852141,-0.00474417481713193,-0.00444015583027467,-0.0555514120174744,-0.0553232402724635,-0.02664196363652,-0.0269016097958212,-5.10171138606638e-05,-5.11861308353331e-05,0.000130716644982857,-5.54979061208343e-05,-3.00833819435573e-05,0.000421862250343759,-5.9800206036468e-06,-5.06306115575956e-05,-1.86039489503253e-05,5.35508473670669e-06,-0.0012733785865708,-0.00124847647923492,-0.00126465477268684,-0.00127994225679933,0.0175361699289833,0.0176040738380597,0.0177280542215502,0.01785065337765,-0.00407154476814142,-0.003936262842864,-0.0038001856928724,0.0348461125667537,0.0347866938670855,-0.0341768435179657,-0.0341048821424802,-0.0045221789205199,-0.00447418297462595,-0.0674696808576166,-0.0674578100966288,-0.00947277942888382,-0.00951214750552056
"b_FA1H_smlr",-0.0849732502477797,-0.0441908111542829,-0.000174143120138273,-5.45926114995101e-05,2.69458575106174e-05,-0.000121257194352601,0.000344062521689921,-2.45604050632265e-06,0.00389230608777125,-0.0018541928470851,-2.41866405808863e-05,1.634443059706e-05,-0.00309791367676039,-0.00313178853132103,-0.00283136467046446,-0.00312210906213457,-0.022250889073012,-0.0221084166816169,-0.0222617425380363,-0.0222402527036128,0.0296020178320432,0.0297479988555959,0.0297321016044961,0.0461144467449726,0.0460841468037787,0.0037007848804201,0.00347532779344347,0.00771800233533601,0.00779790770951061,0.0553781771225795,0.0554328046757274,-0.0323915316241401,-0.0325748344728866,-2.59100058413671e-05,-1.22061887386059e-05,2.69542378077349e-06,-1.40575493601356e-05,4.57900062794202e-05,-6.57943682631717e-06,0.000462469722190765,-0.000213844521076067,-1.02063730918961e-06,5.68535063661763e-06,0.00348171127710785,0.00345585477327597,0.00349299651331787,0.00345101103955536,-0.00315568841268718,-0.00315187530298702,-0.00315261987415281,-0.00315232404658689,-0.00240150120515654,-0.00238737165535829,-0.00238550894999438,-0.0828697864370088,-0.0828806618378385,0.0512589031716964,0.0512157167307129,0.0105149185346421,0.0105236082057028,0.038224177536692,0.0382175205811719,0.0291601271903841,0.0291539708615907
"b_FA2H_smlr",-0.00402337812537246,-0.0124663831935408,-0.000748581096974774,-0.00052147079363921,0.000145746427272645,-0.000126189237325966,-0.000207788363538336,-0.000609251897492351,-0.0018541928470851,0.00410532092063122,0.000507605089490648,-0.000410312885827936,0.00219230358539463,0.00213653921031379,0.00224347954824782,0.00233789517726225,0.00580987422575836,0.00602790239822792,0.00649489207691043,0.00717152252856123,-2.22591671727476e-05,-2.19306364916979e-05,0.000147976695420509,-0.0190746157481589,-0.0188888574938,-0.00612461088031761,-0.00632710152201993,-0.00125842758629392,-0.00217977561266698,-0.00208983872792318,-0.00155004011644811,0.0238151871710032,0.0239546976207605,-8.69146475750538e-05,-3.30460099485816e-05,4.28702973803105e-05,3.32787775676263e-07,-1.46297462630024e-05,-5.60739340728574e-05,-0.000205208620490069,0.000546985784908958,7.91659342399063e-05,-2.68840091793774e-05,-0.000831487489048403,-0.000807405936499713,-0.000804238405648412,-0.00080512395435863,-0.009558246108928,-0.00952807920527964,-0.00942330102903252,-0.00935483688189228,0.000719984372265777,0.000741315819062529,0.000744115474023847,0.0243854808986555,0.0244038456358502,-0.00426805754541118,-0.00423285786752879,-0.00237419083676841,-0.00244013420129123,0.00956875162061869,0.00960547825749828,-0.00537866639027858,-0.00542096371046038
