"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr"
"asc_smlr",1,-0.479599671727976,0.0595256703488995,-0.0187897351637656,0.050552598984966,0.00586336584208066,-0.0382816686176173,0.0598399213404446,-0.0643618365578893,-0.0270101876746568,0.00556152738155108,0.00851056989060454,1.08548379632866,1.04226481169547,1.10706468526221,1.07214935235674,-0.219055910562942,-0.20638626303322,-0.212747281816409,-0.196870238522957,-0.738984228816821,-0.894417947272838,-0.751585039054229,-0.0326098337834436,-0.0301990849691439,-0.590647141252701,-0.588130575087762,0.529809457625409,0.549084508923561,0.478619348336636,0.477766770910872,-0.627506443467275,-0.63042571165714,-0.0214699968385205,0.0204584555478444,0.013831513643293,-0.0158404252195079,-0.0374002407408201,0.0546668076932076,0.00655158043532357,-0.0302949688104617,-0.0343386647331466,-0.00728086393235634,0.371138727025854,0.37683412007695,0.379553486827413,0.376141114663595,0.666140358132469,0.627921201969092,0.690598454378194,0.675045760672773,0.466212717290083,0.459943041089788,0.464874652040066,-0.403443394329809,-0.401610861912822,0.298062135526137,0.306566478150601,0.542372890437524,0.547262884671431,-0.0920564270956988,-0.109077749727234,0.445772582479561,0.855790524513141
"asc_grtr",-0.420507139074656,1,0.0232922890924548,-0.0129261854191853,0.0130750515066184,-0.0112762146236863,-0.0131527654720328,0.0563816460907388,-0.043044963023253,-0.00285240114465699,0.00924680021758041,-0.000732293185474266,-0.721654115862794,-0.691511733522134,-0.735761769481864,-0.711954252299473,0.933413808596707,0.869681218835875,0.902637111293407,0.839747436355723,0.238911633385646,0.289119590833214,0.243059592796828,-0.750214862315238,-0.694287400445005,1.05704842966998,1.05288536012292,-0.925134037491232,-0.959155501791678,-1.06135919350111,-1.06105269795184,0.995296158833166,0.999820208658207,0.0256917600882264,-0.0201527413407679,0.0476426057501029,-0.0343400409576689,0.00233506363163719,0.0750024281267514,-0.048302121252804,0.0205228222501292,0.0205452621157848,0.00209783853429399,-1.06384596403132,-1.06190928833499,-1.08362177248195,-1.06702762505704,-0.917223054821401,-0.862859065622944,-0.949554925489934,-0.92787404039766,-0.937698101809203,-0.92385351114881,-0.93348819521862,0.981143613116135,0.976270947469036,-0.907891891090419,-0.938439977694272,-0.986782122648849,-0.996472968252963,-0.922339420043045,-1.08437096861584,0.467525577664061,0.900769921365004
"b_FA1A_smlr",0.0595258993890839,0.0232923257361453,1,-0.0455745545034585,0.258394794176833,-0.282252391616002,-0.00331460998574716,-0.173669965066053,-0.0901371602671535,-0.16520905515039,0.0251623956087836,-0.0437656182424824,-0.0367287057590793,-0.0360155937767027,-0.0382758861393965,-0.0357474543947188,0.0418012914462087,0.0393776735251211,0.0406403234851471,0.0366960347983297,-0.0619649042724287,-0.075625800999841,-0.0647422230481996,-0.015191084691562,-0.0145189342099936,0.0216363652062657,0.0205679690018437,-0.00474736521444685,-0.00581276340328826,-0.0232722319544284,-0.0232599066761673,-0.00129087861861888,-0.00101941430860526,0.136913410196743,-0.00411812286698641,0.0224460687695925,-0.0210386137500887,0.0248947936083622,-0.0120355275397595,-0.00783242709609526,-0.0257448670984302,-0.00318641986383675,0.00126231004750018,-0.0297875313843594,-0.0297764675616388,-0.029523617509143,-0.0305287750172559,0.027968395658402,0.0265589092452728,0.0291426855403502,0.0284843975565225,0.00435969635746257,0.00425977262833499,0.00421280727058621,-0.0011353379545742,-0.00111692078999532,-0.0210149154684691,-0.0217672922090092,-0.00858013507511336,-0.00868203640014421,0.00542271360167434,0.00644678440885529,-0.0671018729650768,-0.130042532431611
"b_FA2A_smlr",-0.0187898077618796,-0.0129261268955332,-0.0455745545034063,1,-0.361944778716859,-0.311551009565178,0.0912507908899903,-0.075950514701142,-0.0552330296575434,-0.051497742530288,0.0169353437567948,-0.118602844049122,-0.0215192367876513,-0.0216618374788736,-0.0200006040428347,-0.0220688931261326,-0.0107921124162511,-0.00988482945155566,-0.0087731973309784,-0.00572137826846747,0.0115105589294966,0.0127685666766929,0.0109950466121145,0.0103527374511725,0.009570204952372,-0.00960418460521484,-0.00974307229236222,0.00802363594008122,0.00731971722364527,0.00699260152134859,0.00745029978789427,0.000295346841931361,0.000141505734412515,-0.00451305927488913,0.0858811007095144,-0.0298048342673985,-0.0178585752562155,0.00886099912249725,-0.0145205406800602,-0.0021235929651963,-0.0074683125586669,-0.0107677229984336,-0.00305906577163389,0.00635673621882576,0.00808097798640415,0.0071879912747591,0.00799509550579708,0.00272520845136155,0.00241383455608323,0.00273287891636194,0.00286315151475733,0.00819111320194584,0.00803714562400402,0.00810528911473596,-0.0100746544723646,-0.0100266836422178,0.0133254937566899,0.0137730436613102,0.00584750541966005,0.00584375719347191,0.0233569965737098,0.0275394467778589,-0.00471939413615149,-0.0100007835615944
"b_FA3A_smlr",0.0505525715041252,0.0130751785183866,0.258394794176826,-0.361944778716837,1,-0.123556203940504,-0.334640648382568,0.193526740847278,0.00881160812340846,-0.0333234875234891,0.098101670008359,-0.131114240097241,0.0351355103038976,0.0349351442536542,0.0375136152756175,0.036093117383867,0.0234194596450056,0.0209647845173655,0.0218473016454972,0.0191171926054186,-0.0453587992786944,-0.0557223560420768,-0.0465076779545467,-0.0212843776505717,-0.0193946479730167,0.00707595747626511,0.00884195384902741,-0.00294980268569257,-0.00326564126192335,-0.001899897289101,-0.00207790176199769,-0.0105741535187744,-0.0103728907390088,0.0257181508554864,-0.0272484246151355,0.0949967771404801,-0.0171689918840724,-0.0326389915850493,0.0352680152949477,0.00137056422179543,-0.000866019078319958,0.0118765955970733,-0.0106441787992992,-0.00845662193260524,-0.00790564817491708,-0.00771599772077437,-0.00841783926314208,0.00860770492389028,0.00831893909185403,0.00922607546693052,0.00883194736376949,-0.00214321311485332,-0.00214226940425855,-0.00213383387167017,0.00683143511113952,0.00681946276184062,-0.0136599085497345,-0.0141010096793778,-0.00139304641428971,-0.00140175221058538,-0.0258509514896812,-0.0303356112831041,-0.0488108254368231,-0.0945326585319906
"b_FA4A_smlr",0.00586344843266094,-0.0112762484864173,-0.282252391616008,-0.311551009565176,-0.123556203940473,1,0.12781442600257,-0.0450566959319321,-0.0220287349107761,-0.10481344624936,-0.0984898160983017,0.0347743159292304,0.0480638891797945,0.0487004659282525,0.0489510117608308,0.0482019367766232,0.0020461770448902,2.01115514950907e-05,0.000278250640349981,-0.000490139900656791,0.00359526675274964,0.00212091943739774,0.000950686379450447,-0.0281156834915895,-0.0254968972123373,-0.0119521125700878,-0.011685958079197,-0.000599066138321569,-0.000246115423041323,0.00927291732543965,0.009173495217854,0.00146211367244429,0.00126756934830475,-0.0230288158899796,-0.0131370223645486,-0.0162196093197728,0.0874553683209518,0.0184087932841545,-0.0144569805914409,-0.00395222517837498,-0.00462840619018609,-0.00785923839100194,0.00606726752016585,0.00117341114953966,-0.000629226376679937,6.75117352692969e-05,-9.53214336934228e-05,-0.0176786255372448,-0.0166296746782487,-0.0182911242761108,-0.0178434590042405,-0.00878656834416192,-0.00875801962284816,-0.00891656443224173,0.0133977949946281,0.0133384791588415,-0.000662273649785297,-0.000763079061440204,0.000186426664962539,0.000214708553859538,-0.0231717564558066,-0.0271723666980103,0.0277780778617111,0.0552179257741384
"b_FA5A_smlr",-0.0382818639810573,-0.0131528053657459,-0.00331460998583732,0.0912507908900525,-0.334640648382728,0.127814426002627,1,-0.0977667768260183,0.142134739471294,-0.0809189129754391,-0.0599433610652442,-0.0740271895868435,-0.0388253859174412,-0.0320822132108879,-0.0379051530071995,-0.0404590229871547,-0.0162520304707341,-0.0150166993672074,-0.0161923043208041,-0.0142790425925694,0.030572546155538,0.0364298575947497,0.0303303231542727,0.0161232100878484,0.015539080094823,0.00285996227788832,0.00134523395087606,0.00219114165205042,0.00192485229862172,0.0068705842844633,0.00630235212488125,0.00520807105674261,0.00542485610058591,0.0249591207479657,0.00849172101233787,-0.0346163105593213,0.0206773534799582,0.127460795042752,-0.024739907377703,0.0149529255079217,-0.00518335147307709,-0.0126337662597573,-0.00273862575784294,0.0119393366795675,0.014465673794745,0.0147684115218142,0.0121432720088167,-0.00990881427177125,-0.0092989847127964,-0.0102210362279135,-0.0101438548890115,0.000323906584288033,0.00029604849206655,0.000107190340041247,-0.00851904742404057,-0.00841365320328929,0.0138512962216684,0.0143429283108014,-8.54701142939525e-05,-0.000115300755574349,0.0357399245142398,0.0416065545170165,0.083382244762478,0.163451235895019
"b_FA6A_smlr",0.059840427203704,0.0563817853942692,-0.173669965065678,-0.0759505147012408,0.193526740847522,-0.0450566959320462,-0.0977667768259545,1,0.0105515964863617,-0.252458566101097,-0.084216198991939,0.0244998096547826,0.0118044444569676,0.0120174867802708,0.0143203626888351,0.0113722402335823,-0.00886337402023124,-0.00661810406983469,-0.00456668041545661,-0.0015692099313649,-0.0384810782438087,-0.0443486791901017,-0.035175504306294,0.0169628367467357,0.0155292195326411,0.0359893346130231,0.0380492332837802,-0.00611925169175854,-0.00493292813901433,-0.0371541620935963,-0.0369813886350461,-0.00914363678959772,-0.00932181577970033,-0.00323720184701609,-0.0154024429274033,0.0391559173806202,-0.018827406976994,-0.0197138239875288,0.128201576831972,-0.00429292268529874,-0.0189147366141051,-0.00953263261562888,0.00470061357231732,-0.0221241064297421,-0.0222127134803255,-0.0208758891420306,-0.0221159452556579,0.0347178752620323,0.032775839269446,0.0365047889383211,0.0355021593618443,-0.00246878623832589,-0.00237280254446766,-0.00227822340725917,0.0098997304569305,0.00982365981558702,-0.0234966791499406,-0.0242419825284736,-0.00288805106902227,-0.00291401065592201,-0.124185180734001,-0.145874710979266,-0.0862206987607345,-0.168572954462523
"b_FA1H_smlr",-0.0643622148994409,-0.0430450756983892,-0.0901371602672101,-0.0552330296574105,0.00881160812314828,-0.022028734910669,0.142134739471128,0.0105515964866205,1,-0.446149547172717,0.027811593389025,0.0546467905343355,-0.0211203025316904,-0.0224179739379388,-0.0225268666289788,-0.0209228125338484,-0.0582843257269251,-0.0526276171016633,-0.0540023730708931,-0.0498302178031154,0.0564482486519196,0.0698898757442994,0.0574423878405369,0.0475863099858872,0.0443460664463874,0.00747722326555218,0.00742912895521682,0.0226306387339105,0.0237822919167844,0.0307177022374538,0.0309346257769048,-0.0135526931633473,-0.0135751813845495,-0.011066201387713,-0.00229048204489824,-0.000727192503117179,-0.00398140064338093,0.0127321680012181,-0.00393366342322963,0.0982897337723618,-0.0473341230936223,-0.0021896627755944,0.00290509098991579,0.064731420831413,0.0640700052226315,0.0661708735593885,0.0641330429449806,-0.000722890446574749,-0.000787025002071638,-0.00079361638663342,-0.000787829544317472,0.00507622905686901,0.00500427250068523,0.00501831200453942,-0.0304487592214251,-0.0302781451591827,0.0413058603698919,0.0427717259768691,0.0104268017461852,0.0105283411060042,0.0799770574932523,0.0941017159171539,0.272316995811741,0.531473322257551
"b_FA2H_smlr",-0.0270101734233334,-0.00285247496346711,-0.165209055150449,-0.0514977425303034,-0.0333234875234555,-0.104813446249371,-0.0809189129754085,-0.252458566101177,-0.446149547172659,1,0.100662003128793,-0.0880590293837924,-0.013754336996264,-0.0141178367968354,-0.0158724137322763,-0.014016572527715,0.0175003522349376,0.0153513662051244,0.0157542243473955,0.0162967915088392,0.00711479396256386,0.00868599234330537,0.00811903252095545,-0.00888899234685273,-0.0083207599255577,-0.0146500739626347,-0.0177131998528486,-0.00820598923458874,-0.0111215914957052,0.00390769562822165,0.00443337916131308,0.0136638180086653,0.0137618241568429,-0.0270445750652873,-0.00583733260367323,0.0060731833726304,0.00683771443863522,-0.00446114593574817,-0.0236293154138677,-0.0371439457358482,0.12501875957402,0.0313776338869248,-0.00873393802830484,-0.0132234782159365,-0.0126477776734905,-0.0129672804884918,-0.0129815005417297,-0.0250302561598258,-0.0233846696472464,-0.0256364095662127,-0.0251829238559995,-0.00200491823990804,-0.00197027205491406,-0.00196095135965039,0.00834997832491321,0.0083115182028967,-0.00646975200286194,-0.00673059348213875,-0.00518423541346331,-0.00521254638597507,0.0200951017392707,0.0236408027471581,-0.0397037813083973,-0.0794685630082602
