"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr"
"asc_smlr",506.292517097571,-237.504583548332,0.0791243040579484,-0.0261646227801342,0.0825840581938972,0.00922348424790528,-0.042847714658915,0.0768793487638741,-0.0917548326129766,-0.0400659446447531,0.00659894805698474,0.00936334446960655,74.5512549518457,74.5227625907838,74.5142664010828,74.5726105013234,-35.032673095394,-35.4479061914763,-35.1892617059222,-35.0081913584419,-143.213110372169,-143.316678209983,-143.183035070319,-15.1367101208473,-15.154793682368,-75.3791849072358,-75.3766214628717,104.669459790312,104.665913388859,312.568024241892,312.015013357284,-728.183658970939,-728.051124509967,-0.0290510930335401,0.034780826310736,0.0248306928738842,-0.0241705502938839,-0.0482487562134046,0.0721661285808931,0.011026345825317,-0.0460287969988628,-0.0408677144341624,-0.00891193119309004,8.68886435275894,8.83836128329848,8.69809569958318,8.80680081572153,149.853902468628,150.125957681399,149.697394134979,150.0009784944,196.115204211603,196.422084186117,196.349072822012,-538.704172270035,-539.092543988973,168.785722592884,167.809994802417,257.324610629447,257.014244399963,-21.7158977108481,-21.8911262153196,18.4699326833358,18.188862942472
"asc_grtr",-208.241120318517,484.378354834263,0.0302837316782188,-0.0176058018593675,0.020892371999615,-0.0173501390882281,-0.0143994362526489,0.0708513357888839,-0.0600225535562525,-0.00413856705755197,0.0107315811566876,-0.000788041267267394,-48.4788507870869,-48.3617528789429,-48.4390102240777,-48.4359426858632,146.010514635455,146.103796497481,146.032974059634,146.059531410476,45.2873088758589,45.313265277052,45.2916156344586,-340.612186326435,-340.790231672916,131.950130980235,131.988352086328,-178.770784306008,-178.832607252383,-677.966589463011,-677.779008716037,1129.7092290308,1129.38360736088,0.0340029004625876,-0.0335114169379035,0.0836577625346628,-0.0512521538275306,0.00294647020607549,0.0968448714753279,-0.0795139531240851,0.0304991550612679,0.0239166441864162,0.00251161216556063,-24.3611117119677,-24.3613056417104,-24.2896092405398,-24.4362545041601,-201.822175392397,-201.781859269699,-201.326219683082,-201.67009917189,-385.817386624782,-385.905515594708,-385.650082319541,1281.42124737725,1281.79876903462,-502.86874707124,-502.448170629929,-457.926980921175,-457.739435714718,-212.816870393771,-212.863611653174,18.9473703597311,18.7259371826533
"b_FA1A_smlr",0.0791246085088699,0.0302837793209251,0.00348987368344847,-0.000166617399017507,0.00110825727673216,-0.001165707922056,-9.74032252669548e-06,-0.000585797479050746,-0.000337371576405275,-0.000643406926480799,7.838567740851e-05,-0.00012641817772447,-0.00662279539702468,-0.00676091614144529,-0.00676387832540328,-0.00652789678715451,0.0175514135711755,0.0177567693632624,0.0176484834054561,0.0171321885462589,-0.0315280775338141,-0.0318148819127146,-0.0323821100759894,-0.0185129570417652,-0.0191291239451421,0.00724956142124772,0.00692083377852536,-0.00246239102171,-0.00290906096144954,-0.0399021624993689,-0.0398815122951238,-0.00393289404344046,-0.00309088455458486,0.000486385460546564,-1.83810556692103e-05,0.000105794604065324,-8.42831818379782e-05,8.43187877952701e-05,-4.17137202912754e-05,-3.46087563054957e-05,-0.000102696080476715,-9.9564392205896e-06,4.0565706913237e-06,-0.00183090308296338,-0.00183357553814793,-0.0017763349712233,-0.00187663946326883,0.0165186277149498,0.0166711276921825,0.0165852609157914,0.0166177421550405,0.00481490242937794,0.00477613705538778,0.00467163258953219,-0.00398012751677628,-0.0039362651898303,-0.0312435695389374,-0.031282515341495,-0.0106876340485822,-0.0107050056377275,0.00335849294158716,0.00339687199534828,-0.00729945946605076,-0.00725650660321038
"b_FA2A_smlr",-0.0261647238726856,-0.0176057221486262,-0.000166617399017317,0.0038298884889785,-0.00162625018307992,-0.00134793667838803,0.000280909063084582,-0.000268374787437892,-0.00021656670820296,-0.000210101080923165,5.52671356540897e-05,-0.000358888689891216,-0.00406490863202795,-0.00425989087336952,-0.00370255787115002,-0.0042217928549897,-0.00474697638850948,-0.00466950979900526,-0.00399113431302498,-0.00279822465685582,0.00613530743949699,0.0056271784449333,0.0057610656282373,0.0132169248113705,0.0132089955258606,-0.00337113496596098,-0.00343440213315558,0.00435977223667069,0.00383753801249306,0.0125598770215098,0.0133821412450869,0.000942643290834856,0.00044946337606515,-1.67955350887748e-05,0.000401566026336767,-0.000147162836579789,-7.49477882501434e-05,3.1440303407055e-05,-5.27211399648955e-05,-9.82990046557985e-06,-3.12085729462109e-05,-3.52462673865399e-05,-1.02984066065735e-05,0.000409310837583838,0.000521288045396465,0.000453055125141784,0.000514853101201697,0.00168614278465516,0.00158726870636317,0.00162930105539484,0.00174983669293281,0.00947681465250049,0.00944018293204351,0.00941572594765898,-0.0369990182638414,-0.0370175351883401,0.0207541293454185,0.0207355420963375,0.00763038222920319,0.00754823949951289,0.0151541987793667,0.0152012554474299,-0.000537812036913541,-0.000584607544164664
"b_FA3A_smlr",0.0825840133004713,0.0208925749492635,0.00110825727673213,-0.00162625018307982,0.00527113277236253,-0.000627138984032144,-0.00120855583694689,0.000802252147149209,4.05328290690337e-05,-0.000159495874911257,0.00037558501289487,-0.000465450438893849,0.00778626360425242,0.00805980685919894,0.0081471662121776,0.00810027337729566,0.0120849927616512,0.0116185364994376,0.0116599090719656,0.0109689471986531,-0.0283635365268706,-0.0288095797232672,-0.028588364945104,-0.0318782952254295,-0.0314043181845975,0.00291380019810135,0.0036564730532274,-0.00188037499040208,-0.0020085644636458,-0.00400346137644571,-0.0043786051705728,-0.0395931061196111,-0.0386526243901499,0.00011228492664205,-0.000149471940460871,0.000550274292311383,-8.45309444662757e-05,-0.000135862524600728,0.000150224904998316,7.44279652210116e-06,-4.2455875175241e-06,4.56079066250848e-05,-4.2038992043728e-05,-0.000638814671717759,-0.000598287925310472,-0.000570551051767466,-0.000635944504847372,0.00624799833729891,0.00641755813484731,0.00645292867120496,0.00633240340064915,-0.00290900005975286,-0.00295196749674014,-0.00290806973551517,0.0294327540348686,0.0295365156150299,-0.0249590421196503,-0.0249054614870351,-0.00213255460634843,-0.00212414261314481,-0.0196766621356751,-0.0196442706606721,-0.0065255832523705,-0.00648292760779571
"b_FA4A_smlr",0.00922361416866015,-0.0173501911910935,-0.00116570792205602,-0.00134793667838803,-0.000627138984031983,0.00488758729122938,0.00044449122000394,-0.000179855835026901,-9.75745562770017e-05,-0.000483071365150822,-0.000363093492796669,0.000118871423363193,0.0102564491784366,0.0108190840752813,0.0102370450531387,0.0104168175269051,0.00101673557150085,1.07325244035417e-05,0.000142997622452197,-0.000270804685488812,0.00216483716397226,0.00105591001679661,0.000562726306774415,-0.0405488053525795,-0.0397548470084087,-0.00473930342718377,-0.00465343597632567,-0.000367723645905348,-0.000145764381957472,0.0188155619380003,0.0186140509685853,0.00527169634506506,0.00454826957692977,-9.68163294668055e-05,-6.93921748598164e-05,-9.04702993011977e-05,0.000414622327132871,7.3787628863797e-05,-5.9297147381582e-05,-2.0666823083378e-05,-2.18492779535887e-05,-2.90618942346961e-05,2.30743015219644e-05,8.5353918332708e-05,-4.58537607026719e-05,4.80703158981314e-06,-6.93432897907894e-06,-0.0123565524508365,-0.0123532407644505,-0.0123190026314456,-0.0123193114335639,-0.011483993792388,-0.0116208711425623,-0.0117013791010435,0.055583714672403,0.0556302099239288,-0.00116523328990115,-0.00129780428938836,0.000274813390276205,0.000313297590139823,-0.0169835759090595,-0.0169436086175952,0.00357602592962506,0.00364640307944644
"b_FA5A_smlr",-0.0428479333243294,-0.0143994799276449,-9.74032252696042e-06,0.000280909063084773,-0.00120855583694747,0.000444491220004138,0.00247441248746255,-0.000277680430829894,0.00044795671580986,-0.000265358571107063,-0.000157237820595396,-0.000180052400285404,-0.00589498480401444,-0.00507119705000081,-0.0056402711404083,-0.00622120833135025,-0.0057459418120668,-0.00570189980579739,-0.00592093219429154,-0.00561337415622219,0.0130982872829357,0.0129047322170905,0.0127739664163235,0.0165451122044976,0.0172391895332129,0.000806898541912031,0.000381150088066836,0.000956986972436821,0.000811145534197674,0.00991935111268039,0.00909908056110977,0.0133608760519335,0.0138500543379235,7.46612185513868e-05,3.19152362219329e-05,-0.000137383698017085,6.97509215197855e-05,0.000363516093598944,-7.22009743661706e-05,5.56348596569232e-05,-1.74102524404403e-05,-3.32403110609901e-05,-7.41066008750349e-06,0.000617934207632524,0.000750059116319078,0.000748204432366371,0.000628547907759669,-0.0049278705889262,-0.00491497680068481,-0.00489800090513028,-0.00498309538930208,0.00030121890115421,0.000279501672440326,0.000100088442747893,-0.0251474562375707,-0.0249676563020219,0.0173402203030383,0.0173566650296989,-8.96464157193163e-05,-0.000119709508231381,0.0186385703938102,0.0184598846533146,0.00763766906839505,0.00768000637712698
"b_FA6A_smlr",0.0768799986717796,0.0708515108430353,-0.000585797479049481,-0.00026837478743824,0.00080225214715022,-0.000179855835027357,-0.000277680430829713,0.00326013703244809,3.81712047191308e-05,-0.000950287615166618,-0.000253567412763515,6.83993920858953e-05,0.00205728443295053,0.00218042773006932,0.0024458939538953,0.0020071843278986,-0.00359695123622163,-0.00288443373074811,-0.00191674318725071,-0.000708088967780142,-0.0189239596277884,-0.0180324232180201,-0.0170047770879847,0.0199801417196959,0.0197752984627801,0.0116550548363333,0.0123744525025573,-0.00306772034026495,-0.00238609669121239,-0.0615713875933359,-0.0612858111560769,-0.0269251963267927,-0.027317795453632,-1.11152042957525e-05,-6.6446763517116e-05,0.000178374884719478,-7.28999761551416e-05,-6.45356624637695e-05,0.000429457542071112,-1.83339385854516e-05,-7.2925024891629e-05,-2.87890262381936e-05,1.46002614647294e-05,-0.00131434584215305,-0.00132202698311062,-0.00121398508561707,-0.0013139839068438,0.0198185840430177,0.0198848188005185,0.0200796275686352,0.0200185593603583,-0.00263528633209491,-0.00257137273781208,-0.00244177965788078,0.033543492087241,0.0334617278846596,-0.0337638963500478,-0.0336727407226572,-0.00347700561541222,-0.00347271791240112,-0.0743379566282361,-0.0742897876314497,-0.00906526847438084,-0.00909165921380284
"b_FA1H_smlr",-0.0917553719802103,-0.0600227106721825,-0.000337371576405487,-0.000216566708202439,4.05328290678369e-05,-9.75745562765273e-05,0.000447956715809336,3.81712047200671e-05,0.00401420483418442,-0.00186349079517552,9.29192106641978e-05,0.000169291841588412,-0.00408442343122774,-0.00451342511067639,-0.00426939395842962,-0.00409772805437229,-0.0262463603881711,-0.0254520353045386,-0.0251511582874012,-0.0249506234902575,0.030803288952362,0.0315333061465786,0.0308137768323373,0.0621962139194689,0.0626628809801308,0.00268696920954494,0.00268101854056063,0.012589141019011,0.0127649404317625,0.0564861575679629,0.0568857420771201,-0.0442840523497418,-0.0441440943362064,-4.21626672146632e-05,-1.09646040441211e-05,-3.67593253582136e-06,-1.71062413577265e-05,4.62501446746965e-05,-1.46219704579311e-05,0.000465792725059994,-0.000202503466048874,-7.33792371336888e-06,1.00126182869848e-05,0.00426717931992314,0.00423131445212489,0.00426989381167567,0.00422812894776331,-0.000457903335280095,-0.000529831998155549,-0.000484393465038492,-0.000492937833001579,0.00601267001502598,0.00601764028649412,0.00596828643947142,-0.114481771350658,-0.114442187981056,0.0658627077858517,0.0659248189119051,0.0139294342212748,0.0139225939122477,0.0531236741764148,0.0531775700413815,0.031770621964287,0.0318066959241242
"b_FA2H_smlr",-0.0400659235048505,-0.00413867416173553,-0.000643406926481029,-0.000210101080923228,-0.000159495874911096,-0.000483071365150876,-0.000265358571106963,-0.000950287615166922,-0.00186349079517527,0.00434604342169852,0.000349939103381848,-0.000283852372727677,-0.00276769067613378,-0.00295750374820671,-0.0031300817792565,-0.00285635487590945,0.0081999530710357,0.00772508218221006,0.00763465535963958,0.00849059239693346,0.00403976601421342,0.00407776267977801,0.00453172966532879,-0.0120887589350258,-0.0122339165042186,-0.0054778410245608,-0.00665129497914557,-0.00474982375546733,-0.00621125403273631,0.00747689534246758,0.00848282880705352,0.0464559220442618,0.0465639956668098,-0.000107215341916391,-2.90755384765628e-05,3.19434485091529e-05,3.05686977834551e-05,-1.68618193128683e-05,-9.13917744871699e-05,-0.000183155449295776,0.000556519743700166,0.000109411611353483,-3.13216975916656e-05,-0.00090702388519714,-0.000869124575955728,-0.000870655559036369,-0.000890509462827908,-0.0164973383451419,-0.0163805378932293,-0.016281413859671,-0.0163950711759139,-0.00247098490089574,-0.00246523733530449,-0.00242664410132702,0.0326662554906174,0.0326877111574157,-0.0107340300937171,-0.0107942580466131,-0.00720633323634317,-0.00717228283470103,0.0138886539722626,0.013900820349032,-0.0048198120758538,-0.00494856994397078
