"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,NA,0.000655177041877019,-0.00088991374990815,0.000755311487548644,0.000434972657813424,0.00037748296038697,0.00125195437976198,0.000302666686036317,-0.000222918141238628,0.000473932431422773,0.000551558171615419,-0.99999957606357,-0.999999708176458,-0.999999647955574,-0.999999795795952,0.000413376316381534,-8.67962492760062e-05,5.1561760415753e-05,0.000324095010003021,0.000880970876619818,-0.000297104321025136,-0.000990106459802641,0.000510409322628657,-8.25711992707616e-05,0.000197164552795786,NA,NA,NA,NA
"asc_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_FA1A_smlr",0.000655177041877019,NA,1,-0.0898493928385725,0.190689959391522,-0.227016174613974,0.0545764332288821,-0.113863316847094,-0.0526805861137594,-0.204449200989554,-0.0779795325157222,0.0235235560940505,-0.000625987922676554,-0.000669797197399246,-0.000630388809751056,-0.000648334978926491,0.125415321377915,-0.00702373887959222,0.0228468755008781,-0.023423425126962,0.0162683929632246,-0.0113010383394722,-0.00647194257153328,-0.0210803905041161,-0.00755380182678291,0.00704839660817083,NA,NA,NA,NA
"b_FA2A_smlr",-0.00088991374990815,NA,-0.0898493928385725,1,-0.324939946817559,-0.296416521916824,0.0833445873139684,-0.102012426789207,-0.0141684638002463,-0.168302872413623,0.0375281758079718,-0.112717228430401,0.000815995172054442,0.000785256722900823,0.000781228108753161,0.000809888879775162,-0.00974605139938504,0.0990604674328633,-0.0304174448542198,-0.0289426120905791,0.00818029440709606,-0.0155466400568692,-0.00116018229662917,-0.0166190974690809,0.00401984879281825,-0.0106773550804396,NA,NA,NA,NA
"b_FA3A_smlr",0.000755311487548644,NA,0.190689959391522,-0.324939946817559,1,-0.178586176584931,-0.3319550452606,0.286233008561395,0.00839472235099231,0.0190045311054797,0.0406447549283179,-0.104220361699101,-0.000825024625430006,-0.000771857639998465,-0.000788679940592317,-0.000778248547561784,0.0222755964869538,-0.0281720263880509,0.0959764594514998,-0.0153829332834161,-0.0325956077318595,0.0317794090202621,0.00128742666135922,0.00691505063410402,0.00387815440571481,-0.00605017818641728,NA,NA,NA,NA
"b_FA4A_smlr",0.000434972657813424,NA,-0.227016174613974,-0.296416521916824,-0.178586176584931,1,0.107882036386471,-0.0851393076698526,-0.0357451817955416,-0.0118524127068502,-0.0794167377939517,0.0529158025415073,-0.000474507014687038,-0.000480218178612392,-0.000502203088421442,-0.000491008443967196,-0.0238137322217283,-0.0277498565326413,-0.0159873966976881,0.102264736304217,0.0108672386371434,-0.00519493595204642,-0.00302930814559455,-0.00159251252735312,-0.0107562423539845,0.00718473847645402,NA,NA,NA,NA
"b_FA5A_smlr",0.00037748296038697,NA,0.0545764332288821,0.0833445873139684,-0.3319550452606,0.107882036386471,1,-0.117323347155124,0.115025653545224,-0.0485800205361135,-0.052524035864739,-0.0568704481466566,-0.00045350894960937,-0.00035757080179784,-0.000431097026060259,-0.000477795723857584,0.0159536152563316,0.00789555788828221,-0.0326560487634591,0.0121439336650666,0.117948544161634,-0.00318472917846357,0.0123962248742988,-0.00254952127493092,-0.000676453893229264,-0.00661452895143104,NA,NA,NA,NA
"b_FA6A_smlr",0.00125195437976198,NA,-0.113863316847094,-0.102012426789207,0.286233008561395,-0.0851393076698526,-0.117323347155124,1,-0.00905502346796476,-0.215911228746374,-0.0270326040650444,-0.0210309480820234,-0.00126175112831726,-0.00122914835711551,-0.00124908756395206,-0.00126604861182106,-0.00989440326328982,-0.013564017158485,0.031320631529136,-0.00689592544966332,-0.00230839667351913,0.125668417709836,-0.00189202181814039,-0.0215838240471329,-0.00377333871769816,-0.000633105999750636,NA,NA,NA,NA
"b_FA1H_smlr",0.000302666686036317,NA,-0.0526805861137594,-0.0141684638002463,0.00839472235099231,-0.0357451817955416,0.115025653545224,-0.00905502346796476,1,-0.470843916640552,-0.00848971667528057,0.00416214623213549,-0.000317635755880356,-0.000328320521275372,-0.00029609166533917,-0.00032863336107436,-0.0076338904804022,-0.00239581264014805,7.65666254180386e-05,-0.00417015524308906,0.0124322818347376,-0.00219377559919497,0.101903689092334,-0.0540532945168931,-0.000916191703659841,0.00200304431184963,NA,NA,NA,NA
"b_FA2H_smlr",-0.000222918141238628,NA,-0.204449200989554,-0.168302872413623,0.0190045311054797,-0.0118524127068502,-0.0485800205361135,-0.215911228746374,-0.470843916640552,1,0.175284441431551,-0.129560075360885,0.000200608120972214,0.000184607203995905,0.000199865344795792,0.000208361244558382,-0.0212701506260321,-0.00929970353677124,0.00947027283763403,0.00289909963340031,-0.00104969895121401,-0.0239264107987487,-0.0454412526112724,0.132115270385362,0.0243454007732381,-0.00724137238153862,NA,NA,NA,NA
"b_FA3H_smlr",0.000473932431422773,NA,-0.0779795325157222,0.0375281758079718,0.0406447549283179,-0.0794167377939517,-0.052524035864739,-0.0270326040650444,-0.00848971667528057,0.175284441431551,1,-0.34808523475992,-0.000460201825687524,-0.000477066330931508,-0.000468996165631449,-0.000473656633811582,-0.00819651779601449,-0.000211392020635182,0.00259832052578111,-0.0123782593956094,-0.000891743318264479,-0.00198030550912609,-0.00126099601750996,0.0232993673350328,0.12175824667473,-0.042833234985695,NA,NA,NA,NA
"b_FA4H_smlr",0.000551558171615419,NA,0.0235235560940505,-0.112717228430401,-0.104220361699101,0.0529158025415073,-0.0568704481466566,-0.0210309480820234,0.00416214623213549,-0.129560075360885,-0.34808523475992,1,-0.000536788374125088,-0.000558687403501519,-0.000536484984060469,-0.000532755460280597,0.00618127103197188,-0.00935015224250619,-0.00644297342209655,0.00868783470173125,-0.00656839290284155,-0.00164587618396834,0.00338382498820914,-0.0103282360327899,-0.042970022973139,0.112588075167623,NA,NA,NA,NA
