"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",20404.2155872597,-14476214.576919,0.00535432841388292,-0.00782152543358687,0.00792045091463875,0.00387370457607756,0.00262139875320402,0.00900834773594061,0.00268597352595618,-0.00198853477922047,0.00349389353886942,0.00371536995760702,-20404.3311908399,-20404.2887507741,-20404.2484660436,-20404.1976324231,0.00347940089293277,-0.000840160672838675,0.000571990220151928,0.00283358883678115,0.00657492108064424,-0.00222766324185457,-0.0100238835800672,0.00457915369783035,-0.000630364501997607,0.00142331481886432,14476214.5557508,14476214.5981126,14476214.5562518,14476214.5582104
"asc_grtr",-14476214.576919,-7922392.2891705,0.0129192627552145,-0.010671541309569,0.0132316863089769,0.00189853636871221,0.00674241428409402,0.0122929206085883,0.00427196018526894,-0.00137278873363911,0.0202664581878057,-0.000417287552381318,14476214.5777511,14476214.5728843,14476214.5772325,14476214.5733206,0.00495180533395375,-0.000223685867547236,-0.00331895133220121,0.00408595110659219,0.0091147005955323,-0.0042721886979543,-0.0216392642876523,0.00737156279622461,0.000907213274632353,0.00505647175905411,7922392.29573249,7922392.29538936,7922392.29204338,7922392.28937331
"b_FA1A_smlr",0.00535432841388292,0.0129192627552145,0.00327320168407299,-0.000316289753453157,0.000800899595608403,-0.000809744059900643,0.000151798442969162,-0.00032814583802246,-0.000187246684067282,-0.000730465361888599,-0.000230250349135751,6.34658569314591e-05,-0.00511581621106997,-0.00547383049525356,-0.00515176071083512,-0.00529840918055701,0.000422800903051197,-2.72305353123984e-05,0.000101511235364207,-8.20240710371574e-05,4.86295306681836e-05,-3.39379300397777e-05,-2.62431042778756e-05,-7.57480933050876e-05,-2.30969787265581e-05,2.03792828813665e-05,-0.0129081271941601,-0.0129411877626878,-0.0129176022357336,-0.0129375125367637
"b_FA2A_smlr",-0.00782152543358687,-0.010671541309569,-0.000316289753453157,0.00378588298089124,-0.00146774484334192,-0.00113707886336384,0.000249308323332009,-0.000316179245596111,-5.41606056690489e-05,-0.000646700128739665,0.000119172029287348,-0.000327057930655782,0.00717189262268553,0.00690171294254453,0.00686629184000397,0.00711817543170923,-3.53354981610677e-05,0.000413033620798981,-0.000145347389939605,-0.000108999838310371,2.62979301845413e-05,-5.0211217897895e-05,-5.05945800499268e-06,-6.42240514518329e-05,1.32189364519017e-05,-3.32016341603445e-05,0.010639753946438,0.0106242444438209,0.0106014185803352,0.0106350590491781
"b_FA3A_smlr",0.00792045091463875,0.0132316863089769,0.000800899595608403,-0.00146774484334192,0.00538924255307538,-0.000817365478227544,-0.00118472873802913,0.00105847417693406,3.82866489527001e-05,8.71262155418634e-05,0.000153993241765955,-0.000360800583508522,-0.00865153906669947,-0.00809399083240169,-0.00827038000173304,-0.00816097114444858,9.63589669302154e-05,-0.000140146865933266,0.000547179105327073,-6.91206093903932e-05,-0.000125023596743056,0.000122458884939973,6.69854581452621e-06,3.18834934323872e-05,1.52157080162393e-05,-2.24462715077655e-05,-0.0133082241311531,-0.0132191386452603,-0.013260388888551,-0.0132520455215086
"b_FA4A_smlr",0.00387370457607756,0.00189853636871221,-0.000809744059900643,-0.00113707886336384,-0.000817365478227544,0.00388695196112124,0.000326986262050966,-0.000267381519841931,-0.000138452005571725,-4.61465436611578e-05,-0.000255534720230581,0.000155575341809689,-0.0042258085754791,-0.0042766609249199,-0.00447244254644173,-0.00437273547388555,-8.74844730593557e-05,-0.000117237558965506,-7.74075376876185e-05,0.000390242914238131,3.53991498022234e-05,-1.70006451660046e-05,-1.33857345230616e-05,-6.23582781336137e-06,-3.58400304491961e-05,2.2637461896732e-05,-0.00190429353597936,-0.00192825563012095,-0.00192533482985583,-0.00192217404606033
"b_FA5A_smlr",0.00262139875320402,0.00674241428409402,0.000151798442969162,0.000249308323332009,-0.00118472873802913,0.000326986262050966,0.00236347802591938,-0.000287314084191958,0.000347414266199679,-0.000147489568398563,-0.00013178535803049,-0.000130380674974998,-0.00314937403625384,-0.00248313006659081,-0.00299372301276566,-0.00331801008221976,4.57018548390881e-05,2.60111794334665e-05,-0.000123293543713035,3.61359692050624e-05,0.000299596965403294,-8.12697474460308e-06,4.27129334096877e-05,-7.78468592550845e-06,-1.75758844805429e-06,-1.62512543419687e-05,-0.00681888656182201,-0.00670342145244524,-0.00678703867927656,-0.00684533664617342
"b_FA6A_smlr",0.00900834773594061,0.0122929206085883,-0.00032814583802246,-0.000316179245596111,0.00105847417693406,-0.000267381519841931,-0.000287314084191958,0.00253742592835529,-2.83376232007592e-05,-0.000679203228953256,-7.02777513908627e-05,-4.99581477365941e-05,-0.00907889482247252,-0.00884428293336826,-0.00898773741552103,-0.00910975561352869,-2.936873370191e-05,-4.63005825912656e-05,0.000122525959442058,-2.12614941459158e-05,-6.07541805350662e-06,0.000332279426624229,-6.75486999742821e-06,-6.82860118956581e-05,-1.01584087289979e-05,-1.61170404949065e-06,-0.0123462889382511,-0.01228614820011,-0.0123203281619997,-0.0123450695790812
"b_FA1H_smlr",0.00268597352595618,0.00427196018526894,-0.000187246684067282,-5.41606056690489e-05,3.82866489527001e-05,-0.000138452005571725,0.000347414266199679,-2.83376232007592e-05,0.00385970674447665,-0.00182676189649384,-2.72209726032259e-05,1.219397440204e-05,-0.00281883162558843,-0.00291364622635702,-0.00262762957584482,-0.00291640921128014,-2.7946151386811e-05,-1.0086289861451e-05,3.69417594368834e-07,-1.58574705667183e-05,4.03549712423292e-05,-7.15401711530258e-06,0.000448705330769306,-0.00021091428462184,-3.04205256119431e-06,6.28897535138773e-06,-0.00425757541079245,-0.00429228609928763,-0.00425831674336771,-0.00429616324618642
"b_FA2H_smlr",-0.00198853477922047,-0.00137278873363911,-0.000730465361888599,-0.000646700128739665,8.71262155418634e-05,-4.61465436611578e-05,-0.000147489568398563,-0.000679203228953256,-0.00182676189649384,0.00389991958840799,0.000564942805650234,-0.000381548550696223,0.00178952979140749,0.00164678956604354,0.00178289648127304,0.00185867915081522,-7.82703578730807e-05,-3.93548597277566e-05,4.5929448684836e-05,1.10814222582167e-05,-3.42500831713021e-06,-7.84306835452694e-05,-0.000201127886002024,0.000518188194966996,8.12546004162054e-05,-2.28539297852601e-05,0.00129076772907334,0.00134101902142673,0.00132552959102045,0.00131484486859284
