"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asc_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_FA1A_smlr",NA,NA,1,-0.0234826610270211,0.252848982296161,-0.312763110877619,-0.0186048105902344,-0.119969222677163,-0.098917797185672,-0.173232125221579,0.00520935361058908,-0.0303621980151448,NA,NA,NA,NA,0.132136054201878,-0.00780469804466251,0.0241771019172015,-0.0256559182573619,0.024946227513201,-0.00569300197027699,-0.00909060297020656,-0.0208683317298168,-0.00410239385444944,0.000839132891642299,NA,NA,NA,NA
"b_FA2A_smlr",NA,NA,-0.0234826610270292,1,-0.35053343433537,-0.323090023875509,0.120038793699173,-0.149664186515229,-0.070674331194479,-0.0890407089681465,0.0297284648951955,-0.140632753030229,NA,NA,NA,NA,-0.00816368412695601,0.0838416857480513,-0.0319670795799969,-0.0234452757772434,0.00907341724632111,-0.0159379916934027,-0.00285526315565566,-0.00724177282816696,-0.00842129199449906,-0.00258696800085731,NA,NA,NA,NA
"b_FA3A_smlr",NA,NA,0.252848982296174,-0.350533434335373,1,-0.122755253978484,-0.364502840123553,0.250632634859483,0.00740892884640839,-0.030046257127904,0.0983884509415882,-0.121003021099665,NA,NA,NA,NA,0.0264440597491628,-0.0291627981547633,0.0998731021302493,-0.011707775890739,-0.0375801405693327,0.0385581849804356,-0.00411545297065361,0.00108699762584411,0.0117765334796473,-0.0115428570264934,NA,NA,NA,NA
"b_FA4A_smlr",NA,NA,-0.312763110877616,-0.32309002387551,-0.122755253978484,1,0.0875321063214798,0.0185454337407725,-0.0193028441192067,-0.095932505743754,-0.113105447316553,0.0341428448476641,NA,NA,NA,NA,-0.0290655302713675,-0.0191542759861179,-0.0116544657759441,0.0833507071439571,0.00926149404096735,-0.00623839782358873,-0.00235538690056063,-0.000952352758850109,-0.00969633861830504,0.0144790834352463,NA,NA,NA,NA
"b_FA5A_smlr",NA,NA,-0.0186048105902305,0.120038793699175,-0.364502840123558,0.087532106321479,1,-0.0546749548914027,0.141470522284244,-0.0661537943680424,-0.0747281057166554,-0.0588981273840975,NA,NA,NA,NA,0.0257052717419526,0.0067754688656483,-0.0346869967278145,0.0111893994291532,0.121387601274753,-0.012522083900661,0.0179298272713434,-0.000337543566695661,-0.013112862905707,-0.00529896711223875,NA,NA,NA,NA
"b_FA6A_smlr",NA,NA,-0.119969222677149,-0.149664186515231,0.25063263485948,0.018545433740772,-0.0546749548913988,1,-0.0271860640561081,-0.272810397500434,-0.0460250303218869,-0.00413000822225108,NA,NA,NA,NA,-0.000583362255859842,-0.0128429948810719,0.0389912255232598,-0.0112666014296946,-0.0122373891897263,0.127064108738291,-0.00372104381522899,-0.0263707378399872,-0.00446704876540316,-0.000552893083887675,NA,NA,NA,NA
"b_FA1H_smlr",NA,NA,-0.0989177971856676,-0.0706743311944803,0.00740892884640847,-0.0193028441192066,0.141470522284245,-0.0271860640561069,1,-0.469385613639737,0.0285639428183498,0.0603709310758065,NA,NA,NA,NA,-0.0132251345069675,-0.00354842395462122,-0.00666886623559065,-0.00318502234495975,0.0154106864012137,-0.00599034200029377,0.0971735611450664,-0.049129975192027,-0.0100487000257607,0.00574006456986968,NA,NA,NA,NA
"b_FA2H_smlr",NA,NA,-0.17323212522158,-0.089040708968147,-0.0300462571279035,-0.0959325057437537,-0.0661537943680426,-0.272810397500434,-0.469385613639737,1,0.134563199146572,-0.105868254879281,NA,NA,NA,NA,-0.0227277310121383,-0.00302256573266702,0.00737789427461428,0.0120713908831308,-0.0021380712574098,-0.0275410252475897,-0.0407957518794364,0.119533093781599,0.0321263736117473,-0.00637726099940289,NA,NA,NA,NA
