"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",-286.474581175702,-164.116432629449,0.00556902206516768,-0.00974044344991952,0.00732983477357182,0.00653494542996447,0.00146505587309395,0.0101533625005908,0.0037111977552355,-0.00627296347962147,0.0047544415656858,0.00122390847597408,286.361163990788,286.403532042285,286.444039455268,286.493746324239,0.00444857733701507,-0.00383873075464443,0.00172886802206064,0.00404069186320015,0.00800307560336217,-0.00179196578784282,-0.0158246229799868,0.00740847785252355,0.000754013136574408,0.00210675084637943,164.092972275073,164.136514747814,164.094864599965,164.093007229581
"asc_grtr",-187.760069990188,-118.302213509442,0.0133422544529284,-0.0109321743773538,0.0150321358821114,0.00157550124241685,0.00590024761607696,0.0133401990960664,0.00611855139286221,-0.00532979583194823,0.0214211543207332,-0.0012316429401351,187.756880447668,187.754228569783,187.76284878826,187.753284326357,0.00633948351243398,-0.000878203189289932,-0.00300627251670536,0.00657109555986589,0.00822533990226525,-0.00505218768213169,-0.0250532962756243,0.00861382948551084,-0.000433928410586791,0.00577530293868469,118.30089439896,118.310643582687,118.304252352033,118.297786517847
"b_FA1A_smlr",0.00556909343717873,0.0133422740553723,0.0033622552814285,-8.20602535148976e-05,0.00104267285429225,-0.00124593648867081,-5.25842116060803e-05,-0.000358356965158758,-0.000364470314360312,-0.000635662172657567,1.5739937002017e-05,-8.53353921503192e-05,-0.00542936752204227,-0.00562221867093861,-0.005465317210157,-0.00538406064676871,0.00044631298636022,-3.38228492239896e-05,0.000111101541138054,-9.58547354084218e-05,7.70087942954287e-05,-1.78684881536713e-05,-3.92829679618549e-05,-8.08038903476388e-05,-1.21827382529403e-05,2.56083687971616e-06,-0.0133561939472739,-0.0133699484202499,-0.0132993009050679,-0.013414597996782
"b_FA2A_smlr",-0.00974047078339705,-0.0109321719346406,-8.20602535149259e-05,0.00363195455728174,-0.00150235015326298,-0.00133770019343125,0.000352619720775913,-0.000464642311619894,-0.000270647670296661,-0.000339579453215096,9.33569159106498e-05,-0.000410806512347685,0.00917948301041219,0.00878193113566904,0.00951862503743217,0.00883898260372554,-2.865888191337e-05,0.000377632137528716,-0.000152677016610418,-9.10408315511043e-05,2.91112724207691e-05,-5.19918093428342e-05,-1.28236779965816e-05,-2.91436737579374e-05,-2.59920867248854e-05,-8.20534958501965e-06,0.0107886714758212,0.010915632513561,0.010883386293829,0.0108941030366483
"b_FA3A_smlr",0.00732985099274087,0.0150321151736568,0.0010426728542923,-0.001502350153263,0.00505758312600898,-0.000599758818630441,-0.00126353478673402,0.000918205304602903,3.34810694244748e-05,-0.000135221106884383,0.00036460233611087,-0.000417107852868366,-0.00785887990980919,-0.00741269166370463,-0.00748858620507175,-0.00752920984567834,0.000109547505334344,-0.0001550027662203,0.000562886138755825,-5.36483763431306e-05,-0.000142282018512112,0.000148429159938701,-2.181149419913e-05,5.16213439245796e-06,4.28924846153467e-05,-4.32036719746913e-05,-0.0150572136374661,-0.0149854797084615,-0.0150128718285552,-0.015075103127647
"b_FA4A_smlr",0.00653494717476614,0.0015754964258455,-0.0012459364886708,-0.00133770019343126,-0.00059975881863044,0.00471987043376118,0.000293121172634747,6.56345778622752e-05,-8.42672312584421e-05,-0.000417074289984495,-0.000404904281767206,0.000113696051109063,-0.00731291764834984,-0.00686892348581991,-0.00734796416070245,-0.007088099634831,-0.000116317788517673,-9.83489032476638e-05,-6.34538399918893e-05,0.000368964850039126,3.38739773510083e-05,-2.31989985093511e-05,-1.20593403923543e-05,-4.36910094887516e-06,-3.41165439716464e-05,5.23530439764185e-05,-0.00149811218970434,-0.00166323856635545,-0.00163427480138991,-0.00161167660087039
"b_FA5A_smlr",0.00146508222910819,0.00590024908718039,-5.25842116060695e-05,0.000352619720775919,-0.00126353478673404,0.000293121172634744,0.00237590758220477,-0.000137288407698779,0.000438180565318455,-0.000204057293953478,-0.000189802773580304,-0.000139154385165245,-0.00220071044236604,-0.00100920965262646,-0.00189249718015041,-0.00230164920404557,7.2986042997654e-05,2.46827115396742e-05,-0.000133992956855777,3.51424646156513e-05,0.000314999020949089,-3.3038666743467e-05,6.51309087216311e-05,-1.0986865386165e-06,-3.27344094805513e-05,-1.35938296947106e-05,-0.00606054524842144,-0.00591226948075756,-0.00594618100823104,-0.00604498228417856
"b_FA6A_smlr",0.0101533915818454,0.0133401826244161,-0.000358356965158718,-0.000464642311619902,0.000918205304602892,6.56345778622735e-05,-0.000137288407698769,0.00265375805692946,-8.89916750591452e-05,-0.000889352998390264,-0.000123545962000343,-1.03124585792655e-05,-0.0103157965297763,-0.00995536315199644,-0.00987908337520733,-0.0103022327312917,-1.7505391853876e-06,-4.94465180172727e-05,0.000159183499587447,-3.7396784439657e-05,-3.35613589589366e-05,0.000354311043977182,-1.42853770205897e-05,-9.07156341304535e-05,-1.17853795806738e-05,-1.49902076581705e-06,-0.01342267202621,-0.0133561661290478,-0.0133062569284193,-0.0134060637811979
"b_FA1H_smlr",0.00371120495461894,0.00611854421407594,-0.000364470314360296,-0.000270647670296666,3.34810694244751e-05,-8.42672312584416e-05,0.00043818056531846,-8.89916750591413e-05,0.00403779964410228,-0.00188749039248593,9.45789192330694e-05,0.000185943454282964,-0.00352444912114961,-0.00400716781232598,-0.00384063512483059,-0.00370097671456416,-4.89525509372682e-05,-1.68518128419987e-05,-3.35834175312439e-05,-1.30405387366288e-05,5.21332102110745e-05,-2.06041703921203e-05,0.000460168367558918,-0.000208472187826464,-3.27020127008863e-05,1.9196629783307e-05,-0.00606886386056947,-0.00612436789460362,-0.00608142216712092,-0.00613076771458359
"b_FA2H_smlr",-0.00627296752669585,-0.00532979502767721,-0.000635662172657571,-0.000339579453215098,-0.000135221106884381,-0.000417074289984494,-0.000204057293953478,-0.000889352998390263,-0.00188749039248593,0.00400465571060163,0.000443723781270166,-0.000324734914166798,0.00650352543669176,0.00590537963574585,0.00590126420481091,0.00615165989329529,-8.37802246733889e-05,-1.42954255731315e-05,3.70011753433625e-05,4.92210158517461e-05,-7.20318999906176e-06,-9.43395559985839e-05,-0.000192395005698867,0.000505126262748777,0.000104120565059076,-2.1239907095091e-05,0.00523280593527095,0.00527287294723032,0.00526001426232316,0.00527178873446552
