"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_smlr",-1.80597065096361,208.347770664587,-0.00866805843519676,NA,NA
"asc_grtr",-1.73796786413736,NA,NA,31.7887940007014,-0.0546723434710676
"b_City_Midwest_smlr",-0.647346732544747,208.352007398955,-0.00310698581994077,NA,NA
"b_City_Northeast_smlr",-0.229669039769794,208.351994755254,-0.00110231265143192,NA,NA
"b_City_South_smlr",-0.393898429451623,208.349659121864,-0.0018905643095928,NA,NA
"b_City_West_smlr",-0.535058866303126,208.35896763795,-0.00256796658367428,NA,NA
"b_City_Midwest_grtr",-0.715350107634089,NA,NA,31.756812670403,-0.0225258786219685
"b_City_Northeast_grtr",-0.356510777008512,NA,NA,31.6291483233428,-0.0112715895276068
"b_City_South_grtr",-0.338836496015221,NA,NA,31.7484493725306,-0.0106725368549303
"b_City_West_grtr",-0.327269272324752,NA,NA,31.7452650952931,-0.0103092310409869
