"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asc_grtr",NA,1,NA,NA,NA,NA,-1.00100726942343,-1.00503849261216,-1.00126744749691,-1.00136833894967
"b_City_Midwest_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Northeast_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_South_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_West_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Midwest_grtr",NA,-0.998977687153376,NA,NA,NA,NA,1,1.00401101062913,1.00024383214521,1.00034462170381
"b_City_Northeast_grtr",NA,-0.99497557290763,NA,NA,NA,NA,0.995977783967213,1,0.99623661873066,0.996337008611578
"b_City_South_grtr",NA,-0.998722428275733,NA,NA,NA,NA,0.999728411430302,1.00375446105722,1,1.00008901188922
"b_City_West_grtr",NA,-0.99862781226571,NA,NA,NA,NA,0.999633700405509,1.00365936648312,0.999893511425883,1
