"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",-1290.08857539335,1287.71228426603,1289.21394590598,1289.21387749097,1289.7017239347,1287.75936440804,-1287.03112677055,-1288.00476689851,-1287.85928875999,-1286.98169455334
"asc_grtr",1286.2396875113,1010.52742401903,-1286.23912139783,-1286.23412332175,-1286.24013691347,-1286.22835693995,-1010.52762543569,-1010.5184453631,-1010.52408188882,-1010.52454323234
"b_City_Midwest_smlr",1282.33812842899,-1285.01204660629,-1281.44728994118,-1281.46343093875,-1281.95127738249,-1280.00891723762,1284.33217251052,1285.30452800235,1285.15905151238,1284.28145606932
"b_City_Northeast_smlr",1282.34192175301,-1284.15224092141,-1281.46729329599,-1281.45645734695,-1281.9550707065,-1280.01271117984,1283.47108352896,1284.44596543064,1284.29924500323,1283.42165131175
"b_City_South_smlr",1283.97521295203,-1284.72330784118,-1283.10058387681,-1283.10051566786,-1283.57513781916,-1281.64600237886,1284.04214993356,1285.01579006152,1284.87163076664,1283.99271740725
"b_City_West_smlr",1285.47009625086,-1286.21533512229,-1284.5954673817,-1284.59539896669,-1285.08324541042,-1283.13347892818,1285.53417845108,1286.50781734263,1286.36233899804,1285.48539617651
"b_City_Midwest_grtr",-1282.67927240837,-1008.4787402631,1282.6799896753,1282.67370790126,1282.67972166927,1282.66794099866,1008.49515098307,1008.46976150835,1008.47539807553,1008.47585974305
"b_City_Northeast_grtr",-1290.50446920602,-1000.40065778542,1290.50390234877,1290.50014805235,1290.50491828097,1290.49313665689,1000.40085978306,1000.40302366002,1000.39731553145,1000.3977776268
"b_City_South_grtr",-1289.24509560214,-1007.95553417632,1289.24452938362,1289.23953129868,1289.24686421783,1289.23376474825,1007.95573567529,1007.94655548175,1007.96403756014,1007.95265347999
"b_City_West_grtr",-1281.47859889954,-1007.75895801479,1281.4780323522,1281.47303428255,1281.47904811134,1281.46791737128,1007.75915976591,1007.7499792196,1007.75561580791,1007.76185597043
