"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,NA,-0.999999813508099,-0.999999876182496,-0.999999847722481,-0.999999916132053,NA,NA,NA,NA
"asc_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Midwest_smlr",-0.999999813508099,NA,1,0.99999968928463,0.999999661051057,0.999999728559122,NA,NA,NA,NA
"b_City_Northeast_smlr",-0.999999876182496,NA,0.99999968928463,1,0.99999972372543,0.99999979123341,NA,NA,NA,NA
"b_City_South_smlr",-0.999999847722481,NA,0.999999661051057,0.99999972372543,1,0.999999763376396,NA,NA,NA,NA
"b_City_West_smlr",-0.999999916132053,NA,0.999999728559122,0.99999979123341,0.999999763376396,1,NA,NA,NA,NA
"b_City_Midwest_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Northeast_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_South_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_West_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
