"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",43408.7935409033,9608584.51456107,-43409.6681595106,-43409.6682458993,-43409.1803865238,-43411.1227645396,-9608583.83341157,-9608584.80703885,-9608584.66156365,-9608583.78399098
"asc_grtr",9608584.51456107,-4775099.02956941,-9608584.51384504,-9608584.51311411,-9608584.51494407,-9608584.51403173,4775099.0292512,4775099.03859704,4775099.03293631,4775099.02965801
"b_City_Midwest_smlr",-43409.6681595106,-9608584.51384504,43410.5589871741,43410.5428645065,43410.0550051311,43411.9973831468,9608583.83397923,9608584.80632281,9608584.66084762,9608583.78327494
"b_City_Northeast_smlr",-43409.6682458993,-9608584.51311411,43410.5428645065,43410.5537184932,43410.05509152,43411.9974695357,9608583.8319646,9608584.80683567,9608584.66011668,9608583.78254401
"b_City_South_smlr",-43409.1803865238,-9608584.51494407,43410.0550051311,43410.05509152,43409.5804561971,43411.5096101602,9608583.83379456,9608584.80742185,9608584.66326591,9608583.78437397
"b_City_West_smlr",-43411.1227645396,-9608584.51403173,43411.9973831468,43411.9974695357,43411.5096101602,43413.4593951523,9608583.83288223,9608584.80650951,9608584.66103431,9608583.78411183
"b_City_Midwest_grtr",-9608583.83341157,4775099.0292512,9608583.83397923,9608583.8319646,9608583.83379456,9608583.83288223,-4775099.01272392,-4775099.03827883,-4775099.0326181,-4775099.02933981
"b_City_Northeast_grtr",-9608584.80703885,4775099.03859704,9608584.80632281,9608584.80683567,9608584.80742185,9608584.80650951,-4775099.03827883,-4775099.03627988,-4775099.04196394,-4775099.03868564
"b_City_South_grtr",-9608584.66156365,4775099.03293631,9608584.66084762,9608584.66011668,9608584.66326591,9608584.66103431,-4775099.0326181,-4775099.04196394,-4775099.02445766,-4775099.03302492
"b_City_West_grtr",-9608583.78399098,4775099.02965801,9608583.78327494,9608583.78254401,9608583.78437397,9608583.78411183,-4775099.02933981,-4775099.03868564,-4775099.03302492,-4775099.02396823
