"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",1,1.07334317327101,1.14844209941409,NA,NA,NA,NA,-4.62260276458595,-4.6226028726009,-4.62260310654789,-4.62260300753228
"asc_same",1.07334317327101,1,1.02161569127869,NA,NA,NA,NA,-3.52491519998992,-3.52491528592116,-3.52491545955903,-3.52491538585536
"asc_grtr",1.14844209941409,1.02161569127869,1,NA,NA,NA,NA,-2.89452681260097,-2.89452688277507,-2.89452702219812,-2.8945269643639
"b_City_Midwest_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Northeast_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_South_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_West_smlr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Midwest_grtr",-4.62260276458595,-3.52491519998992,-2.89452681260097,NA,NA,NA,NA,1,0.999999897546717,0.999999895682476,0.99999991824383
"b_City_Northeast_grtr",-4.6226028726009,-3.52491528592116,-2.89452688277507,NA,NA,NA,NA,0.999999897546717,1,0.999999913764588,0.999999936325943
"b_City_South_grtr",-4.62260310654789,-3.52491545955903,-2.89452702219812,NA,NA,NA,NA,0.999999895682476,0.999999913764588,1,0.9999999344617
"b_City_West_grtr",-4.62260300753228,-3.52491538585536,-2.8945269643639,NA,NA,NA,NA,0.99999991824383,0.999999936325943,0.9999999344617,1
