"","asc_smlr","asc_same","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"asc_smlr",80319.7332902511,76978.0032509496,-6640.80854882689,-3342.58879310558,-3342.56207560024,-3342.40921101004,-3342.45220325194,83618.1332225779,83618.3536722377,83618.3714646748,83618.2386323921
"asc_same",77304.2586104004,74082.4103639679,-5707.85437493406,-3222.70618713855,-3222.67700015002,-3222.5414921603,-3222.57177487092,79789.5857425584,79789.8069266492,79789.8246506713,79789.6913547327
"asc_grtr",-6731.49104175459,-5716.56269123233,8257.28647962716,1014.07615698649,1014.13113962927,1014.15363817442,1014.19885565586,-13974.4773216594,-13974.3104483739,-13974.2962897631,-13974.4303901964
"b_City_Midwest_smlr",-3341.24182528105,-3198.59330805205,1018.72222638548,142.665532586261,142.651792831488,142.634436744009,142.647146510648,-4217.31466965918,-4217.31522348838,-4217.31529081922,-4217.31575205925
"b_City_Northeast_smlr",-3342.28905342752,-3199.24620063387,1022.09729833828,143.043658468656,143.056895867371,143.028772216082,143.041481987752,-4221.34391795897,-4221.34194429486,-4221.343255411,-4221.34371666069
"b_City_South_smlr",-3307.84367873604,-3165.03490576721,1026.14624462039,142.809579041417,142.812048871247,142.80791709,142.807402508027,-4191.18156908086,-4191.18083926831,-4191.17958734805,-4191.18136780316
"b_City_West_smlr",-3336.07144262751,-3192.44874394516,1029.26335294897,143.62350428027,143.625974125118,143.608618025068,143.628734626871,-4221.71251594022,-4221.7117860365,-4221.71185337242,-4221.71166444162
"b_City_Midwest_grtr",83584.3493370802,79365.7050287714,-13850.6886743311,-4218.64877773976,-4218.67585644679,-4218.56284646773,-4218.63834662758,93216.3590580267,93216.3971647064,93216.4007333827,93216.4015309353
"b_City_Northeast_grtr",83104.8793284989,78887.8924665513,-13953.0098541897,-4216.9926194881,-4217.0171707332,-4216.90540373851,-4216.98090408431,92840.8514636898,92840.9171248833,92840.9093485677,92840.910145528
"b_City_South_grtr",83437.1847451623,79230.3415413362,-13834.7466114605,-4206.84895962073,-4206.87475452878,-4206.76042502348,-4206.83724442865,93065.0372971363,93065.0916129775,93065.1070270526,93065.0959788264
"b_City_West_grtr",83707.8782064386,79502.8317276841,-13793.2289543595,-4205.05223184438,-4205.07802677416,-4204.96501694804,-4205.03986683202,93296.0098283989,93296.0641437119,93296.0677123431,93296.0742884529
