"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.115898775395718,0.0396479911192349,-0.0171770109374748,-0.0533983839044301,0.0339185806027825,0.028658521877939,-0.188369636190065,-0.012239781343245,-0.0461465037378971,0.0425126644662744,0.0136732659517599,-0.363066343187628,-0.348039103938664,-0.42758168466658,-0.580388780690159,-0.565875111617295,-0.54946455929592,-0.244469332704393,-0.215768110593772,-0.192453339034465,-0.112781313403384,-0.155980574289389,-0.360263557291422,-0.232458371994897,0.00333209131314441,0.00165080167608731,-0.00438489125524609,0.00527470598948572,0.00280370142628884,-0.0264560646737746,0.00106171742243352,-0.00731193842020567,0.00481413622061392,0.00181200826142553,-0.0384485073266132,-0.0369306478689714,-0.0467653085153393,-0.0787777356820062,-0.0746388282237068,-0.0600052712458128,-0.0300443222337565,-0.0263346870608994,-0.0231105433881501,-0.00541708774718543,-0.0136419966121925,-0.0446961275845181,-0.0282650822127077
"asc_grtr",0.115898775395718,1,0.00142821835696133,0.000929511798466542,-0.00734285698669339,0.00578245291345239,0.00138332623219802,-0.0294081302021521,0.00144140296049259,-0.0129053396977862,0.00888642594078358,0.00041604830436996,-0.0448160418548167,-0.0427622181514737,-0.053218142743259,-0.0668661185428517,-0.0665023865072646,-0.0636538497185485,-0.0323475716122314,-0.0291174893572033,-0.0250246817690093,-0.00474753982661442,-0.0169704679149039,-0.0469117638838248,-0.0305109130423669,-0.00474614166756674,-0.0149858310234286,-0.0646275166039488,0.0851292291306542,0.0206345625976379,-0.18839574161909,-0.0145325762608588,-0.111200761942671,0.10815768349029,0.035693429038858,-0.414694937229864,-0.41763681216272,-0.51113194532505,-0.451876335852488,-0.428776066094161,-0.376592505033787,-0.267428479034786,-0.235993951161102,-0.211562212011166,-0.0652821334159045,-0.197230535620197,-0.378254812799187,-0.272328958157523
"b_FA1A_smlr",0.0396479911192349,0.00142821835696133,1,-0.0887564096443127,0.186017750909063,-0.188369608185717,0.0693588053537584,-0.156078730905842,-0.0478857592297379,-0.200416395249374,-0.0653184501528249,0.0159691649464732,-0.0261880587733496,-0.0015835098831067,-0.015553517783067,0.0421319818488982,0.0252169180311022,-0.00392593303636796,-0.0253357715493955,-0.0623762482813445,-0.0133126702911337,-0.0911011112625653,-0.0505389863661671,0.0488937569901201,0.0591465113672758,0.123119977316303,-0.00649993795620179,0.0221089855520022,-0.0202567831102039,0.0164347359111261,-0.0163887099067095,-0.00630947447583595,-0.0219970561063248,-0.00703391401233826,0.00699593287731189,-0.00129750177936432,-0.000232051582850945,-0.00237232994359347,0.0068125527758122,0.00496868894135626,0.000497621278075754,-0.00286136557009487,-0.00925928164610616,-0.000869402140616965,-0.00643536508483439,-0.000371572874529729,0.00266079019268594,0.00297572938833904
"b_FA2A_smlr",-0.0171770109374748,0.000929511798466542,-0.0887564096443127,1,-0.314983178750368,-0.291360582178351,0.056763328722247,-0.0715806690688305,-0.0137818878258682,-0.128148891048996,0.0357043158612383,-0.11362376170254,-0.0162737837282827,-0.027405825735939,0.00206585817598272,-0.030524781206672,0.00726035640312303,0.0827783582472768,-0.0731962780338973,-0.0888738240699479,-0.0133296669616839,0.0173773624590369,-0.0998829076684518,0.0895416479164649,-0.0564150195654279,-0.00913791622111404,0.100149244938979,-0.0300613885563056,-0.0276800989609651,0.0063286317720634,-0.013625351865659,-0.00187019670432199,-0.0133801869941067,0.00392829096938618,-0.0113834690125478,-0.000852752605210182,-0.00363491643942639,-0.000121240021081984,-0.00511644029259284,0.00157548253624133,0.00835592759470552,-0.00928864457330201,-0.0120556688706698,-0.00160492921325635,0.00371491837143867,-0.00942168350749924,0.00920134139772131,-0.00605954107143161
"b_FA3A_smlr",-0.0533983839044301,-0.00734285698669339,0.186017750909063,-0.314983178750368,1,-0.193157599503074,-0.310593048912104,0.260528989117159,0.0057923992099071,0.030494486843086,0.0335113580686413,-0.109841969065448,0.036118404622636,0.0274204278028728,0.0412765670520514,-0.00155943080036253,0.00788920431137877,-0.00530503558650883,-0.0109391548498201,0.0104303046519268,0.0488857200406625,0.0690917529267044,-0.0788786345675613,-0.0182194401152875,0.0440533382030202,0.0208019371946532,-0.0281246617986488,0.0962735557585227,-0.0179437821828186,-0.0312981025847886,0.0316459032975079,0.00148129227215132,0.00654597663774785,0.00256677507315701,-0.00599855919638257,0.00427769956746869,0.002489430363107,0.00423203018514687,0.000228426680533337,0.00188008037755634,0.000281806420590182,0.000928089933993309,0.00300956058813864,0.0060150734090454,0.0101528165703098,-0.00537526129641604,-0.00428517861937473,0.00243420891492524
"b_FA4A_smlr",0.0339185806027825,0.00578245291345239,-0.188369608185717,-0.291360582178351,-0.193157599503074,1,0.137640326636153,-0.141702541328707,-0.0304065443916043,-0.0308099348320036,-0.065666718538786,0.0532626209145124,0.011257494694202,-0.0133567681022431,-0.010124935729138,-0.00272030330532616,-0.0187251361399935,-0.0381625140665865,-0.0400251947513095,-0.0975724931951208,0.018170497807542,-0.0969743613114349,0.0722023867818233,0.0127059957956948,-0.00285698874999772,-0.0197119445213693,-0.0256651965728194,-0.0180833606145604,0.102796109914929,0.0141828798039923,-0.01388704862146,-0.00282533066291096,-0.00317990146860341,-0.0084927286383874,0.00626007060162983,0.000716302732083479,0.00027311345495778,-0.000483193406776622,2.11152189734724e-05,-0.000675140961978772,-0.00213385998062662,-0.00481353196154748,-0.0116878100655034,0.00116256582385858,-0.0147776386115224,0.0065603085511491,0.00243474362426152,0.00167011889627003
"b_FA5A_smlr",0.028658521877939,0.00138332623219802,0.0693588053537584,0.056763328722247,-0.310593048912104,0.137640326636153,1,-0.177293431711663,0.108345678232418,-0.0637232733321189,-0.0385562196944707,-0.0738083282876643,0.0582313950525056,0.019671506328424,-0.0298225833803989,0.0125159444712273,-0.00642881377231524,0.00585473883324347,-0.0625927663135548,-0.0922591744687527,0.154798410779396,-0.0570472906647771,0.00659701202273731,-0.165785782834186,0.0819756040411344,0.0157397232805026,0.00664746706999177,-0.0312951394392984,0.0148295942827573,0.120390234398038,-0.0113507397546624,0.0129988925596347,-0.00581489382402341,0.000225811514286539,-0.00846598598563482,0.0110611445505202,0.00469850027585451,-0.00311259273881468,0.00191955899269891,0.00277825517840857,0.00379203631439391,-0.00777359939544612,-0.0132628984153733,0.016438123537885,-0.00427140119364663,0.00411460969807974,-0.0254917536266664,0.00859522974591217
"b_FA6A_smlr",-0.188369636190065,-0.0294081302021521,-0.156078730905842,-0.0715806690688305,0.260528989117159,-0.141702541328707,-0.177293431711663,1,-0.000718791414520435,-0.172395163183051,-0.0503397429291305,-0.00483918181530283,0.00132601388994386,-0.00415045030637565,-0.0100957788604947,0.0419295370398221,0.100717890168458,0.17042664435652,0.12482567386169,0.226999565254384,-0.0586884229361628,0.0876706652162363,0.0495817388091009,0.0353773831403185,-0.0386899317134208,-0.0151408069692003,-0.0133216504524422,0.0301341858201825,-0.0158701944082399,-0.00995845162924336,0.134489731318494,-0.00151858792247875,-0.0143638582117642,-0.0061982246156561,0.00188781822461307,0.00247504427757453,0.000867436470782143,-0.000735801532492588,0.00734413936390804,0.0191771384237466,0.0246597333095475,0.0168580840811074,0.0309464098657518,-0.00870153907751392,0.00991347049376518,0.0075185833027906,0.00184771259958251,-0.00596241608688526
"b_FA1H_smlr",-0.012239781343245,0.00144140296049259,-0.0478857592297379,-0.0137818878258682,0.0057923992099071,-0.0304065443916043,0.108345678232418,-0.000718791414520435,1,-0.46383268518665,-0.00744926814444239,0.00549455177276279,-0.00318979491723159,0.0245086810494068,-0.00247450715277923,0.011132548167237,-0.000821997162027702,0.0007367570179619,0.015479305037747,0.0133955346920486,-0.00394190835978156,-0.026883091447339,0.0115226315927841,0.00748858673527217,-0.0241410485667326,-0.00679806505533221,-0.00280857377414222,0.000548841290739534,-0.00355423067480901,0.0133955688852177,-0.0018551093921756,0.103712315542165,-0.0536372403132467,-0.000300344918615086,0.00177243308535986,-0.00227266112165034,0.000992741405030156,-0.00304475918366193,0.000364509993104028,0.000271427515384436,0.00023348783082458,0.00155607675959628,0.00161337417449388,-0.00140871943593918,-0.00525866436079063,0.001202887952742,-0.000915812023376944,-0.000825489975097872
"b_FA2H_smlr",-0.0461465037378971,-0.0129053396977862,-0.200416395249374,-0.128148891048996,0.030494486843086,-0.0308099348320036,-0.0637232733321189,-0.172395163183051,-0.46383268518665,1,0.152160091380668,-0.134713486268743,-0.00512417500442487,0.00457685588823488,0.0145286804072893,0.0165957974733189,0.0505664184598917,0.0924403009313612,3.38646019442484e-05,0.0170658182296635,0.0235260274666355,-0.0234960725862991,-0.12933409028485,0.0720704515942628,0.0178953141163147,-0.0222058970192931,-0.00741012662678792,0.00850504973583428,8.09437904917095e-05,-0.00417092086358244,-0.0153910474798481,-0.0448093932430366,0.13358605584774,0.0227034432646927,-0.00816639685383657,0.0020566320859026,0.00232794178179044,0.0025454681653617,0.00281076726204967,0.0116098549065977,0.0137313873796239,0.00228720338189073,0.00236278407072456,0.00232010580204346,0.00417388164165751,-0.00889541899536082,0.00492592422402068,-0.00550955655636582
"b_FA3H_smlr",0.0425126644662744,0.00888642594078358,-0.0653184501528249,0.0357043158612383,0.0335113580686413,-0.065666718538786,-0.0385562196944707,-0.0503397429291305,-0.00744926814444239,0.152160091380668,1,-0.344535824830172,-0.0085790928237084,-0.00278695275281077,-0.0133889246453028,-0.0218077852038335,-0.0245434804935641,-0.031774997747694,-0.0433255968755184,-0.0405950782072945,-0.0194322607717082,-0.0404655658243533,0.0783523845643117,-0.00705930007294448,0.0236990860419577,-0.00682908087057236,0.000603444381854757,0.00122184610538028,-0.00956971321314049,0.000168968218508975,-0.00517657236698601,-0.000188503280619694,0.0225685018561655,0.122502254985259,-0.0432172039246141,-0.00372943540845181,-0.00319413662132451,-0.00413088357064,-0.00250182856571062,-0.000923597544788852,-0.00103213144144225,-0.00444857385933157,-0.00421318660920845,-0.00378256273605338,-0.00948770770563577,0.00467352848058883,-0.000293507961857924,0.00263588724109301
