"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0688673513609387,0.00745870447768022,0.000606547250308397,-0.000286283150300355,-0.00104528224367908,0.00056898295610079,0.000382813891582975,-0.00272639435155859,-0.000200389703017811,-0.000775896374532035,0.000580911034100361,0.000170595960017357,-0.0161790985820693,-0.0159258780007983,-0.0175456759778458,-0.0312347739476221,-0.0313965994636185,-0.0331505440061181,-0.00969675836322926,-0.00881577364256223,-0.00622323005067889,-0.00397925930646134,-0.00455106952217699,-0.0110531989563173,-0.00742295652332314,5.34198790051798e-05,3.01715047534707e-05,-9.04965439633948e-05,8.77559879887607e-05,4.03075922347916e-05,-0.000394812150051129,1.99131224732902e-05,-0.000122614746213843,6.87541494237992e-05,2.44501607243446e-05,-0.00184000108448965,-0.00176794148576713,-0.00198274844699701,-0.00346529154581874,-0.00355294478226052,-0.00364065770437306,-0.00114710183563861,-0.00109855695254944,-0.000750708716164776,-0.000187124287350495,-0.000414363128440932,-0.00136702452020399,-0.000887883850899482
"asc_grtr",0.00745870447768022,0.0601389340203239,2.04178135847546e-05,1.44768566786302e-05,-0.000134320315178652,9.06452111741714e-05,1.72675088573159e-05,-0.000397755652027907,2.20525250795157e-05,-0.000202770855478012,0.000113472232456196,4.85077812211795e-06,-0.00186626366229534,-0.00182854957871793,-0.00204071284257016,-0.00336276598077019,-0.00344802513369108,-0.00358877987956583,-0.00119898856751404,-0.00111172729889506,-0.000756188626981676,-0.000156532630014168,-0.000462708997531236,-0.00134499475221788,-0.000910454196132457,-7.110462915836e-05,-0.000255949374958804,-0.00124641253279585,0.00132351350247856,0.000277218068930978,-0.0026272870218392,-0.000254708949196928,-0.0017425655108687,0.00144347440821274,0.000450070958090179,-0.0185454980514393,-0.0186831846173483,-0.020251071742224,-0.0185749244760087,-0.01907327864424,-0.0213517408782925,-0.00954153813885968,-0.0091995473567062,-0.0064220040226361,-0.00210731665887577,-0.00559820106946678,-0.0108109047704212,-0.00799412438350076
"b_FA1A_smlr",0.000606547250308397,2.04178135847546e-05,0.00339839238055235,-0.000328607893819239,0.000808890843542332,-0.000701944042169175,0.000205809575448814,-0.000501824164196257,-0.000174155899322513,-0.000748562793274905,-0.000198270107756434,4.42597298036414e-05,-0.00025923981787537,-1.60963049545845e-05,-0.000141778282612163,0.000503687667447534,0.000310802208874346,-5.26167394612454e-05,-0.000223237109823168,-0.000566138242400661,-9.56281274833685e-05,-0.000714033911014048,-0.000327566554492696,0.000333235402860088,0.000419556959279116,0.000438474763948156,-2.63901191460464e-05,0.000101361272232551,-7.48650383608545e-05,5.24865339452083e-05,-5.43300499316946e-05,-2.62877659306096e-05,-8.1941670121129e-05,-2.23155535463406e-05,2.0969942971926e-05,-1.37935682340975e-05,-2.46771821103202e-06,-2.2343385346809e-05,6.65696441740579e-05,5.25406601195388e-05,6.70686335173034e-06,-2.42685026285231e-05,-8.58028631633572e-05,-6.27353141377475e-06,-4.93818719910901e-05,-2.50713222304358e-06,1.80778637196697e-05,2.07648791830978e-05
"b_FA2A_smlr",-0.000286283150300355,1.44768566786302e-05,-0.000328607893819239,0.00403350881584143,-0.00149220206368595,-0.00118284325751252,0.000183500212982518,-0.000250731179015594,-5.46066165170443e-05,-0.000521452300079078,0.000118071976045992,-0.000343083995647681,-0.000175505885717676,-0.000303496054550759,2.05156994975175e-05,-0.000397563708779261,9.74888112534223e-05,0.00120865568183402,-0.000702628884856533,-0.000878783419835506,-0.000104314461165833,0.000148382870249662,-0.000705291981634752,0.000664855938566002,-0.000435974695599271,-3.54542246930954e-05,0.000442980453787533,-0.000150147124280319,-0.000111450226740721,2.20191087388745e-05,-4.92093702517361e-05,-8.48892161098629e-06,-5.43009185820237e-05,1.35774747074513e-05,-3.71732891350814e-05,-9.87634983618923e-06,-4.21124207899743e-05,-1.2440121811303e-06,-5.4467696748746e-05,1.81498087836158e-05,0.000122693040299763,-8.58275516063109e-05,-0.000121708396587946,-1.26168807605163e-05,3.10562046124545e-05,-6.92574492457192e-05,6.81070965194806e-05,-4.60659946178719e-05
"b_FA3A_smlr",-0.00104528224367908,-0.000134320315178652,0.000808890843542332,-0.00149220206368595,0.00556413346923843,-0.000921012376342761,-0.00117928211865425,0.00107182999873611,2.69558050728254e-05,0.000145739853590479,0.000130159361136994,-0.000389544314435159,0.000457497756345043,0.000356649523585605,0.000481444977258084,-2.38548969973944e-05,0.00012441917066724,-9.09769462335593e-05,-0.000123332642226089,0.000121132936332352,0.000449329053472486,0.000692920457456068,-0.000654175715871508,-0.000158889339853806,0.000399855088873857,9.47942218397562e-05,-0.000146110510232861,0.000564770830761536,-8.4856393728824e-05,-0.000127898421027343,0.000134237804871316,7.89702035231596e-06,3.12015887766521e-05,1.04198251462772e-05,-2.30070307683131e-05,5.81890080954672e-05,3.38745100187652e-05,5.10016997994878e-05,2.85611173360712e-06,2.54385376130535e-05,4.85996798304522e-06,1.0072138874797e-05,3.56853191605504e-05,5.55385213032007e-05,9.96880057818319e-05,-4.64082108793788e-05,-3.72535286381437e-05,2.17348091948498e-05
"b_FA4A_smlr",0.00056898295610079,9.06452111741714e-05,-0.000701944042169175,-0.00118284325751252,-0.000921012376342761,0.00408610755798791,0.000447845076104561,-0.000499578362766609,-0.000121259846997268,-0.000126183888552798,-0.00021856711619813,0.000161870318469261,0.000122196365316019,-0.000148876083607449,-0.000101202558689354,-3.56602919800753e-05,-0.000253066821438848,-0.000560836355612156,-0.000386708614803349,-0.000971066073372861,0.000143121684057659,-0.000833432108090368,0.00051314808916884,9.49564715876382e-05,-2.22222721611199e-05,-7.69774784502765e-05,-0.000114260171395836,-9.09076678592239e-05,0.000416584771391765,4.96669765369267e-05,-5.04804745337965e-05,-1.29076716938763e-05,-1.29888902926293e-05,-2.95444557031305e-05,2.05754329838088e-05,8.34994105369198e-06,3.18472739451126e-06,-4.99014334588441e-06,2.26245568796544e-07,-7.82827926991161e-06,-3.15358521360789e-05,-4.4766344274123e-05,-0.000118761525489012,9.19871280993564e-06,-0.000124341910955975,4.85373027925945e-05,1.81387706998729e-05,1.27791362559058e-05
"b_FA5A_smlr",0.000382813891582975,1.72675088573159e-05,0.000205809575448814,0.000183500212982518,-0.00117928211865425,0.000447845076104561,0.0025909225080321,-0.000497726704384095,0.00034405973975535,-0.000207818171002569,-0.000102189498695182,-0.000178616827649917,0.000503322154139556,0.000174595674987998,-0.000237365061417653,0.000130648223276596,-6.91852296148928e-05,6.8513952597453e-05,-0.000481556061561984,-0.0007311445682219,0.000970906535905206,-0.000390409734547275,3.73345354806955e-05,-0.000986587163304671,0.000507734731408814,4.89444688858878e-05,2.3565615405522e-05,-0.000125276779166973,4.78551072719445e-05,0.000335712007964509,-3.28556417127112e-05,4.7288691463519e-05,-1.89135255019826e-05,6.255285606202e-07,-2.21574415275576e-05,0.000102673693344854,4.36275413558802e-05,-2.55968566543577e-05,1.63779020978658e-05,2.56517087085136e-05,4.46255369334154e-05,-5.75681457468598e-05,-0.00010731325798354,0.000103570020707764,-2.86190474943552e-05,2.42411005579492e-05,-0.000151226061178542,5.2370161764037e-05
"b_FA6A_smlr",-0.00272639435155859,-0.000397755652027907,-0.000501824164196257,-0.000250731179015594,0.00107182999873611,-0.000499578362766609,-0.000497726704384095,0.00304188063656916,-2.47325569228761e-06,-0.000609192279693286,-0.000144566174223657,-1.26891582772084e-05,1.24188333008704e-05,-3.99148916820471e-05,-8.70673314619326e-05,0.000474246156424611,0.00117444594578654,0.00216099051722388,0.00104056808004917,0.00194922777602239,-0.00039884783460958,0.000650105422687052,0.000304038864612721,0.000228117053544325,-0.000259653440871557,-5.10151798774094e-05,-5.11710698811125e-05,0.000130706450964535,-5.54913312385268e-05,-3.0089246077242e-05,0.000421811859157765,-5.985973037683e-06,-5.0622743943419e-05,-1.86042532725198e-05,5.35360239141389e-06,2.48934999672513e-05,8.72736284212418e-06,-6.55645215941611e-06,6.7895593484089e-05,0.000191854434723205,0.000314443929289546,0.000135273327492651,0.00027131204961968,-5.94048317546492e-05,7.19704803400687e-05,4.79958376778658e-05,1.18769580022222e-05,-3.93633976918333e-05
"b_FA1H_smlr",-0.000200389703017811,2.20525250795157e-05,-0.000174155899322513,-5.46066165170443e-05,2.69558050728254e-05,-0.000121259846997268,0.00034405973975535,-2.47325569228761e-06,0.00389215479281139,-0.00185402092310281,-2.41987687855944e-05,1.62973545143092e-05,-3.37924324070682e-05,0.000266614425995946,-2.41394897611089e-05,0.000142430271879578,-1.08422820154502e-05,1.05672897910575e-05,0.000145962739822574,0.00013011326866328,-3.03029766191498e-05,-0.000225492792003238,7.99250641148606e-05,5.46205263004493e-05,-0.000183263601277583,-2.5909538882529e-05,-1.2203271322581e-05,2.69282608390822e-06,-1.40576418797385e-05,4.57830390764651e-05,-6.58147372436348e-06,0.000462433313911948,-0.000213828192631625,-1.01973937594197e-06,5.68564519993081e-06,-2.58560178778044e-05,1.12981011343834e-05,-3.06891687702923e-05,3.81183493759571e-06,3.07160862493687e-06,3.36777491234968e-06,1.41240400959606e-05,1.5999922452792e-05,-1.08786290930495e-05,-4.31845206451501e-05,8.68593756217563e-06,-6.65887878499989e-06,-6.1646165701128e-06
"b_FA2H_smlr",-0.000775896374532035,-0.000202770855478012,-0.000748562793274905,-0.000521452300079078,0.000145739853590479,-0.000126183888552798,-0.000207818171002569,-0.000609192279693286,-0.00185402092310281,0.00410503117576097,0.000507625699307072,-0.000410354401617152,-5.57498654529258e-05,5.11321577776632e-05,0.000145555533697759,0.000218056493753321,0.000684976628324725,0.00136164490225761,3.27944008767273e-07,0.000170236165019692,0.000185733629088577,-0.000202400652214951,-0.000921313653361162,0.000539854141495994,0.000139515541996263,-8.69172279198276e-05,-3.3065815518257e-05,4.2855006358431e-05,3.28786199773174e-07,-1.46399159528885e-05,-5.60770273227908e-05,-0.000205187558417815,0.00054691879151021,7.91632848727627e-05,-2.69031767979597e-05,2.40296110755693e-05,2.72085009612354e-05,2.63489324602971e-05,3.01864965448848e-05,0.000134927967141188,0.000203402555091069,2.13204264745673e-05,2.40641202462676e-05,1.84001189755035e-05,3.5201077574025e-05,-6.59661464930999e-05,3.67828751417335e-05,-4.22546091796168e-05
