"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.0982893374224542,0.060375895991562,-0.0677431695692817,-0.0178088714508933,0.0578363419904495,0.0147538564193881,-0.227542262872021,-0.0939370618392292,0.0573468523119672,-0.00717041612836405,0.0732895021101075,-0.401027926892542,-0.356558279244911,-0.436699060671489,-0.598740681930766,-0.584695414525176,-0.548868153503259,-0.207989103409219,-0.200773146374377,-0.145867663523046,-0.163569531485582,-0.181777168820398,-0.418591019321635,-0.201545938107504,-0.00302543063528714,0.00667542844467042,-0.0154157961316345,0.0081945500301048,0.00219871625656766,-0.0189989729478608,0.00591488751150592,-0.00785988975617021,0.0141603970125006,-2.44510978616453e-05,-0.0303702533595918,-0.0288893875151292,-0.0405421637900745,-0.0675260887676821,-0.0674095097222129,-0.0511704646106078,-0.0284435449386468,-0.0178338879018376,-0.0195011860026888,-0.00708673582802789,-0.00373120489913231,-0.0326716455882428,-0.0323117432500392
"asc_grtr",0.098289337422455,1,-0.00451835358023136,-0.00206064177588296,-0.0149614179296161,0.0104411119460133,-0.00233796091586142,-0.0269508783921991,0.000252716751226941,-0.0134530099393099,0.0178070558912204,-0.00255557767890139,-0.0359363931175573,-0.0377126218716475,-0.0469608286432521,-0.0590864058497215,-0.0623777840263744,-0.0575151776870773,-0.0330561599742745,-0.0240250884667256,-0.021727156753459,-0.0083624328461373,-0.0171046445927254,-0.0331196762073937,-0.0287492268824436,-0.000279997276691759,0.0253738407527829,-0.0545001675273508,0.0980855547023236,-0.0186534613389485,-0.174276396150025,0.0657443940227476,-0.194176873772474,0.0289925489152979,0.0718843564212624,-0.37828760080993,-0.418151323920879,-0.496461680305467,-0.45988796628505,-0.432344284205014,-0.33608683278607,-0.288478462012268,-0.286436409180995,-0.260093210747101,-0.0348342726780319,-0.216727094714146,-0.364126498523671,-0.27698432653823
"b_FA1A_smlr",0.060375895991562,-0.00451835358023122,1,-0.0455701865904823,0.258397192965162,-0.282231192487117,-0.00331219801534819,-0.173669194809722,-0.0901474061704223,-0.165223605567273,0.0251595291304919,-0.0437699820951698,-0.0135138451045134,-0.0137788642772535,0.010211861564565,0.0172392072069113,0.00793285219196123,-0.03122738036347,-0.0321263697758262,-0.0934746146826291,-0.0849025165073433,-0.0427620034136806,-0.0677527699484864,0.00287798636355635,0.11611378691683,0.136905391132687,-0.00411646500987187,0.0224451324851008,-0.0210386026870063,0.0248871007834295,-0.0120425502854132,-0.0078292475011184,-0.0257474249347515,-0.00318945899393188,0.0012621749764701,-0.000246647805542721,0.00511415600559576,-0.0048519024935336,0.0150074306312377,0.00612295730170144,0.00706583019494263,-0.0043569172488521,-0.0150640055470632,0.00590540554895191,-0.00492015290487734,-0.00252334906967481,0.00554907534803683,0.00598823323985627
"b_FA2A_smlr",-0.067743169569281,-0.00206064177588316,-0.0455701865904822,1,-0.361939623602782,-0.311544415696389,0.0912514832338455,-0.0759740987229899,-0.0552362475138538,-0.0515156886432631,0.0169561624922041,-0.118613668908019,-0.0182075975163777,0.0338014998659345,-0.0161043763883079,0.00621217599772922,0.0589796870669338,0.138510961381004,-0.0543292143124855,-0.0391169687020588,-0.00104577769116478,-0.00784089716699044,-0.0756361432490951,0.109649399862195,-0.0649429916989722,-0.00451427771386716,0.0858796957659719,-0.0298020349483721,-0.0178716991301032,0.00886107980227574,-0.0145148285746747,-0.00211950978566228,-0.00747235825653204,-0.0107602297392872,-0.00306307072734823,0.00989708246986498,0.00390735533919123,0.0106957277318572,-0.00928399992524595,-0.00498572012772147,0.00434662991664074,-0.00393428153432248,-0.006135097162981,-0.00237641416496249,-0.0022413098274715,-0.011414551303041,0.00647741140600839,-0.0062197001926119
"b_FA3A_smlr",-0.0178088714508937,-0.0149614179296158,0.258397192965162,-0.361939623602783,1,-0.123559299288838,-0.334643126120508,0.193525542602868,0.0088074097771319,-0.0333181268284437,0.0980874465091655,-0.131105364570214,0.021798081885205,0.0287009495760066,0.0275034366946072,-0.0318741643078456,-0.0282883906161394,-0.0676397186182498,-0.0406461837122655,-0.0200163244156604,0.053151463011198,0.0786493308402338,-0.0158061082628361,-0.0426556015576025,0.105537740228164,0.0257160880930461,-0.0272430699515419,0.0949940750404008,-0.0171677071031614,-0.0326430288635114,0.0352600377482719,0.00136866118023681,-0.000860471929957527,0.0118791718355702,-0.010647923651546,0.00305848621250035,0.00520250314419159,0.000247929704013717,0.0135731956860609,0.0153254433935496,0.00489695131426241,-0.00393137348941705,7.18526006810844e-05,0.0113654416412287,0.00552071064676233,0.000999239074436143,0.00381321776856439,0.00483699847771686
"b_FA4A_smlr",0.0578363419904504,0.0104411119460136,-0.282231192487117,-0.311544415696389,-0.123559299288838,1,0.127819819829533,-0.0450622413753797,-0.022033708526061,-0.104813207305703,-0.0984953833820836,0.0347802446608093,0.0465260866284376,-0.00160785446852199,0.0145913190577145,-0.0713374010834667,-0.0603374623273405,-0.0809933349277941,-0.104941116687294,-0.148162543391532,0.092456813191605,0.00943013998170946,0.0284507098490015,-0.0237731378586454,-0.0843063505307413,-0.0230281098781695,-0.0131504146858685,-0.0162193680520609,0.087467740607197,0.0184054131363926,-0.0144537959758825,-0.00395365298642161,-0.00463197188171869,-0.0078649433335689,0.00607133823176196,-0.0102701962793924,-0.00637703045783793,-0.00828003155899694,0.00027467578999356,0.00291680676515997,0.00224638152908804,-0.0129971113185772,-0.0193023738130768,0.00528810898012161,-0.0141602947063847,0.00473268555067565,0.00487277900864343,0.00827797233621435
"b_FA5A_smlr",0.0147538564193881,-0.00233796091586139,-0.00331219801534827,0.0912514832338455,-0.334643126120508,0.127819819829533,1,-0.0977575446257044,0.142144749056852,-0.0809430957943813,-0.059932950966427,-0.0740429457039414,0.0957687062150863,0.0295550100776819,-0.0416958133677187,0.00440139945626414,-0.0169664564261157,0.0117404073783359,-0.0257546234282502,-0.0421664299763848,0.113579614650849,-0.0658005941123558,-0.0262594056671967,-0.136090298947895,0.0801191661487588,0.0249489397436696,0.00848753090481202,-0.0346184089273877,0.0206714732792739,0.127460294806985,-0.0247423524036056,0.0149527137396926,-0.0051881405641798,-0.0126338649796802,-0.00273762216129694,0.0145288923721295,0.0144891506768994,0.00133025036546862,0.00150778560907692,0.00326368247589893,-0.00467532743790261,-0.00290494094053647,-0.0251057910441656,0.0287371024975738,0.00246363500325356,-0.00519904194763328,-0.030601107412349,0.00700890571463915
"b_FA6A_smlr",-0.22754226287202,-0.0269508783921987,-0.173669194809722,-0.07597409872299,0.193525542602868,-0.0450622413753798,-0.0977575446257044,1,0.010537799082831,-0.25243987030952,-0.0842274173653589,0.0245081683970004,0.0124720219084777,0.0392900241543522,-0.00557427009031276,0.061846697321236,0.142061308194605,0.222520584508156,0.103325666976049,0.217327218152895,-0.0292047302796893,0.0968548354128905,0.106999785028718,0.0412681538147415,-0.0560273772921026,-0.00324661871837086,-0.0153918283106315,0.0391472761282569,-0.0188207851689515,-0.0197188877100544,0.128183128284784,-0.00429694894065719,-0.0189092426132244,-0.00953451339740632,0.00470488710561438,-0.000733283878025102,0.00973306729869171,4.31764196100991e-05,0.0067390945738452,0.0248264421865385,0.0147599967771993,0.00742923250695228,0.0210371609000182,-0.0113809445043928,0.01193355366163,0.000650152327578409,0.0071900954863182,-0.00380518501681505
"b_FA1H_smlr",-0.0939370618392293,0.000252716751227069,-0.0901474061704222,-0.0552362475138538,0.00880740977713192,-0.022033708526061,0.142144749056852,0.0105377990828312,1,-0.446112146084358,0.0278001404687877,0.0546114081296084,-0.0391404986522002,-0.0168413260024853,-0.00132885592487173,0.0621588071451095,0.0834649759807804,0.0899467227899004,0.0762229825024823,0.00107167679055929,0.0599631299399122,-0.000738692306275426,0.0248723115611501,0.0520590535946567,0.0180055075312974,-0.0110670990293507,-0.00228710877670413,-0.000730627747084813,-0.00398054624956345,0.0127318909228059,-0.003937450028023,0.098285368167682,-0.0473314594609419,-0.00218485328313883,0.00290210619161004,-0.00309816154319972,0.000239887240911061,-0.00386773005895423,-0.00659932131492899,-0.00226797946393153,-0.00233280928096022,0.000518164438406696,-0.00434724295407767,0.0049682019128948,0.00731442375846357,-0.000924064438816216,0.00724559016181608,0.00467851645618522
"b_FA2H_smlr",0.0573468523119684,-0.0134530099393094,-0.165223605567273,-0.0515156886432631,-0.0333181268284438,-0.104813207305703,-0.0809430957943812,-0.25243987030952,-0.446112146084358,1,0.100687174942251,-0.0880940818251931,-0.0166370149112074,-0.0317248453805625,-0.00854577432485945,-0.035714447394459,-0.0414073695794634,0.0193994302716637,0.00382059322163088,0.0482527920163624,-0.0179287106892782,-0.136825669163185,-0.198687397842495,0.125965283640803,0.0133620734089898,-0.0270480886032092,-0.00584409719916495,0.00607462369157825,0.00682545152125007,-0.00446775315268294,-0.0236269751112376,-0.0371421943936079,0.125003637432717,0.0313875638476286,-0.00875422829671869,0.00313488992853951,0.00303863259950405,0.00156020013846217,0.0103031076945771,0.0177877753678185,0.00654677644922913,0.000581148870642777,0.00416552053855811,0.00259007997170925,-0.00682008541030943,0.00442264386767333,0.00158498964835112,-0.016053530500508
