"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0730733919671178,0.00656451213425107,0.000964116326743078,-0.00113322466757584,-0.000349493988815736,0.00109293948263627,0.000198383487040899,-0.00351189871769135,-0.00160878849648752,0.00102189012912778,-0.000102210059420597,0.000968664805705072,-0.0187475339171019,-0.0167001737898618,-0.0185663326579277,-0.0326415223085885,-0.0327330763797468,-0.0337300485084723,-0.00849733642003146,-0.00839439982254207,-0.00484288460860404,-0.00575108205207096,-0.00548249032023,-0.0137096399036003,-0.00668616496308627,-4.91805242384181e-05,0.000136338222809093,-0.000332496168711398,0.000150218541016387,3.40741589151799e-05,-0.000301306893691803,0.000119587342410024,-0.000143464293717988,0.00020245146834776,-3.59541507403395e-07,-0.00149976482349613,-0.00141065058231566,-0.00174707232161786,-0.00313978179770616,-0.00335450680588029,-0.0032810314110934,-0.00115817224005709,-0.000776404949099765,-0.000662988878679985,-0.000256487085008863,-0.000117345974537974,-0.00103637139153288,-0.00106162644601847
"asc_grtr",0.00656451213425112,0.0610425726562463,-6.59451473071877e-05,-3.15057474860921e-05,-0.000268356949690269,0.000180334504587293,-2.87325383154777e-05,-0.000380180305159751,3.95578601468435e-06,-0.000219104280879575,0.00023199476396437,-3.0871491817257e-05,-0.0015354680959138,-0.00161441049780811,-0.00182480474777128,-0.00294412327885786,-0.00319171319584118,-0.00323048835291848,-0.00123433036369652,-0.000918091152144069,-0.000659302576784135,-0.000268730263598899,-0.000471508334723528,-0.000991423033090543,-0.00087169787753014,-4.1600307582094e-06,0.000473654289087968,-0.0010743735431869,0.00164338856916118,-0.0002642117753409,-0.00252612184910748,0.00121488237780361,-0.00323937820247306,0.000378851211684977,0.000966099463041975,-0.0170739354651455,-0.0186617073665783,-0.0195535885821444,-0.0195441460134656,-0.0196640971629297,-0.0196960576483785,-0.0107359283441823,-0.0113974386748487,-0.00808185427682049,-0.00115229263445126,-0.00622972802883732,-0.010556828648238,-0.00831770119881807
"b_FA1A_smlr",0.000964116326743078,-6.59451473071856e-05,0.00348957414169024,-0.000166585767938161,0.00110814778902027,-0.00116548554179025,-9.73246478646652e-06,-0.000585745933066222,-0.000337381913180953,-0.00064338850259268,7.83715382095891e-05,-0.000126419683863098,-0.000138055924620789,-0.000141029663360209,9.48757823133857e-05,0.000205378750968404,9.70494503023668e-05,-0.000419363924236921,-0.000286820682774851,-0.000854051954119078,-0.000615987981859794,-0.000328557798140134,-0.000446552140298704,2.05983035810192e-05,0.000841769931093044,0.00048633226745883,-1.83725523414806e-05,0.000105791175235995,-8.42794906122671e-05,8.42823905110174e-05,-4.17353436328921e-05,-3.4591176139883e-05,-0.000102699363530115,-9.96481190883562e-06,4.05580268336122e-06,-2.66169681826913e-06,5.45709697388089e-05,-4.56901522693457e-05,0.000152489801150669,6.65848339779558e-05,9.90058383668788e-05,-3.87681718796047e-05,-0.000143314228792306,4.3873423874064e-05,-3.89138713717357e-05,-1.73421529304156e-05,3.84655201917523e-05,4.29948688425932e-05
"b_FA2A_smlr",-0.00113322466757583,-3.15057474860952e-05,-0.00016658576793816,0.0038294971151253,-0.00162603796563574,-0.00134774121304662,0.000280886676265548,-0.000268433495187735,-0.000216559573169493,-0.00021014805195802,5.53309453104273e-05,-0.000358887001421258,-0.000194855834915381,0.000362424607114575,-0.000156739703827059,7.75294366372802e-05,0.000755876493473747,0.00194860726028647,-0.000508120707719529,-0.000374403981083888,-7.94832666178976e-06,-6.31108678088766e-05,-0.000522226798239328,0.000822117021356137,-0.000493203975330903,-1.67990787609163e-05,0.000401532054226404,-0.000147149180070412,-7.49990069143094e-05,3.1436475172044e-05,-5.26965392400031e-05,-9.80991830680219e-06,-3.12231198003735e-05,-3.52174806731217e-05,-1.03109560510287e-05,0.00011188533771308,4.36772479329862e-05,0.000105512894815201,-9.88221367631601e-05,-5.67971631409104e-05,6.38020939804734e-05,-3.66729717256293e-05,-6.11441549996084e-05,-1.84951812162925e-05,-1.85700209230579e-05,-8.21805760648006e-05,4.70367306737597e-05,-4.67812724128575e-05
"b_FA3A_smlr",-0.000349493988815743,-0.000268356949690264,0.00110814778902027,-0.00162603796563575,0.00527044584875064,-0.000627068202506997,-0.00120844230278954,0.000802162300949065,4.05092522901961e-05,-0.000159448060262454,0.000375497243698929,-0.000465367720940658,0.000273672938060485,0.000361019595546939,0.000314032703831611,-0.000466674948699945,-0.000425313747212428,-0.00111633558649418,-0.000445970415779582,-0.000224756572786878,0.000473919263543148,0.000742653496691746,-0.000128028758761851,-0.00037519432125423,0.000940274963733301,0.000112267719929331,-0.000149430267306743,0.000550251518373802,-8.45190813407091e-05,-0.000135859637130689,0.000150177807929901,7.43153826905613e-06,-4.21801501777183e-06,4.5611642318174e-05,-4.20493845510964e-05,4.05625565310744e-05,6.82240526074998e-05,2.86930401218946e-06,0.000169493881992293,0.000204816340091043,8.43258753966078e-05,-4.29910228741864e-05,8.40095771361528e-07,0.000103770899015627,5.36609414015357e-05,8.43980766693761e-06,3.24847896497421e-05,4.26806804088754e-05
"b_FA4A_smlr",0.00109293948263629,0.000180334504587297,-0.00116548554179025,-0.00134774121304662,-0.000627068202506997,0.00488687610985268,0.000444461552599271,-0.000179857573606745,-9.75855717589229e-05,-0.000482999477248542,-0.000363079046658956,0.000118877705282979,0.000562473526583349,-1.94748101837763e-05,0.000160425889040297,-0.00100573821313927,-0.000873534792913107,-0.0012871650692033,-0.00110872526036963,-0.00160198513256571,0.000793816360961531,8.57435231719516e-05,0.000221905300528019,-0.000201353267248246,-0.000723268179169717,-9.68055546363838e-05,-6.94566707762487e-05,-9.04670954531583e-05,0.000414650666560879,7.37628279145105e-05,-5.92784575829914e-05,-2.06715624786013e-05,-2.18639847278575e-05,-2.90788434980733e-05,2.30871928108088e-05,-0.000131156410652891,-8.05259097956329e-05,-9.22724352313014e-05,3.30281528119985e-06,3.75362772684042e-05,3.72486535229682e-05,-0.000136858664890944,-0.00021731465541724,4.64923658323563e-05,-0.00013253408403284,3.8491317629439e-05,3.99721173048897e-05,7.03349755884999e-05
"b_FA5A_smlr",0.0001983834870409,-2.87325383154772e-05,-9.73246478646676e-06,0.000280886676265548,-0.00120844230278954,0.000444461552599271,0.00247423340929921,-0.000277632877557041,0.000447954084571331,-0.000265408684571311,-0.000157201122299082,-0.00018007612541971,0.000823822882949267,0.000254719548980258,-0.000326194789663635,4.41532953589744e-05,-0.000174778892021856,0.000132761698344689,-0.000193614613743751,-0.000324408002240333,0.000693882900771435,-0.00042571374142196,-0.000145735089097706,-0.00082017024453169,0.000489080286549866,7.46274749782067e-05,3.18977868841523e-05,-0.000137394228766856,6.97285378925998e-05,0.000363472514598484,-7.22038959738642e-05,5.56287682682468e-05,-1.74252815477006e-05,-3.32370470793234e-05,-7.40738433454623e-06,0.000132022500676605,0.000130186138871267,1.05481924846062e-05,1.29005482018237e-05,2.98851959863436e-05,-5.51624770727282e-05,-2.17654392700825e-05,-0.000201120746493651,0.000179774833656295,1.6407269950912e-05,-3.00872932103724e-05,-0.000178616777493619,4.2374272684031e-05
"b_FA6A_smlr",-0.00351189871769134,-0.000380180305159745,-0.000585745933066222,-0.000268433495187735,0.000802162300949064,-0.000179857573606745,-0.000277632877557041,0.00325987203422469,3.81182133457887e-05,-0.000950108514263347,-0.000253584910446178,6.84168772522571e-05,0.000123147907947556,0.000388681082691577,-5.00555825514784e-05,0.00071214559536895,0.0016797845719537,0.00288828315609336,0.000891602114907963,0.00191919361084418,-0.0002047948055211,0.000719265292127869,0.000681619625362821,0.000285477460241766,-0.000392576205643864,-1.11469970024375e-05,-6.63971344357472e-05,0.000178337583996853,-7.28713488718195e-05,-6.45444662145733e-05,0.000429368769587111,-1.8349302511966e-05,-7.28990966380713e-05,-2.87915255527227e-05,1.46123652917497e-05,-7.64834601496988e-06,0.000100380992839266,3.9298070534208e-07,6.61835511101398e-05,0.00026094118950683,0.000199893159786934,6.38931091611772e-05,0.000193441670405061,-8.17229747851602e-05,9.12241217211761e-05,4.31871814435902e-06,4.81725578751257e-05,-2.64063125838514e-05
"b_FA1H_smlr",-0.00160878849648752,3.95578601468635e-06,-0.000337381913180953,-0.000216559573169493,4.05092522901962e-05,-9.75855717589229e-05,0.000447954084571331,3.81182133457893e-05,0.0040138828491339,-0.00186312236700039,9.28750335516018e-05,0.000169167852871422,-0.000428843269005463,-0.000184871285463955,-1.32411126300483e-05,0.000794213055022914,0.00109512607979899,0.00129549872595164,0.000729845409890018,1.05014813094266e-05,0.00046658642747178,-6.08714213488832e-06,0.000175815597377025,0.000399608872899426,0.000139994546459674,-4.21640638634003e-05,-1.09478292933358e-05,-3.69334231083274e-06,-1.71018784612936e-05,4.62435939546424e-05,-1.46351342831225e-05,0.000465725809919869,-0.000202478996117736,-7.32100144678146e-06,1.00015355654892e-05,-3.58576249005925e-05,2.74530739702604e-06,-3.90627512469424e-05,-7.19167179183665e-05,-2.64514412035857e-05,-3.50568568455491e-05,4.94492542430249e-06,-4.43566651892386e-05,3.9586505792273e-05,6.20443284399667e-05,-6.81120681435561e-06,5.3866763763358e-05,3.60265117341751e-05
"b_FA2H_smlr",0.0010218901291278,-0.000219104280879568,-0.00064338850259268,-0.00021014805195802,-0.000159448060262454,-0.000482999477248542,-0.00026540868457131,-0.000950108514263347,-0.00186312236700039,0.00434540211041015,0.000349992540404573,-0.000283931668710394,-0.000189661983673002,-0.000362347551906196,-8.8599371585137e-05,-0.000474800233421411,-0.000565288474066274,0.000290718895808467,3.8063470457452e-05,0.000491973630245402,-0.000145154166304444,-0.00117314065857413,-0.00146131624560587,0.00100605647860152,0.00010809665191827,-0.000107220514250366,-2.91065858211054e-05,3.19503351810261e-05,3.05116129664696e-05,-1.68841996509558e-05,-9.13739542203303e-05,-0.00018312246913588,0.00055639775943087,0.000109430519829145,-3.13909089391592e-05,3.77513421686306e-05,3.61821744067947e-05,1.63953096543026e-05,0.000116823836211345,0.00021585618497191,0.000102365565804177,5.77048317948868e-06,4.42228669863156e-05,2.14730504407336e-05,-6.01927830028924e-05,3.39184828464704e-05,1.22604437377007e-05,-0.000128622589494728
