"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.121958934701605,0.033058741728479,-0.0173349152779727,-0.0313212152461144,0.0303377057861884,0.0118403516717769,-0.211437159901884,-0.0148885970262482,-0.04076749208799,0.0375476626386584,0.0175408804462972,-0.18300600239481,-0.17263473550995,-0.181848456590634,-0.616937135152377,-0.603277552230458,-0.586803749592421,-0.27759713552883,-0.269917139196895,-0.213553963987824,-0.119145318468028,-0.167319041224614,-0.344169438755874,-0.260797052794204,0.00156093183816915,0.00253418270309605,-0.00214148642751547,0.0058727787568895,0.000816617751341969,-0.0297443725929899,-0.000881981542476817,-0.00654706390517998,0.00304389323031972,0.0031713188720164,-0.0224656404771079,-0.0207446798691305,-0.0220608410505931,-0.0844055255909496,-0.0796243604343355,-0.0649448018673192,-0.0323708455260087,-0.0320407116004737,-0.0248951395850717,-0.00460237650196086,-0.013670563093149,-0.0445530706417028,-0.0320430739186612
"asc_grtr",0.121958934701605,1,-0.000152569401659425,0.000974727847043763,-0.0052219247113402,0.00626507398559899,-0.000766065732100631,-0.0342764138816957,-0.00064743509743451,-0.0128729439013014,0.00706505354210855,0.00151882316806872,-0.0244557270476513,-0.0232968992662636,-0.024731634223341,-0.0758589094835296,-0.0749708806505441,-0.0726207129124222,-0.0361106259785215,-0.0367622483881611,-0.0288431815449404,-0.0054290498327635,-0.018818571744121,-0.0493542957721381,-0.0365402946916139,-0.00446306090509974,-0.0125305290782668,-0.0482092075541321,0.0822603936700484,-0.00193218391272174,-0.215244301560307,-0.0202701464382072,-0.111230838670883,0.112557743560027,0.0417377616182975,-0.169332334242604,-0.175504457056069,-0.168400876169158,-0.502628171592432,-0.472004367760044,-0.416257768846149,-0.307561098362897,-0.305544087417754,-0.25738563443168,-0.0737738709003614,-0.203591966273478,-0.386272979353384,-0.319123828847044
"b_FA1A_smlr",0.033058741728479,-0.000152569401659425,1,-0.0887643577377919,0.186012909784716,-0.188375050355537,0.0693718666660423,-0.156083799087251,-0.0478931599511047,-0.200419896643579,-0.0653140105781838,0.0159676300938722,0.0155467401109851,0.0147346973392711,-0.0145053224342983,0.0421327752293774,0.0252181173345487,-0.00392160556113518,-0.0253380871999533,-0.0623751169720891,-0.0133063848371662,-0.0911087189245482,-0.0505438066453196,0.0488930371450841,0.0591484017847868,0.123117305761313,-0.00650250280564013,0.0221078364413175,-0.0202579127609668,0.0164353937473979,-0.0163842030730341,-0.00631170051380241,-0.0219938800485381,-0.00703160514953938,0.00699668645614175,0.0023715758057348,0.00233796882971588,0.00101207660110019,0.00681236482330204,0.00496905841029913,0.000497245482178203,-0.00285985413184221,-0.00925527968056291,-0.000872644333308471,-0.00643804159485509,-0.000371688475435805,0.00265695843035086,0.0029730739402197
"b_FA2A_smlr",-0.0173349152779727,0.000974727847043763,-0.0887643577377919,1,-0.314981888248154,-0.291357234786544,0.056754408737227,-0.0715816591041012,-0.0137804965166178,-0.128148942916321,0.0357066291345928,-0.11362725970528,-0.00205744156784082,-0.0348949735642729,-0.022210782995257,-0.0305234026272242,0.00726376498091029,0.0827815036225178,-0.0731964490628455,-0.0888689459344816,-0.0133292242038911,0.0173731966543532,-0.0998765404805923,0.0895411032130642,-0.0564115562338666,-0.00913933924788897,0.100149373424118,-0.0300623219098062,-0.0276810602649203,0.00632856722152079,-0.0136230056618771,-0.00187222706912721,-0.013379656057608,0.00392985972629329,-0.0113834996667195,0.000121637194973328,-0.00441305593909332,-0.000937695901518648,-0.00511592642674217,0.00157629467033182,0.00835611210652968,-0.00928732993522142,-0.012053916399733,-0.00160600553006861,0.00371284299057782,-0.00942250980371684,0.0092000732973648,-0.00606059796680373
"b_FA3A_smlr",-0.0313212152461144,-0.0052219247113402,0.186012909784716,-0.314981888248154,1,-0.193157907485281,-0.310583687396245,0.260527196259961,0.00578245485350918,0.0304957465666803,0.033518559087235,-0.109837757248445,-0.0412717017499235,-0.0114487688003815,-0.00231017643433838,-0.001559492410751,0.00788803226544836,-0.00530511879957426,-0.0109376895294005,0.0104316734745446,0.0488802482745856,0.0690876809966181,-0.0788831563148585,-0.0182151603404769,0.0440587768527221,0.0208014823729321,-0.0281268580330948,0.0962729842933105,-0.0179448993705998,-0.0312949887508958,0.0316493364374364,0.00148022781572722,0.00654677023990746,0.00256799025444114,-0.00599776672102553,-0.00423213751046229,-0.00157592632171156,0.000665464025754701,0.000228591105258942,0.00188040080924698,0.000282097011620376,0.000929280117463711,0.00301237850448496,0.00601250750041886,0.0101515912533146,-0.00537532027585979,-0.00428724983823799,0.00243247047342045
"b_FA4A_smlr",0.0303377057861884,0.00626507398559899,-0.188375050355537,-0.291357234786544,-0.193157907485281,1,0.137631284704953,-0.141699088080336,-0.03040202190194,-0.0308094924599266,-0.0656705594596051,0.05326761105904,0.0101310276095142,-0.00509393959119682,0.0251543337561803,-0.00272249298205557,-0.0187241777698085,-0.0381638810937176,-0.0400217758255235,-0.0975670910132105,0.0181682749210272,-0.0969808586381353,0.0722024542847648,0.0127028602968604,-0.00286175996487804,-0.0197126561621962,-0.0256655871990372,-0.0180838271312337,0.102798487040489,0.0141828888099297,-0.0138881591611109,-0.0028246649923376,-0.00317952743280303,-0.00849273561590502,0.00625982761577675,0.000482889442696903,0.000877364510155838,0.00143969770855316,2.09362467244595e-05,-0.000675108307165085,-0.00213393070967023,-0.00481404070394,-0.0116880373548116,0.00116371108040967,-0.0147778928675379,0.00656061959711542,0.00243528026255918,0.00167035043730007
"b_FA5A_smlr",0.0118403516717769,-0.000766065732100631,0.0693718666660423,0.056754408737227,-0.310583687396245,0.137631284704953,1,-0.177279514367393,0.108342846667595,-0.0637133676336936,-0.0385556300103397,-0.0738053293745699,0.0298211411994265,0.0553563991627937,0.104707022320752,0.0125101124913372,-0.00643636630622053,0.00584570682093274,-0.0625895814158186,-0.0922566544328439,0.154798680428235,-0.0570454057448088,0.00659186548778623,-0.165786224678776,0.0819756177178949,0.0157388651463389,0.00664819542057195,-0.0312921442639736,0.0148299495789702,0.120384233271809,-0.0113473182300585,0.0129979370932775,-0.00581065363706919,0.000226188740922445,-0.00846244320934013,0.00311099507748676,0.00932840039033162,0.0173892435319262,0.00191893974754244,0.00277785480454753,0.00379140832174265,-0.00777263637260667,-0.0132607577008914,0.0164360348471187,-0.00427048069950043,0.00411679151968169,-0.0254942857801344,0.00859308191380038
"b_FA6A_smlr",-0.211437159901884,-0.0342764138816957,-0.156083799087251,-0.0715816591041012,0.260527196259961,-0.141699088080336,-0.177279514367393,1,-0.000718864944744104,-0.172387203180055,-0.05033959802156,-0.00484416999201627,0.0100963246372118,0.00584490412668977,0.01297975155785,0.0419387395171263,0.100730161534592,0.170437856486054,0.124827055894722,0.226995635066896,-0.0586852007718125,0.0876720741313906,0.0495795561377615,0.0353827027298831,-0.0386844993281273,-0.0151397543287194,-0.0133213469445251,0.0301349719251675,-0.0158702364463599,-0.0099558703583907,0.134486917331574,-0.00151731813079213,-0.014362350211601,-0.00619684406107488,0.00188858654515907,0.000736027557169874,0.00190070664584793,0.00393464288879136,0.00734385962460365,0.0191776212363763,0.0246594102663887,0.0168577239421818,0.0309469085435111,-0.00870313707263567,0.00991385355634234,0.00751839302461089,0.00184624998548076,-0.0059626002632028
"b_FA1H_smlr",-0.0148885970262482,-0.00064743509743451,-0.0478931599511047,-0.0137804965166178,0.00578245485350918,-0.03040202190194,0.108342846667595,-0.000718864944744104,1,-0.463852855800018,-0.00743197902572618,0.00551199911944296,0.00248476998712798,0.0318720379596224,-0.0011205328221335,0.0111316264211328,-0.000823123264823104,0.000740852048134993,0.0154728823654811,0.0133887654037066,-0.00394687412090733,-0.0268880594126672,0.0115265502703936,0.00748417912715488,-0.0241478321028184,-0.00679812983668012,-0.00280979354603376,0.000548515454745728,-0.00355428066639852,0.0133951033977164,-0.0018542731945846,0.103711016759691,-0.0536363607194651,-0.00029901976757847,0.00177274956164029,0.0030456335765405,0.00461518878704808,0.000534004055960171,0.000364954912919448,0.000271610196546567,0.000233537250433164,0.00155633983073492,0.00161394744964181,-0.00140859046054083,-0.00525977733677633,0.00120253839788336,-0.000914907318040996,-0.000825032141396065
"b_FA2H_smlr",-0.04076749208799,-0.0128729439013014,-0.200419896643579,-0.128148942916321,0.0304957465666803,-0.0308094924599266,-0.0637133676336936,-0.172387203180055,-0.463852855800018,1,0.152163612133289,-0.134700878408197,-0.0145356666037994,-0.0100735674787692,-0.0226071539042419,0.01659026898685,0.0505619247476227,0.0924296886282158,3.44067221194999e-05,0.0170671423761759,0.0235285595697764,-0.0234982098045496,-0.129336648195932,0.0720686096780957,0.0178954890579881,-0.0222051543067786,-0.0074113114736416,0.00850583494020419,7.97903436987011e-05,-0.00416416477671378,-0.0153838809181721,-0.0448108701175061,0.133584530554749,0.0227054083931177,-0.00816334236101706,-0.00254660267485169,9.23049275337922e-05,-0.000245341789620479,0.00280959319494374,0.0116097036555831,0.0137294419237872,0.00228865406427712,0.00236600826541249,0.00231594248347155,0.00417316025119211,-0.00889235462398638,0.00491727666499461,-0.00551419565118907
