"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0582227353002068,0.00629361195113472,0.000465024474792156,-0.000265645886204287,-0.000563735939386079,0.000467916908231239,0.00014542450038813,-0.00281383240586676,-0.000224127366166698,-0.000630267671608459,0.000471752394428505,0.000201227743263658,-0.0069049020349787,-0.00609000991362907,-0.00609788153001192,-0.0305272694302879,-0.0307755902092052,-0.0325520423500628,-0.0101242719688883,-0.0101401750392264,-0.0063497224586661,-0.00386520409553924,-0.00448875896700232,-0.00970896710463801,-0.00765749668185812,2.30097135034993e-05,4.2586971773959e-05,-4.06377043797377e-05,8.98381591527087e-05,1.07950082801847e-05,-0.000408141889371694,-1.52100558516584e-05,-0.00010094926412655,3.99717818714581e-05,3.93467574439615e-05,-0.000875770086076226,-0.00072975991315222,-0.000771531920590699,-0.00341384863584044,-0.00348502208103949,-0.00362311254281278,-0.00113637727229673,-0.00122893876581129,-0.000743540296026501,-0.000146177223807828,-0.000381795283597516,-0.00125291691044478,-0.000925487784930808
"asc_grtr",0.00629361195113472,0.0457383058866755,-1.90217587529059e-06,1.32391005294872e-05,-8.3303156854214e-05,8.56457747818673e-05,-8.33936052512852e-06,-0.000404302124598735,-8.63835575688543e-06,-0.000176393528357497,7.8675660654158e-05,1.54432042825756e-05,-0.000817836521218721,-0.000728419683117395,-0.000735048359917986,-0.00332695845308204,-0.00338981168302952,-0.00357058687787571,-0.00116728680063888,-0.00122408278323476,-0.000760123228525486,-0.000156103633380231,-0.000447467309261175,-0.00123401210635514,-0.000950932999313859,-5.83114472865379e-05,-0.000186638820473238,-0.000810844486898765,0.00111532573375845,-2.26384328998838e-05,-0.00261777162266698,-0.000309828905861061,-0.00152011177865494,0.00131006609536898,0.000458978059361339,-0.00585066096689606,-0.0054721141851022,-0.00521999293275202,-0.0180183054237112,-0.018310463148005,-0.0205822815784018,-0.00956959667158502,-0.010387133420338,-0.00681346427422805,-0.0020767961604515,-0.00503962854626689,-0.00962792489479193,-0.00816938734725283
"b_FA1A_smlr",0.000465024474792156,-1.90217587529059e-06,0.00339849298656049,-0.000328637314514976,0.000808866952304124,-0.000701950150643233,0.000205851125647659,-0.000501847337384008,-0.000174185296081815,-0.000748598161653989,-0.000198259700106378,4.42561691145827e-05,0.000141719108695349,0.000125582152328943,-0.000117515089831859,0.000503690779090742,0.000310812711842591,-5.25588867701913e-05,-0.000223264428995554,-0.000566139229216413,-9.55881534545114e-05,-0.000714088888490501,-0.000327601402397608,0.000333230410673076,0.000419588946729107,0.000438473410058236,-2.6400750474736e-05,0.000101357752051379,-7.4870164513822e-05,5.24905548238327e-05,-5.43160984409126e-05,-2.62975071908519e-05,-8.19323320169524e-05,-2.23087612770498e-05,2.09728927015099e-05,2.23359896694555e-05,1.98705033879895e-05,8.55149614308892e-06,6.65684074400361e-05,5.25448994874955e-05,6.70201137952314e-06,-2.42554460084086e-05,-8.57658753827169e-05,-6.29686096020472e-06,-4.94024208174197e-05,-2.50795729865683e-06,1.80520395277931e-05,2.07462265600473e-05
"b_FA2A_smlr",-0.000265645886204287,1.32391005294872e-05,-0.000328637314514976,0.00403338926454769,-0.00149214651055248,-0.00118277075266396,0.000183468431898757,-0.000250730656139538,-5.4600264223617e-05,-0.000521452591986589,0.000118077955679405,-0.000343089769333307,-2.04318863180435e-05,-0.00032399734855899,-0.00019602975577269,-0.000397528947976092,9.75303484096719e-05,0.00120866915408524,-0.000702631477856226,-0.000878726624572035,-0.000104313554798711,0.000148341938811318,-0.000705233892885535,0.000664832028547483,-0.000435954319982296,-3.54593554721799e-05,0.000442971556399654,-0.000150149927932124,-0.000111452211830317,2.20190373291139e-05,-4.92003352112991e-05,-8.49803663387335e-06,-5.42988077172563e-05,1.35828188750644e-05,-3.7173512731209e-05,1.24803413946547e-06,-4.0860291931893e-05,-8.63142731625613e-06,-5.4461103846527e-05,1.81587416966785e-05,0.000122696013640977,-8.58120222695236e-05,-0.000121687237703681,-1.26248360623012e-05,3.10379419538132e-05,-6.92627164216196e-05,6.80964831860514e-05,-4.60723921302206e-05
"b_FA3A_smlr",-0.000563735939386079,-8.3303156854214e-05,0.000808866952304124,-0.00149214651055248,0.00556392968533625,-0.000920964753642697,-0.00117922352537568,0.00107180182004217,2.69090197143355e-05,0.000145745387649468,0.000130185033991264,-0.000389522580642027,-0.000481381147124808,-0.00012485131333974,-2.39474362995281e-05,-2.38547476692086e-05,0.000124394854754919,-9.09756127490799e-05,-0.000123315857839463,0.000121147229921639,0.000449288210890675,0.00069285216450128,-0.000654198753065566,-0.000158846715265106,0.000399908917398807,9.47907744521501e-05,-0.00014611828719752,0.000564758516779769,-8.48599449327322e-05,-0.000127886139481539,0.000134250366824066,7.89122428849756e-06,3.1205287710023e-05,1.04246619201753e-05,-2.30039873644405e-05,-5.10006353864176e-05,-1.71377455113704e-05,7.19450519278149e-06,2.85809871302385e-06,2.54421917049237e-05,4.86497292811075e-06,1.00846227185929e-05,3.57175897796535e-05,5.5512410959817e-05,9.96726953990604e-05,-4.64080174143989e-05,-3.72707331845971e-05,2.17184391725747e-05
"b_FA4A_smlr",0.000467916908231239,8.56457747818673e-05,-0.000701950150643233,-0.00118277075266396,-0.000920964753642697,0.00408582162145031,0.000447799435115429,-0.000499548160941555,-0.000121237501691914,-0.000126179551276493,-0.000218572399982305,0.000161879959462615,0.000101260270842891,-4.76032939391486e-05,0.000223447541672028,-3.5686767796686e-05,-0.000253037786230048,-0.0005608300742992,-0.000386668306686239,-0.000970983265219791,0.000143104798866015,-0.000833441021345585,0.000513128666208076,9.49282875796385e-05,-2.22592609383746e-05,-7.69778572409234e-05,-0.000114257164271266,-9.09070544557767e-05,0.000416578954707067,4.96663518101364e-05,-5.04829170425194e-05,-1.29042170261928e-05,-1.29871110063641e-05,-2.95437144634614e-05,2.05742877054381e-05,4.98669046842423e-06,8.17611003844284e-06,1.33381791268107e-05,2.24318767040933e-07,-7.82756040854771e-06,-3.15363292073067e-05,-4.47684081952579e-05,-0.000118758056246066,9.20721983508136e-06,-0.000124337885789569,4.85380596702877e-05,1.81420758015801e-05,1.27801959717734e-05
"b_FA5A_smlr",0.00014542450038813,-8.33936052512852e-06,0.000205851125647659,0.000183468431898757,-0.00117922352537568,0.000447799435115429,0.00259091611913962,-0.000497686474104061,0.000344050131753861,-0.000207788721376591,-0.000102187878783086,-0.000178609504224421,0.000237354144881409,0.000411943848741647,0.000740671350958264,0.000130583599710691,-6.92644438808317e-05,6.84073498960457e-05,-0.000481538753183474,-0.000731127408641817,0.00097094523377135,-0.000390388032903308,3.73052220332945e-05,-0.000986573718285838,0.000507749155918819,4.89419265221422e-05,2.35680140537762e-05,-0.000125264941052422,4.78560944456234e-05,0.000335702170150658,-3.28458092684864e-05,4.7285296550952e-05,-1.89000059210291e-05,6.26578445926741e-07,-2.214854377281e-05,2.55829722850429e-05,6.92246579606234e-05,0.000128290027176203,1.63725036343999e-05,2.56477630741287e-05,4.46188488442288e-05,-5.75595275474684e-05,-0.000107294338082649,0.000103554117476541,-2.86124273766592e-05,2.42540017130451e-05,-0.000151240412550482,5.23559260110432e-05
"b_FA6A_smlr",-0.00281383240586676,-0.000404302124598735,-0.000501847337384008,-0.000250730656139538,0.00107180182004217,-0.000499548160941555,-0.000497686474104061,0.00304187396651832,-2.47350460700716e-06,-0.00060917260589911,-0.000144565697164858,-1.27022351644222e-05,8.70722564172397e-05,4.71293568698219e-05,9.94855599508709e-05,0.000474336698480084,0.00117455419663228,0.00216110431716817,0.00104059529032144,0.00194920178938621,-0.000398841192610113,0.000650101301356601,0.000304023992869164,0.000228147668719031,-0.000259624351128343,-5.10117715305408e-05,-5.11695128651094e-05,0.000130710036924832,-5.54913010127304e-05,-3.00820689242216e-05,0.000421804008409591,-5.98097882989905e-06,-5.0618164803748e-05,-1.86002579577302e-05,5.35587254050559e-06,6.55827589586148e-06,1.52831425849482e-05,3.14529555045304e-05,6.78925397642935e-05,0.000191857428719787,0.000314444802151144,0.000135266962936907,0.000271312415632957,-5.94141753484476e-05,7.19721325129634e-05,4.79947226084517e-05,1.18675054558203e-05,-3.93637549939883e-05
"b_FA1H_smlr",-0.000224127366166698,-8.63835575688543e-06,-0.000174185296081815,-5.4600264223617e-05,2.69090197143355e-05,-0.000121237501691914,0.000344050131753861,-2.47350460700716e-06,0.00389215044953428,-0.00185412827952781,-2.41426083248637e-05,1.63491099680511e-05,2.42396802675696e-05,0.000290702092043098,-9.71499212220349e-06,0.000142414489553918,-1.08568192868392e-05,1.06258909555478e-05,0.0001459044553793,0.000130048105194566,-3.03423272960329e-05,-0.000225529530097649,7.99518973358765e-05,5.45875253699764e-05,-0.000183320398652523,-2.59098700318547e-05,-1.22084844808172e-05,2.69123248520045e-06,-1.4057802280194e-05,4.57824195807552e-05,-6.57852584844564e-06,0.000462428626969686,-0.000213827908309607,-1.01524883766352e-06,5.68676039445067e-06,3.06971079431346e-05,4.19769851951895e-05,4.82864076288679e-06,3.81646342338343e-06,3.07364817351944e-06,3.36854302165893e-06,1.41260726512756e-05,1.60053799502787e-05,-1.08773522922323e-05,-4.31930062993553e-05,8.68343615498357e-06,-6.65227567228251e-06,-6.16106647717096e-06
"b_FA2H_smlr",-0.000630267671608459,-0.000176393528357497,-0.000748598161653989,-0.000521452591986589,0.000145745387649468,-0.000126179551276493,-0.000207788721376591,-0.00060917260589911,-0.00185412827952781,0.0041051541235942,0.000507645389613342,-0.000410322495229273,-0.000145628230088974,-9.43607853699362e-05,-0.000201295323375697,0.000217981133177805,0.000684906446449591,0.00136149259216264,3.33204266566535e-07,0.000170252787843772,0.000185763710487249,-0.000202417779681449,-0.000921342174222954,0.000539840298430973,0.00013952310757993,-8.69159534932773e-05,-3.30713812757336e-05,4.28597094242456e-05,3.24105179199406e-07,-1.46167392952083e-05,-5.6051946462699e-05,-0.000205197998432536,0.000546929283846754,7.91720413645203e-05,-2.68940047888671e-05,-2.63603349462819e-05,8.62217002688135e-07,-2.2783570932745e-06,3.01741646771874e-05,0.000134927086442324,0.000203380234489826,2.13337440272875e-05,2.40969890081276e-05,1.83669119868443e-05,3.51950072550869e-05,-6.5944618557048e-05,3.67187344720613e-05,-4.22899451562674e-05
