"asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5206.32363599817
-0.376213332929183,-0.359573333116714,-0.0759466667659581,-0.0739199999952689,-0.07306666666409,-0.153279999794904,-0.0424533331533894,-0.131733333109878,-0.117013333365321,-0.0850133333005943,-0.104320000100415,-0.115946666628588,-0.155946666782256,-0.275093333038967,-0.101120000181254,-0.148800000024494,-0.227413333195727,-0.222399999911431,-0.15381333330879,-0.137600000016391,-0.238613332912792,-0.259519999963231,-0.11669333325699,-0.0759466667659581,-0.075840000063181,-0.0695466666365974,-0.138239999942016,-0.0290133332600817,-0.115413333405741,-0.117013333365321,-0.0981333333766088,-0.0985599998966791,-0.100906666484661,-0.160106666444335,-0.262933332996909,-0.0966399998287671,-0.128639999893494,-0.23093333322322,-0.228799999749754,-0.130773333075922,-0.114559999783523,-0.245013333333191,-0.252799999725539,-0.106773333100136,-2917.85236236624
-0.424248056589654,-0.401185442554072,-0.184120772362743,0.0107554712650437,-0.0693894943879636,-0.181493259923567,-0.164929039429254,-0.0387841018707757,-0.0598897846438447,-0.160645126260625,-0.313793853128609,-0.135553580882323,0.025099379782126,-0.1465729707072,-0.27767508470203,-0.61707950246023,0.192831451436155,-0.525595859991452,0.101347804582222,-0.155282951438571,-0.268965105151083,-0.0850423178643845,-0.339205737544846,-0.256107866983997,-0.122622828980191,-0.0530673952062669,0.0306126497968074,0.12671744752389,0.207971981539115,-0.176022538134633,-0.55985233230202,-0.295161186060479,0.10253795243533,-0.208562214494504,-0.118416103804963,-0.282769344314689,-0.288676074407293,-0.112509372531935,-0.870119578447199,0.468934130327547,0.226777917592331,-0.627963364531559,-0.163720237138592,-0.237465206595904,-2916.83393494591
-0.440980759076183,-0.38924222830368,-0.202651724558233,0.0172961562111373,-0.075821938096774,-0.179803250687808,-0.164901015847716,-0.0202391358427412,-0.071598240388493,-0.184242361584369,-0.30684867205892,-0.123536366218352,-0.0105957183855456,-0.151057351431869,-0.28992340606872,-0.625784738008006,0.184803985551369,-0.550304275262604,0.109323517762016,-0.142114879923508,-0.298865879152675,-0.0996135015904909,-0.341367255910098,-0.27382152877373,-0.126850026384879,-0.0385456614257001,0.0499749894873126,0.171784501858275,0.224539697002823,-0.174540128408915,-0.611026297918091,-0.310085840368636,0.116605269789204,-0.195761663974883,-0.0878886162649791,-0.301353618658247,-0.298108893172845,-0.0911333405436978,-0.868205656010171,0.478963420718034,0.21886371638626,-0.608105949733893,-0.13508399946045,-0.254158230787735,-2913.61403002687
-0.429474015260567,-0.417976838511305,-0.248915362730465,0.0503092046001603,-0.0824503143357481,-0.148417538866011,-0.15699967962684,0.0592264612331591,-0.0870811501612907,-0.244619638497105,-0.268983978237689,-0.067746404994536,-0.0927436289648968,-0.117574768917417,-0.311899243472526,-0.630263878616883,0.20078987337755,-0.591358062751868,0.161884049799883,-0.0797324370091698,-0.349741578813439,-0.0988657828429508,-0.330608230109035,-0.338175759414034,-0.15160149889671,-0.00538107569757522,0.0771814973097575,0.312028431694711,0.238252158618309,-0.190704921756101,-0.777552506313361,-0.365090939413826,0.132628952550127,-0.185514860610961,-0.0482101677411943,-0.369766680791345,-0.342308198148946,-0.0756686480088067,-0.867015379155792,0.449038529565372,0.153460281572286,-0.571437126672159,-0.097732883095941,-0.320243959343868,-2903.23611239338
-0.440084162498613,-0.411437104355141,-0.310751516713214,0.0561610247024025,-0.0725272940331726,-0.112966370050811,-0.118441743867962,0.0664706156988723,-0.0863676530923864,-0.301745369017698,-0.232461365523523,-0.0680236001625811,-0.139599187203987,-0.0814608359498211,-0.358623320837931,-0.619758928175305,0.179674786382943,-0.548625289147904,0.108541135401774,-0.151280520634935,-0.288803642290965,-0.0692340040215864,-0.370850153193453,-0.417869193819264,-0.118311126185537,0.0369303413157511,0.0878128758829063,0.577247339740776,0.255176158041999,-0.215934560339697,-1.02792604441109,-0.352615491104077,0.16530877218599,-0.224130405450347,-0.0432026623069223,-0.368234459285561,-0.324482189843072,-0.0869549263042182,-0.811887574516586,0.400450452231147,0.175030697155106,-0.586467816078349,-0.110334542551807,-0.301102571676058,-2894.55226988741
-0.432438494424236,-0.413001603455917,-0.330158094922928,0.0774591581749306,-0.0511849133953597,-0.128554635842019,-0.065420318463089,0.0221509111296079,-0.0702153781857802,-0.318953696587181,-0.230795762838559,-0.104962370319065,-0.0966803463622936,-0.115702719139212,-0.316735769995839,-0.609421576642316,0.176983108552649,-0.516283738186708,0.0838452546074044,-0.146551766259723,-0.285886731096669,-0.074455415440293,-0.35798307323755,-0.431777777986838,-0.0810476939739852,0.0412862744923813,0.0585375978322253,0.686498407756008,0.213242853902096,-0.197237373516278,-1.11550548924753,-0.336788450577905,0.121428124298545,-0.197641310529539,-0.0578191199063345,-0.355182508174975,-0.354129379214909,-0.0588722370160054,-0.840319034278736,0.427317409826478,0.149578468609215,-0.56258009356772,-0.0937825474986579,-0.319219069494654,-2889.44757540866
-0.427432229130293,-0.406731260203297,-0.316999483700313,0.0827797506605277,-0.0370241877244551,-0.156188296670838,0.00474107630604843,-0.00937949735885123,-0.0890453450719004,-0.333748447019963,-0.242127772781722,-0.113578217795001,-0.0717262107855813,-0.129263977218777,-0.298168243651076,-0.60305668140246,0.175624490574462,-0.56967323515952,0.142241023713097,-0.130391017080211,-0.29704121488081,-0.0833163982859716,-0.344115820177761,-0.417461425456982,-0.055784846410954,0.0183869529148465,0.0481280670318425,0.736163724608528,0.202014551977811,-0.202862902852633,-1.14204663067751,-0.303768219956418,0.103493063497117,-0.206456149277883,-0.0681111821544476,-0.338620114570679,-0.355562559235699,-0.0511687244035066,-0.81640702873511,0.409675734004734,0.161483115301617,-0.568214407952884,-0.104791798671294,-0.301939480244522,-2883.22958963205
