"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",1,0.103664206478763,0.0728140794274486,-0.0846126873322292,-0.00197326076190284,0.0728063532112711,-0.0104331715168286,-0.253335959997746,-0.103893508305392,0.0574895590603408,-0.0182682094009466,0.0623447174912005,-0.159263894739871,-0.171331381026667,-0.215376154558842,-0.629405085031374,-0.611829428470024,-0.58115685391584,-0.221031495050921,-0.27159806079703,-0.188099039780254,-0.157366955914411,-0.233729883794535,-0.372827571166357,-0.235535306922771,-0.00870319086003721,0.0155305363241548,-0.0177497410163166,0.00381161822615853,0.00267501240128222,-0.021035596900609,0.0033810583621259,-0.0114832392837236,0.0163926631638264,-0.00157713444670027,-0.0208006056155567,-0.0191222005317636,-0.0201707071033708,-0.0675307122549254,-0.0707505860003326,-0.0527335420689537,-0.0310907449427672,-0.0266786211287251,-0.0230316970416181,-0.00453892592400211,0.00118081946068958,-0.0359097987951322,-0.034894609556093
"asc_grtr",0.103664206478763,1,-0.00868489324402304,0.00549531976579852,-0.0168018635967475,0.00578784758158255,-0.00168162184872287,-0.0305645157092353,-0.00254788862582169,-0.0141267045015319,0.0193301749048492,-0.0042504734233274,-0.0215951933781038,-0.0250587289216467,-0.0226278460376557,-0.0597251657439082,-0.0669586364241677,-0.0607867231552012,-0.0364360214136698,-0.0331129379894803,-0.0273340360881106,-0.00732290728081177,-0.0142449453061141,-0.0412010120013104,-0.0330508492856445,-0.00618381900427616,0.0741380600684189,-0.0634510474660191,0.0509627428838531,-0.0364299198057464,-0.22357763859321,0.042318335357687,-0.206344956335216,0.0416982744295668,0.0771174094100768,-0.168895894879983,-0.194893416581697,-0.138316666013705,-0.483555792631505,-0.468657388262801,-0.377390378207699,-0.318327734174486,-0.321355448381474,-0.306359488169703,-0.0514968957520917,-0.217858936034871,-0.376528532122933,-0.349145926905368
"b_FA1A_smlr",0.0728140794274487,-0.00868489324402321,1,-0.0455908907360067,0.258390584786555,-0.28224341832119,-0.00328527982935971,-0.173675363957616,-0.09016108626655,-0.165230568783007,0.0251646376515335,-0.0437692724012791,-0.010223494884608,-0.0273511294152619,-0.0281023639512473,0.0172387414240335,0.00793453502320849,-0.0312189462606338,-0.0321267560669898,-0.0934683063187872,-0.0848932587026769,-0.0427821534860304,-0.0677671555969411,0.00287792818896615,0.11611912748159,0.13689894508071,-0.0041223928531777,0.022440945531964,-0.0210382602844743,0.0248911133050611,-0.012028847947527,-0.00783426085615413,-0.0257442331741611,-0.0031889947282932,0.00126825518500996,0.00485399393795761,0.0115991397910399,0.00493593094916506,0.0150064148159854,0.00612708786364856,0.00706532918684887,-0.00434725036978449,-0.0150527921720522,0.00590090585802413,-0.00492722891271571,-0.00252646713131453,0.00553914910497844,0.00598351061054986
"b_FA2A_smlr",-0.0846126873322278,0.00549531976579842,-0.0455908907360065,1,-0.361938206818389,-0.311536647136687,0.091228960949955,-0.0759746167743271,-0.0552359613242829,-0.051513008111186,0.0169638253901082,-0.118622544124896,0.0161111041372584,0.057419564270484,-0.00439976993159778,0.00620995542857299,0.0589847581421972,0.138515056390041,-0.0543247068503372,-0.0391066511960997,-0.00104397073314621,-0.00784835035022523,-0.0756253927205364,0.109651262391588,-0.0649356227307546,-0.00451798732720419,0.0858792326475492,-0.0298051772987784,-0.0178664461687738,0.00885963514027844,-0.0145127518685818,-0.00212472508610517,-0.00747088084936835,-0.0107602153477664,-0.00305960489578225,-0.0106979322248482,-0.00682814055093781,0.000699906915642381,-0.00928185900329712,-0.00498329419222311,0.00434545277195532,-0.00392781587246093,-0.00613027596005759,-0.00238008590511107,-0.00224865663951051,-0.0114158829728088,0.00647850644853732,-0.00622004850466133
"b_FA3A_smlr",-0.00197326076190346,-0.0168018635967476,0.258390584786555,-0.361938206818389,1,-0.123561633418196,-0.334626324922278,0.193516773958356,0.00879448652910886,-0.0333149928646657,0.0980975735676663,-0.131099208377138,-0.0274968020850836,0.00441884717066085,-0.00396395173495854,-0.0318715029380304,-0.0282884167933927,-0.0676393954568116,-0.0406412283546687,-0.0200146128456051,0.0531462854636438,0.0786363727564033,-0.0158174299803423,-0.0426437337773048,0.105551256551175,0.0257146100161855,-0.0272486443196312,0.0949898473560802,-0.017167882479194,-0.0326345691622156,0.035265794372639,0.00137037359326013,-0.000860924655354497,0.0118787305862702,-0.0106451309834625,-0.00024890221531423,0.00615250476350096,0.00350999813206023,0.0135746597784895,0.0153299511944765,0.00489775654517859,-0.00392879954054755,7.58821927436609e-05,0.0113630491238769,0.00551625398583145,0.000995729094593395,0.00380347916787768,0.00483195792837571
"b_FA4A_smlr",0.072806353211271,0.00578784758158261,-0.28224341832119,-0.311536647136687,-0.123561633418196,1,0.127802099116627,-0.0450540005108607,-0.0220258758441421,-0.104808220148166,-0.0984988282686419,0.0347886699842067,-0.0145734545661251,-0.0175943065020154,0.0409878662851332,-0.0713373834615818,-0.0603311131118552,-0.0809924151431017,-0.104934618520476,-0.148147866066754,0.092452820955709,0.00941258925083763,0.0284528389662512,-0.0237810445130152,-0.0843183208905526,-0.0230276251883602,-0.0131432022927367,-0.016218025919467,0.0874634567566495,0.0184028256585525,-0.014458853921324,-0.00395768131594761,-0.00462815514840259,-0.00786134899034091,0.00606884928963035,0.0082788668484654,0.0011510576782993,-0.00376658772724871,0.000275151692166151,0.00291734365427848,0.00224462244099782,-0.0129995545050832,-0.019304753368828,0.00529040925903569,-0.0141606078029103,0.00473413072498784,0.00487543394597408,0.00827899026116152
"b_FA5A_smlr",-0.010433171516828,-0.001681621848723,-0.0032852798293597,0.0912289609499551,-0.334626324922278,0.127802099116627,1,-0.0977293618275176,0.142131808055507,-0.0809223566219104,-0.0599312304420924,-0.074037606376794,0.0416958557050642,0.0799246697563632,0.164720793429988,0.00438825893481882,-0.0169848775563455,0.0117200740625341,-0.0257500273395518,-0.0421602770687416,0.113576637217659,-0.0658020211388392,-0.0262723768495606,-0.136091822833088,0.080116550591211,0.0249493600101,0.00848737410647153,-0.034609958290179,0.0206706679183315,0.12745040880846,-0.0247291814911588,0.0149475148846948,-0.00518308654044572,-0.0126283401580237,-0.00273509911398409,-0.00133607226017868,0.0164393100931217,0.0165392863874498,0.00150640027918081,0.00325852408590512,-0.0046809115652918,-0.00290095037984069,-0.025100273480909,0.0287338882739895,0.00246555643636728,-0.00519164472716052,-0.0306054291958526,0.00700272596482347
"b_FA6A_smlr",-0.253335959997747,-0.0305645157092354,-0.173675363957616,-0.0759746167743273,0.193516773958356,-0.0450540005108607,-0.0977293618275176,1,0.0105438691089441,-0.252425198248588,-0.0842317231202813,0.0244975445957774,0.00557449636188514,0.0525866784393366,0.0216174301397862,0.0618646595069717,0.142085394801598,0.222547079276514,0.10332802931225,0.217319898710137,-0.0292026459175233,0.096856521904956,0.10699337294835,0.0412822187642768,-0.0560205333134376,-0.00323745683662746,-0.0153934760415926,0.0391494841082304,-0.0188225525803537,-0.0197070973816998,0.128173444309335,-0.0042949928853947,-0.0189052581543771,-0.00952936099611528,0.00470197712281334,-4.37348871581188e-05,0.0119683080055864,-0.00095408567003526,0.00673851325131516,0.0248256615269734,0.0147575025934196,0.00742632305071225,0.0210350447959146,-0.0113856677612229,0.0119290689603641,0.000647367613766471,0.00718960559103667,-0.00380231053351269
"b_FA1H_smlr",-0.103893508305392,-0.00254788862582186,-0.0901610862665499,-0.0552359613242829,0.00879448652910883,-0.0220258758441421,0.142131808055507,0.0105438691089443,1,-0.446150725708714,0.0278347698932281,0.0546467792501895,0.00134842226377939,-0.0185463653861814,-0.0467498515540479,0.0621574802385742,0.0834667552152703,0.0899604420485173,0.0762129927824518,0.00106379584373711,0.0599543571389538,-0.000745242223502347,0.0248861387350466,0.0520470375316993,0.017987740492101,-0.0110669220139954,-0.00229114396838638,-0.000727599809378537,-0.00398614899877649,0.0127289008344145,-0.00393482982689137,0.0982872318216713,-0.0473285138908877,-0.00218342819805177,0.00290482476623822,0.00386931134497983,0.00450468221585982,0.00033986278403998,-0.00660003662782244,-0.00227050144747622,-0.00233150455031225,0.000522827685990777,-0.00434125058051819,0.0049662128479797,0.00731527015066537,-0.000928201997598617,0.00724646014609525,0.00468066869508326
"b_FA2H_smlr",0.05748955906034,-0.0141267045015317,-0.165230568783007,-0.0515130081111861,-0.0333149928646657,-0.104808220148166,-0.0809223566219103,-0.252425198248589,-0.446150725708714,1,0.10069257011078,-0.0880757634139783,0.00853139107502473,-0.028405397718118,-0.0109218912712668,-0.0357241304200811,-0.0414183314047711,0.0193775298923614,0.00381112096003912,0.048243901664655,-0.017918352973523,-0.136823914359265,-0.198691201650075,0.12595877742332,0.0133640966283898,-0.0270497533797282,-0.00584612549070752,0.00607314546637183,0.00682821550547539,-0.004455704538561,-0.0236132388524154,-0.0371442904837004,0.125000496769685,0.0313915529269766,-0.00874988727861887,-0.00156939481779064,0.00205455109967985,0.00219684530795176,0.0103029967968439,0.0177912428586067,0.00654067577344467,0.00057686204419487,0.00416583865692218,0.00258876261473136,-0.00681847678909446,0.00443076398835567,0.00156636611581418,-0.0160673758137255
