"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"asc_smlr",0.0606688460547538,0.0055560183256519,0.00105948911653817,-0.00128966154763743,-3.52837153807519e-05,0.00125353269662034,-0.000127825747965169,-0.00356270175299423,-0.00162126547752384,0.000933466263553046,-0.000237272461081387,0.000750819550070607,-0.00616975268205473,-0.00616628250436096,-0.00744576065845233,-0.0312637066689719,-0.0312079611624347,-0.0325413928321511,-0.0082283364771254,-0.0103470763361019,-0.00569075527645336,-0.00504131963369107,-0.00642321462149851,-0.0111258650631718,-0.00712013247104084,-0.000128911279584088,0.000289015577168576,-0.00034882966150452,6.36661056691739e-05,3.77749659678067e-05,-0.000303974759821473,6.22873998891746e-05,-0.000190989013379936,0.000213553298463518,-2.11319390129952e-05,-0.000816694175605414,-0.000689131498927351,-0.000733809233349851,-0.00286106736636556,-0.00320799650172073,-0.00308104659647114,-0.00115345770636211,-0.00105826760245385,-0.000713429591102248,-0.000149679015264085,3.38381790776239e-05,-0.00103790448170792,-0.00104461226933498
"asc_grtr",0.00555601832565189,0.0473482518722938,-0.000111638689139912,7.39949938464084e-05,-0.000265409456119266,8.80344349867958e-05,-1.82011757943014e-05,-0.000379725054528759,-3.51249140824537e-05,-0.00020263740592723,0.000221797294778301,-4.52212250658394e-05,-0.000739054776372679,-0.000796736379180262,-0.000691072761530892,-0.00262081696258379,-0.00301724615633498,-0.00300691127304645,-0.00119827897008375,-0.00111444287377068,-0.000730560525125725,-0.000207244652091662,-0.000345834315276528,-0.00108618239065567,-0.00088264037047355,-8.09167234359491e-05,0.00121883557614768,-0.00110161360049676,0.000752005111137819,-0.000454470402083654,-0.00285417209793442,0.000688724001297125,-0.00303184458967215,0.000479892496256495,0.000912834762555964,-0.00585830097048458,-0.00620483888811321,-0.00444534701205051,-0.0180984945341673,-0.018772772623192,-0.0194792061428363,-0.010433118310884,-0.0112612576832247,-0.00838350489233095,-0.00150023046364149,-0.0055152851112132,-0.0096141615188322,-0.00923363847288512
"b_FA1A_smlr",0.00105948911653818,-0.000111638689139915,0.00348976786117494,-0.000166660907364966,0.00110810755780722,-0.00116548211533499,-9.65361034058963e-06,-0.000585782302457436,-0.000337442873606166,-0.000643450953812281,7.83894174938434e-05,-0.000126421413068661,-9.49872270402632e-05,-0.000236089769811372,-0.000233007397583969,0.000205367245191261,9.70670694468212e-05,-0.000419253228651631,-0.000286840294262563,-0.000854025353123013,-0.000615987554844874,-0.00032870683397254,-0.000446655668252889,2.05978135186002e-05,0.000841881996601831,0.000486326477886103,-1.83992269180485e-05,0.000105773759217433,-8.42799203936765e-05,8.43020248014967e-05,-4.16890617703594e-05,-3.4614731316881e-05,-0.000102692643376754,-9.963822266851e-06,4.0756105692641e-06,4.57086200727173e-05,0.000100254855990516,4.30671890360371e-05,0.000152482183687876,6.66305433837189e-05,9.9005455513952e-05,-3.8681259093134e-05,-0.000143207112805113,4.38388615681955e-05,-3.89696014160103e-05,-1.73641103474626e-05,3.83974933088274e-05,4.29603931145643e-05
"b_FA2A_smlr",-0.00128966154763741,7.39949938464071e-05,-0.000166660907364966,0.00382925942971089,-0.00162591855941244,-0.00134756603956596,0.000280807854988704,-0.000268426675774964,-0.000216551984530519,-0.000210136303504596,5.53540848856691e-05,-0.000358903483212455,0.000156801515617417,0.000519183548850734,-3.82134236072785e-05,7.74949194228911e-05,0.000755873927598012,0.00194856225037988,-0.000508077310629168,-0.000374296825785552,-7.93498633002456e-06,-6.31660325089202e-05,-0.000522132060793129,0.000822079712607591,-0.000493161987448298,-1.68124864752306e-05,0.000401511029842837,-0.000147159269525551,-7.49741574506299e-05,3.1431756184461e-05,-5.26874259978847e-05,-9.8338778226761e-06,-3.12169384891093e-05,-3.52169920846582e-05,-1.02993663508538e-05,-0.000105525604511644,-6.18217383830608e-05,6.39700752614895e-06,-9.87952918219329e-05,-5.67668635472321e-05,6.37853415107898e-05,-3.66097021649949e-05,-6.10923279607611e-05,-1.85221902158315e-05,-1.86296843160095e-05,-8.21878308579001e-05,4.70428731911283e-05,-4.6780523613547e-05
"b_FA3A_smlr",-3.52837153807629e-05,-0.000265409456119268,0.00110810755780722,-0.00162591855941244,0.00527004017022923,-0.000627009504960503,-0.00120833177154206,0.000802094129847095,4.04483031080279e-05,-0.00015943125660961,0.000375520555454087,-0.000465328953493024,-0.000313947266930709,4.68726577242043e-05,-4.03890749719078e-05,-0.00046659153892528,-0.00042527296212304,-0.00111626314566987,-0.000445911633342851,-0.000224730634295376,0.000473893053412348,0.000742468884693156,-0.000128114476554253,-0.000375063745002011,0.000940415026037345,0.000112257779994817,-0.000149452709347891,0.000550202641528825,-8.45161524839652e-05,-0.000135825171189913,0.000150196720623811,7.44064546463317e-06,-4.22020173363863e-06,4.56090363830291e-05,-4.20383572260428e-05,-2.88029079253401e-06,6.53492017575202e-05,3.76350961445493e-05,0.000169503942002265,0.000204865445484221,8.43398087975282e-05,-4.29590345720356e-05,8.8714802284453e-07,0.000103739502088127,5.3613748407527e-05,8.40986017407367e-06,3.24003389051901e-05,4.26328159183194e-05
"b_FA4A_smlr",0.00125353269662034,8.80344349867966e-05,-0.00116548211533499,-0.00134756603956596,-0.000627009504960503,0.00488615277245005,0.000444365809752234,-0.000179811158925639,-9.75437760380507e-05,-0.000482953867740884,-0.000363063902608463,0.000118897956388239,-0.000160218841936305,-0.000179704647576875,0.000402130873812694,-0.0010056064485295,-0.000873327279646951,-0.00128702735199473,-0.00110860625102582,-0.00160172163641561,0.000793787310171558,8.55737276601207e-05,0.000221903652051504,-0.000201399016858591,-0.000723360282663593,-9.67970712342339e-05,-6.94123332086314e-05,-9.04523864477874e-05,0.000414597025535626,7.37502415986634e-05,-5.92948817947636e-05,-2.06913586687338e-05,-2.18450243654113e-05,-2.90639406925792e-05,2.30769089942917e-05,9.224759021779e-05,1.17723176665431e-05,-3.88875685379783e-05,3.30825970394057e-06,3.75398116233879e-05,3.72181924329035e-05,-0.000136867290497745,-0.000217318667043882,4.65066548845863e-05,-0.000132522728932653,3.85003237994739e-05,3.99906392056058e-05,7.03355364985533e-05
"b_FA5A_smlr",-0.000127825747965162,-1.82011757943028e-05,-9.65361034058961e-06,0.000280807854988705,-0.00120833177154206,0.000444365809752234,0.00247421967810129,-0.000277551737789284,0.000447912585002976,-0.00026534715275431,-0.000157195753259081,-0.000180063024945691,0.000326196709308774,0.000580902992483096,0.00114999549711177,4.40188534905091e-05,-0.000174957963911534,0.000132528533017328,-0.000193585059821673,-0.000324362549777473,0.000693918711126291,-0.00042570248390691,-0.00014580546973604,-0.000820151453611147,0.00048909200085876,7.46290790692679e-05,3.18966008303156e-05,-0.000137359506791437,6.97251828324594e-05,0.000363459291678005,-7.21653441357568e-05,5.56099865904392e-05,-1.74087942238158e-05,-3.32230348124919e-05,-7.40082203649642e-06,-1.05937491930614e-05,0.000119642114934238,0.000121510855168458,1.28885304520778e-05,2.9837404449423e-05,-5.52303785901435e-05,-2.17343726145887e-05,-0.000201069795315327,0.000179744594784888,1.64194660940188e-05,-3.00444811772254e-05,-0.000178640181267888,4.23350592401498e-05
"b_FA6A_smlr",-0.00356270175299424,-0.000379725054528759,-0.000585782302457436,-0.000268426675774965,0.000802094129847095,-0.000179811158925639,-0.000277551737789284,0.00325986428160119,3.81401697502737e-05,-0.000950077968924089,-0.000253596894742664,6.83872846847972e-05,5.00579375532699e-05,0.000438711617147645,0.000173233711377367,0.000712311144859051,0.00167996937668497,0.0028885611437009,0.000891646933821922,0.00191914316987329,-0.00020479645098286,0.000719244338118058,0.000681572346712024,0.000285565468623211,-0.000392551090165458,-1.11156097470713e-05,-6.64031053224871e-05,0.000178346389494816,-7.28776402981906e-05,-6.45086327307384e-05,0.000429336321895194,-1.83411632293388e-05,-7.28858923300988e-05,-2.87764648580673e-05,1.46038725923373e-05,-3.98041524884345e-07,9.99801726997305e-05,-8.04574593300443e-06,6.61771001461975e-05,0.000260928529682118,0.000199866995308099,6.38647588763427e-05,0.000193416025637466,-8.17524127265378e-05,9.11866506047614e-05,4.30022662468454e-06,4.81688606908512e-05,-2.63852524800881e-05
"b_FA1H_smlr",-0.00162126547752384,-3.51249140824561e-05,-0.000337442873606166,-0.000216551984530519,4.04483031080278e-05,-9.75437760380507e-05,0.000447912585002976,3.81401697502743e-05,0.00401389226770685,-0.00186333628647062,9.29905845859944e-05,0.000169277981002724,1.34361958809288e-05,-0.000171690119360706,-0.000415711154825065,0.000794151954770799,0.00109508682430158,0.00129566982047017,0.00072977147914574,1.04243567624519e-05,0.000466556313227746,-6.14084494130413e-06,0.000175912093431209,0.000399504587251319,0.000139864874014443,-4.21637519652589e-05,-1.09669828778036e-05,-3.67801885351983e-06,-1.71258607182515e-05,4.62348202747649e-05,-1.46254294581796e-05,0.000465741167082906,-0.000202472864534722,-7.31637019838182e-06,1.00113019103441e-05,3.90766337104971e-05,4.17569125981878e-05,3.18028212565357e-06,-7.1923876702943e-05,-2.64804655725145e-05,-3.5038667270029e-05,4.98917931294353e-06,-4.42942104235589e-05,3.95685829449099e-05,6.20494848206772e-05,-6.84173060715222e-06,5.38728947617471e-05,3.60416504259866e-05
"b_FA2H_smlr",0.000933466263553033,-0.000202637405927228,-0.000643450953812281,-0.000210136303504596,-0.00015943125660961,-0.000482953867740885,-0.00026534715275431,-0.00095007796892409,-0.00186333628647062,0.00434563817618073,0.00035001986616356,-0.000283880944667389,8.84533301512205e-05,-0.000273609574766236,-0.000101053931997792,-0.000474914905805141,-0.000565420496636916,0.00029039230472305,3.79712180642123e-05,0.000491900570685247,-0.000145085941786951,-0.00117310426891812,-0.00146137186267442,0.00100600031787193,0.000108122375304367,-0.000107230822195182,-2.91170146517354e-05,3.19432414308997e-05,3.05246030300724e-05,-1.6839864054342e-05,-9.13234182054458e-05,-0.000183140129218039,0.000556416018236821,0.000109449424856738,-3.13774035960668e-05,-1.64914790460886e-05,1.98164152683788e-05,2.13897367884653e-05,0.00011682458118498,0.000215900698414585,0.000102276971266658,5.72778128438044e-06,4.42260835049925e-05,2.14615617467063e-05,-6.01781875047823e-05,3.39817714155891e-05,1.21166234014966e-05,-0.000128731741823586
