"","Factor1","Factor2","Factor3","Factor4"
"H07_1",0.0239364261042723,-0.0613509014082712,0.488572747598984,0.138194303763966
"H07_2",0.697017540588989,-0.112074011127161,-0.0792051452911695,0.00660166368536431
"H07_3",0.289409828984529,0.221105640583126,-0.130616498584989,-0.0560533302987865
"H07_4",0.653363633212235,-0.0285720053562908,0.228938005394575,-0.127497182173814
"H07_5",0.161823546057217,-0.106589596878976,0.77016655496174,-0.0259852758693336
"H07_6",0.106459753768363,0.570879264788809,-0.0581417817300318,0.010366737249297
"H07_7",-0.0933148055291982,0.13325871690735,0.706762911306001,0.00676035824075384
"H07_8",-0.0801613812685796,0.793319957290872,0.101809673247668,-0.0109821584650692
"H07_9",-0.0788974095422118,0.881649896757988,-0.0710506744341235,0.117644336742546
"H07_10",0.298744074478677,0.461479737597641,0.105740285277906,-0.0292919584308465
"H07_11",0.792609296120732,-0.0200899017015414,0.0196891530963151,0.00813014560722924
"H07_12",0.459494770843776,0.302433322820102,-0.0415312454284541,0.0225657877545151
"H07_13",0.216140214912699,-0.113608444226101,-0.101954201899684,0.23615589454589
"H07_14",-0.114450717597299,0.0196195402751802,0.113666935984078,0.494649160034297
"H07_15",-0.0502597832717389,-0.0131105511083047,0.279318382820201,0.455604028217497
"H07_16",0.36447119900501,0.00213898446794262,-0.0677818332610808,0.377898403061732
"H07_17",-0.0425647131018746,0.153039041161455,-0.001529094223644,0.570155928121519
