"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_asc_same",1,-0.216233792247387,-0.208067365709848,-0.219145664311823,-0.327740616812256,-0.368395428974792,-0.268912490739767,-0.449342263799704,-0.449562214863107,-0.324278256819972,-0.00980417697834852,-0.310861270546928,-0.228234692241662,-0.233965275204583,-0.319760733286441,0.493395585149729,-0.0992480113415358,-0.0979975069679153,-0.10211623369995,-0.163550778810726,-0.161123219600695,-0.106513286621017,-0.210476834514048,-0.202191367184926,-0.164177937614573,-0.00626734489963622,-0.17244263389348,-0.0883989526852202,-0.108440013082767,-0.142310858197952
"b_City_Midwest_same",-0.216233792247387,1,0.324792394415653,0.315476715423849,-0.0187266753568086,-0.00913815873024069,0.0163483558864701,0.0466311498319504,0.071368691539865,0.0321351467881907,-0.0137218345749351,-0.0319271301445653,0.0263169079158233,0.017397056331003,-0.0504795269458679,-0.107725358446179,0.4542961652144,0.151089785530368,0.144921672258129,-0.00935515952713618,-0.00688476205530474,0.00579487276098753,0.0244656399612422,0.0347449687203984,0.0159164631393715,-0.00348668586949191,-0.0153866420035991,0.0110038367636289,0.00650052475860392,-0.0245817357862129
"b_City_South_same",-0.208067365709848,0.324792394415653,1,0.35376463838242,-0.000572105180589898,0.00790868604172039,0.0119857461813875,0.0579831951922371,0.0452977226693057,-0.0273468878555924,0.0151604775746812,-0.0401882173516919,0.00855678675429844,-0.0049813374728735,-0.0360580138881729,-0.103310866899798,0.148916709227994,0.440725279242315,0.16197819120165,-0.00081968217058755,0.0026153968392985,0.00313116459998483,0.0280722303636383,0.0191022292400172,-0.0136332304046358,0.00783947901848348,-0.0173509265604991,0.00619325435873938,-0.0033509548200417,-0.0172742321592253
"b_City_Northeast_same",-0.219145664311823,0.315476715423849,0.35376463838242,1,-0.0140915622932028,-0.00419942756597619,-0.0467333556131507,0.0276370685007913,0.0546445516954637,-0.0307969223516212,-9.64447658386678e-07,-0.040222653148774,0.0336978766549577,-0.0355544131987213,0.0712587649917788,-0.10941283135796,0.144845614863829,0.164675511233025,0.431539278694233,-0.00616476147274842,-5.99573444757748e-05,-0.0154383203402762,0.0122818929422566,0.026037228856415,-0.0152697372207546,0.0028818645244169,-0.0172322518244132,0.0147503478931023,-0.0161369885309785,0.02813981650963
"b_Age_GenZ_same",-0.327740616812256,-0.0187266753568086,-0.000572105180589898,-0.0140915622932028,1,0.310958543737185,0.253191266469026,0.041132505082277,0.097740762587577,0.0384136116133053,0.0251409918598606,0.227540225564922,-0.0751639661634013,0.0653350577532219,-0.0170741694921614,-0.164993968522971,-0.00766155081603739,-0.00106037469238041,-0.00552429986373345,0.578280992126278,0.134386808708611,0.0950483032854744,0.0255495898594501,0.0519510883950268,0.0220967183808262,0.00985974472587357,0.106530820300352,-0.0291229411549778,0.0293963416821477,-0.0089448897842521
"b_Age_Millenials_same",-0.368395428974792,-0.00913815873024069,0.00790868604172039,-0.00419942756597619,0.310958543737185,1,0.421755025828956,0.0195429293177407,0.095660811015669,0.0223780595388117,-0.0190522224865597,-0.00161361298111457,-0.0195410412635375,0.109286162476551,0.0731771243492355,-0.175022899219907,-0.00697804587375861,0.0016265842305686,-0.00108170190225307,0.14757184064485,0.432283952546625,0.155956504692879,0.0105795615245666,0.0467781807964456,0.0106314201482635,-0.00666632433485075,-0.00482629745692824,-0.00501996067214216,0.0516972434270953,0.0332464887867061
"b_Age_Older_same",-0.268912490739767,0.0163483558864701,0.0119857461813875,-0.0467333556131507,0.253191266469026,0.421755025828956,1,0.0136695512210186,0.00164766647711339,-0.0374683764527733,0.0444934146654674,0.0315156140191047,0.00886551770210695,0.291753749702201,-0.104471502142315,-0.130516470067379,0.00672721718577203,0.00488301857327444,-0.0186387936896708,0.124974250253446,0.182969240802921,0.352664925276475,0.00506715622757633,-0.000876756188483124,-0.0174387946353953,0.0183346719278415,0.015977424276949,0.00432155066124309,0.133240193925506,-0.048416206419049
"b_Inc_Mid_same",-0.449342263799704,0.0466311498319504,0.0579831951922371,0.0276370685007913,0.041132505082277,0.0195429293177407,0.0136695512210186,1,0.754845051849382,-0.00756325839123832,-0.037851453762516,-0.191623903742883,0.0412534706912022,-0.0862869328725351,0.00142712877980476,-0.208520938501678,0.0228208468779193,0.025381696968416,0.013281902887256,0.0157208326018156,0.00695243203353408,0.00547942659094106,0.511342201251261,0.363027464243679,-0.000403613288979188,-0.0179489235914392,-0.0937376836610325,0.0151249898616909,-0.0440430772686135,-0.00119879607100721
"b_Inc_High_same",-0.449562214863107,0.071368691539865,0.0452977226693057,0.0546445516954637,0.097740762587577,0.095660811015669,0.00164766647711339,0.754845051849382,1,0.00254965946142909,-0.075234200693874,-0.325830842062711,0.0457233279230995,-0.0888225925121278,-0.0171668615275652,-0.207724591484903,0.0333552989004636,0.0194812925050121,0.0269453708337815,0.044821865045272,0.0419654350344147,0.00297731604499299,0.375357495041592,0.472302536819892,0.00515802638044468,-0.0309303574936445,-0.152625081962382,0.01469190335657,-0.0449464769612081,-0.00810911701218919
"b_Hel_same",-0.324278256819972,0.0321351467881907,-0.0273468878555924,-0.0307969223516212,0.0384136116133053,0.0223780595388117,-0.0374683764527733,-0.00756325839123832,0.00254965946142909,1,-0.134072941882957,-0.00841239890187242,-0.0848680744539669,-0.0310697202404352,0.0838492424625772,-0.165076929863525,0.0151406771163882,-0.0103896934490466,-0.0121058840343663,0.020095946289706,0.0108847193851931,-0.0100658774496158,-0.00711820541459626,0.000535162777240152,0.490895748769983,-0.0558411898002239,0.00191864991241835,-0.042404281633079,-0.0116099487673704,0.038907507492645
