"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_asc_same",0.0586991707178732,-0.00825216901128842,-0.00711652121953703,-0.00760149017085751,-0.0187213285710518,-0.0112134633572757,-0.0106731528588674,-0.0196892015858547,-0.0192647333525826,-0.00484669855956605,-0.000117054293359161,-0.0111124698494982,-0.00603098173749538,-0.00651560203369549,-0.00875758084059612,0.0308295916605216,-0.00443412154498538,-0.00387097879162903,-0.00414762678434026,-0.00979952577872985,-0.00570133518235133,-0.00575652267639487,-0.00953855428076932,-0.00924619225136652,-0.00263850975743764,-9.16537611040316e-05,-0.00682942389987535,-0.00278866296095909,-0.00354643846550217,-0.00444497327267961
"b_City_Midwest_same",-0.00825216901128842,0.0248117349191512,0.00722241125727516,0.00711452237402389,-0.000695472022584344,-0.00018084096520309,0.000421860070423424,0.00132843266018866,0.00198835313353907,0.000312263376446535,-0.000106512595594994,-0.000742021422885601,0.000452120083101728,0.000314986179248085,-0.000898849298072776,-0.00437625927952041,0.0131958519514006,0.00388019411462192,0.00382693249883488,-0.000364431764887323,-0.000158387156173996,0.000203616478481201,0.000720854171060437,0.00103301069729251,0.000166304139733954,-3.31506540586905e-05,-0.000396183017246393,0.000225686525959591,0.000138217765501745,-0.000499178930408987
"b_City_South_same",-0.00711652121953703,0.00722241125727516,0.019929462878824,0.00715009956238859,-1.90420671981725e-05,0.000140268994841586,0.000277190693368012,0.00148041949129588,0.0011310489027534,-0.000238159496635472,0.000105468046464434,-0.000837094588803548,0.000131749470242317,-8.08315533260069e-05,-0.000575430184934464,-0.00376140704263877,0.00387668956144065,0.0101439135707518,0.00383348034548648,-2.86173718015069e-05,5.39247141084323e-05,9.8603912280737e-05,0.000741288026373731,0.0005089981187131,-0.000127665778364065,6.68014227980164e-05,-0.000400399851930424,0.000113841245846155,-6.38562269688285e-05,-0.000314384902873643
"b_City_Northeast_same",-0.00760149017085751,0.00711452237402389,0.00715009956238859,0.0204974457321521,-0.000475663068701933,-7.5535223722197e-05,-0.00109608089972448,0.000715610495073425,0.00138373828526372,-0.0002720003028973,-6.80438311260215e-09,-0.000849666668428561,0.000526190230505826,-0.000585100609397882,0.0011532705572271,-0.00403993762543907,0.00382406285034491,0.00384386985129532,0.0103575992347738,-0.000218274303187853,-1.25370316399436e-06,-0.0004930493289543,0.000328910281307118,0.000703605070473647,-0.000145013809584109,2.49042889712034e-05,-0.000403288041943925,0.000274969840621956,-0.000311859693398681,0.000519381250012082
"b_Age_GenZ_same",-0.0187213285710518,-0.000695472022584344,-1.90420671981725e-05,-0.000475663068701933,0.0555879722180613,0.00921090837414343,0.00977923557812066,0.0017539226218037,0.0040758984600447,0.000558711684445296,0.00029210100133428,0.00791546795866517,-0.00193281583872333,0.00177061385292897,-0.000455064592148586,-0.0100326350598789,-0.000333101738647822,-4.0760504571452e-05,-0.000218351690824871,0.0337183095723095,0.00462753291382931,0.00499890905597012,0.00112677348292937,0.00231190185803952,0.000345578028359294,0.000140315872228561,0.00410571809371023,-0.000894043344323082,0.000935557720766366,-0.000271882054489143
"b_Age_Millenials_same",-0.0112134633572757,-0.00018084096520309,0.000140268994841586,-7.5535223722197e-05,0.00921090837414343,0.0157840738789486,0.00868031709247583,0.000444052242312034,0.00212569439886665,0.000173437967116097,-0.000117954745898953,-2.99114128081806e-05,-0.000267761187788948,0.00157819946282122,0.00103926890260747,-0.00567101709661353,-0.000161663944044271,3.33177673766007e-05,-2.2782744770934e-05,0.00458510733814072,0.00793197114966151,0.00437072514910405,0.000248621962426574,0.00110926984765337,8.85989877352874e-05,-5.05529734644029e-05,-9.91167554438454e-05,-8.21188375737383e-05,0.000876725873861245,0.000538481108370112
"b_Age_Older_same",-0.0106731528588674,0.000421860070423424,0.000277190693368012,-0.00109608089972448,0.00977923557812066,0.00868031709247583,0.0268368502262558,0.000404999867883102,4.77410860200288e-05,-0.00037865425657119,0.000359187927016496,0.000761762411890374,0.000158401848040996,0.00549375616971404,-0.00193466890434639,-0.00551426484608532,0.000203222138616273,0.000130419919846237,-0.000511885080113272,0.005063173055952,0.00437770323076015,0.0128874944422592,0.000155271709580618,-2.71099638642857e-05,-0.000189500412840151,0.000181296586815462,0.00042785437647024,9.21803399973458e-05,0.0029463742610015,-0.00102251964969063
"b_Inc_Mid_same",-0.0196892015858547,0.00132843266018866,0.00148041949129588,0.000715610495073425,0.0017539226218037,0.000444052242312034,0.000404999867883102,0.0327091838072809,0.0241462605924493,-8.43831995621688e-05,-0.000337347611974762,-0.00511343255459903,0.000813740098630494,-0.00179377120508754,2.91770284499405e-05,-0.00972615205907284,0.000761090687093076,0.00074841983690614,0.000402702247193445,0.000703148180418973,0.000183642867408205,0.000221060128370077,0.017298512488086,0.0123924924577647,-4.84203848036251e-06,-0.000195940393469787,-0.00277122961004767,0.000356174539703566,-0.00107522509898993,-2.79508679190856e-05
"b_Inc_High_same",-0.0192647333525826,0.00198835313353907,0.0011310489027534,0.00138373828526372,0.0040758984600447,0.00212569439886665,4.77410860200288e-05,0.0241462605924493,0.0312834350509555,2.7819645595552e-05,-0.000655741622447277,-0.00850310227972857,0.000882034192848818,-0.00180579241577421,-0.000343234680100014,-0.00947548964227905,0.00108790720030161,0.000561778049515373,0.000798969647620805,0.00196057563488664,0.0010840552234973,0.000117468820031243,0.0124183695172177,0.0157674630861688,6.05157892932697e-05,-0.00033021201413032,-0.00441272198964719,0.000338351577713903,-0.00107309892026555,-0.000184903834597306
"b_Hel_same",-0.00484669855956605,0.000312263376446535,-0.000238159496635472,-0.0002720003028973,0.000558711684445296,0.000173437967116097,-0.00037865425657119,-8.43831995621688e-05,2.7819645595552e-05,0.00380561100206178,-0.000407580650736983,-7.65702473576397e-05,-0.000571014211621555,-0.000220311264040247,0.000584728660330045,-0.0026263651722447,0.00017223733303926,-0.000104497214100925,-0.000125198061717993,0.000306589388075768,9.80690331766478e-05,-0.000138517385875418,-8.21381624144176e-05,6.23135399039606e-06,0.00200876620801259,-0.000207930201075457,1.93477904345665e-05,-0.00034060799129513,-9.66783845343247e-05,0.000309428805041676
"b_Vdc_same",-0.000117054293359161,-0.000106512595594994,0.000105468046464434,-6.80438311260215e-09,0.00029210100133428,-0.000117954745898953,0.000359187927016496,-0.000337347611974762,-0.000655741622447277,-0.000407580650736983,0.00242840123384238,-0.0003503681723427,-1.88888568394347e-05,-0.000357924327294055,4.40811549967931e-05,-7.81238450944299e-05,-3.94636277841518e-05,5.10543575849226e-05,5.07324602484205e-06,0.000162181874218808,-5.06907265352394e-05,0.000155855309697226,-0.00015368084407647,-0.000311132073555776,-0.000214984995449554,0.00127936717476939,-0.000226886883899536,7.16915086408389e-06,-0.000220535824816705,4.2955465349706e-05
"b_Edc_MoreBachelor_same",-0.0111124698494982,-0.000742021422885601,-0.000837094588803548,-0.000849666668428561,0.00791546795866517,-2.99114128081806e-05,0.000761762411890374,-0.00511343255459903,-0.00850310227972857,-7.65702473576397e-05,-0.0003503681723427,0.0217698777447182,0.000107661827943656,-7.13492919968144e-05,0.000479507308173939,-0.00657962557900315,-0.000395649326463913,-0.000334239589613893,-0.000399828181032691,0.00433038117926041,-2.2854152364295e-05,0.00052857049095982,-0.00302494478063753,-0.00470009098517665,-3.49314343124402e-05,-0.000191464567966093,0.0122404844453524,-3.37878010407943e-05,3.71035864575928e-05,0.00021970935118843
"b_Gen_NonMale_same",-0.00603098173749538,0.000452120083101728,0.000131749470242317,0.000526190230505826,-0.00193281583872333,-0.000267761187788948,0.000158401848040996,0.000813740098630494,0.000882034192848818,-0.000571014211621555,-1.88888568394347e-05,0.000107661827943656,0.0118954463648252,0.00167619536718886,-0.00080893194186302,-0.00301510126379216,0.000244643740990298,0.000121818623314174,0.000323862682030839,-0.00106107463542882,-0.000127853600551452,0.000127392632750148,0.000387386966123244,0.0004710875778617,-0.00028844333418614,-2.04857112153109e-05,9.4449159768646e-05,0.0062737217710974,0.000922548561384372,-0.000446287242308762
"b_Chl_Yes_same",-0.00651560203369549,0.000314986179248085,-8.08315533260069e-05,-0.000585100609397882,0.00177061385292897,0.00157819946282122,0.00549375616971404,-0.00179377120508754,-0.00180579241577421,-0.000220311264040247,-0.000357924327294055,-7.13492919968144e-05,0.00167619536718886,0.013212175229984,0.000487651714153239,-0.00348358859633888,0.000117423351473233,-0.000110532552585052,-0.000366757623691336,0.00102991136399679,0.00087726248266528,0.00289095006142446,-0.000904157502617068,-0.00101002397683797,-0.000124232118474615,-0.000220114618091312,-0.000136260978921413,0.00102634011451848,0.00696547232267126,0.000315595056259196
"b_Ngh_NonUrban_same",-0.00875758084059612,-0.000898849298072776,-0.000575430184934464,0.0011532705572271,-0.000455064592148586,0.00103926890260747,-0.00193466890434639,2.91770284499405e-05,-0.000343234680100014,0.000584728660330045,4.40811549967931e-05,0.000479507308173939,-0.00080893194186302,0.000487651714153239,0.012778682559603,-0.00448422910494065,-0.000488364896005246,-0.000278786500567529,0.000570887772500851,-0.000315717511370448,0.000528357975093242,-0.00096576733141903,-0.000136829740962558,-0.000217852553090055,0.000323340536411856,4.80493174086322e-05,0.000334255231334845,-0.000534349472799235,0.000335802712011217,0.00658470811099111
"b_asc_grtr",0.0308295916605216,-0.00437625927952041,-0.00376140704263877,-0.00403993762543907,-0.0100326350598789,-0.00567101709661353,-0.00551426484608532,-0.00972615205907284,-0.00947548964227905,-0.0026263651722447,-7.81238450944299e-05,-0.00657962557900315,-0.00301510126379216,-0.00348358859633888,-0.00448422910494065,0.0665139992190267,-0.0105347154564578,-0.00945256505807366,-0.0105022055182729,-0.0239924514554691,-0.0154912676189413,-0.0169918561416626,-0.0174691047295811,-0.0175600766877716,-0.00500596550501391,-0.000758484550046267,-0.0133236695579362,-0.00751286001303607,-0.0101308789811049,-0.0101033899060848
"b_City_Midwest_grtr",-0.00443412154498538,0.0131958519514006,0.00387668956144065,0.00382406285034491,-0.000333101738647822,-0.000161663944044271,0.000203222138616273,0.000761090687093076,0.00108790720030161,0.00017223733303926,-3.94636277841518e-05,-0.000395649326463913,0.000244643740990298,0.000117423351473233,-0.000488364896005246,-0.0105347154564578,0.0340047506345019,0.0098945745938008,0.00978845948881464,-0.00116075248102575,-0.00056332428049546,0.000348485534424432,0.00105032682829976,0.00184995612667588,0.000333470455583373,-0.000216687226397451,-0.000711390786074926,0.000572247507026374,0.000604853785373763,-0.00108002654754459
"b_City_South_grtr",-0.00387097879162903,0.00388019411462192,0.0101439135707518,0.00384386985129532,-4.0760504571452e-05,3.33177673766007e-05,0.000130419919846237,0.00074841983690614,0.000561778049515373,-0.000104497214100925,5.10543575849226e-05,-0.000334239589613893,0.000121818623314174,-0.000110532552585052,-0.000278786500567529,-0.00945256505807366,0.0098945745938008,0.0265815048032317,0.0097795764877874,0.000431548470500001,0.000193740755977753,0.000283443220506055,0.00132653395362085,0.000611545524197079,-0.000337086467521607,2.77975298593194e-05,-0.000741474332239125,6.66977315347798e-05,0.000219267282357402,-0.00107260673880006
"b_City_Northeast_grtr",-0.00414762678434026,0.00382693249883488,0.00383348034548648,0.0103575992347738,-0.000218351690824871,-2.2782744770934e-05,-0.000511885080113272,0.000402702247193445,0.000798969647620805,-0.000125198061717993,5.07324602484205e-06,-0.000399828181032691,0.000323862682030839,-0.000366757623691336,0.000570887772500851,-0.0105022055182729,0.00978845948881464,0.0097795764877874,0.0281046251954078,-0.000268605058846559,2.04624058241338e-05,-0.00111430404995791,0.000773811258495732,0.00182754532653033,-0.000380695660102021,-0.0001241046779608,-0.00100537138307812,0.000690059467286517,-0.000377039866753674,0.00164981122181548
"b_Age_GenZ_grtr",-0.00979952577872985,-0.000364431764887323,-2.86173718015069e-05,-0.000218274303187853,0.0337183095723095,0.00458510733814072,0.005063173055952,0.000703148180418973,0.00196057563488664,0.000306589388075768,0.000162181874218808,0.00433038117926041,-0.00106107463542882,0.00102991136399679,-0.000315717511370448,-0.0239924514554691,-0.00116075248102575,0.000431548470500001,-0.000268605058846559,0.0611607666468109,0.0136090607736309,0.0152298952431473,0.00115242850803164,0.00414560627263378,0.000558931787657291,0.000743197544534664,0.00902055226416935,-0.00308774222273626,0.00309249206644755,-0.00124161989931416
"b_Age_Millenials_grtr",-0.00570133518235133,-0.000158387156173996,5.39247141084323e-05,-1.25370316399436e-06,0.00462753291382931,0.00793197114966151,0.00437770323076015,0.000183642867408205,0.0010840552234973,9.80690331766478e-05,-5.06907265352394e-05,-2.2854152364295e-05,-0.000127853600551452,0.00087726248266528,0.000528357975093242,-0.0154912676189413,-0.00056332428049546,0.000193740755977753,2.04624058241338e-05,0.0136090607736309,0.0213306907463981,0.012924391146316,0.000178842528066999,0.00270327417957419,0.000117035006908092,-3.43595435048635e-05,0.000106877588818903,-0.000497980870455676,0.00201275843571418,0.000879146085780443
