"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_asc_same",1,-0.21600409208774,-0.215601313429657,-0.220479277890362,-0.267199090278028,-0.360892807383221,-0.280434361610341,-0.444886180273933,-0.450950394034031,-0.340394027952908,-0.0177896145833023,-0.300714866721798,-0.251251214407952,-0.243423868793634,-0.309133955667043,0.451031958125325,-0.0813964608581608,-0.0918484036287711,-0.098082268515696,-0.0927499579571356,-0.166032856010609,-0.10412947076981,-0.18382684548915,-0.173467330245514,-0.130687210114814,-0.0162511275525978,-0.140650460257082,-0.109827313927163,-0.124910100045926,-0.118373047512514
"b_City_Midwest_same",-0.216004092087739,1,0.330564207433532,0.322944865664038,-0.0371395123434038,-0.0125229960049312,-0.00567512960025382,0.0686390486222195,0.104385444147281,0.0211173461068007,-0.00802193769486027,-0.0402264207377029,0.0195923129351413,-0.00772552583020512,-0.0596888172736283,-0.0944338435493283,0.472213733227144,0.153863764116194,0.138615362606215,-0.0252885798145691,-0.000618736925035255,0.0131685387195531,0.0468319587821768,0.0397678817828175,0.0011483628208619,0.0142093665288522,-0.0329207285991276,-0.0224760121382572,0.0160519505622467,-0.0557542073739904
"b_City_South_same",-0.215601313429656,0.330564207433532,1,0.353500288011503,-0.016206070491952,0.0070129177710068,0.0198622415038329,0.0607056663853892,0.0551208825533597,-0.0320033443419782,0.00815298139381503,-0.0230608460896445,0.0263525310915339,-0.0114267976698071,-0.0552090710882797,-0.095414996967562,0.148770710821217,0.432329865374825,0.154108576225521,-0.0227783329818259,-0.0108943296558616,-0.00293531434342136,0.0295063657786826,0.012126496084504,-0.0123391342326934,0.00729650642721723,-0.00375657651914309,0.00265056106645022,-0.00949885712281267,-0.0294187249988899
"b_City_Northeast_same",-0.220479277890361,0.322944865664038,0.353500288011503,1,-0.055563946806146,-0.013591319883428,-0.0469186047199959,0.00532494789421613,0.0349942286287442,-0.00310931443603753,-0.00234123014050659,-0.0246043000557283,0.0491238203939927,-0.0264560037396225,0.0584644305376005,-0.105663904735501,0.137822300373529,0.159301563062823,0.415472960747415,-0.0507142345791314,-0.0107573164754683,-0.0208749835365406,-0.00060772127304393,-0.00611445090245509,-0.00689263268169184,-0.00266241508629767,0.0196312648989916,0.0187939366667682,-0.00507808706342034,0.0187100463458538
"b_Age_GenZ_same",-0.267199090278028,-0.0371395123434039,-0.0162060704919521,-0.0555639468061458,1,0.302304997819771,0.26528718184925,-0.0112764885047198,0.035760112638436,0.0227239651152263,0.0154854854272383,0.22156811511825,-0.0547787450137549,0.0711770680762461,-0.0480186364647192,-0.0970294635866424,-0.0262018415178194,-0.0242920852564337,-0.0521720741827144,0.556012201452433,0.125876053460195,0.0968470916172553,-0.0185833554043324,-0.00900752619134848,0.00821382594043297,-0.0237438295572605,0.111073305696788,-0.00022503177574572,0.0223719229110434,-0.0635634864524796
"b_Age_Millenials_same",-0.36089280738322,-0.0125229960049316,0.00701291777100683,-0.0135913198834281,0.30230499781977,1,0.428385040520264,0.0260931177701974,0.0955819904529689,0.0116950904577712,-0.0135202179345971,-0.0118364452559234,-0.0180100609810158,0.114972679352969,0.070380903955712,-0.174993764166796,0.00099014599216171,-0.0119299847187467,-0.010732899076684,0.1334290960864,0.429730209278971,0.156457129124606,0.0199143090949265,0.0582128693745341,0.00825909580198037,-0.00192882400490317,-0.00545129103478267,-0.00388622995804492,0.0357833963209335,0.0402271816727811
"b_Age_Older_same",-0.280434361610342,-0.00567512960025411,0.0198622415038328,-0.046918604719996,0.265287181849251,0.428385040520264,1,0.0223174938571866,0.0202985228032434,-0.0560628611422249,0.0708430136361994,0.0321877948681214,0.00144048860850687,0.302780993961377,-0.0983087131634029,-0.131456761280374,0.0122263864554571,0.00065193262962003,-0.0226885150814989,0.123536026021846,0.179809669265767,0.354016810055508,0.00172746346426186,0.00839704326864506,-0.02311551539783,0.0342644500226329,0.017795464464592,0.00904086048230083,0.127348942922804,-0.05334921399452
"b_Inc_Mid_same",-0.444886180273931,0.0686390486222199,0.0607056663853898,0.00532494789421719,-0.0112764885047196,0.0260931177701992,0.0223174938571871,1,0.752820062647694,0.0246233864693072,-0.0395642136802841,-0.202995387668933,0.0641506668541199,-0.0717715296592209,-0.0274545455403943,-0.185536164108412,0.04823806521808,0.027921592791434,0.00360474454784528,-0.036877715853809,0.0152778859764009,-0.00420864796928192,0.507493591727558,0.365413172554595,-0.00470217912898813,-0.00826614298028364,-0.14910350800316,0.0437992517244156,-0.0410207186046127,-0.0222180663653629
"b_Inc_High_same",-0.45095039403403,0.104385444147282,0.0551208825533603,0.0349942286287451,0.0357601126384368,0.0955819904529707,0.0202985228032436,0.752820062647693,1,0.0314846799533865,-0.0699016257082739,-0.336420898237793,0.0724551374662751,-0.0819239185898098,-0.0319988952226665,-0.182234761430453,0.0440259285859683,0.014357168265305,-0.00087918865740135,-0.0193299738084951,0.0525428567587175,0.00354106986166344,0.374035808616646,0.462239731524205,-0.0172088352452544,-0.00853016782853669,-0.190433382355996,0.0319401690641806,-0.0402856643728656,-0.0181874817905579
"b_Hel_same",-0.340394027952906,0.0211173461068006,-0.0320033443419785,-0.00310931443603777,0.0227239651152259,0.0116950904577711,-0.0560628611422252,0.0246233864693066,0.0314846799533859,1,-0.167128137013949,-0.0116124046431475,-0.0708829800556451,-0.0412140293864419,0.100614235871999,-0.139867480909021,-0.0010215493508112,-0.00756841415187694,-0.00678115117764891,0.00628590942786485,0.00931502530343395,-0.0157242479110174,-0.00402813077326202,-0.0214553050095234,0.44003317747059,-0.0669114313663368,0.00314347974510868,-0.0365461767956875,-0.00236023593635795,0.0271016251750452
"b_Vdc_same",-0.0177896145833028,-0.00802193769486031,0.00815298139381505,-0.00234123014050657,0.0154854854272384,-0.0135202179345971,0.0708430136361995,-0.0395642136802843,-0.069901625708274,-0.167128137013949,1,-0.0485693511018975,0.0217378352064358,-0.0607026371811656,0.0287617802548522,-0.0147230831683644,0.0136772528233498,0.0052114068032316,-0.0046008895161951,-0.0128343412979819,-0.00351474014696677,0.0255943807345975,-0.0118566823895333,-0.0137732519160651,-0.0800604906681143,0.426573088704122,-0.040609792705722,0.0193046538685781,-0.0387130825130844,0.0140984237733724
"b_Edc_MoreBachelor_same",-0.300714866721801,-0.0402264207377031,-0.0230608460896441,-0.024604300055728,0.22156811511825,-0.0118364452559226,0.032187794868122,-0.202995387668933,-0.336420898237795,-0.0116124046431479,-0.0485693511018971,1,-0.00893881821961517,-0.0161996047518695,0.0224176714796312,-0.152962028687788,-0.0325268030659543,0.000757138070525955,0.0226809541921671,0.11684591042386,0.00446670601475844,0.0196896497741869,-0.157660494444208,-0.195162017819015,-0.00190007023436158,-0.0332071110903763,0.50033864143413,-0.0109741054439978,0.0141519395123096,-0.00695251923961845
"b_Gen_NonMale_same",-0.251251214407952,0.0195923129351413,0.0263525310915338,0.0491238203939928,-0.0547787450137544,-0.0180100609810151,0.00144048860850747,0.0641506668541195,0.072455137466274,-0.0708829800556448,0.0217378352064358,-0.00893881821961444,1,0.147616669577894,-0.0641904625296995,-0.126771995697852,-0.0203426929452753,0.00219795829257355,0.020653380806462,-0.0127727402195547,-0.00642899083293153,0.0134284418782059,0.0444214528423578,0.0351495186205367,-0.0325360101834008,0.0126764995262033,-0.0040764176433422,0.436139068257988,0.0805206565461107,-0.00733366758051091
"b_Chl_Yes_same",-0.243423868793633,-0.00772552583020499,-0.011426797669807,-0.0264560037396225,0.071177068076246,0.11497267935297,0.302780993961377,-0.0717715296592208,-0.0819239185898096,-0.0412140293864413,-0.0607026371811653,-0.016199604751871,0.147616669577894,1,0.0614792269608955,-0.127063146530866,0.0170512198854639,-0.0118637332407576,-0.00784340051554134,0.0298711762417143,0.0351181777130686,0.103821733092726,-0.0360935987618804,-0.0379926227175136,-0.00707796497694525,-0.0358879461286949,0.00102883546347405,0.0867027231450372,0.447680865739054,0.0296416367261062
"b_Ngh_NonUrban_same",-0.309133955667042,-0.0596888172736283,-0.0552090710882801,0.0584644305376006,-0.0480186364647201,0.0703809039557122,-0.0983087131634034,-0.027454545540395,-0.0319988952226667,0.100614235872001,0.0287617802548525,0.0224176714796299,-0.0641904625296994,0.0614792269608951,1,-0.133194838829094,-0.0581476203896729,-0.0288762302307118,0.018319688075632,-0.0539061178806444,0.0391879877514863,-0.0472294284529255,-0.0267302707102832,-0.0178416105712969,0.031799746025389,0.0140647205085726,0.00213709137622584,-0.0108916520205698,0.0294602361157284,0.449829662424802
"b_asc_grtr",0.451031958125329,-0.0944338435493291,-0.0954149969675631,-0.105663904735503,-0.0970294635866434,-0.174993764166798,-0.131456761280375,-0.185536164108414,-0.182234761430455,-0.139867480909024,-0.014723083168364,-0.15296202868779,-0.126771995697852,-0.127063146530867,-0.133194838829096,1,-0.191521869270261,-0.21579191843408,-0.250895951264777,-0.337069773811751,-0.440944801225174,-0.265432045009359,-0.336065399814603,-0.33108479988045,-0.291527074385508,-0.053947826228502,-0.324176570496389,-0.20993243291143,-0.296923046169749,-0.308784064790796
"b_City_Midwest_grtr",-0.08139646085816,0.472213733227143,0.148770710821217,0.137822300373529,-0.0262018415178194,0.000990145992161842,0.012226386455457,0.0482380652180796,0.0440259285859679,-0.0010215493508112,0.0136772528233498,-0.032526803065954,-0.0203426929452754,0.0170512198854639,-0.0581476203896729,-0.19152186927026,1,0.333504481456644,0.307580567887621,-0.0422202922459119,-0.0322464727565886,0.0200176291427694,0.0269766466222429,-0.00586806744206304,0.0230486324782843,-0.0197730438160262,-0.0276580880936365,-0.0284869129323228,0.0712113033240449,-0.0652465498212396
"b_City_South_grtr",-0.0918484036287703,0.153863764116193,0.432329865374826,0.159301563062824,-0.0242920852564334,-0.0119299847187466,0.000651932629620092,0.0279215927914338,0.0143571682653048,-0.00756841415187648,0.00521140680323151,0.000757138070525883,0.00219795829257325,-0.0118637332407575,-0.0288762302307118,-0.215791918434079,0.333504481456644,1,0.360773131504334,-0.0161220665999705,-0.0113519125873994,-0.0136190381998078,0.0330475945194996,-0.0303873275139859,-0.0179073136816865,0.0208376537562055,-0.0222996527789666,-0.0441801693136189,0.0292137201251581,-0.0168044859954736
"b_City_Northeast_grtr",-0.0980822685156951,0.138615362606215,0.154108576225521,0.415472960747415,-0.0521720741827145,-0.010732899076684,-0.0226885150814989,0.00360474454784507,-0.00087918865740177,-0.00678115117764882,-0.00460088951619521,0.0226809541921673,0.0206533808064618,-0.00784340051554109,0.018319688075632,-0.250895951264776,0.307580567887621,0.360773131504334,1,-0.0155756489668475,0.00682250883481678,-0.0108910995360807,0.0255107343931994,0.0372927661249891,-0.022083721379176,-0.0234726652885611,-0.0246032470474092,-0.0138787835746179,-0.0111441362805144,0.114605764053984
"b_Age_GenZ_grtr",-0.0927499579571363,-0.025288579814569,-0.0227783329818254,-0.0507142345791311,0.556012201452433,0.133429096086401,0.123536026021846,-0.0368777158538084,-0.0193299738084953,0.00628590942786556,-0.012834341297982,0.116845910423861,-0.0127727402195548,0.0298711762417144,-0.0539061178806441,-0.337069773811751,-0.0422202922459114,-0.01612206659997,-0.0155756489668469,1,0.365709693280508,0.248515523815622,-0.0182922172759031,0.0459939703162571,0.0211752558835838,0.0537412372360942,0.259805604633963,-0.0768788915830451,0.0740842145496921,-0.0905045976022299
"b_Age_Millenials_grtr",-0.16603285601061,-0.000618736925035123,-0.010894329655861,-0.0107573164754678,0.125876053460195,0.429730209278972,0.179809669265768,0.0152778859764009,0.0525428567587175,0.00931502530343523,-0.00351474014696692,0.00446670601475881,-0.00642899083293141,0.0351181777130691,0.0391879877514865,-0.440944801225174,-0.0322464727565881,-0.0113519125873989,0.00682250883481771,0.365709693280508,1,0.380747241652413,0.00388423466505926,0.112070250095741,0.0211102319557467,-0.00952616772501947,0.0527792551563444,-0.00755866855623882,0.0815908243562642,0.0780728360943378
"b_Age_Older_grtr",-0.10412947076981,0.0131685387195529,-0.00293531434342135,-0.0208749835365407,0.0968470916172551,0.156457129124606,0.354016810055508,-0.00420864796928234,0.0035410698616629,-0.0157242479110175,0.0255943807345975,0.0196896497741869,0.0134284418782056,0.103821733092726,-0.0472294284529257,-0.265432045009358,0.0200176291427694,-0.0136190381998078,-0.0108910995360807,0.248515523815622,0.380747241652412,1,-0.0148419577451955,-0.0539239991295843,-0.0154893179763548,-0.0385802873559899,0.0667302964060574,0.00363105022144126,0.238344968948044,-0.0899774133631401
"b_Inc_Mid_grtr",-0.183826845489146,0.0468319587821765,0.0295063657786826,-0.000607721273043631,-0.0185833554043333,0.0199143090949264,0.00172746346426135,0.507493591727557,0.374035808616646,-0.00402813077326268,-0.0118566823895333,-0.157660494444208,0.0444214528423575,-0.0360935987618812,-0.0267302707102837,-0.336065399814599,0.0269766466222431,0.0330475945194997,0.0255107343931995,-0.0182922172759046,0.00388423466505779,-0.0148419577451963,1,0.707482147228235,-0.0411318413851431,-0.0397021222101799,-0.272125228030561,0.0377690044645238,-0.121785599856259,0.0450762362242263
