"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr"
"b_asc_same",0.0588559952083649,-0.00823471479042366,-0.00739508570731695,-0.00764173702269866,-0.0151727701496685,-0.0109822578815295,-0.0112257286322342,-0.0194767281424154,-0.0191436969689755,-0.0050942818995871,-0.000213295521368947,-0.0107885293493432,-0.00665629451851037,-0.00684732424160372,-0.00848244482870986,0.0280629240022759,-0.00366140319447385,-0.00360132442788784,-0.00398843589878536,-0.00571474059498612,-0.00586364790574374,-0.0054619492660506,-0.00852916348653193,-0.00800880227942602,-0.00214111745646941,-0.000251976808575923,-0.00564015353778378,-0.00344441835283936,-0.0040112109028777,-0.00369383362253288
"b_City_Midwest_same",-0.00823471479042364,0.0246934891183765,0.007344183384528,0.0072501763477933,-0.00136603546981642,-0.000246841131443676,-0.000147148206182366,0.00194640951071049,0.00287033680203519,0.000204708678699557,-6.23003315051843e-05,-0.000934791200043185,0.000336206375430234,-0.000140760777662965,-0.00106087247500108,-0.00380582791116272,0.0137586721769647,0.00390771482740435,0.00365106324111643,-0.00100926012764812,-1.41538880456674e-05,0.000447411828181965,0.0014074588389122,0.00118926383435966,1.21865957322402e-05,0.000142707784724008,-0.000855096409676823,-0.000456583976396889,0.000333888629829749,-0.00112693280935709
"b_City_South_same",-0.00739508570731691,0.00734418338452799,0.0199890848436995,0.00714027903791871,-0.000536301151070488,0.000124369319865658,0.000463353740023918,0.00154880741736393,0.00136368575759992,-0.000279124210590266,5.6968233192521e-05,-0.000482151683201608,0.000406862624701526,-0.000187319664998268,-0.00088284787160707,-0.00345973908341505,0.00389996378291993,0.00987886325544328,0.00365207783234449,-0.000817910605080372,-0.000224220574165822,-8.97283577777835e-05,0.000797837284864605,0.000326276887082977,-0.000117812994853382,6.59315283561546e-05,-8.77896081146083e-05,4.84444967545166e-05,-0.000177766694918708,-0.000534994663265925
"b_City_Northeast_same",-0.00764173702269861,0.00725017634779329,0.00714027903791871,0.0204107006318815,-0.00185804656210414,-0.000243561504181634,-0.00110601751333424,0.000137282775911767,0.000874836849314771,-2.7403074248845e-05,-1.6530763268291e-05,-0.000519818779760054,0.000766390473418132,-0.000438243596400661,0.000944712493786607,-0.0038715588330677,0.00365085959418559,0.00367827566660556,0.00994920735092623,-0.00184012056031122,-0.000223723391349652,-0.000644812941040351,-1.66048725243738e-05,-0.000166242071592372,-6.65006886966106e-05,-2.43100829159064e-05,0.000463587433397787,0.000347101822601472,-9.60310518930128e-05,0.000343821449794808
"b_Age_GenZ_same",-0.0151727701496685,-0.00136603546981642,-0.000536301151070492,-0.00185804656210414,0.0547859377325816,0.00887560434132143,0.0102456325212397,-0.000476299542770658,0.00146465424406583,0.000328113690363262,0.000179134492317613,0.00766926610900519,-0.00140015344870723,0.00193168818529372,-0.00127122771325061,-0.00582463118904078,-0.00113713766692181,-0.000918955808170831,-0.0020468660074196,0.0330526525385503,0.00428900112366317,0.00490117014901947,-0.000831880287229233,-0.000401231117146925,0.000129835094045259,-0.000355195155684061,0.0042973295737726,-6.80908217892945e-06,0.000693139184394758,-0.00191368920727174
"b_Age_Millenials_same",-0.0109822578815294,-0.000246841131443683,0.000124369319865658,-0.000243561504181637,0.00887560434132142,0.015733890158768,0.00886625693542282,0.00059063035674311,0.00209795328596146,9.04955721246906e-05,-8.38149697706831e-05,-0.000219559051052624,-0.000246696078891024,0.00167214944315415,0.000998508752600163,-0.00562951371054521,2.30284109563328e-05,-0.000241853972371602,-0.000225658586465006,0.00425065685823291,0.00784679729884009,0.00424318591552654,0.000477733230319596,0.00138960570121297,6.9962063829475e-05,-1.54629509233705e-05,-0.000113024303899896,-6.30168558799659e-05,0.000594130985436506,0.000649033048405215
"b_Age_Older_same",-0.0112257286322342,-0.000147148206182374,0.000463353740023915,-0.00110601751333424,0.0102456325212397,0.00886625693542283,0.0272255033632265,0.000664515501211863,0.000586076191844319,-0.000570648795357929,0.000577703275934992,0.00078540050867398,2.59553442618293e-05,0.00579267214027212,-0.0018346741797343,-0.00556289853257166,0.000374052669248282,1.7385450862737e-05,-0.000627495756028364,0.00517689113052,0.00431896309691652,0.012629626009062,5.45128615844896e-05,0.000263674950817959,-0.000257574930793267,0.000361337838714015,0.00048534627610597,0.000192844787680919,0.00278141562757975,-0.00113225730639186
"b_Inc_Mid_same",-0.0194767281424153,0.0019464095107105,0.00154880741736395,0.000137282775911794,-0.000476299542770649,0.000590630356743151,0.000664515501211877,0.0325644289361806,0.0237719388445719,0.000274110203827602,-0.000352853244925906,-0.00541713798243938,0.00126415962301229,-0.00150171083720924,-0.000560357218767094,-0.00858678438649669,0.00161401770300648,0.000814342691253402,0.000109034261826136,-0.00169014199698714,0.000401340964256666,-0.000164207496925989,0.0175147703159995,0.0125490386193715,-5.73037382526008e-05,-9.53358766730708e-05,-0.0044474800614855,0.00102175930858027,-0.000979845459387641,-0.000515711885423326
"b_Inc_High_same",-0.0191436969689754,0.0028703368020352,0.00136368575759994,0.000874836849314793,0.00146465424406586,0.0020979532859615,0.000586076191844325,0.0237719388445718,0.0306198721500014,0.000339865168204657,-0.000604517400844807,-0.00870555867187487,0.00138452205281508,-0.00166216748711973,-0.000633308984859703,-0.00817830231136527,0.00142842318772467,0.000406037137498562,-2.57869823972037e-05,-0.000859053869478145,0.00133842444583719,0.000133972242964741,0.01251748324459,0.0153930075497704,-0.000203359850931876,-9.53983757675089e-05,-0.00550806659928078,0.000722518673282985,-0.000933114211288589,-0.000409358116368038
"b_Hel_same",-0.00509428189958707,0.000204708678699556,-0.000279124210590269,-2.74030742488471e-05,0.000328113690363257,9.04955721246893e-05,-0.000570648795357933,0.000274110203827595,0.000339865168204651,0.003805496926908,-0.000509536269934749,-0.000105935090711962,-0.000477503612979745,-0.000294790268994821,0.00070201129480564,-0.00221285364882322,-1.16845427039756e-05,-7.54580985750406e-05,-7.01174115145753e-05,9.84829962632513e-05,8.36504378986894e-05,-0.000209726938376952,-4.75238262908421e-05,-0.000251880707358371,0.00183317177513319,-0.000263807857208679,3.20531539348629e-05,-0.000291445810857117,-1.92727502414288e-05,0.000215045406353368
"b_Vdc_same",-0.000213295521368953,-6.23003315051846e-05,5.69682331925212e-05,-1.65307632682909e-05,0.000179134492317615,-8.38149697706833e-05,0.000577703275934992,-0.000352853244925907,-0.000604517400844808,-0.000509536269934748,0.00244252876631617,-0.000354972034029173,0.000117318132738327,-0.000347848217237164,0.000160773544331082,-0.000186615993025155,0.000125332989488665,4.16265194846008e-05,-3.81134628350629e-05,-0.000161094559645922,-2.52866651603248e-05,0.00027349104871925,-0.000112068918402844,-0.000129542077640656,-0.000267208422219126,0.00134739526044411,-0.000331745492985319,0.00012333661968591,-0.000253256256955331,8.96230153803966e-05
