"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",1,-0.214922707426631,-0.20335908434486,-0.216402883936528,-0.333649975141603,-0.371340558242087,-0.257390328441407,-0.447095695042585,-0.445316039895087,-0.346947603178046,-0.0270014292343817,-0.315836813739583,-0.192619085238287,-0.25110390181857,-0.288683519461604,0.49649751953974,-0.10223284300401,-0.0946554360344364,-0.102347625298689,-0.168938753652916,-0.164363195103114,-0.103277094260912,-0.210803230730272,-0.200796463980758,-0.17268599911877,-0.00894026561296817,-0.175085876052969,-0.0724697656558751,-0.118934358144485,-0.139204021297514,0.000558211468732051,0.00749879529099207,-0.000995477080310916,0.000445197267099461,0.000188516224825162,-0.00169220033619972,-0.000320483226566783,-0.00102565091190499,-0.00519019233558645,0.00132117194153958,0.00332801738687703,-0.00255502162053381,-0.0035968058215025,0.0045296270787294,-0.00346129572537636,6.81234765053798e-05,-0.00164164350068876,-0.00325393821130733,0.00146617697561153,0.0033045042485035,-0.000696954631602531,-0.00589407435717268,0.00233962508584559,-0.000621437037454568,0.000921917106181642,0.00234397894533455,1.28918529026955e-05,0.0010981886539213,0.0039743751824337,-0.000462552712228402,-0.00224455838911665,0.00210956550090938,0.00320087491609903,-0.00318006596616305,0.00309878532819195,-0.00022655462866323,0.0018829814438046,0.00219812607440199,-0.00245968376689352,-0.00318906579149668,0.0717057556069953,0.0310913678589573,0.041846386751203,0.0317966850938875,0.0205664628461847,-0.0145060923755974,0.073707299094046,0.0174705032056895,0.0639037987305732,0.0482603194383907
"b_City_Midwest_same",-0.214922707426631,1,0.324992728904422,0.314972192336749,-0.0145588505891402,-0.00719916884195746,0.0224382352272064,0.0437581961514096,0.0672465071252952,0.0318016735460191,-0.0171046398868728,-0.0341256985140562,0.0212835825964936,0.0218949881384682,-0.0397050176141514,-0.109815631385432,0.45811168918561,0.152614802933495,0.146717132702276,-0.00565140162093627,-0.00538849193561341,0.00644656095365215,0.0236608895438207,0.0346259070405009,0.0157909716502138,-0.0070702831943814,-0.0152643216963578,0.00966758697548003,0.00843776159497547,-0.0179590551752858,0.0017981464057885,0.00337276438692586,0.00060689963039678,-4.48297541738232e-05,-0.00262162508350929,-0.00144615854694484,-0.00204177420919438,-2.56945674950765e-05,-0.00175350974368335,0.00151882522259605,-0.000678256536287485,-0.00225655968267037,-0.00027392246116573,0.00170580740255216,3.93312965777692e-05,0.000494803948023602,0.00383647506938706,-0.000272679914437029,0.000685534442738337,-0.000417127406781556,-0.00137632134387488,-0.00241893527368911,-0.000897397922373628,-0.00020691424869166,0.00273496894355771,0.00221058309867769,0.00208950303036423,0.000355603058818384,0.00154497020296946,-0.00126516723770423,0.000316420085891523,0.00192483261573568,-1.36224318782242e-05,-0.000976519063994656,0.000126068722262731,-0.000280261546807823,-0.00288581577500832,0.000281917849965239,-0.00101904922870309,0.000491139652160583,0.0271698997249043,0.0138308809286757,-0.0158694305731655,-0.00718967932973307,0.0197145709055292,0.00798877569217193,-0.00392051939674618,-0.00204667510044687,0.00182222166135379,-0.00386460545582133
"b_City_South_same",-0.20335908434486,0.324992728904422,1,0.354046257073366,0.00373978743726092,0.00995265105950354,0.0178949919668181,0.0570581436893202,0.0441306578090064,-0.0270646418840451,0.0134714219706287,-0.0414462076363563,0.00840287600727248,-0.00520764461870033,-0.0385048340146517,-0.100685149584927,0.150676229363372,0.447081055529916,0.163742982374129,0.00257362235956238,0.00194816486377318,0.00567910359908474,0.0279924382027983,0.0178299086338736,-0.013710159748618,0.00663108830712219,-0.0180032611180095,0.00639969907427713,-0.0031437249043656,-0.0189948910082626,0.000707696511517312,0.00046493384699308,-0.000612336719157894,-0.00120158021925431,0.000233573671988784,-0.00101240047251323,-0.000618725914885949,0.00488625401675262,0.00266774737885649,-0.00161579362457487,0.000266973263642159,-0.00216102373449006,-0.000160295560261298,-0.00153092270825793,0.00405366666575352,0.000690150078165495,0.00282648893138166,0.000350670558886949,0.000802021979457313,-0.00103298079220851,-9.00218614171058e-05,7.81120806671889e-05,0.000403289909335803,0.00112917832557069,-0.000538211885919048,0.00146438639882424,0.000800497337635405,-0.00337665198585838,-0.00155993065071323,0.00110912027006284,-0.0001648218697971,0.00191501483101668,0.000169207527006714,0.00157707219713534,-0.0032985113980029,-0.000134432665531229,-0.00190938182812989,0.000118386158077487,-0.00129275304823253,0.00146566906552632,0.0429685235489699,0.0197107918366443,0.00536068476803219,0.0032178138982698,-0.00797059211903855,-0.00692803234249657,-0.0372448268978328,-0.0172935237076776,0.0351372184967803,0.0161089817513569
"b_City_Northeast_same",-0.216402883936528,0.314972192336749,0.354046257073366,1,-0.00984557441900587,-0.00247701554564042,-0.0407314268806626,0.0305510498844069,0.0582884260038214,-0.0342297338333443,-0.007334479955057,-0.0381287819400427,0.0343077645687805,-0.037625154571214,0.0605860859411339,-0.108951989507334,0.146653875966763,0.165936316603819,0.43715343567045,-0.00210789112732325,0.000321193356102157,-0.0138958570135938,0.0147280897505549,0.0297111284225341,-0.0182369408996898,-0.00318067004953185,-0.0155612269762102,0.016342967178402,-0.0167443172404363,0.0234037698202552,0.00218963061631878,0.00535525624996296,-0.00156044811781198,0.000153191824159099,-0.00100074272877183,0.000304822299926033,-0.00116786192419122,0.00119046120286431,0.000258926354169118,0.000570442973138533,0.000113559529011333,-0.00134449708651181,-0.00100800026294543,0.00342783736713684,0.000500847442059139,0.000611937712786059,7.02093063106628e-05,0.000157896403368302,-0.00159924485771217,-0.000470718668191978,-0.00117912641256149,-0.00424422272775506,0.00168567981081373,-6.88161238285343e-05,0.0010295815356835,-0.00151618259677126,0.00159555049242287,-0.000730944253677716,-2.08641113468778e-05,-0.000482834668711985,-3.76296224337681e-05,0.00113609096973179,0.00104277864035774,-0.00244954926796483,0.000452815698518893,2.42032684966531e-05,0.000210233064356623,0.000361597551983458,0.00137228534615695,0.00111835046947057,-0.00623396793339036,-0.00217949998917976,0.0286292516491775,0.0107499575102323,0.0423683395542694,0.0225177695970958,-0.0274027804335074,-0.0105615458687568,0.0560306617827129,0.0200831580619857
"b_Age_GenZ_same",-0.333649975141603,-0.0145588505891402,0.00373978743726092,-0.00984557441900587,1,0.315152343782321,0.24034228180729,0.0448428398190185,0.0982478737638561,0.0497130674502646,0.0391343250880334,0.224724873888093,-0.0767135068497726,0.0706788086362665,-0.0252879360836935,-0.171066104295722,-0.00451945592118587,0.00283681766062264,-0.00120867030157046,0.577220742633955,0.138376660751538,0.093281988014308,0.0286002853752034,0.0536298810041492,0.0279798385102355,0.016804888897372,0.105069420324033,-0.0323976288066637,0.0335245841375864,-0.0134972008398471,-0.00375420453831606,0.00627158679175569,-0.000106461539809547,0.00115213825966445,-0.000904157484530289,0.000605112367495212,0.00238166878354489,-0.00844659763540484,-0.0100982030359035,-0.00018298169757145,-0.00181824657295574,-0.00347233371682115,0.0022945605063177,0.00551026957372856,0.000951210387221629,-0.000925437552679261,0.0071855395376785,0.000110289132696872,0.000660859040886547,-0.00137173692978365,0.00254689906009322,-0.00512674290287994,-0.000170813507704202,-0.000434053164999631,0.000735086916844966,-0.000196211988493855,-0.00179662269874139,0.00661195115714534,0.00729082446603917,6.22174289683708e-06,0.001478630975736,0.00255793563961191,-0.00148701281332353,-0.00415394027468275,-0.00178878222043959,0.000261564211902189,-0.00618547568461448,-0.000500613962102783,-0.000282041434241136,0.000597009429410715,-0.0339502062009945,-0.0132218373260707,0.0112246825960783,0.000496980097425681,0.0181339820797808,0.00238195273122614,-0.0642608317144742,-0.0301491938763089,-0.0446455837363244,-0.0140712802837326
"b_Age_Millenials_same",-0.371340558242087,-0.00719916884195746,0.00995265105950354,-0.00247701554564042,0.315152343782321,1,0.409402364525112,0.0205688432508562,0.092489419738872,0.0364556036162399,-0.0126073835095765,-0.00277103450475556,-0.0240983061682631,0.115002679293931,0.0661520920850971,-0.178852107690409,-0.0055190704259805,0.0015711761428135,-0.000399286214714037,0.152259271960323,0.437907073234854,0.154838517717745,0.0112735167822369,0.0456005990855391,0.0188602791779182,-0.00342356354409375,-0.00557161554400038,-0.0093604012566975,0.0556767202877781,0.0294749278515497,-0.00383459003067672,0.0065089990054156,-0.00079673478113314,0.00206145816445337,-0.00102225196004778,0.00045837402993189,0.00196439345031878,-0.0120212853556985,-0.0116728096168803,0.0011627622500938,-0.00140715530720858,-0.00311730275291842,0.00171190599486248,0.00927487748584095,0.00242314990801781,-0.000645658721029095,0.00558265518871704,0.000763377707579744,-0.000685545860256382,-0.00463206135747359,0.00255877859532038,-0.00581968426548813,0.000826841421516492,-0.00121312317619005,0.00106492532080765,-0.000780625998343528,-0.00115562173170673,0.00895054246403407,0.00804804721682659,-0.000933738807102994,0.00124503585097092,0.00190704238391279,-0.000859938308337387,-0.00747542560842978,-0.00334068502866344,1.58954358936668e-05,-0.00538683627192561,-0.00101890733202397,0.000959696305027348,0.00342370245893894,0.00856644476014649,0.00295245347398831,0.0114112417264197,-0.00011377985301895,0.0140805352316272,0.00376633072209564,-0.0771542131395793,-0.0367102202546991,-0.0467578629770392,-0.0179246606372296
"b_Age_Older_same",-0.257390328441407,0.0224382352272064,0.0178949919668181,-0.0407314268806626,0.24034228180729,0.409402364525112,1,0.015380540366048,0.00425578937549109,-0.0488427434383461,0.0383732921458715,0.0236961409932497,0.00794825008171828,0.284215561147586,-0.0888274511309274,-0.126735946668613,0.00833728209771075,0.0076298876081006,-0.016369148572147,0.120458270550576,0.179590875594869,0.363267465876749,0.00845516715454334,0.00192167087865723,-0.0239315688769675,0.0149993718227733,0.012614381588732,0.00414295760457223,0.130906137522696,-0.0416172583003307,0.000225239499646846,-0.00607776323349938,0.000238201722875357,-0.00116744635800308,-0.000704108684828695,-0.000363425375468899,-0.0024206133050847,0.00813753802879922,0.0119593342739062,-0.000610942856362669,-1.6947446521449e-05,0.00339436627901519,0.000212761110238668,-0.00613167148933966,-0.000471336579305846,-0.00155924858847927,-0.00245726981152741,-0.00422502556868043,-0.000760689333914497,0.00122194326209144,-0.000384018063259748,0.00509202286442945,-0.000602884275563383,0.000586091770521506,0.000474945105025383,-9.53976150279577e-05,0.00210151221121059,-0.00626487386760308,-0.00852622815889824,0.000318010544444704,-0.000229817256888093,-0.00240039614974972,-0.00075262808982379,0.0047408654018784,0.000171141786272833,0.000992999033238457,0.00218852265828758,0.00293601025070643,0.000509385766835917,-0.0013025765421849,0.0386815547689041,0.0130764442738765,-0.0525606882327493,-0.024734587557174,-0.0165714196629894,-0.0096857659880924,0.0422235056193957,0.0187217650220056,0.0742463762147022,0.0347728530600613
"b_Inc_Mid_same",-0.447095695042585,0.0437581961514096,0.0570581436893202,0.0305510498844069,0.0448428398190185,0.0205688432508562,0.015380540366048,1,0.753817689723942,0.00598302211062234,-0.027995335101915,-0.189644933541673,0.0217007939035252,-0.0750716448839299,-0.0110621541455567,-0.209674543520222,0.0226524100438825,0.0237148010888102,0.0149624763582557,0.0200144335115421,0.00822003516764543,0.00720299937099055,0.516073953306574,0.367180302238785,0.00579087812751821,-0.0128510869002813,-0.0942938851065784,0.00570502886902527,-0.0384717383475663,-0.00373148092766502,-0.00151802878328619,-0.00914491396729081,0.000953480726523168,-0.000834893996177303,-0.00221898224238046,2.83880559256331e-05,-0.000906385996052837,0.0084442602630668,0.00920903160466831,-0.00141561296419061,-0.00104967666740247,0.005859157406963,0.00163399309377721,-0.00628547615247108,0.00249491310255163,-0.000987978243784038,-0.00448094566342822,0.000417763308061193,-0.000997900085007554,-0.000849533743949851,0.0011071644100363,0.00763892825473817,-0.00227263432504611,0.000892576226387317,0.0013638242367383,-0.00105988338675592,0.00135233949736027,-0.00651070959223898,-0.00656902066358266,0.000544142092058654,0.000733362343023088,-0.00416608194101807,-0.00142814278585988,0.00485032785685343,-0.00271302605961199,0.00061298541721051,0.00395319876053435,-0.000416444270339496,0.000490365964927377,0.000588635863371749,-0.0334073192983855,-0.0161123605194978,-0.0421118674045437,-0.0236760669298067,-0.0211734894271605,-0.00689995211836304,-0.0351951775250224,-0.0131535478015756,0.0316940813423657,0.0117286658868034
"b_Inc_High_same",-0.445316039895087,0.0672465071252952,0.0441306578090064,0.0582884260038214,0.0982478737638561,0.092489419738872,0.00425578937549109,0.753817689723942,1,0.018271323822673,-0.0636559013755008,-0.32012633466118,0.0288141209597966,-0.0796039089362265,-0.0389505456679242,-0.206525325075121,0.0337893603856188,0.0162230076144273,0.0297613416918462,0.046962842273508,0.0408738992208632,0.00356824676881473,0.379985646396843,0.47972750650859,0.0116200933633427,-0.0274248705042697,-0.153379647638962,0.00660288774313903,-0.0400295834041588,-0.0124999234451159,0.000547259999000253,-0.0137865147289796,-0.00187512936479953,-0.00102809804539491,-0.0011231183014425,0.00177258531011368,-0.000606021178575784,0.0159520685697743,0.0173132313615651,-0.00171185740072629,-0.000296241108672662,0.00797309761127636,0.00132121900128493,-0.0120629373051589,0.0035321407227753,-0.000631275017708152,-0.00803868829947351,0.000329072355782127,-0.00156445515224389,-0.00175936122066844,-0.000274818860815228,0.0114633374550768,0.000553208018051352,0.00140822871309313,-0.000235906937008572,-0.002830362650823,0.00160239546991172,-0.0123490667636818,-0.0123930666337327,0.000588079482789963,0.000411154813833663,-0.00570995454969794,-0.000757438345380964,0.00925848516019451,-0.0032578674685336,0.000594989655474412,0.0070219663685371,-0.000106096284176488,0.00223666496068571,0.00175559304990203,-0.0570087124834669,-0.0257458367415679,-0.023226610594833,-0.0155145500788635,-0.0521827234950072,-0.0147880513976017,-0.0331223635216985,-0.00975134588193556,0.069392953246923,0.0261374316784489
"b_Hel_same",-0.346947603178046,0.0318016735460191,-0.0270646418840451,-0.0342297338333443,0.0497130674502646,0.0364556036162399,-0.0488427434383461,0.00598302211062234,0.018271323822673,1,-0.0952337712824587,0.00733821273876607,-0.112608948494626,-0.00418062327738,0.0496150585012099,-0.174242482689855,0.0153099771335317,-0.0112789439077914,-0.01497691055814,0.0249116508431199,0.0181198146713919,-0.0172730971999972,-0.00256468047816543,0.00577968079167865,0.485802570291281,-0.0408628676038898,0.0118828389668401,-0.0553438084796675,-0.000810917083899802,0.0290505965782712,-0.00163136213497415,0.00173721481877762,-0.00116160276545862,-2.4606018583977e-05,0.00161248689090753,-0.000551556038677003,0.00229093018932125,-0.00577415621373468,-0.00222590403845877,-0.00213944341007415,-0.00216183829291579,-0.00491945441557302,0.00338527715540683,0.00294682413374473,0.00245180190444372,0.0038946252950379,0.00108938203958065,0.00847456242286991,-0.000759148125353809,-0.00639277734313027,0.00162392722314674,-0.00161768574675348,-7.10704136571104e-06,0.000691032366814875,-0.00305305299168852,0.000881486433986091,-0.00162069623439914,0.00431571103522515,0.00146458003898965,0.00103444715487607,0.00171623957360812,0.00337140808630541,-0.00249039493315379,-0.00241317989608433,-0.00203001124652053,-0.0026438868905172,-0.00116517468073846,-0.0059806147409501,0.00121669201961991,0.00596902126328533,-0.100494400199387,-0.0427034257244715,-0.048660715123999,-0.0236427482419205,-0.0389652612597592,-0.00224490601499407,-0.128790319109264,-0.0512213986052261,-0.0668917175221071,-0.0412155323835607
