"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",0.0614424150180418,-0.00851712179751445,-0.00723422637588444,-0.00781669319014861,-0.0197562334444433,-0.0117776353310527,-0.0106731135221102,-0.0203323014378206,-0.0198746025007706,-0.00548141373284091,-0.000338367021404418,-0.0117600558335437,-0.00542380257672852,-0.00732227231598862,-0.00847786446713498,0.033538814699986,-0.00488726653791914,-0.00401312429035908,-0.0044576362102022,-0.0108068124269663,-0.00626582355095703,-0.00597301831616591,-0.0102454895859266,-0.00987629884635957,-0.00306108438698541,-0.000140786971122685,-0.00748466683533717,-0.00250584748567795,-0.00420883056488593,-0.00479565672356378,4.02651646621834e-06,6.35923311045234e-05,-7.3486968992825e-06,3.17859323405311e-06,1.40716998704736e-06,-8.95633051459575e-06,-2.19968296913392e-06,-8.60235435086075e-06,-4.29753190352328e-05,9.83618344808539e-06,2.42807075459395e-05,-2.00493121013835e-05,-2.5161294318844e-05,3.78491765715621e-05,-2.45519248317319e-05,5.08837198106843e-07,-1.28226634220559e-05,-2.40925895423739e-05,7.81296893491631e-06,2.44264451036199e-05,-2.90802882311655e-06,-2.72991399098336e-05,1.09291730852333e-05,-2.59099999907362e-06,4.24502111917196e-06,1.04093198798053e-05,5.8601398088154e-08,4.8590019231236e-06,1.72097599920014e-05,-1.94282084784247e-06,-9.12199805985995e-06,8.94820667067074e-06,1.36463711561705e-05,-1.40975392689893e-05,1.38734908655371e-05,-9.41276545240433e-07,8.3578199926922e-06,9.10758534436614e-06,-1.1130724338359e-05,-1.37748340193686e-05,0.00120515134356262,0.000641172146459254,0.000803892302249376,0.000763307021611132,0.000414916314722791,-0.000347073062325454,0.00149800433959331,0.00042904578643919,0.0012898769679277,0.00116485880147025
"b_City_Midwest_same",-0.00851712179751445,0.0255595281744843,0.00745666168271317,0.00733794602008965,-0.000556009765047607,-0.00014726866636781,0.00060010863894233,0.00128347596363899,0.00193571814918366,0.000324056654831745,-0.000138247564251912,-0.000819540576909152,0.000386537441515162,0.000411793423951395,-0.000752059408162973,-0.00478450560146642,0.0141250254015587,0.00417326523791516,0.00412144928960228,-0.000233166834680426,-0.000132490000113229,0.00024046961441957,0.000741700888693476,0.00109845330125422,0.000180538282237844,-7.18110258567742e-05,-0.00042086338860897,0.000215604660030999,0.000192585523081388,-0.000399045180026826,8.36561841889606e-06,1.84476703008163e-05,2.88960327088787e-06,-2.06438692543806e-07,-1.2621491837762e-05,-4.93669755472516e-06,-9.0386751721307e-06,-1.38995694234967e-07,-9.36453287054196e-06,7.2931871204942e-06,-3.19162616469342e-06,-1.142073353784e-05,-1.23590733005611e-06,9.19319050047803e-06,1.79939861014473e-07,2.38373231106008e-06,1.93274273303097e-05,-1.30217575921835e-06,2.35614090658041e-06,-1.98868022444745e-06,-3.70387499301092e-06,-7.22603197560968e-06,-2.70376145180823e-06,-5.56420286182237e-07,8.12236793150012e-06,6.33166270019379e-06,6.12601306505132e-06,1.01479398434209e-06,4.31487617106551e-06,-3.42737589419926e-06,8.29402594742687e-07,5.26596827297259e-06,-3.74580701246142e-08,-2.7920949798707e-06,3.64035628242768e-07,-7.51017556628302e-07,-8.26147995943213e-06,7.53382458094358e-07,-2.97427824435898e-06,1.36826485334691e-06,0.000294522098225187,0.000183961498461923,-0.00019662716915327,-0.000111318977838207,0.000256525482406675,0.000123280098800746,-5.13911644793231e-05,-3.24182383168254e-05,2.37227534449127e-05,-6.01631453803415e-05
"b_City_South_same",-0.00723422637588444,0.00745666168271317,0.0205962785401857,0.00740423627118337,0.000128209501130729,0.000182761508786223,0.00042962609490527,0.00150232512135644,0.00114033053475933,-0.000247566123519632,9.77405897252481e-05,-0.000893494064551455,0.000136991225783324,-8.79212783632349e-05,-0.000654696430584057,-0.00393782385965675,0.00417042744206401,0.0109744700383614,0.00412904663426165,9.53176635425606e-05,4.29991164314631e-05,0.000190164684337854,0.000787691975801834,0.000507747179209152,-0.000140708693077102,6.04584619921866e-05,-0.000445587275032077,0.000128120188965737,-6.44108283793122e-05,-0.000378872734626505,2.95554801219976e-06,2.28278310962903e-06,-2.61715601149038e-06,-4.96701503602339e-06,1.00944336399292e-06,-3.10235086639925e-06,-2.45874411809908e-06,2.372761230664e-05,1.27891181285289e-05,-6.96487630508882e-06,1.1277264370031e-06,-9.81803719864785e-06,-6.49228712753959e-07,-7.40640560101229e-06,1.66477334211286e-05,2.98459791049531e-06,1.27822385906385e-05,1.50325869623787e-06,2.474435923995e-06,-4.42085670001623e-06,-2.17471538304097e-07,2.09465160886483e-07,1.09073344457539e-06,2.72579413142536e-06,-1.43483349339478e-06,3.76516986730635e-06,2.10674885810415e-06,-8.6500110147728e-06,-3.91085291283471e-06,2.69718294742579e-06,-3.8782352034714e-07,4.70300426803589e-06,4.1766529862602e-07,4.0477995616731e-06,-8.55012551456877e-06,-3.23377163237038e-07,-4.9068185402641e-06,2.8399573505521e-07,-3.38703716674261e-06,3.6653804299395e-06,0.000418117402038409,0.0002353418317657,5.96239047669397e-05,4.47237874016634e-05,-9.31004395678997e-05,-9.59711314503014e-05,-0.000438256911472733,-0.000245890618943682,0.000410628635060576,0.000225118622333031
"b_City_Northeast_same",-0.00781669319014861,0.00733794602008965,0.00740423627118337,0.0212349755904328,-0.000342725055896924,-4.61855578686104e-05,-0.000992933751366648,0.000816777818938207,0.00152934048474487,-0.000317924471757334,-5.40334062151341e-05,-0.000834624847345646,0.000567922039127435,-0.000645004065848966,0.0010459938207282,-0.00432670749883784,0.00412155288213817,0.00413590200269344,0.011193154344978,-7.92698885829423e-05,7.19833216734463e-06,-0.000472462035908181,0.000420817333413117,0.00085911055139302,-0.000190047389988286,-2.94457355649704e-05,-0.000391072197317377,0.000332215912681099,-0.000348347980787229,0.000473995119084246,9.28524410550718e-06,2.66984007882466e-05,-6.77204987129368e-06,6.4299825878759e-07,-4.39149120329257e-06,9.48455184450299e-07,-4.71235534225169e-06,5.86981952223496e-06,1.26038625388605e-06,2.49672814611243e-06,4.87069660669554e-07,-6.20235338172744e-06,-4.14541844137527e-06,1.68385984484426e-05,2.0885459959381e-06,2.68708257597048e-06,3.22393158847176e-07,6.87287051295319e-07,-5.00998481537388e-06,-2.04553595998189e-06,-2.89231979734502e-06,-1.15564186076074e-05,4.62922046407201e-06,-1.6867558704977e-07,2.78702247892573e-06,-3.95832910820531e-06,4.26378141724391e-06,-1.90128017206195e-06,-5.31126031475228e-08,-1.19223457846373e-06,-8.99043433044565e-08,2.83300827957156e-06,2.61355923189602e-06,-6.3838857684627e-06,1.19181125024123e-06,5.91166833261641e-08,5.48579706751814e-07,8.80780878366151e-07,3.65073510851618e-06,2.83983144816886e-06,-6.15947761172767e-05,-2.64230796550963e-05,0.000323326756649437,0.000151710592225663,0.000502497719184014,0.000316728821167305,-0.000327407745528526,-0.000152481607176281,0.000664873630849443,0.000284975053541881
"b_Age_GenZ_same",-0.0197562334444433,-0.000556009765047607,0.000128209501130729,-0.000342725055896924,0.0570634240147619,0.00963276651040164,0.00960448006918836,0.00196527773693091,0.0042256940344896,0.000756909625541249,0.000472611079782093,0.00806385211000895,-0.00208171450522688,0.00198621570046646,-0.00071568619172171,-0.0111362601340009,-0.000208212364706896,0.000115907955920793,-5.07317073119211e-05,0.0355840218176232,0.00508371513346087,0.00519915068014625,0.00133958598499665,0.00254208325796387,0.000477978270093645,0.000255030700857977,0.00432855032401456,-0.00107958235582718,0.00114330547637982,-0.000448110161671629,-2.60971709078521e-05,5.12549080761849e-05,-7.57384805167416e-07,7.92741946266279e-06,-6.50409215714698e-06,3.08644924172225e-06,1.57536403815247e-05,-6.8272269384402e-05,-8.05794930530268e-05,-1.31286389628332e-06,-1.27841925777088e-05,-2.62585735000809e-05,1.5468930014633e-05,4.43722660438565e-05,6.50231790584106e-06,-6.6615293083285e-06,5.40883271157293e-05,7.86958220393969e-07,3.3937770854159e-06,-9.7716872328638e-06,1.02411966692983e-05,-2.28833534017104e-05,-7.68967563318953e-07,-1.74404618527935e-06,3.26190606290728e-06,-8.39728633811287e-07,-7.87035447470679e-06,2.81932102585209e-05,3.04247745423346e-05,2.51842115535148e-08,5.79113438497677e-06,1.04562842176599e-05,-6.10953225148575e-06,-1.77464793055194e-05,-7.71785306411173e-06,1.04729105583857e-06,-2.64584776241494e-05,-1.99893367543878e-06,-1.2299907395945e-06,2.48512856356049e-06,-0.000549888660507447,-0.00026276735104815,0.000207806319050309,1.14974408379834e-05,0.000352564729719633,5.49222578530797e-05,-0.00125861728370555,-0.000713540628367704,-0.000868450147649252,-0.000327311663997063
"b_Age_Millenials_same",-0.0117776353310527,-0.00014726866636781,0.000182761508786223,-4.61855578686104e-05,0.00963276651040164,0.0163720535705738,0.00876328005612607,0.000482851249824131,0.00213078488595703,0.000297310621789494,-8.15537019023975e-05,-5.32605942024919e-05,-0.000350274494181565,0.001731082689243,0.00100282580606656,-0.00623651726817471,-0.000136194309528882,3.4385818449503e-05,-8.97694591082972e-06,0.00502770185932835,0.00861733518011573,0.00462259963868591,0.000282834451676771,0.0011577802855485,0.000172577324372652,-2.78296584808971e-05,-0.000122947567569774,-0.000167074312959988,0.00101705676753559,0.000524163164450522,-1.42779909722756e-05,2.8493440498269e-05,-3.03605955233241e-06,7.59756510431017e-06,-3.93888427405862e-06,1.25232133247314e-06,6.95986322852663e-06,-5.20458497718527e-05,-4.98917226531156e-05,4.46864280742978e-06,-5.29950399964845e-06,-1.26270331255829e-05,6.18177705043204e-06,4.00054913427042e-05,8.87247046038987e-06,-2.48944485735775e-06,2.25090743396004e-05,2.91763589257528e-06,-1.8857479954898e-06,-1.76744413410363e-05,5.51117684515642e-06,-1.39139429150469e-05,1.99379590357208e-06,-2.61091431219528e-06,2.53118900316025e-06,-1.78948927244839e-06,-2.71160094041488e-06,2.04426369382308e-05,1.79892851900556e-05,-2.02448410796381e-06,2.61191094353329e-06,4.17561815048427e-06,-1.89248833832061e-06,-1.71064758186402e-05,-7.72053208349545e-06,3.40905634390112e-08,-1.23423593998411e-05,-2.17922854439626e-06,2.2417925148646e-06,7.63372217585599e-06,7.43199880548807e-05,3.14293443162561e-05,0.000113159299534574,-1.4099386631791e-06,0.000146634954879822,4.65164283999426e-05,-0.000809430677846451,-0.000465374579681363,-0.000487184773538288,-0.000223332267362185
"b_Age_Older_same",-0.0106731135221102,0.00060010863894233,0.00042962609490527,-0.000992933751366648,0.00960448006918836,0.00876328005612607,0.0279852719681834,0.000472050294139163,0.00012818607984724,-0.000520786081602884,0.000324534568084188,0.000595463144354593,0.000151045123083846,0.00559333581883776,-0.00176052544201746,-0.00577778087924067,0.000268986640078135,0.000218316126830761,-0.000481153411997998,0.00520038597618962,0.00462049474605604,0.0141790445687218,0.000277337297137279,6.37892943796472e-05,-0.000286299093076359,0.000159410066212337,0.00036393007875065,9.66805014321101e-05,0.00312640146548564,-0.000967610116518056,1.09649310611551e-06,-3.47846511324964e-05,1.18673730672243e-06,-5.6253561923488e-06,-3.54705692159944e-06,-1.29814800399497e-06,-1.12127162305587e-05,4.60618541692992e-05,6.68302813662008e-05,-3.06971810994971e-06,-8.34469851723408e-08,1.79760483885372e-05,1.004474371438e-06,-3.45782885069785e-05,-2.25636114548776e-06,-7.8600993658234e-06,-1.29533727633365e-05,-2.11122319469186e-05,-2.73569487167139e-06,6.09586892681885e-06,-1.08137538186404e-06,1.59167474773953e-05,-1.90066518005138e-06,1.64917419199255e-06,1.47591730568104e-06,-2.8591490285835e-07,6.44696304714169e-06,-1.87073847071005e-05,-2.49168724272186e-05,9.01454208962441e-07,-6.30336319903538e-07,-6.87157894447292e-06,-2.16550667310324e-06,1.41838926828751e-05,5.1710763402025e-07,2.78434951326163e-06,6.55584455588272e-06,8.20991850876811e-06,1.5556847171883e-06,-3.79714144873333e-06,0.000438755043467094,0.000181993179777411,-0.000681446202922519,-0.000400730789376299,-0.000225627093781916,-0.000156399394829081,0.000579145237329369,0.000310295619261623,0.00101141060147005,0.000566440171777159
"b_Inc_Mid_same",-0.0203323014378206,0.00128347596363899,0.00150232512135644,0.000816777818938207,0.00196527773693091,0.000482851249824131,0.000472050294139163,0.0336592027917005,0.0249008522775438,6.99627825430268e-05,-0.000259659801054504,-0.00522643619475484,0.000452270179607785,-0.00162026526211294,-0.000240448436786688,-0.010483205691896,0.000801507840554799,0.000744173687922162,0.000482334251821241,0.00094760949589296,0.00023193432968576,0.000308333694718862,0.0185645817048001,0.0133670419553932,7.59766907972077e-05,-0.000149785467178551,-0.00298347679192581,0.000146006906117633,-0.00100765924546844,-9.51470455652844e-05,-8.10454251382523e-06,-5.7399835187867e-05,5.20965258422338e-06,-4.41196010809464e-06,-1.22594060673998e-05,1.11206906812405e-07,-4.60453468704591e-06,5.24200151498561e-05,5.64374515635338e-05,-7.80062828537056e-06,-5.66825094650994e-06,3.402967775567e-05,8.46026518395816e-06,-3.88731688188513e-05,1.30984539515551e-05,-5.46194351780069e-06,-2.59051936324087e-05,2.28940299896608e-06,-3.93581372636918e-06,-4.64785274489648e-06,3.41919672754913e-06,2.61868680015098e-05,-7.85757202403053e-06,2.7544403306263e-06,4.64797902992824e-06,-3.48373015056856e-06,4.54984018795449e-06,-2.13214244990073e-05,-2.1053502367308e-05,1.69161535785179e-06,2.20594890038767e-06,-1.30794226347338e-05,-4.50648448809511e-06,1.59146119575725e-05,-8.99013060276003e-06,1.88500373241849e-06,1.29871362753452e-05,-1.27710121161271e-06,1.64241251488805e-06,1.88186033330796e-06,-0.000415572666305644,-0.000245930143590949,-0.000598772959903284,-0.000420673102799794,-0.000316163053237607,-0.000122189621647813,-0.00052942385782097,-0.000239088621751737,0.000473497352426987,0.00020953157722955
"b_Inc_High_same",-0.0198746025007706,0.00193571814918366,0.00114033053475933,0.00152934048474487,0.0042256940344896,0.00213078488595703,0.00012818607984724,0.0249008522775438,0.0324184277720872,0.000209681706358855,-0.000579431075766988,-0.00865824501760444,0.000589347936957853,-0.00168612064115197,-0.000830882974134933,-0.0101336471196898,0.00117332248414494,0.00049960900511887,0.00094154524352875,0.00218214967872049,0.00113183075583148,0.000149901698195664,0.0134148086161633,0.0171393606881023,0.000149619992157666,-0.000313702850552199,-0.00476267482921084,0.000165841618407712,-0.00102895650110095,-0.000312799100821649,2.86738669218816e-06,-8.49238299319296e-05,-1.00547699901097e-05,-5.33186118424317e-06,-6.08954956001676e-06,6.8147090148062e-06,-3.02137356584909e-06,9.71844096883946e-05,0.000104129941800912,-9.25756347321761e-06,-1.56993948158256e-06,4.54458063467747e-05,6.71355624742346e-06,-7.32164880812216e-05,1.8198964303972e-05,-3.42501507930834e-06,-4.56085658218653e-05,1.76981314198263e-06,-6.05556479911104e-06,-9.44649725684129e-06,-8.32918616014512e-07,3.85661482818587e-05,1.87711697135087e-06,4.26486521070017e-06,-7.89024573607959e-07,-9.13003765305554e-06,5.2908345380602e-06,-3.96886286115499e-05,-3.89804251691692e-05,1.79419394476551e-06,1.21374172784604e-06,-1.75929017985682e-05,-2.34561969281199e-06,2.98132247758037e-05,-1.05947206483616e-05,1.79562460675419e-06,2.26395376697886e-05,-3.19310103850021e-07,7.35202410087653e-06,5.50818583411863e-06,-0.000695970194561022,-0.00038565917248837,-0.00032410637981687,-0.000270531868968901,-0.00076469717172442,-0.00025700599615684,-0.000488973957002415,-0.000173950076385619,0.00101741659945908,0.000458255661838161
"b_Hel_same",-0.00548141373284091,0.000324056654831745,-0.000247566123519632,-0.000317924471757334,0.000756909625541249,0.000297310621789494,-0.000520786081602884,6.99627825430268e-05,0.000209681706358855,0.00406246007987198,-0.000306868756095085,7.02582529592183e-05,-0.000815338358531629,-3.13468469861826e-05,0.00037466092434764,-0.0030265307577672,0.000188196066985306,-0.000122960579514191,-0.00016772951947626,0.000409761593846296,0.000177618317379708,-0.000256874188645204,-3.20515571987923e-05,7.30974841582199e-05,0.00221430987730409,-0.000165463154170607,0.000130617686121714,-0.000492070391884826,-7.37888894241642e-06,0.000257342654873301,-3.02580904437116e-06,3.78815017000281e-06,-2.20494175327866e-06,-4.51735505993335e-08,3.09495569674844e-06,-7.50634278736852e-07,4.04321706615214e-06,-1.24527910572359e-05,-4.73917241837413e-06,-4.09570337607623e-06,-4.05563975214988e-06,-9.92618241615371e-06,6.0893457017605e-06,6.33152928216407e-06,4.47190565200946e-06,7.48011275111836e-06,2.18796321641579e-06,1.61343649909978e-05,-1.04019950000816e-06,-1.21507740493515e-05,1.74229293254005e-06,-1.92658390294795e-06,-8.53670536143947e-09,7.40847949622645e-07,-3.61478722416364e-06,1.00657165310708e-06,-1.89432579614772e-06,4.91001581681182e-06,1.63072029659814e-06,1.11722397591779e-06,1.79348353653134e-06,3.67717865239184e-06,-2.73009094506901e-06,-2.75078911483465e-06,-2.33696990635287e-06,-2.82453905040057e-06,-1.32983704346167e-06,-6.37172308390607e-06,1.41574561846806e-06,6.62958641563112e-06,-0.000434300020223897,-0.00022644250418554,-0.000240369193906432,-0.000145940484543139,-0.000202133787390217,-1.38111247159967e-05,-0.000673048263137586,-0.000323452173790691,-0.000347179740542,-0.000255802286282493
