"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",1,-0.219178598689279,-0.220189448438605,-0.22425555577226,-0.263945232611163,-0.361202830069965,-0.265116093586071,-0.433448832233382,-0.437532711975832,-0.362902339863415,-0.0392053137679359,-0.320720440946077,-0.213928017936823,-0.260596859805657,-0.270874305068847,0.438667108741426,-0.0785969181808397,-0.0796869126882206,-0.0940261648325045,-0.0794555059900567,-0.156035647433625,-0.0885913301996251,-0.176174359648135,-0.158979918557412,-0.134922320109128,-0.0294067248921525,-0.145307043436712,-0.0874636121528127,-0.127322126648708,-0.116741914362069,0.0384384530126507,-0.0232570496151289,-0.00385188071261606,-0.0172148254202915,0.00269334053147789,-0.00549562595220523,-0.0036419395418283,0.0373981064939285,0.0274535307359064,0.0228941888608619,0.0328290686449871,0.0250517119287237,-0.0161469524471774,-0.0388846005014641,-0.0491669824912752,-0.00146216144097546,-0.0280852428032816,0.0268063114775024,0.024386239044169,-0.0385087716182809,-0.0232151207561594,0.0196145935577311,0.0370831135868355,-0.0232405850126688,-0.0278454354703962,0.0292851504192753,0.0067663539810572,-0.0421910054781645,-0.0241068580990636,-0.0199513706630841,-0.0478315856144348,0.0233143561638074,0.00577595555297863,0.0300929235593357,0.0215105762883357,-0.0125154670202652,0.0401010435956413,0.0330041756949272,-0.0502643726750257,-0.00340472982733326,0.0592918677789663,0.0199759822401328,0.0272782210514782,0.0316851828952562,0.0116226972522714,-0.00698041404243521,0.0972961168235871,-0.00380391180905691,0.073007540938509,0.0628308381394808
"b_City_Midwest_same",-0.219178598689278,1,0.330556307258931,0.323134504509338,-0.0216753814649921,-0.0135593595589916,0.00343178739320918,0.059927606197824,0.0904869018890534,0.0159389879150461,-0.0127492072620313,-0.0215695227051792,0.0140047896993496,-0.00068423075013098,-0.0495484399138386,-0.0950623413965632,0.47131767673259,0.152114532146844,0.140697911088733,-0.0211374124495338,-0.00892513874525375,0.0151131553890859,0.0363548541869998,0.0274765080070933,-0.00430493496535327,0.00914627474450598,-0.0167461583742428,-0.0212823036575247,0.0182911858711431,-0.0424202537941133,0.00783380443977676,-0.0138931617106073,0.0427133082066053,-0.0335951369859995,0.0445412595372171,-0.0231375586718984,-0.0281442208981417,0.0148484387021844,0.0168837608773112,-0.0185338513075779,-0.00187331053396086,0.00523547840285925,0.000724699530098563,0.00408333356506002,0.0307640613353739,-0.00697446033391524,0.0107853258905007,0.00921308309369003,-0.0260698186014265,0.0169447172299483,-0.0217235885601607,-0.0111315885814499,-0.0313786225447423,0.0292722545264366,-0.0115595836286884,0.0123663829856035,0.0436527711959433,-0.0302987874841692,-0.0259484229227627,0.0464655547343482,0.0153978072810846,-0.0348280813037818,-0.0141998165948276,-0.0163710615268356,-0.0201353789410606,0.0160638274191749,-0.0261018569569618,-0.0326084777179908,0.0323093514269965,0.00897020627871768,0.026096861015047,0.0163232428066863,0.00150767786573705,0.00998659839833773,0.0185446451306727,-0.0104291658376548,-0.0120855587502953,0.00531882136253135,-0.00501719808039022,-0.017148878465676
"b_City_South_same",-0.220189448438605,0.330556307258931,1,0.354600447342818,0.00131188342225429,0.0155978527771077,0.0195625672084033,0.0574522022704882,0.0468589928448586,-0.0208342595432627,0.00160210995658751,-0.0126266864131563,0.017471346125381,-0.0132553178324527,-0.0495218952335133,-0.0890246579518154,0.146926853752048,0.446575048816167,0.15859755466696,-0.0119038598675765,-0.0137840227301405,-0.00193462259116369,0.0201178094824719,-0.00632416765692878,-0.0166528026667185,0.000795801907209801,0.0035385815720441,-0.00013984036641596,-0.018270020255051,-0.0170004500279003,-0.0255815965544859,0.035197979078024,-0.0138633963925625,0.0175839744962501,-0.0035168622632827,-0.0327277747969227,0.0423401848973945,0.000391893712232369,-0.0196461329913286,-0.0422033092737068,-0.00303806958554761,0.0164189269103772,0.0156650079310296,0.0225118375574019,0.00294356806050513,-0.0172363770230152,0.0559381094766395,0.00328835184557547,-0.0242978186112134,-0.00576851016759892,0.00687109788003684,-0.0351054848535473,0.00395469081104335,0.00264212313240548,0.00848003571619791,0.0240758282834105,-0.00755891047545292,-0.00979103837176104,0.0134956091152703,0.0480828306003512,0.0569783759034884,0.00349344300509562,0.022678668182266,-0.0079684560625947,0.0443468107017391,0.0398795236630153,-0.0291080147579886,-0.00270839733209352,0.0335083279143245,0.0221878761194449,0.0313947941205351,0.0196806838262934,0.00384635759398584,0.0243642253320621,0.00394646880007484,-0.00532824928985746,-0.0548440009867595,0.0027192357332782,0.0241803657698958,0.015803048412273
"b_City_Northeast_same",-0.224255555772259,0.323134504509338,0.354600447342819,1,-0.0459541140448625,-0.0137981969172464,-0.0356153149910293,0.0114492134820149,0.0373835659749256,-0.0187050924080156,-0.0132647218678212,-0.011184066549591,0.0523035326867885,-0.0244024585168976,0.0515039831947747,-0.0996288160866869,0.139274067399625,0.162132696877219,0.4149915943318,-0.0467361454001414,-0.0220626873068202,-0.0194701258839289,0.0020239124960806,-0.0062773166993073,-0.0234170430504758,-0.00793637849795123,0.0212477610503954,0.0233779725447047,-0.00217842389050172,0.021050308632975,-0.0353084625404057,0.0403180377646818,-0.0223260564632353,-0.00426010681390675,0.00616184430908571,-0.0185603424847423,-0.00944503262190432,-0.0114671806913662,-0.0281632321634162,-0.0226132352572429,-0.00380780056637445,-0.0155184958925971,-0.0119357496178452,0.0314027800097303,-0.0150980529301084,-0.00782753116991062,0.0213920552173837,-0.00710898675570609,-0.0109717891644941,0.0182738073520423,-0.0374167166751584,-0.0323999316931839,0.0017879368065479,0.013612896273933,-0.0119884977389586,0.02009412169308,0.000684059738298396,0.00501222888724378,0.0342254275318609,0.0429579704401118,0.0248316133164619,0.00521255040749249,0.0110891404184668,-0.0266429528058465,0.0167500224816058,-0.00853713417163005,-0.0280879598057687,-0.0198084166197411,0.0451780378442083,-0.0328144777154741,-0.0223409277609788,0.00529559194054263,0.00983812260500156,-0.0153914336938888,0.0248341755816819,0.0258553575753963,-0.00524222945956564,-0.00152200541241322,0.0394184665067055,-0.00312078452040625
"b_Age_GenZ_same",-0.263945232611165,-0.0216753814649913,0.00131188342225464,-0.0459541140448618,1,0.303165144655136,0.24535243891117,-0.0179688942009489,0.0259751390038689,0.0192527024292763,0.0330712843520668,0.217424496600515,-0.0433114003758673,0.0660433324347941,-0.0538880614237193,-0.0889201781928881,-0.0243754523815703,-0.0130768299851321,-0.0489714450885758,0.560205941443822,0.129117153984342,0.0904550117056705,-0.0400317489574015,-0.0286974795690027,0.0023782524603216,-0.0203702064999478,0.108510839207243,0.00903194256121464,0.024147304763952,-0.0686249059234039,-0.0090378106259549,0.0310063058827643,0.0485965942979434,0.0151389525431094,0.029957876677124,0.0554847241630016,0.00965273114422869,-0.0406151727787256,-0.0526554489193104,-0.0126668839024642,0.0269698819200169,-0.0200609365462716,0.0258956225146624,0.0256074247530927,-0.016841482141655,0.0302624794682948,0.035667044957251,0.0170005912445894,0.0318940860021661,0.00841438465067671,0.0161896095581739,-0.0262495310699968,-0.0213354787156573,0.0170573605067295,-0.00146273072874233,-0.0767939312655149,0.0241283015557806,0.0464902783442774,0.0746487553908024,-0.0144228327511577,0.00921741240371493,0.0177347825651263,-0.00762640956494879,-0.0235812427829104,0.0283743491666311,-0.00475861170915474,-0.00644582818061583,0.00925710690421421,-0.0323349653781378,-0.0216814004952606,-0.00158243083272094,0.0290995472728988,0.0510831712184056,0.0514596390014442,0.0440079738805771,0.00358341731896051,-0.0729540576669312,-0.0359242724387742,-0.0468758768375737,-0.0139282980487776
"b_Age_Millenials_same",-0.361202830069967,-0.013559359558991,0.015597852777108,-0.0137981969172459,0.303165144655136,1,0.410403793345282,0.022172716012388,0.0866722562527248,0.0302815605371503,-0.0208057123104897,-0.00897150579515412,-0.0290170902761279,0.113110891128029,0.0708434779456207,-0.162858280861464,-0.00463592144201091,-0.0140153323803377,-0.0209991494414447,0.13337872477623,0.435009067746569,0.148705036114051,0.00982380507754415,0.0426062055733781,0.014158003565584,-0.0100366434465609,-0.00232903045499901,-0.0152625316390529,0.0310105174784857,0.0339123429373847,-0.0423202566075223,0.0575216051472892,-0.0109708423771375,0.0128712646278332,-0.0207612619477089,-0.0236175861784771,0.00789503955389781,-0.0641052843933447,-0.0591048223569202,0.0011255264978254,-0.0115837572817081,-0.0451106744907864,-0.0170011671272443,0.0382825940210625,0.0271093165741889,0.026431217620319,0.0153157667971574,0.00202256149679846,-0.0205359168011277,0.0217462253947002,0.0198978235472829,-0.0521731356939752,0.0185571567641626,0.0126966499342238,0.0274951306735104,-0.0069850595615224,-0.00223464786930921,0.07824183772228,0.051075906148096,-0.0291782370342458,0.0217679144417956,0.0128924786940792,0.0110689197903844,-0.0498123497595604,-0.018252198200644,-0.0312803380220285,-0.0138498339568883,-0.00590569918097587,0.0149031672359806,-0.0214070138573955,0.0224171736603637,0.00987094010847495,0.0146706251877946,0.00221824525290735,0.0108720538691388,0.00740185073991755,-0.0596193121182979,-0.0190695422374104,-0.0581283636010597,-0.0252291028254054
"b_Age_Older_same",-0.265116093586069,0.00343178739320858,0.0195625672084028,-0.0356153149910298,0.245352438911169,0.410403793345281,1,0.0200471762574448,0.0201443378413142,-0.0713382005627214,0.0618419273755749,0.0264229602678324,0.0085170152215515,0.282491873225047,-0.0759665180648462,-0.116921712813904,0.0145185378530995,0.00175219895277262,-0.0192571284871239,0.113630392577864,0.17466606964204,0.361199517703367,-0.00404692656788583,0.00332953884889946,-0.0366234763480708,0.0217509780258235,0.0158296889001221,0.0101858400316683,0.114729351450287,-0.047511582831815,-0.019773493545149,0.0327438594881454,-0.00313307990666782,0.0201118915130678,-0.0215554728952125,0.0212681360834492,0.0096288616775343,0.00437435245235137,-0.0449578934305526,-0.00301701692326598,0.0164168094229322,-0.019774110761558,0.000478535050079782,0.0335578921372599,0.063761550257878,-0.00571025633622726,0.00349764505234955,0.0137883701826835,-0.0172247218488786,0.0279290445712374,0.0182131194151512,-0.00786858009651796,-0.00721094258904261,0.00889825667130586,0.0198902209440669,-0.0156856079211433,0.0197415525994739,0.0360175262773066,0.0456196715414977,-0.0308517100089546,-0.00850626326372694,0.000549436982896636,-0.00966806265113062,-0.0428967016921324,0.00140944268541519,0.0407951874547483,0.0024524359098361,0.00130238463202848,0.0161188752097505,-0.0105407982222258,0.0577053571336383,0.0262945081183929,-0.0542622301311231,-0.0196330263556986,-0.0320621964760254,-0.0254142493121244,0.0667774273638227,0.033668957229559,0.0515353937627776,0.0216102736360053
"b_Inc_Mid_same",-0.43344883223338,0.0599276061978243,0.0574522022704879,0.0114492134820152,-0.0179688942009496,0.0221727160123871,0.0200471762574461,1,0.747264977794028,0.0396926919245773,-0.0299790898720817,-0.202560384749282,0.0375425629019933,-0.0625411114998423,-0.041470651396998,-0.179743212574346,0.0368228461831141,0.0133685200639119,0.00669450261593454,-0.0517915332246391,0.00579140925757955,-0.0086710331796901,0.510967169187118,0.366823941076971,0.010682705834127,0.00737956428641465,-0.151659646920918,0.0214721063334224,-0.0432286741207745,-0.0139901335667689,-0.0297686725993251,-0.0149676034228683,-0.0487881620924476,0.0195761812993773,-0.0413398510757785,-0.00733885116337958,-0.00378199622016853,0.00590284050784299,0.0161620227575074,-0.0607140258529839,-0.00979984162316703,0.00922336920893313,0.0146553132547555,-0.0194092594233534,0.0619748543305935,-0.0260500509726834,-0.0100471748767428,-0.0433603720790814,-0.0125733983313416,0.0229800371304395,-0.0133161058212932,0.00663298551704399,-0.0297715750516733,-0.00271582572337123,0.0133578817222177,0.00755810487271957,-0.0171359777303821,0.0135716797923465,-0.011655618631901,0.0369727235346017,-0.00253172020436592,-0.0397387639285951,-0.0128424938484012,0.00443632745021167,-0.057136481011929,0.0523488017426711,-0.0108297086314192,-0.0291873741651272,0.0406187791080722,-0.0106971422971845,-0.0416856757134668,-0.0365511908537137,-0.0290981126211798,-0.0214163273184943,-0.0137717487362324,-0.0262417798711171,-0.0406383603731205,-0.00575236607645791,0.0322585107261202,0.000119288891020843
"b_Inc_High_same",-0.437532711975828,0.0904869018890537,0.0468589928448582,0.0373835659749254,0.0259751390038671,0.0866722562527229,0.0201443378413154,0.747264977794027,1,0.0509711776205734,-0.0632335989360503,-0.328234516470651,0.0442796399547034,-0.0764686567747466,-0.0546587715154036,-0.171087249820674,0.029132513490886,-0.00988023441531847,-0.00121390371848032,-0.0332770328599563,0.0403059481579556,0.00262317230488013,0.377835111020414,0.468595082104143,-0.00111397876515881,0.00101841244979106,-0.192059772295813,0.00354489724315489,-0.0419133473118263,-0.0117715060361756,-0.0382606927138129,-0.0270114207590174,-0.074048649040565,0.00176690518782547,-0.047508907195504,-0.0170984783232878,-0.0162712507973603,0.0133816315598704,0.035295225809831,-0.0351392265073282,-0.0368798660017657,0.0189892596187056,-0.0107347830568179,-0.0468769168520753,0.0572667761066784,-0.00551348140595709,-0.000127876593079039,-0.0436968494621236,-0.0172162418184954,0.0206617843893132,-0.0187146908074929,0.012910551246134,-0.00899423279774835,-0.00206537374152574,0.0158718639770034,0.015094078044025,-0.0127235299534083,-0.0157131876572769,-0.0322055378435311,0.0180228860514626,0.00295582591524363,-0.0576556644002359,0.0128031784822846,0.0282222246788991,-0.0400556266270285,-0.00269538555786373,-0.028465758027779,-0.0287095793104442,0.0482098488185663,-0.0192465748572115,-0.0722534797683601,-0.051257823924196,-0.00982200708794082,-0.0175551782190369,-0.0584015339766326,-0.0353869957625156,-0.032985689051587,0.00929014439833835,0.0830320502723265,0.0267493236939617
"b_Hel_same",-0.362902339863419,0.0159389879150464,-0.0208342595432624,-0.0187050924080148,0.0192527024292763,0.03028156053715,-0.0713382005627201,0.0396926919245774,0.0509711776205748,1,-0.102846414457188,0.0162433687383943,-0.0963181808717086,-0.0161256676582526,0.0459851473425298,-0.144396150239424,-0.00879534900842469,-0.01518220735397,-0.0256419720537784,-0.00426832973773989,0.012843699163763,-0.0330870241842201,0.00881528920608843,-0.00667134794942445,0.423988785543236,-0.0243961142422582,0.0157400846596286,-0.0470668142607925,0.00504010359061094,0.00577730939137793,-0.00608386687179332,-0.0147634066666299,0.019860480394718,0.00678781495431102,0.0080261489203893,-0.00864328606351002,-0.00566695718874542,0.015083371355617,0.0248202877135791,0.0220505306815863,-0.00754796458692069,-0.00235546436824985,-0.0232089302379708,-0.00417508349241279,-0.0189228898709139,0.01927660315668,0.0243155023458062,0.0130226258410988,0.00716305863875197,0.00578818511903114,0.0279059251424049,0.0145418520883658,-0.0346789278764392,0.0242981585741668,-0.0121010102979026,0.000151881077469744,0.0284931772531203,0.00147621509747847,-0.0120751124811867,0.00304644140446581,0.0406695004139838,0.00511337866992688,0.024865099500991,0.0102291291925437,0.0226453423161817,0.00382492108088241,-0.0310715496146414,0.00956370641551919,0.0105337621318313,0.0328972062538768,-0.0832621713843998,-0.0524778482866753,-0.0283278006610324,-0.0162184071772225,-0.0393973572688198,-0.0100582542233158,-0.17698785898185,-0.0551945667410497,-0.0596705155721095,-0.0294036916024025
