"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",0.0608780570807797,-0.0085942478040847,-0.00779548233020031,-0.00801783663090951,-0.0154747166155584,-0.0113652911433149,-0.0109693912489249,-0.0194586396391089,-0.0190517467906475,-0.00562325733545321,-0.000490329943290026,-0.0118180742488335,-0.00598931283915587,-0.0075638779411167,-0.00786525769838153,0.0291460613258817,-0.00377844488787542,-0.00333533491695969,-0.00405385342533715,-0.00531795761846026,-0.00586179465458759,-0.00491622881942692,-0.00877793398793866,-0.00788710747851115,-0.0024070032890409,-0.000489064600744985,-0.0062341435650237,-0.00299906322974493,-0.00446268765144372,-0.00402490267028907,0.000275689375495118,-0.000272631379702182,-3.63910399840021e-05,-0.000164003219751055,2.65144878809637e-05,-2.70433373466112e-05,-3.26303712650988e-05,0.00043386112165571,0.000287275291032479,0.000177782232367249,0.000260743668807738,0.000224032866406537,-0.000129861411393014,-0.000434961547104555,-0.000344419031894142,-1.15143953464721e-05,-0.000241547018194858,0.00021824876359551,0.00012412743122939,-0.000302627601993905,-0.000129983894022602,0.000108972647432285,0.000225998926695341,-0.000126846578379012,-0.000156396427431684,0.000147593036710465,3.48754790705779e-05,-0.000212540107496264,-0.00010066725032305,-9.03451402576477e-05,-0.000187090001493054,8.76671860726715e-05,2.68930098295462e-05,0.000146994603173429,9.90210037431649e-05,-6.31094334213059e-05,0.000170823910503084,0.000177759487256136,-0.000240582316965368,-1.63666130921469e-05,0.000987702822794349,0.000421187063283489,0.000524580649159458,0.000768783294376291,0.000238557221620227,-0.00016599264873331,0.00197091525872123,-9.39502185633109e-05,0.00149007554282589,0.001603089298447
"b_City_Midwest_same",-0.00859424780408465,0.025255656858273,0.00753773523246419,0.00744125639663385,-0.000818511101670335,-0.000274800513994075,9.14567473908805e-05,0.0017328082645777,0.00253780900329905,0.000159077176435545,-0.0001027012206172,-0.000511928786535001,0.000252542726459408,-1.27916587272051e-05,-0.000926667802518804,-0.00406819958659739,0.014593862333163,0.00410083312743744,0.00390711245723756,-0.000911216632555171,-0.00021595869366757,0.000540188029112481,0.00116670472956817,0.000877982720387982,-4.94661853423725e-05,9.79744323242384e-05,-0.000462758356116401,-0.000470030230252182,0.00041293663319698,-0.000941999727094187,3.61889345395509e-05,-0.000104898977555017,0.000259916463789709,-0.000206146093945575,0.000282425179057357,-7.3334712781093e-05,-0.000162415493618801,0.000110950906161246,0.00011379369570856,-9.26995681528276e-05,-9.58327448848925e-06,3.01564101381629e-05,3.7540190703722e-06,2.94196176636468e-05,0.000138805347373823,-3.53757259681745e-05,5.97455705110899e-05,4.83135180807606e-05,-8.54692499925394e-05,8.57693540564514e-05,-7.8342803261529e-05,-3.98331156898159e-05,-0.000123172286264108,0.000102905080339572,-4.18180663881329e-05,4.01430202176796e-05,0.00014491930060993,-9.83094376463343e-05,-6.9792299056803e-05,0.00013552272577846,3.87921296497162e-05,-8.43513683560818e-05,-4.25840776862409e-05,-5.15065891669017e-05,-5.97013330309722e-05,5.2172925917827e-05,-7.16165395298001e-05,-0.000113121033876849,9.96048805382501e-05,2.77733030461343e-05,0.000280006671151172,0.000221677830938,1.86747038427481e-05,0.000156068137329073,0.000245161975450648,-0.000159737244042086,-0.00015768417875045,8.46119495876352e-05,-6.59554603150457e-05,-0.000281818518019219
"b_City_South_same",-0.00779548233020031,0.00753773523246419,0.0205888548697409,0.00737291072544247,4.47290661362324e-05,0.000285417069228923,0.00047071494404113,0.00149991629488485,0.00118659612765009,-0.000187742226736588,1.16525642240899e-05,-0.000270579676382419,0.000284460129060921,-0.000223743889681507,-0.000836234551562552,-0.0034398604182553,0.00410765970529605,0.0108700766754706,0.00397650479835059,-0.000463334228199608,-0.000301140008435283,-6.24342393426399e-05,0.000582929460197656,-0.000182458696564403,-0.000172769041244277,7.69680086506646e-06,8.82886851262636e-05,-2.78853737999e-06,-0.00037240657529823,-0.000340858944191993,-0.000106700751603656,0.00023995215531075,-7.61687771640065e-05,9.74209815899875e-05,-2.01341379827902e-05,-9.36580912079568e-05,0.000220611291870718,2.64396146165439e-06,-0.000119553653175012,-0.000190587891306655,-1.40326156870364e-05,8.53895648614049e-05,7.32665726177204e-05,0.00014644342380789,1.19914961593227e-05,-7.89364333773205e-05,0.000279780206777549,1.55696452231511e-05,-7.1924347611849e-05,-2.63632068978286e-05,2.23733200803888e-05,-0.000113422409391609,1.40161399226369e-05,8.38630124626936e-06,2.7698496762127e-05,7.05643508864842e-05,-2.26574157672075e-05,-2.86837202005969e-05,3.27737238511901e-05,0.000126621597966485,0.000129607928959796,7.63929017364711e-06,6.14071326923872e-05,-2.26358545636152e-05,0.000118719859800355,0.000116945331084846,-7.21092992970838e-05,-8.48324442214126e-06,9.32699830021735e-05,6.20265459168117e-05,0.000304140676281235,0.000241319695671095,4.30161545795876e-05,0.000343784293406296,4.71064114110989e-05,-7.36848004315518e-05,-0.000646081459959768,3.90570932154974e-05,0.000287004784252165,0.00023448304047001
"b_City_Northeast_same",-0.00801783663090949,0.00744125639663385,0.00737291072544248,0.0209974811482008,-0.00158229147581101,-0.000254979325471901,-0.000865438941537791,0.000301858562556569,0.00095600069173135,-0.000170220262687946,-9.74304790492026e-05,-0.000242032131060587,0.000859990318209801,-0.000415970110211869,0.000878292496012881,-0.00388761258998664,0.00393215873968268,0.00398543989385575,0.0105078007240749,-0.00183707536442668,-0.000486763932770776,-0.0006345455947101,5.92235653458856e-05,-0.000182895380804453,-0.000245345527617034,-7.75166776176236e-05,0.000535373061665414,0.000470780282747644,-4.48423337424536e-05,0.000426226303918837,-0.0001487257419802,0.000277570825876287,-0.000123875912003533,-2.38354550787503e-05,3.56250847041806e-05,-5.3639202721259e-05,-4.96988058442988e-05,-7.812876958279e-05,-0.00017307557010797,-0.000103128571787928,-1.77616215541281e-05,-8.15036691450446e-05,-5.63757665977921e-05,0.000206297767592725,-6.2113748349082e-05,-3.6201271451876e-05,0.000108051106099615,-3.3991916076503e-05,-3.27984713677783e-05,8.43395193282337e-05,-0.000123037494846097,-0.000105714726729056,6.39934550046945e-06,4.3635046640944e-05,-3.9544927900086e-05,5.94758483833162e-05,2.07067865205725e-06,1.48287698201232e-05,8.39362736663484e-05,0.000114242848296378,5.7041895078137e-05,1.15111076716304e-05,3.03226155092879e-05,-7.64315332741281e-05,4.52839060975802e-05,-2.52820645765013e-05,-7.02694230630888e-05,-6.26566063286698e-05,0.000126994235953318,-9.26392147059457e-05,-0.00021856749559578,6.55744415899254e-05,0.000111112177989299,-0.000219320891843911,0.000299356434990274,0.000361086646681603,-6.23651080652822e-05,-2.20768323818728e-05,0.000472490954956197,-4.67629449210844e-05
"b_Age_GenZ_same",-0.0154747166155585,-0.000818511101670308,4.47290661362442e-05,-0.00158229147581098,0.0564620940962479,0.00918664191500974,0.00977653396401759,-0.000776862375782221,0.00108925672945751,0.00028730156218471,0.000398329656582796,0.00771572332469212,-0.00116777629618681,0.00184608805280248,-0.00150690476378952,-0.00568975053651994,-0.001128517655549,-0.000527112147908905,-0.00203334156405596,0.0361091016415797,0.00467131137457237,0.00483416643743913,-0.00192088901262591,-0.00137109435636129,4.08600540448931e-05,-0.000326259450966458,0.00448343991913943,0.000298254825488452,0.000815097140427527,-0.00227854931825381,-6.24259937953914e-05,0.000350041348391929,0.00044215604952139,0.000138897259841089,0.000284021426381414,0.000262944838528274,8.3288989333335e-05,-0.000453771822953742,-0.000530629616533263,-9.47285703928145e-05,0.000206291984601364,-0.000172772107016538,0.000200569091359495,0.00027585904446067,-0.000113616653807881,0.000229508310944813,0.000295419205638842,0.000133298989424177,0.000156343993599907,6.3682386663991e-05,8.7297754002681e-05,-0.000140445502734149,-0.000125222011561084,8.96585329211853e-05,-7.91198213786383e-06,-0.000372729193019261,0.000119767868069437,0.000225543993501426,0.000300205237536549,-6.28971150345558e-05,3.47210554617029e-05,6.42225591414911e-05,-3.41966679721282e-05,-0.000110930711059954,0.000125790917940005,-2.3108703958796e-05,-2.64435530689963e-05,4.80161435678446e-05,-0.000149047239075649,-0.000100371771922897,-2.5386568352667e-05,0.000590882613880728,0.000946067603376952,0.0012024376147915,0.000869891557196125,8.20640901485007e-05,-0.00142321330584507,-0.000854483016979339,-0.000921378490295126,-0.000342240193237941
"b_Age_Millenials_same",-0.0113652911433149,-0.000274800513994063,0.00028541706922893,-0.000254979325471892,0.00918664191500976,0.0162629025120217,0.00877660269400615,0.000514472505640674,0.0019506215245736,0.000242518615399652,-0.000134491459949396,-0.000170865370803012,-0.000419886420283013,0.00169686931132702,0.00106319679295162,-0.00559272268971012,-0.000115189337397043,-0.00030319671251793,-0.000467939451193265,0.00461398387722276,0.00844644037610828,0.00426515855074127,0.0002529868707246,0.00109248877881846,0.000130545990573151,-8.62733583382472e-05,-5.16456726464562e-05,-0.000270491378811825,0.000561785154033747,0.000604303354467316,-0.00015688125638614,0.000348514503591573,-5.35710613676131e-05,6.33781573500371e-05,-0.000105636587228143,-6.00685662728594e-05,3.65605087885662e-05,-0.000384382484446434,-0.000319662448174804,4.51738864161279e-06,-4.75524936828551e-05,-0.000208507789774195,-7.06702986451867e-05,0.000221331495614134,9.8152370564788e-05,0.000107580019348308,6.8081776640319e-05,8.51108848019633e-06,-5.40263558813173e-05,8.83286095227476e-05,5.75828040008887e-05,-0.00014981447114189,5.84534648608598e-05,3.58170228581699e-05,7.98173380440998e-05,-1.81952136962697e-05,-5.95310034752844e-06,0.00020371767008605,0.000110238250574376,-6.82904138919785e-05,4.40069489871424e-05,2.50564015329311e-05,2.66372536323181e-05,-0.000125760042254607,-4.34269263649522e-05,-8.15243408593483e-05,-3.04934237480362e-05,-1.64400773886872e-05,3.68680908396861e-05,-5.3186435843366e-05,0.000193010376218719,0.000107570709871674,0.000145818786938616,2.7818000948066e-05,0.000115336263001843,9.09738621209495e-05,-0.000624206149238211,-0.000243431211641835,-0.000613193158262506,-0.000332701919299925
"b_Age_Older_same",-0.0109693912489248,9.14567473908645e-05,0.000470714944041117,-0.000865438941537801,0.00977653396401757,0.00877660269400613,0.0281210858628097,0.000611664813797594,0.000596160119482589,-0.000751287204114676,0.000525668737308643,0.000661739710369303,0.000162062452048477,0.00557271642248591,-0.00149917737269272,-0.00527989909108295,0.000474368789246412,4.98449903973655e-05,-0.000564282392646027,0.00516893454649328,0.00445965201826795,0.0136230289301238,-0.000137044176175678,0.000112265218753158,-0.000444056365744424,0.000245857811555705,0.000461581255745036,0.000237378136231958,0.00273308285138971,-0.0011133038798344,-9.63880483264312e-05,0.000260877570594267,-2.0117720064351e-05,0.000130223187269832,-0.00014422321849507,7.11308833192656e-05,5.86340485909532e-05,3.44905837233972e-05,-0.000319736099235092,-1.59230585426864e-05,8.86195658470131e-05,-0.000120186846558653,2.61570617018995e-06,0.000255125311860399,0.000303569479174168,-3.05623725843379e-05,2.04448949628633e-05,7.62980289152734e-05,-5.95882745732928e-05,0.000149173129789731,6.93088324269419e-05,-2.97112011820904e-05,-2.98681191095363e-05,3.3008233380078e-05,7.5927320356674e-05,-5.37285865886614e-05,6.91564075058464e-05,0.000123316319312777,0.00012947484514748,-9.49504333790831e-05,-2.26131087699942e-05,1.40416188511664e-06,-3.05943108896463e-05,-0.000142411991744333,4.4096929490301e-06,0.00013981114924256,7.10029352481206e-06,4.7674792657559e-06,5.24353077064711e-05,-3.44377930413494e-05,0.000653330522472097,0.000376805803141207,-0.000709217612484889,-0.000323758083296331,-0.000447264640306027,-0.000410743414401017,0.000919364604369415,0.000565174648141101,0.000714877808965235,0.000374740627295573
"b_Inc_Mid_same",-0.0194586396391088,0.00173280826457771,0.00149991629488484,0.000301858562556577,-0.000776862375782248,0.000514472505640654,0.000611664813797634,0.0331046112741649,0.0239945580691441,0.000453547312647441,-0.00027648767726231,-0.00550412694373649,0.000775081020454737,-0.00133861221530257,-0.000887973198889886,-0.00880665850992047,0.00130538549563929,0.000412619392685807,0.000212839137200308,-0.00255619214953415,0.0001604371297609,-0.000354834278835173,0.0187739847208462,0.0134198300510749,0.000140536135543322,9.05032438010932e-05,-0.00479815229164225,0.000542933596733081,-0.0011173220694469,-0.000355683965611766,-0.000157444485122158,-0.000129386017141745,-0.00033989904977384,0.00013752814479122,-0.000300106041827268,-2.66308516012991e-05,-2.49875817626586e-05,5.04982146716517e-05,0.000124712399659259,-0.000347669009170784,-5.73968583315982e-05,6.08243917562629e-05,8.69157561483612e-05,-0.000160101736617695,0.000320142222493839,-0.000151275376333639,-6.37208138275802e-05,-0.000260328422843668,-4.71942914580879e-05,0.00013317216241592,-5.49806270450801e-05,2.71744706047669e-05,-0.000133796838380515,-1.09306868614477e-05,5.53253617544534e-05,2.80895755997474e-05,-6.51310697867986e-05,5.04160108685246e-05,-3.58919272096378e-05,0.000123460308312964,-7.30239569817069e-06,-0.000110189915235066,-4.40939280310803e-05,1.59799147156139e-05,-0.000193955733483521,0.000194656011668538,-3.40191620065086e-05,-0.000115923845289782,0.000143365335869239,-3.79190796552782e-05,-0.00051207298382464,-0.000568306032118096,-0.000412643393906144,-0.000383183296754043,-0.000208443610770412,-0.000460166304163302,-0.000607047222083344,-0.000104767776323159,0.000485510619876014,2.24439202874718e-06
"b_Inc_High_same",-0.0190517467906474,0.00253780900329906,0.00118659612765008,0.000956000691731347,0.00108925672945743,0.00195062152457356,0.000596160119482625,0.0239945580691441,0.0311449588417986,0.000564919214351872,-0.000565659220470475,-0.00865102986657031,0.000886700392118324,-0.00158753125478562,-0.00113518985616684,-0.00813066254021632,0.00100172616959394,-0.000295789794937053,-3.74340701821233e-05,-0.00159304835572293,0.00108302730003153,0.000104119284026986,0.0134652806889503,0.0166278732045949,-1.4214555524685e-05,1.21145352824175e-05,-0.00589372722166292,8.69411443989385e-05,-0.00105077188046023,-0.000290284662898928,-0.000196277467774255,-0.000226481190339957,-0.000500382677131905,1.20399999827805e-05,-0.00033452648424433,-6.01816472794734e-05,-0.000104273442396118,0.000111038523379449,0.000264167581965095,-0.000195172569817941,-0.000209511580599697,0.00012146351572672,-6.17513296394253e-05,-0.000375055684448561,0.000286932544737922,-3.10552631184028e-05,-7.86643654791695e-07,-0.000254465170189876,-6.2679393328827e-05,0.000116139562391259,-7.49488099643322e-05,5.13034372798681e-05,-3.92064750983558e-05,-8.06294766806975e-06,6.37623384025442e-05,5.44112232210187e-05,-4.69068828586373e-05,-5.66172546200368e-05,-9.61925948097518e-05,5.83740579740754e-05,8.26947887114744e-06,-0.000155066901905105,4.26380030863404e-05,9.86033663343248e-05,-0.000131887093571431,-9.72146253967383e-06,-8.67319731775321e-05,-0.000110599768033413,0.000165045122695816,-6.61748708580502e-05,-0.000860901412131863,-0.000773019650429023,-0.000135101432487144,-0.000304660710717831,-0.00085738007386761,-0.000601886849238562,-0.000477926920316427,0.000164116901303341,0.00121213172092367,0.000488158838490934
"b_Hel_same",-0.00562325733545326,0.000159077176435549,-0.000187742226736586,-0.000170220262687939,0.000287301562184709,0.000242518615399649,-0.000751287204114663,0.000453547312647442,0.000564919214351887,0.00394398810671729,-0.00032739349297884,0.00015234688673443,-0.000686364809731506,-0.000119132552064437,0.000339860064314999,-0.00244195593761829,-0.000107621256561121,-0.000161742731778552,-0.000281389669037755,-7.27136998250005e-05,0.000122810162041412,-0.000467343257234542,0.000111795308928101,-8.42415768888893e-05,0.00192523903825084,-0.000103270822362745,0.000171883664283438,-0.000410781071428032,4.49644697635927e-05,5.06980907568079e-05,-1.11063469836778e-05,-4.40499288638528e-05,4.77582927816385e-05,1.64595194859165e-05,2.01111357104815e-05,-1.08257853909304e-05,-1.29233950858875e-05,4.45386399280012e-05,6.61065184537543e-05,4.35832433937231e-05,-1.5258873422577e-05,-5.36152421695587e-06,-4.75096774646773e-05,-1.18870966749306e-05,-3.37394854307812e-05,3.86379186109808e-05,5.32284905580146e-05,2.6986757208479e-05,9.28023244543704e-06,1.1577870565618e-05,3.97697103296983e-05,2.05634186839428e-05,-5.37939276173418e-05,3.37553386578979e-05,-1.72994322869368e-05,1.94831639599991e-07,3.73803836410278e-05,1.8928145671774e-06,-1.28344181972413e-05,3.51125438954071e-06,4.04894655853418e-05,4.89394407495467e-06,2.94674921170107e-05,1.27178318461552e-05,2.65333188054487e-05,4.90915909082616e-06,-3.36894021666687e-05,1.31107501402293e-05,1.28328864082867e-05,4.02506209490162e-05,-0.000353033812417101,-0.000281630902178973,-0.000138658496277347,-0.000100159771562808,-0.000205821216142004,-6.08790247020222e-05,-0.000912542975721333,-0.000346977321682655,-0.000309982918428917,-0.000190951963080363
