"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",1,-0.196903552971102,-0.190309858293474,-0.197031501010208,-0.331843715620666,-0.380956264484611,-0.247978545780685,-0.451176774155033,-0.438697337657369,-0.345390781165634,-0.0168843006371672,-0.32454260057287,-0.20561283899571,-0.257622073735256,-0.305847875262546,0.498147226035589,-0.0950266890082906,-0.0896400253085419,-0.0942839682175662,-0.166703057193544,-0.167585608489434,-0.101843107127831,-0.217868564638341,-0.202262788317937,-0.173676969007758,-0.00568061016539486,-0.173807379934068,-0.0794357489615737,-0.124134413040187,-0.145740301800901,0.00219678847371124,0.0046454073174544,-0.000794434215843459,0.000295678566625794,-0.000460580224957811,-0.00278436718353175,-0.00134120580628125,0.00100000097157257,-0.00156981590860947,0.00126262112142164,0.00183383338023362,-0.000109346868474488,-0.00228836928210297,0.00175917568822556,-0.00362359302710227,-0.000506986964015392,-0.00320636419874862,-0.00456887731181774,0.000934654735910645,0.00148303059361472,-0.00220748299422122,-0.00367254545830001,0.00139770984726531,-0.000481215025633646,0.00100521408300611,0.00261498123002193,0.00129131510721249,-0.000525610639098993,0.00119555682774729,-0.000722670922520948,-0.00131086470057761,0.000285580927592907,0.00196854514222904,-0.00116001668701644,0.00281556569347437,-4.07103493100115e-05,0.00319969411929692,0.00295780735916506,-0.00306742155440546,-0.00203512291362318,0.0696360723273915,0.0290056033370108,0.0189175568281895,0.0160154133097336,0.0207819513292452,-0.00703833494790898,0.0882893051907636,0.021506624370503,0.0564201315413919,0.0403764858350333
"b_City_Midwest_same",-0.196903552971102,1,0.305213978051056,0.292505206213273,-0.0153691696448094,0.00252210319337768,0.0153304073316289,0.0393168169688895,0.0494486745604466,0.0291880030166185,-0.0210664341649946,-0.0290902527737917,0.0152443112439588,0.0160847700748327,-0.0377638915940823,-0.101620158339134,0.453649362908155,0.144827869316555,0.137730286028333,-0.00718119116398461,-1.00568897895169e-06,0.00422219034613964,0.021665502869608,0.0260643855109322,0.0147144216364611,-0.00900000244148715,-0.012663029310952,0.00661697133414048,0.00565516707257736,-0.0175103368720935,0.00112080946568208,0.00229846544692533,0.00126271458951697,-0.000120018641444387,-0.000991343003141479,-0.00125591792999988,-0.00209192321405752,-0.000931470657956926,-0.00108287170849787,1.02330194088281e-06,-0.000218376726027773,-0.00204898125938876,-0.000703649956437836,0.00156597871083852,0.00028162397698435,0.000640011967686722,0.00177908658595208,-0.000201451145602361,-0.000597608876507618,-0.000294878064624234,-0.00070947877660188,-0.00188552549647469,-0.00120069357806132,-0.000280212504208192,0.00124497906647601,0.00118744802688081,0.0019005183276547,0.000729147080172876,0.000751611694742203,9.56772814406575e-05,-5.91947333027197e-05,0.00151456098010279,0.000234605998659703,-0.00119011753669448,1.73131778069255e-06,-0.000329905928824087,-0.00150224535837295,0.000295404706896464,0.000207667137818536,0.000495973993843078,0.0250611851869362,0.012981254156443,-0.0233862467791431,-0.00981631867650376,0.0233114425721392,0.00838001101168095,-0.00885310866833424,-0.00372671657770725,0.00719080852001238,-0.00161337374388196
"b_City_South_same",-0.190309858293474,0.305213978051056,1,0.331665877722449,0.00195733588108004,0.0272782110618636,0.00426714609655005,0.0462706447900654,0.0204789467044132,-0.0175814014680945,0.00963733021054881,-0.0425635514856278,-0.00143888495898002,-0.00864102630226994,-0.0141973212995367,-0.0950882046330015,0.142047776162905,0.451306209771645,0.155012666941649,0.00134987113910398,0.0105190728757944,0.00109445613077661,0.0234815262275892,0.00774996234940018,-0.0094453320077998,0.00503321447353472,-0.0186595344181725,0.00179479200458227,-0.00552872688410372,-0.00720359082426863,0.00064530997098469,5.45853284299806e-05,-0.000122292266921178,-0.000929313402212263,0.000164270036545582,0.000102198367304305,-0.000551202184812723,0.0034021241681091,0.00196986588027343,-0.00162793077210119,0.000843927250810602,-0.00232686018467763,-0.00030288762141726,-0.000676394219925351,0.00370872236865803,0.00161061056995094,0.00305348436826518,0.00053803265809311,0.000350698551679575,-0.00130582992706521,2.32534976851551e-05,0.000283488712809573,6.64813211109995e-05,0.000921771050592212,-0.000242198063494939,0.000119025826862657,0.000845705731704893,-0.00223715742782728,-0.00109580540801791,0.00125565843915332,-0.000513283596566724,0.0019092660324124,0.00037923532491096,0.000832541807642343,-0.00284219399491171,-0.000737846422710158,-0.0023165887251098,6.50902829487688e-05,-0.000269268995336005,0.00191809451184093,0.0317854061538722,0.0165139909055842,0.00444841990692405,0.0030994913633465,-0.010757477263428,-0.00795070439581475,-0.0486610630769,-0.0227110279961764,0.0308567989732775,0.0121497855825224
"b_City_Northeast_same",-0.197031501010208,0.292505206213273,0.331665877722449,1,-0.0122108487877535,0.00927802509063506,-0.0468598815826224,0.0322413068872684,0.0408254964614746,-0.0306682210787307,-0.00547785830193523,-0.0406245633978021,0.0112466219103166,-0.0350324528715312,0.0685804155290844,-0.0994024909636282,0.136584000268993,0.156793287713114,0.437444988672111,-0.00416036897256087,0.00540804482786184,-0.0168334347003442,0.0160414514643101,0.021383969479053,-0.0161768520417355,-0.0015179120802884,-0.0172301997504963,0.00630454672978999,-0.0163232996881049,0.0270376118974225,0.00198186352109002,0.00499423857224366,-0.00132677432738813,0.000269825802710074,-0.00114069701878112,0.000362176239023109,-0.000996377935144146,0.00114220722952135,0.000547424789781182,-0.000768000829410949,0.000597799660179634,-0.00146043961196639,-0.000902216411523027,0.00361774380831056,0.000611824573287426,0.00190843278224297,0.000787885233324691,0.000925587345868506,-0.00235278416575756,0.000185455385043612,-0.000672488109632962,-0.00396928725839701,0.00133319084830821,-0.000133041248942116,0.00111420870641437,-0.0021317688868514,0.00148167982312687,-0.000629389297487592,-0.000194215000542198,0.0005456736954223,-0.00033297007287927,0.00125030442359264,0.00100041232857,-0.00264458223269924,0.00089696362068353,-0.000665313583424285,-0.000362314029813339,8.37674079852423e-05,0.00206321049153428,0.00101203275424782,-0.0112524329605223,-0.00396216643609314,0.0218506385286964,0.00841523344431837,0.0351225573029536,0.0165964842795873,-0.0320736944975215,-0.0118079405388202,0.058990885793998,0.0208699592018115
"b_Age_GenZ_same",-0.331843715620666,-0.0153691696448094,0.00195733588108004,-0.0122108487877535,1,0.312359520778172,0.22968959726258,0.0465941967648829,0.0964062823007752,0.0541480221485692,0.0252262379901766,0.23294363468089,-0.077130683862327,0.0602289656712744,-0.0251115138502546,-0.169094772737582,-0.00675424311722838,0.00170205372671824,-0.00348476440086217,0.586864399412048,0.136682914015527,0.0904745931474824,0.0283663866415573,0.0499283515750285,0.0300902046931474,0.0113510832452951,0.1119030308033,-0.0326961159644946,0.0299681450063815,-0.0139726207217749,-0.00300986646422276,0.00625856487793758,-0.000136452137305687,0.00112248964599025,-0.000697554256440051,0.00148731087624506,0.00278632688637946,-0.0089901206705433,-0.00964826738898993,4.79604008561263e-05,-0.00153145117980313,-0.00499492936195623,0.00162738837065761,0.00596247946104996,0.00114499262201297,-0.000156453763869249,0.00475575450885379,0.000299781772728201,0.00096380645340708,-0.00048349982871946,0.00212203316683698,-0.0053546376020133,5.03571320691085e-05,-0.000477560295078291,0.000656654294356267,-0.000505200549431241,-0.00248193742679181,0.00652733507186435,0.00631219546514897,-9.04386786551361e-05,0.00128537332317816,0.00354137032217574,-0.00095006870155381,-0.0047924424564125,-0.00155421751483203,-7.56614869831137e-05,-0.00428300691530902,-0.000423138559935856,0.00026240907748703,0.000138392281425557,-0.0406489602133948,-0.0150867100513924,0.0136243866494233,0.0024230005562879,0.0104578771327723,0.00150427268864063,-0.0590894432979947,-0.0291921495377865,-0.039744444161404,-0.0119865628830735
"b_Age_Millenials_same",-0.380956264484611,0.00252210319337768,0.0272782110618636,0.00927802509063506,0.312359520778172,1,0.406815867534563,0.0344736518318704,0.115436797562527,0.0306963431294778,-0.0109878605132948,-0.0118144277648463,-0.0209607318594194,0.11749621525214,0.0466496701829682,-0.183427361097088,-0.000286934567491252,0.0101272009287147,0.00458086975873901,0.150519408408659,0.437734564201241,0.154754510839653,0.0179899706319519,0.055323560486797,0.0168980124132166,-0.00241312982109389,-0.00771829560897195,-0.00810380147467874,0.057792400976354,0.0200698310520483,-0.00297171066589134,0.005574980605229,-0.000421698571770062,0.00113715699768624,-0.000389023680823669,0.00226888843792953,0.00191355421089963,-0.010935422144085,-0.0102444110194026,0.00110411015585448,-0.0009743615532335,-0.00424401968043084,0.00082541452204699,0.0083627992979286,0.00238317394414832,-0.00056503945044682,0.00403433536375898,0.000828032066520868,0.000358116087285014,-0.00358134163096594,0.0019235913969953,-0.00507215180561704,0.000764716674978193,-0.000665941890355662,0.000711428163517038,-0.00151870961563751,-0.0017132755385001,0.00772567652682843,0.00652504098397844,-0.000715723241665207,0.000829735018835092,0.00278101897538348,-0.000375321124926946,-0.00697413204797799,-0.00310067719320344,8.23027106956201e-05,-0.00400746145578557,-0.000963998531376724,0.00137571607624511,0.00276921935684427,0.00306604812541108,0.00157425825711085,0.00978596535573258,0.000175422881387849,0.0111707309808686,0.00368226869930939,-0.0674458742976261,-0.0361790417675308,-0.0342919561277708,-0.0118656320263869
"b_Age_Older_same",-0.247978545780685,0.0153304073316289,0.00426714609655005,-0.0468598815826224,0.22968959726258,0.406815867534563,1,0.014158914033017,-0.00650646409157944,-0.0411586322093283,0.0270263761774146,0.0269624720532434,0.00513999002719904,0.274239074916298,-0.0898725044387793,-0.122191779724288,0.00510924272280108,0.00185018826179509,-0.0199483677502059,0.115365058198118,0.177872383604162,0.363557144104802,0.00870953242774782,-0.00304323436032972,-0.0198293024492653,0.0100343160189865,0.0144142172359452,0.00275272877388862,0.127621122869736,-0.0431204463147197,0.00110434845556101,-0.0048462360472577,-0.000334824689230368,-0.00027135679561985,-0.000232586952562039,-0.000944210486169855,-0.00209264302332842,0.00636098743457612,0.00952360093686239,0.000245984225509732,0.000350965700549575,0.00263880137197025,-0.000838881430488288,-0.00588287473031792,5.78698555647519e-05,-0.00209600483583224,-0.000825745233976773,-0.00426304476368992,-0.0009174352823124,0.00112369322810731,-0.00096655505272258,0.00401165933750505,7.81391115845434e-05,-0.000172818279891587,-2.74694852342881e-05,0.000210809733966983,0.00184270411804764,-0.00471573383361201,-0.00631542477715771,-0.000347740672094488,-0.000447783884428389,-0.00196561507690496,0.000330534999170993,0.00460272490888781,-0.000239723923159544,0.00144590025028737,0.000603208719519879,0.00307289376964403,0.000197580543844149,-0.00117840375452933,0.0404958569782742,0.0137135824469039,-0.0475684754402124,-0.0222387754899352,-0.0130232283672746,-0.00682240013036658,0.0437111736914228,0.0179007684523654,0.0712172578745017,0.0347015328581129
"b_Inc_Mid_same",-0.451176774155033,0.0393168169688895,0.0462706447900654,0.0322413068872684,0.0465941967648829,0.0344736518318704,0.014158914033017,1,0.753352948558312,0.0118061670698777,-0.040337854407143,-0.19628402537781,0.050056374198793,-0.0755039996106159,-0.000204763517390852,-0.216933489422602,0.0212837761716919,0.0205101184732382,0.0162833562962664,0.0208711312510606,0.0139210147587197,0.00865131544837417,0.521022379685175,0.371420023015938,0.00801994225695787,-0.0176028859576784,-0.0999302663985572,0.0180653052239237,-0.0366874251404173,0.000134359107399453,-0.0017457468008447,-0.00705882456126301,0.000819442723126591,0.000132637247791272,0.000267679505710233,-0.000478735264181133,-0.000166925645833703,0.0077392817817339,0.00790217648825862,-0.000772752349461879,-0.000289250685009575,0.00468289661556273,0.000582253861384635,-0.00546728046914193,0.00271543295762421,-0.000428000734892268,-0.0030121837844581,0.000757154027201208,-0.000385823502070721,-0.000454258028158489,0.00146550881819133,0.00609215566966397,-0.00109268363094715,-5.78576992170932e-05,-0.000476707905563994,0.000379085812258603,0.000333400246293567,-0.00557358965573784,-0.00513194854682214,0.000509840083204717,0.000222028993092396,-0.00327559658538517,-0.000490661238441742,0.00444764197689148,-0.00257187935856265,0.000398912840597449,0.00279869436882628,-0.000471563335225794,0.000250680492976714,0.000558230970898783,-0.0282573841605701,-0.0141796825613206,-0.0179557999853133,-0.0128863117322165,-0.00425174989676817,0.00113777568026597,-0.0426891935145584,-0.0146751509530128,0.0382355775377551,0.0176287680677216
"b_Inc_High_same",-0.438697337657369,0.0494486745604466,0.0204789467044132,0.0408254964614746,0.0964062823007752,0.115436797562527,-0.00650646409157944,0.753352948558312,1,0.0278399651996464,-0.0757498861299212,-0.31419450032625,0.0403002316477269,-0.0917421088551592,-0.0222384800364825,-0.208062890343971,0.0261398396460504,0.00735294744851634,0.0221271709200201,0.0451639473726265,0.0498829289219956,0.00101932332742919,0.385043172565861,0.482238839835091,0.0157269716240716,-0.0322980596642746,-0.154972349246641,0.0119273437946913,-0.044188027063808,-0.00643628962619166,-0.000344830508801352,-0.0109202193313455,-0.00116586864794082,-0.000182033501853915,0.000937412695781391,0.000560201165805343,0.00019784110161941,0.0141831856833261,0.0140199510262613,-0.00182726318406574,0.000588256254740406,0.00634367567350055,0.000235592249165764,-0.00971973342825113,0.00419580084129997,-0.000799015824720578,-0.003931356898411,0.000778762806372534,-0.000845376862939812,-0.00155417421961864,0.000497132394115655,0.00939556835722598,0.000563093255916192,0.000526800327366932,-0.00169926836422192,-0.000452650284042977,0.000447331736690023,-0.0102549116907706,-0.00913490239226477,0.00107192999744609,-0.000197774538143749,-0.00444596016449046,0.00018514896125506,0.00786245673116846,-0.00385403317235891,0.000774886623426726,0.00364403787283781,-0.000377237219760605,0.00171216675251775,0.00174273246605955,-0.0532217020308478,-0.0243640827049946,-0.00423114458522547,-0.0067665750102899,-0.0346175541749156,-0.00867532273960657,-0.0551220712499128,-0.0168351023409406,0.074264838445062,0.0307403830168189
"b_Hel_same",-0.345390781165634,0.0291880030166185,-0.0175814014680945,-0.0306682210787307,0.0541480221485692,0.0306963431294778,-0.0411586322093283,0.0118061670698777,0.0278399651996464,1,-0.0885565573321544,0.00388575131983888,-0.101810933204821,0.00225314041839502,0.0351909802890787,-0.176261235567431,0.014740485705538,-0.00798940003679066,-0.0132049331480708,0.0271159844630333,0.0154968328839423,-0.0140673403174247,0.00191022090380979,0.012224247770061,0.492857427131232,-0.0389367439987997,0.00635050508858295,-0.0492264346440267,0.00342761186439804,0.0214080900574201,-0.00281946027248945,0.00245502239035758,-0.00144712592219549,-1.59547919234693e-05,0.0011138717965025,0.00197049204811626,0.00313645899260884,-0.00573553813866537,-0.00320705610098336,-0.00229813092028808,-0.0020579948766235,-0.00534292819934077,0.00341073614790172,0.00401364699820548,0.00117064070053813,0.00517213405947996,0.00180401876934815,0.010688770060043,-0.000308958607818001,-0.0045110126420572,0.00264275605551914,-0.00214761679646203,0.000639100504290134,0.00076994231264257,-0.00211331706979266,-0.000600283922665116,-0.00251781300647954,0.00413578256633263,0.00206873993950509,0.00132272449299395,0.0017396729054552,0.00377007829507803,-0.00243177511749765,-0.0032593320915064,-0.000419351860946658,-0.00341407722532005,-0.00168336279184835,-0.0075461366286411,0.00288069437512929,0.00476094717537348,-0.0883143571211364,-0.0381287451426216,-0.0284394946042674,-0.0148769215926847,-0.0487910765093324,-0.0125915039858533,-0.144294462841711,-0.0580096087487335,-0.0673202679974151,-0.0374104019092617
