"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",0.0542042667750162,-0.00690083599420996,-0.00603721030852409,-0.00642556736624506,-0.017714403554607,-0.0106796899435123,-0.00936201925853671,-0.0178192669053319,-0.017266206216191,-0.0047495842918113,-0.000187315162968278,-0.0107357085085576,-0.00515341864300834,-0.00667999732368116,-0.00799590988436379,0.0294996691603544,-0.00399647551554094,-0.00334979563518229,-0.00365796392097585,-0.00953578936882016,-0.00561223204911756,-0.00526400361736845,-0.0091849407655914,-0.00878400460005758,-0.00267085978548797,-7.74290785731922e-05,-0.0065081947545179,-0.0024223274611626,-0.00385664530788358,-0.00442573677705301,1.40871123908271e-05,3.5356397401904e-05,-5.33826277097172e-06,1.87620834215552e-06,-3.09593852223404e-06,-1.3342402213675e-05,-8.31131774186896e-06,7.465039699315e-06,-1.16560004341264e-05,8.50878635211039e-06,1.18897264984097e-05,-7.84400463798067e-07,-1.44575725833199e-05,1.31976769019233e-05,-2.28785580337054e-05,-3.36913847409544e-06,-2.23571288042621e-05,-2.98563202790996e-05,4.62156793233165e-06,9.72230160601759e-06,-8.13346726470179e-06,-1.54038369943984e-05,5.84549108415916e-06,-1.78010147178353e-06,4.1429492721393e-06,1.02255582827385e-05,5.2915572897243e-06,-2.05057791700512e-06,4.55670927264306e-06,-2.75577450639775e-06,-4.74835546586509e-06,1.09426822588421e-06,7.50738710063558e-06,-4.67102526854297e-06,1.13088031867538e-05,-1.50868366265022e-07,1.28484267428735e-05,1.09005667814171e-05,-1.24955655359983e-05,-7.91168677146976e-06,0.00105156962941326,0.000529659689707878,0.000313383223786134,0.000335546625453592,0.000375468707260847,-0.000149933382511459,0.00159819763728805,0.000466679083805801,0.000991282163115237,0.000840735022361234
"b_City_Midwest_same",-0.00690083599420996,0.0226601527258563,0.00626028518355708,0.00616771212328092,-0.000530466570574635,4.57152454656025e-05,0.000374217243054028,0.00100400558388679,0.00125834943694761,0.000259515869158607,-0.000151110821901782,-0.000622187345115308,0.000247040228908365,0.000269663863992186,-0.000638342624192301,-0.00389093499910663,0.0123357779614735,0.00349931600074607,0.00345498123971151,-0.000265597664753627,-2.17759579402709e-08,0.000141103252968912,0.000590561649193983,0.000731878070401575,0.000146307548538567,-7.93170239995124e-05,-0.000306580564177755,0.00013046403025791,0.000113599814767775,-0.000343807302211971,4.64708062827004e-06,1.13108922595485e-05,5.48607682044067e-06,-4.92407437614448e-07,-4.30849571626063e-06,-3.89119918176636e-06,-8.38175340255414e-06,-4.49588876729851e-06,-5.19867317621617e-06,4.45874921766743e-09,-9.15446610039056e-07,-9.50351265269949e-06,-2.87435639822528e-06,7.59606741504846e-06,1.14967090274828e-06,2.74995028713065e-06,8.0207493110289e-06,-8.51159999337214e-07,-1.91060033289679e-06,-1.24990246968067e-06,-1.69017799909738e-06,-5.11338888112899e-06,-3.2467649175451e-06,-6.70205164988976e-07,3.31762870220633e-06,3.00225614193929e-06,5.03544679904368e-06,1.83925501551993e-06,1.85220607693065e-06,2.35899273587171e-07,-1.38638260891537e-07,3.75228685610309e-06,5.78491821094024e-07,-3.09850723072764e-06,4.49616716362117e-09,-7.90493236334664e-07,-3.90029125835637e-06,7.03900518334655e-07,5.46971764729107e-07,1.24667148269041e-06,0.000244692158462544,0.000153266186087459,-0.000250487411043361,-0.000132977465954566,0.000272314804701733,0.000115421755858678,-0.000103617440296779,-5.2286206193949e-05,8.16874992428045e-05,-2.17210235208914e-05
"b_City_South_same",-0.00603721030852409,0.00626028518355708,0.0185659238167795,0.00633021051834714,6.11504756061319e-05,0.000447549375111503,9.42832356949341e-05,0.00106952316303392,0.000471716519508454,-0.00014149460921162,6.25731679218343e-05,-0.000824021232901054,-2.11063342916307e-05,-0.000131129404447409,-0.000217225286679724,-0.0032955478487588,0.00349629076503786,0.00987027370927336,0.00351973768490844,4.51904787302673e-05,0.000206166409630915,3.31073516484485e-05,0.000579361529435718,0.000196977990311486,-8.50095331182536e-05,4.0150974108462e-05,-0.000408916538628841,3.20311498490019e-05,-0.000100527338721791,-0.000128025504866177,2.42183002410502e-06,2.43142948931221e-07,-4.80930751587652e-07,-3.45115896429423e-06,6.46229737824172e-07,2.86611112366641e-07,-1.99906509492996e-06,1.48635793100802e-05,8.56010381841526e-06,-6.4205472525217e-06,3.2022744227754e-06,-9.76884739144967e-06,-1.1199337732547e-06,-2.96981714577387e-06,1.37042446186761e-05,6.26403475199809e-06,1.24606421584845e-05,2.05767588349944e-06,1.01487755443614e-06,-5.01010862502455e-06,5.01427545882133e-08,6.9588752497965e-07,1.62721584165684e-07,1.99558480867981e-06,-5.8420230025098e-07,2.72396300292901e-07,2.02820612313727e-06,-5.10799213613534e-06,-2.44430885443193e-06,2.8023099076501e-06,-1.08813877096317e-06,4.28156537949251e-06,8.46435287316862e-07,1.96198452063864e-06,-6.68107340719653e-06,-1.60029806335633e-06,-5.44417369530481e-06,1.4039023441483e-07,-6.41963515382265e-07,4.36405272119177e-06,0.000280913801664765,0.000176485327146202,4.31278707368274e-05,3.80055218427484e-05,-0.000113746857148509,-9.91232561594359e-05,-0.000515520004754344,-0.00028841937030134,0.000317289436540296,0.000148061034784633
"b_City_Northeast_same",-0.00642556736624506,0.00616771212328092,0.00633021051834714,0.0196208653081626,-0.000392176107007764,0.00015648813278738,-0.00106438549936132,0.000766122252364967,0.000966731212345714,-0.000253732316508399,-3.65630985642309e-05,-0.000808518659152437,0.000169593667129222,-0.000546520056222315,0.00107871042641202,-0.00354159615930483,0.0034559999575379,0.00352521938615466,0.0102109782641377,-0.000143181621075785,0.000108963619997718,-0.000523479426751593,0.000406881356254121,0.000558736742738536,-0.000149673602678424,-1.24479565278113e-05,-0.000388172693521361,0.000115667957651356,-0.000305117979172629,0.000493988213645848,7.6462734158765e-06,2.28694559279049e-05,-5.36390907853313e-06,1.03011814559086e-06,-4.61317243386508e-06,1.04416664937009e-06,-3.71484676004852e-06,5.13001866904184e-06,2.44549979342731e-06,-3.11385653411133e-06,2.33190039465561e-06,-6.30314701715863e-06,-3.42943310522117e-06,1.63293323261799e-05,2.32411969305568e-06,7.63029410417482e-06,3.30528170936127e-06,3.63903753012865e-06,-6.99942815506534e-06,7.3147715829177e-07,-1.49075168054247e-06,-1.00165140682276e-05,3.35458377817134e-06,-2.96097154783391e-07,2.7628667518143e-06,-5.01534615584057e-06,3.65298575463086e-06,-1.47731743579609e-06,-4.45354872478948e-07,1.25192541915454e-06,-7.256595192447e-07,2.88238970458293e-06,2.29543398740897e-06,-6.40689190922816e-06,2.16754514385383e-06,-1.48341303252459e-06,-8.75324294096497e-07,1.8573622447862e-07,5.05671329069885e-06,2.36709316097545e-06,-0.000102233338302822,-4.3530141025074e-05,0.000217779587278338,0.000106077489739247,0.000381782392267484,0.000212709481161255,-0.000349312168366767,-0.000154156764073001,0.000623577527939918,0.000261453561991406
"b_Age_GenZ_same",-0.017714403554607,-0.000530466570574635,6.11504756061319e-05,-0.000392176107007764,0.052571745805133,0.00862378131990359,0.00853996734866772,0.00181231794265713,0.00373677305707002,0.0007333088367241,0.000275614339659197,0.00758873363929049,-0.00190384610221179,0.00153800619333644,-0.000646539079729576,-0.0098616384011655,-0.000279748463982688,6.26396134936822e-05,-0.000133147939188614,0.0330605681503079,0.0045078825340511,0.00460543481571411,0.00117772872700884,0.00213541974912209,0.000455715145651987,0.00015237224829812,0.00412661202624373,-0.000981911814790553,0.000916931363734947,-0.00041787197827418,-1.90081753233639e-05,4.69114036948169e-05,-9.02987653409512e-07,7.01460183912925e-06,-4.61768704655719e-06,7.01889488485374e-06,1.70045831107825e-05,-6.60931854017751e-05,-7.05520475822012e-05,3.18300144631278e-07,-9.77855336684591e-06,-3.52874523916452e-05,1.01255807809026e-05,4.40529134858359e-05,7.11953098236812e-06,-1.0239235853967e-06,3.26574348528078e-05,1.92926315787889e-06,4.6933984194718e-06,-3.12158213550637e-06,7.69998690605555e-06,-2.21182763608858e-05,2.07407486490337e-07,-1.73977567475357e-06,2.66530738522911e-06,-1.94554701122221e-06,-1.00161670999675e-05,2.50788431075887e-05,2.36930514815146e-05,-3.39638386134764e-07,4.58536698029606e-06,1.33636593017624e-05,-3.56827161530843e-06,-1.90048457724178e-05,-6.14783555748335e-06,-2.7613896551858e-07,-1.69375163633854e-05,-1.53575260655614e-06,1.05273913701046e-06,5.29846136992139e-07,-0.000604522779614151,-0.000271312013647544,0.000222273208872911,4.99951298893039e-05,0.000186076025749869,3.15583611141838e-05,-0.00105339619721352,-0.000623837711072748,-0.000687700100089015,-0.00024580162653136
"b_Age_Millenials_same",-0.0106796899435123,4.57152454656025e-05,0.000447549375111503,0.00015648813278738,0.00862378131990359,0.0144988506203418,0.00794334372721167,0.000704174736562127,0.00234977481935498,0.000218313981160287,-6.30453479937592e-05,-0.000202125795109324,-0.00027170753819306,0.00157567681552667,0.000630755507608972,-0.00561789474124714,-6.24114799951019e-06,0.000195729289323741,9.19177870040956e-05,0.00445303017964611,0.00758158118971178,0.0041369274612119,0.000392249404293567,0.00124261541739675,0.000134398534550689,-1.70113915861107e-05,-0.000149473356276083,-0.000127807312263823,0.000928620554274998,0.000315209779534967,-9.85576437251296e-06,2.19451027444859e-05,-1.46552822753313e-06,3.73191460329927e-06,-1.35242481202046e-06,5.62303406692694e-06,6.13289150477416e-06,-4.22199100114109e-05,-3.93403187387557e-05,3.84819458669083e-06,-3.26724860056762e-06,-1.57455897438228e-05,2.6970650922157e-06,3.24481545851244e-05,7.78206808474747e-06,-1.94200744309176e-06,1.4548734751613e-05,2.79849149378813e-06,9.15823981611476e-07,-1.21426864642723e-05,3.66556760093253e-06,-1.10028204993352e-05,1.65407267972499e-06,-1.27406611404195e-06,1.51646417736181e-06,-3.07144855721912e-06,-3.6310191169323e-06,1.55882980050413e-05,1.28621743149452e-05,-1.41155650701411e-06,1.55444308356828e-06,5.5112307103335e-06,-7.40280809914613e-07,-1.45240654298501e-05,-6.44106358618824e-06,1.57745706874051e-07,-8.32263587532748e-06,-1.83740806248391e-06,2.89841997898509e-06,5.5678285066502e-06,2.39459893497885e-05,1.48676061805075e-05,8.38425389301876e-05,1.90086386712865e-06,0.000104380426658161,4.05689656575683e-05,-0.000631433798769282,-0.00040602539486372,-0.000311605781839043,-0.000127782549342885
"b_Age_Older_same",-0.00936201925853671,0.000374217243054028,9.42832356949341e-05,-0.00106438549936132,0.00853996734866772,0.00794334372721167,0.0262952539001161,0.000389488814868349,-0.000178360593710897,-0.000394210092681545,0.000208833238142986,0.000621213170262615,8.97282955739278e-05,0.00495272824753007,-0.00163648193122939,-0.00503991679604814,0.000149661481982429,4.81564218766439e-05,-0.000539052268480665,0.00459631010259362,0.00414886564543717,0.0130881772765598,0.000255739949692118,-9.20521445206472e-05,-0.000212392042821413,9.52618093960219e-05,0.000375928574554928,5.84658445851022e-05,0.00276160787637163,-0.000912034171602224,4.93244003074689e-06,-2.56903912213439e-05,-1.56704485795744e-06,-1.19928904841936e-06,-1.08891589231756e-06,-3.15136196156759e-06,-9.03215866252934e-06,3.30733498341649e-05,4.9252010721517e-05,1.15457931831881e-06,1.58488813312803e-06,1.31843930075975e-05,-3.69140588415823e-06,-3.07397142066525e-05,2.54485814589555e-07,-9.70144210143422e-06,-4.01024772566215e-06,-1.94029884446082e-05,-3.15962481121408e-06,5.13084258114563e-06,-2.48042956517568e-06,1.17194634197285e-05,2.27611601185497e-07,-4.45263612253012e-07,-7.88539620532185e-08,5.74157523468438e-07,5.2593106535456e-06,-1.28139598993377e-05,-1.67650792405891e-05,-9.23592789824837e-07,-1.12973286001497e-06,-5.24583964464135e-06,8.77976376985607e-07,1.29087724838238e-05,-6.70632049831351e-07,3.73210315250003e-06,1.68706201643244e-06,7.88766920814538e-06,5.60594168031184e-07,-3.19076269397008e-06,0.000425928114969386,0.000174416628549247,-0.00054884773521123,-0.000324524539476241,-0.000163880781917588,-0.000101224943353327,0.000551108107886539,0.000270545122646028,0.000871506021844147,0.000503270214701071
"b_Inc_Mid_same",-0.0178192669053319,0.00100400558388679,0.00106952316303392,0.000766122252364967,0.00181231794265713,0.000704174736562127,0.000389488814868349,0.0287774774499236,0.0216042921367741,0.000118294187789523,-0.000326071075728815,-0.00473100687688136,0.00091414314575778,-0.00142650335879599,-3.90053903390069e-06,-0.00936042688363832,0.000652213623678305,0.000558462652804599,0.000460314986788085,0.000869898733227771,0.000339687383571825,0.000325818927810028,0.0160047092853221,0.0117530748301999,8.98648230174865e-05,-0.000174824624418374,-0.00272645916151886,0.000401394840450398,-0.000830509033234909,2.97291608000442e-06,-8.15689021844873e-06,-3.9145894311688e-05,4.01208600360911e-06,6.13248287730038e-07,1.31102745400392e-06,-1.67152380278161e-06,-7.53714985577033e-07,4.20961116994114e-05,4.27520730122995e-05,-3.7944123683888e-06,-1.36645713016803e-06,2.44768589850312e-05,2.68034855288765e-06,-2.98861006851756e-05,1.24921716292529e-05,-2.07241252033664e-06,-1.53036233564529e-05,3.60512764000362e-06,-1.39006923955622e-06,-2.16985750675687e-06,3.93438102260289e-06,1.8618399733281e-05,-3.32972248453427e-06,-1.55946762576085e-07,-1.43157145303705e-06,1.08010408189185e-06,9.95466870102644e-07,-1.5843704883283e-05,-1.42519081293732e-05,1.41659823998359e-06,5.86009515235341e-07,-9.14522979892486e-06,-1.36343615488007e-06,1.30493062799891e-05,-7.52681424220634e-06,1.07716193739729e-06,8.18854212649374e-06,-1.26627738168494e-06,7.44067980319026e-07,1.58125529442172e-06,-0.000310917628858267,-0.000188664917842733,-0.000216733018576811,-0.000196722022979487,-5.5971218022579e-05,1.76601618256682e-05,-0.000563053885135865,-0.000232026873476145,0.000489486226548979,0.000267462075130727
"b_Inc_High_same",-0.017266206216191,0.00125834943694761,0.000471716519508454,0.000966731212345714,0.00373677305707002,0.00234977481935498,-0.000178360593710897,0.0216042921367741,0.0285779041594405,0.000277979005408418,-0.000610197315973582,-0.00754668162968712,0.000733417363824351,-0.00172727062146285,-0.000422149203687536,-0.00894648642047686,0.000798238974871771,0.000199515322549647,0.000623341305303492,0.00187587298242005,0.00121296786452086,3.82555942243435e-05,0.0117866304016589,0.0152067778332442,0.000175611281331674,-0.000319656829484809,-0.00421351937206585,0.00026409431120103,-0.000996828774818273,-0.000141918804891269,-1.60560189468039e-06,-6.03495476045443e-05,-5.68839939119453e-06,-8.38708400597344e-07,4.57526572389395e-06,1.94917117814873e-06,8.90203778047943e-07,7.68783296942864e-05,7.55867680755766e-05,-8.94116529598939e-06,2.76934456907374e-06,3.30423489691498e-05,1.08075865200571e-06,-5.29469664254061e-05,1.92354588160891e-05,-3.85545732108394e-06,-1.99041713074949e-05,3.6951360825119e-06,-3.03519737798627e-06,-7.39804776174933e-06,1.32999151625543e-06,2.86143075931475e-05,1.70994741148637e-06,1.41497923527496e-06,-5.08524022926551e-06,-1.28522658509772e-06,1.33100421934793e-06,-2.90497570221673e-05,-2.52803718935958e-05,2.96802785661236e-06,-5.2018063925011e-07,-1.23696840465081e-05,5.12699816458721e-07,2.29881858265871e-05,-1.12399629602076e-05,2.08511481119235e-06,1.0624850361051e-05,-1.00946712713094e-06,5.06438789215126e-06,4.91934876296888e-06,-0.00058356733827549,-0.000323045379686574,-5.08940501500076e-05,-0.000102939505046712,-0.000454132156917692,-0.000134187635165298,-0.000724513302880697,-0.000265252996172529,0.000947425105149329,0.000464770277511069
"b_Hel_same",-0.0047495842918113,0.000259515869158607,-0.00014149460921162,-0.000253732316508399,0.0007333088367241,0.000218313981160287,-0.000394210092681545,0.000118294187789523,0.000277979005408418,0.00348864068969853,-0.000249242424249789,3.26095936026008e-05,-0.000647367655236904,1.48215239090374e-05,0.000233402321742288,-0.002648058792693,0.000157273204920254,-7.57428937018873e-05,-0.000129971806595072,0.000393504628853087,0.000131659812568196,-0.000184462426090739,2.04303950715308e-05,0.000134682166052828,0.00192283291287789,-0.00013464186544708,6.03270348804829e-05,-0.000380826028700585,2.7015967509597e-05,0.000164928315334058,-4.58681370833392e-06,4.7403569809553e-06,-2.46694640228404e-06,-2.56840642107484e-08,1.89947521914595e-06,2.39548575448226e-06,4.93089163773173e-06,-1.08621865092904e-05,-6.04113818653644e-06,-3.9289881497922e-06,-3.38507007905161e-06,-9.7234909346693e-06,5.46674453977126e-06,7.63904089366311e-06,1.87509914948122e-06,8.71973377493821e-06,3.19121168714307e-06,1.77200891799522e-05,-3.87569697159629e-07,-7.50247241929665e-06,2.47028361066895e-06,-2.28522996388971e-06,6.78085599976585e-07,7.22562054755072e-07,-2.20966835492319e-06,-5.95506557672591e-07,-2.61749660537638e-06,4.09337196490048e-06,2.00031494435258e-06,1.27962841942835e-06,1.59869029249411e-06,3.66485116819744e-06,-2.35276323793062e-06,-3.32956867237388e-06,-4.27307917189739e-07,-3.2098008153424e-06,-1.71486760768113e-06,-7.05529606266566e-06,2.9770835302708e-06,4.69551451721034e-06,-0.000338334638399473,-0.000176635875213956,-0.000119520927537832,-7.90749967189886e-05,-0.000223634708774909,-6.80483186985623e-05,-0.000662648829101838,-0.000319343004463073,-0.000300068506978799,-0.00019762158561461
