"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_asc_same",0.100255258675918,0.232818098040114,0.430616260161372,0.233062262660806,0.430165130687962
"b_City_Midwest_same",-0.101372499907852,0.150532895826315,-0.673424232965099,0.149136447757667,-0.679729881139268
"b_City_South_same",-0.103234654973007,0.136256830349086,-0.757647559454622,0.136200761671937,-0.757959454159777
"b_City_Northeast_same",-0.154627074592162,0.140074499135862,-1.10389168296926,0.139595361434452,-1.10768060631276
"b_Age_GenZ_same",0.373273301376803,0.229285293477652,1.62798623372321,0.227562715917207,1.64030957299969
"b_Age_Millenials_same",0.0153206871814528,0.12041117315408,0.127236424827854,0.120086822174793,0.127580086673896
"b_Age_Older_same",-0.251664700648549,0.162158113889241,-1.5519710646144,0.162164389450956,-1.55191100524977
"b_Inc_Mid_same",0.391180958609177,0.169639256806682,2.30595774806393,0.169658771781169,2.30569250562377
"b_Inc_High_same",0.196070390029196,0.169050004908135,1.15983664203822,0.167553893132229,1.17019298306881
"b_Hel_same",-0.0148781585540043,0.0590647161146021,-0.251895878499383,0.0581264484189122,-0.255961940884101
"b_Vdc_same",-0.000763800972291894,0.0476511208942909,-0.016029024248691,0.04786542759646,-0.0159572578925082
"b_Edc_MoreBachelor_same",-0.29158353378197,0.142083047080004,-2.05220495882092,0.141737943978418,-2.05720166102007
"b_Gen_NonMale_same",0.303767492967398,0.107653575235627,2.82171300212302,0.107254677101506,2.83220742606787
"b_Chl_Yes_same",-0.0962515583617545,0.111372118208311,-0.864233884657964,0.111475499958565,-0.863432399025171
"b_Ngh_NonUrban_same",-0.0272046700586671,0.112291190463851,-0.242268961138361,0.111698542977297,-0.243554386060312
"b_asc_more",0.787923540199323,0.2543564131535,3.09771446463913,0.252646459936738,3.11868031080514
"b_City_Midwest_more",-0.148068312980279,0.180640373296625,-0.819685601164807,0.181874298795198,-0.814124447275607
"b_City_South_more",0.0540885139090468,0.160509079761291,0.33698102306416,0.159345163202277,0.339442458258901
"b_City_Northeast_more",-0.181761213470562,0.166642137578016,-1.09072780817797,0.166346281347467,-1.09266772901821
"b_Age_GenZ_more",0.913001774281956,0.24569501673248,3.71599630478488,0.256795525331744,3.55536481059195
"b_Age_Millenials_more",0.302782345690631,0.143840823867093,2.10498200406859,0.142531975512132,2.12431171744237
"b_Age_Older_more",-0.00694697360283662,0.222007579224274,-0.0312916055709014,0.215206895119197,-0.0322804415675849
"b_Inc_Mid_more",-0.373257156858752,0.181077733795736,-2.06130896954897,0.185251903994194,-2.0148627291326
"b_Inc_High_more",-0.818620466516455,0.186534783551187,-4.38856738100975,0.187162227544455,-4.37385511626279
"b_Hel_more",-0.316361481978477,0.066052935143822,-4.78951436888671,0.0669215809526412,-4.72734620842803
"b_Vdc_more",0.0891446164673016,0.0585453447067302,1.52265934915665,0.0616607388677188,1.44572734781113
"b_Edc_MoreBachelor_more",-0.656502490965725,0.160833158420059,-4.08188521207232,0.161527335657315,-4.06434296891094
"b_Gen_NonMale_more",-0.0174501185197522,0.130978532726226,-0.133228844120791,0.130277214184436,-0.133946052108911
"b_Chl_Yes_more",0.573874776390568,0.133444527097451,4.30047442838537,0.132641513961576,4.32650954630096
"b_Ngh_NonUrban_more",-0.612142744463831,0.130433509247534,-4.69314019070144,0.130661710426516,-4.68494360333741
"d_A01_1_FL4",0.442774279714875,0.0275433652505234,16.0755330979921,0.0277206293185829,15.9727354897407
"d_A01_2_FL5",0.4552184811764,0.0326909446230507,13.9249105960499,0.0460395937952546,9.88754338712955
"d_A01_3_FL3",0.609385606762271,0.0288619234159542,21.1138252284814,0.0361063345526094,16.8775261824031
"d_A01_4_FL2",0.519095948468421,0.0272548930018143,19.0459727152063,0.0364560050059519,14.2389696398076
"d_A01_6_FL3",0.597015552277203,0.0288715635220091,20.678324255702,0.0371346828930019,16.0770338068435
"d_A02_1_FL1",0.804491919398158,0.0205821521810317,39.086870620827,0.0191115366119204,42.0945701925598
"d_A02_3_FL2",0.703584761040798,0.0266169153736103,26.4337452768241,0.0351496925668506,20.0168112339151
"d_A03_1_FL5",0.382777704148487,0.03206379791492,11.9380026397426,0.044790466560523,8.54596376287484
"d_A03_2_FL5",0.343678978585483,0.0318921715825927,10.7762802446814,0.0408453501380534,8.41415185385561
"d_A03_3_FL3",0.446205641023713,0.0289452851287532,15.4154861159225,0.0303833757361668,14.6858481064885
"d_A03_4_FL2",0.382766194685973,0.0278480797417972,13.7447967053714,0.0298112734039051,12.839645911799
"d_A03_5_FL5",0.383258209002154,0.0308116357259457,12.4387491923845,0.0364289084755074,10.5207162399563
"d_A04_1_FL2",0.556728759181339,0.0271364189097866,20.5159258866157,0.0321233531311184,17.3309665684317
"d_A04_2_FL5",0.423195890067057,0.0322234132172764,13.1331801263115,0.0442608876035964,9.56139637002378
"d_A04_4_FL4",0.582711877190437,0.0271189266486701,21.4872765703289,0.027050660633538,21.5415026303638
"d_A04_5_FL4",0.409093055800174,0.0285433755429441,14.3323292364172,0.0309902966275951,13.2006821591988
"d_A05_1_FL5",0.489626952197167,0.0299492837955897,16.3485362634705,0.0323864687200555,15.1182568383555
"d_A05_3_FL4",0.418198760418833,0.0280679082230689,14.8995342686462,0.0315639529716482,13.2492517903088
"d_A05_4_FL1",0.814786821715141,0.021238380302663,38.3638869868517,0.0211196655525305,38.5795324120328
"d_A05_5_FL4",0.517972331045233,0.0281580283855525,18.3951917354767,0.0304284779766855,17.0226171497012
"sigma_A01_1_FL4",0.905377977088483,0.0158256522887973,57.2095203765715,0.0217201812584453,41.6837210663909
"sigma_A01_2_FL5",0.898791771074626,0.0180154451214716,49.890067384647,0.0222794290741287,40.341777524197
"sigma_A01_3_FL3",0.813360439341244,0.0179633462227966,45.2788934340662,0.0241219245839812,33.718720764154
"sigma_A01_4_FL2",0.871455561410955,0.0158887174777609,54.8474452158089,0.0213641798149517,40.7904992824048
"sigma_A01_6_FL3",0.821671261097424,0.0177024882265065,46.4155801480557,0.0212745524450263,38.622258363396
"sigma_A02_1_FL1",0.619112357251647,0.0167958394837524,36.8610546588368,0.0185120191850173,33.4438048634222
"sigma_A02_3_FL2",0.747284085199125,0.0176008861398797,42.4571853519321,0.0198718262936817,37.6052041797852
"sigma_A03_1_FL5",0.929515444380549,0.0167569661234225,55.4703898984015,0.0186024996766385,49.9672334652885
"sigma_A03_2_FL5",0.943542150078834,0.0163705910465481,57.6364132117142,0.0150297247110551,62.7784053413042
"sigma_A03_3_FL3",0.904618922918189,0.0163789614369994,55.2305423269813,0.0175430125050727,51.565768573477
"sigma_A03_4_FL2",0.932187278884203,0.015558531996104,59.9148608054816,0.0148213417801424,62.8949316945883
"sigma_A03_5_FL5",0.92932556083177,0.0164580300873227,56.4663909289855,0.0151710611071406,61.2564641503133
"sigma_A04_1_FL2",0.850488327159845,0.0163804826620651,51.9208343676868,0.0182244299864321,46.6674857755785
"sigma_A04_2_FL5",0.91316243308381,0.0172954251825884,52.7979175674216,0.0200278336987729,45.5946682411168
"sigma_A04_4_FL4",0.82951152871314,0.017251793217116,48.0826264419956,0.0175652748977882,47.2245116310473
"sigma_A04_5_FL4",0.919793284334063,0.0159175646191889,57.7847997692585,0.0192062984583723,47.8901901023574
"sigma_A05_1_FL5",0.881895177706959,0.0172474443571302,51.1319334880113,0.0167462029417819,52.6623964114649
"sigma_A05_3_FL4",0.916030858865125,0.0158293272536812,57.8692223734333,0.0202653742688719,45.2017735627105
"sigma_A05_4_FL1",0.606159101570405,0.0174970855232501,34.6434325170865,0.0186011749962754,32.5871404194509
"sigma_A05_5_FL4",0.868010240044778,0.0166978941560237,51.9832160830681,0.0186948488664224,46.4304497055229
"lambda1_same",-0.0458146636422571,0.0648615062598662,-0.706345971348579,0.0646917712786034,-0.708199246005345
"lambda1_more",0.288373302277407,0.0784329014761596,3.67668793134041,0.0791634223585088,3.64275941698738
"lambda2_same",8.1422465179036e-05,0.0711531218512815,0.00114432737539217,0.0682100394782007,0.0011937020679347
"lambda2_more",0.144996045836171,0.0899907740773905,1.61123234378979,0.0912390589247189,1.58918830975456
"lambda3_same",-0.156538250174662,0.0776016020154862,-2.01720384771725,0.0790536960091566,-1.98015093635255
"lambda3_more",-0.295692394929992,0.0914980147354856,-3.23168099094629,0.0926553286386387,-3.19131559160737
"lambda4_same",-0.175669185146308,0.077750939979014,-2.25938342602319,0.0776186497411619,-2.26323423213518
"lambda4_more",0.0081332096270032,0.0932028837025673,0.0872634976934642,0.0940709535777249,0.0864582457993608
"lambda5_same",0.171170680942847,0.0754651535883209,2.26820821006501,0.0768101964417797,2.22848904015745
"lambda5_more",0.418973852232962,0.0894363124763974,4.68460562194501,0.095166453403592,4.40253720978897
