"b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-63840.2487436658
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-63840.2487436658
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-63840.2487436658
0.0348799978382886,0.00607999972999096,0.00522666610777378,0.00426666811108589,0.00266666524112225,0.0117333326488733,0.0058666686527431,0.0170666677877307,0.0198399997316301,0.0554666644893587,0.00938666751608253,0.0267733330838382,0.0317866681143642,0.00213333172723651,0.0335999997332692,-0.0531200016848743,-0.00927999848499894,-0.0110933324322105,-0.0117333326488733,0.00650666654109955,-0.0145066669210792,-0.0184533349238336,-0.0120533350855112,-0.0483200000599027,-0.0997333345003426,-0.0232533342204988,-0.0586666655726731,-0.0331733329221606,-0.00458666821941734,-0.0511999987065792,0.913753722794354,0.926996461581439,0.903551440220326,0.907843791879714,0.904173351824284,0.892786322161555,0.94278370635584,0.9247927358374,0.914261256344616,0.874932325910777,0.881202569231391,0.921802894677967,0.906865023076534,0.925797120667994,0.936030928511173,0.908852549269795,0.936602772213519,0.908342568669468,0.891312757972628,0.924601190723479,0.873197162523866,0.884991012513638,0.812645793426782,0.84408090589568,0.811401970218867,0.744827360846102,0.774201069958508,0.889398464001715,0.910461422987282,0.869884022045881,0.897363348864019,0.895378148648888,0.846038441173732,0.887389696668833,0.828642751090228,0.882999507244676,0.865778388921171,0.884019466117024,0.747774484567344,0.851502228993922,-0.0167383393272758,0.0204511219635606,-0.00847948249429465,0.00954397488385439,-0.00846488866955042,-0.00435573281720281,-0.0178400264121592,0.00670315930619836,-0.00388605054467917,0.0250723282806575,-62341.5467711866
0.00865962971068695,0.00272273898067425,-0.00429535259793361,-0.00506201997236685,0.000483313144866497,-0.00429736521699419,0.00207157852993647,0.0169675902198531,0.00804327460818302,0.0158715104531399,-0.0338013873800035,0.00514597241117725,0.0393856047957701,-0.0316154494096008,0.0341788756309477,-0.0462298713907195,-0.00950382064751626,-0.00838838017139585,-0.0115833785788672,0.0221251433329,0.000357672952718253,-0.0315305451601497,-0.00311296593400173,-0.0729815926569375,-0.112892164712381,0.00596408442244827,-0.0769365201397363,-0.0402872289298122,0.0292173629582983,-0.0733623363477215,0.779127675123173,0.815834274633999,0.783603570961286,0.772887367171802,0.781091282469545,0.786555349565914,0.881555870058297,0.80651120360696,0.780518598547253,0.688800280513385,0.69645294208286,0.800701024587222,0.773774798497981,0.814008212442828,0.845809581139742,0.768191499025569,0.84045342328445,0.765232174899202,0.78734860129563,0.814149082143235,0.909834294147012,0.912542455486431,0.775603633902554,0.854788531747434,0.782962084676101,0.564372101947509,0.723066765741286,0.924713639470449,0.944662436177578,0.900675455970671,0.938555375249196,0.92703759056186,0.849971679439154,0.912397905018862,0.840934344144883,0.917384517147531,0.893371685220694,0.921927795429292,0.560098786909366,0.870627000433618,-0.0433145095459531,0.0538087579484591,-0.0226561837786175,0.0247765982508191,-0.0212560070283331,-0.0121563836922693,-0.0469093061577735,0.0201784124256058,-0.0093754107634558,0.0620798349685791,-61685.9433552788
0.000222223382279287,0.00253962619294319,-0.012804340701734,-0.0136352663965412,-0.00061126914035305,-0.0146076415508663,-0.000937275459935927,0.0303346706645445,0.00780682166062547,0.00810922397244718,-0.0654662967753403,-0.00201111716362543,0.0695629094427353,-0.0690723050555851,0.0555682899346921,-0.0522138650504128,-0.012744691195704,-0.0075322726377067,-0.0154289295546741,0.0493348281765553,0.0177418557484403,-0.0563521483411302,0.00586655958476505,-0.127462111285063,-0.167269909914958,0.031754545316375,-0.12578268162884,-0.059968539800931,0.0779472407216693,-0.122192637733995,0.54899423713275,0.616059787495452,0.606157148609683,0.5524029130706,0.592754900586944,0.748216449007103,0.772063063413011,0.5909962012435,0.545771434393816,0.399286832702929,0.404545594140755,0.584727274750561,0.563941222794114,0.611804293379,0.673242576938856,0.526156004234066,0.661767947546817,0.523724251287672,0.76309802600005,0.618495245995423,0.890714402414654,0.892139245756069,0.7856647113138,0.84869140108277,0.799040296626054,0.662091938052574,0.719772881433318,0.913429401201523,0.929590351342842,0.905528085214554,0.925922463328792,0.910596057896078,0.832100448073776,0.895500137415105,0.825608898918474,0.905236492639486,0.869570966703735,0.902731100990541,0.646144111408935,0.850397332285721,-0.0864264966018105,0.114300447711455,-0.0458558067629142,0.0491762550411666,-0.0375067222327042,-0.034780241841865,-0.093616927390694,0.0404909303950818,-0.0146129005181322,0.126717563981587,-60984.8058133155
0.0115753854391922,0.00440040528933222,-0.0133477456947109,-0.0139454267839848,-0.000200219131685918,-0.00992781623195903,-0.00359207416088077,0.0431448395806127,0.0166706631489956,0.0335569582844351,-0.0446122822461451,0.0085660226117524,0.0867414307000293,-0.0718610777890696,0.0692641165278262,-0.0469813277506972,-0.0128935403970714,-0.00514616331421133,-0.0161384307808862,0.0633463399207859,0.026874000597927,-0.0639517869455212,0.0102529798694007,-0.148637679653733,-0.183346015886877,0.0314527402092038,-0.144279771064744,-0.0619100881972264,0.0992766078705169,-0.136418347553396,0.508209043779301,0.55638697425951,0.62379815430392,0.549664953568973,0.605389708873092,0.791203891730382,0.729538192013364,0.516435446394697,0.47565650473149,0.430291089433932,0.402752690231014,0.513197061420525,0.578627363431235,0.541863203855556,0.629435267069977,0.478226337711845,0.600849432218668,0.483170570732231,0.801473034763014,0.580192697922942,0.88120291888717,0.875396111920889,0.843285208071719,0.873875195461479,0.847165885133363,0.619391662462929,0.741941161331379,0.895066779160019,0.912554726639988,0.909676960843694,0.920578368986907,0.900846942747802,0.864940821744722,0.890462346956523,0.807278250093625,0.896386793396747,0.851390157948747,0.892834884690721,0.609319970394118,0.847743587581506,-0.0890980822530628,0.131018141484306,-0.0489499448849895,0.0540278477667084,-0.0383490379476517,-0.0534722812357533,-0.1035737192608,0.0443493918764063,-0.00824932042891214,0.153847891680945,-60894.4342915225
0.00842410156470728,0.00381468428571783,-0.0176559085641265,-0.0175629812209427,-0.000925834494604144,-0.0106939802087068,-0.0105246776970496,0.0536655986214021,0.0183866171072629,0.0385568515997257,-0.0299243929318871,0.00821541133708165,0.0975539265716741,-0.080991998056124,0.0736163144972323,-0.0290559846900477,-0.0112099284641969,0.000361369416623286,-0.0147321065957915,0.0810425390450796,0.0419414421621066,-0.07022043824612,0.0181844815274163,-0.167291674331195,-0.184873206149727,0.0368679056348535,-0.157518217202378,-0.0575756637764879,0.128555106005963,-0.145246722157057,0.490377455219188,0.509280953829837,0.625481432353776,0.560131779183066,0.612315292190663,0.835175775834622,0.706748735919889,0.457275775677658,0.421848588789562,0.489958886284655,0.431548964707738,0.455668264756827,0.593475122688799,0.485076833530589,0.612129456823226,0.456162037226427,0.553995860075587,0.466439323705563,0.837821052000542,0.559067064547799,0.891727686967392,0.889077334241934,0.808889326582355,0.852958506618552,0.81735853648025,0.61120284431318,0.748208260814433,0.909409048773165,0.925437130390415,0.890978394360872,0.920364357236645,0.910690632165536,0.835836136150411,0.896584985050386,0.822137543800366,0.905767477940417,0.863100958292359,0.903285781645891,0.604640593110609,0.854841426577114,-0.0871787071616596,0.14775143865806,-0.0503551710763043,0.0587109533824734,-0.039755320148296,-0.0755711819855061,-0.110861165894249,0.0471751501028419,0.00309367383615219,0.184050870662387,-60847.4959880775
-0.00142637039925495,0.00209336785887474,-0.0224194024398219,-0.0217070338225618,-0.00175499586494767,-0.0140510311942449,-0.017466010738858,0.0596047065888411,0.0151885545844559,0.0293564963500347,-0.0281052387335902,0.00152119171340153,0.101032923958507,-0.0898815159324999,0.0714922007828641,-0.0160789995702808,-0.0100342898149563,0.00441803424689965,-0.013828279288239,0.0939061354186019,0.0521476046877408,-0.0739914139632029,0.0226988093331549,-0.180180051625255,-0.185313240850061,0.0407382617431285,-0.167217864539972,-0.0537484056641018,0.148247584145462,-0.151302528410505,0.490550879005577,0.496748869552383,0.635612653443052,0.56292258332294,0.623430470975899,0.81618172110094,0.718430436700629,0.443532550101139,0.409093968078127,0.503068547879602,0.437687657666121,0.442995564285563,0.596997344413249,0.473491299901213,0.613151347210637,0.458842498874127,0.542176660604261,0.467877540821213,0.825111924544758,0.558378215236058,0.88753321698283,0.886359104993665,0.803838671774102,0.862753129596943,0.810752553696509,0.618764743088237,0.744387267443062,0.912390047303802,0.927083605743356,0.881607479148059,0.91521907089395,0.91351902786228,0.842441680616166,0.901502971415993,0.814951850323644,0.903015022208815,0.863996674972489,0.897978792884113,0.609390951963057,0.853457153278326,-0.0847018737850812,0.157440794091724,-0.0506512059509401,0.0612990092939277,-0.0426144415627967,-0.0898862420001474,-0.113607087495943,0.0473867063927404,0.013028664160852,0.20211552962667,-60838.0948427782
-0.00467206583032365,0.00123368199047469,-0.0270984859724785,-0.0256719856960308,-0.00183121299180191,-0.0135941244146064,-0.0270907637992362,0.0734656960127171,0.0163142679125782,0.0330347903015997,-0.0176406100326822,0.000199515824094611,0.112012438412166,-0.0964986100449053,0.0750829420242584,-0.00502537458271318,-0.00971700346630451,0.00877927255633976,-0.0144460849878319,0.113317868707534,0.0633041599874667,-0.0804682707896113,0.0254623138790903,-0.204485906381498,-0.199479709900028,0.0390459479729057,-0.189689533859725,-0.0515842596834357,0.172867074974793,-0.165944102220691,0.493839683910781,0.491305732371138,0.647617606506208,0.55929511168093,0.637186457537449,0.800141883180032,0.732971937744498,0.434866598875739,0.401635580367947,0.50785075343269,0.440205578067436,0.434801252296501,0.59402066218487,0.464712625442432,0.620681783964621,0.464378049471069,0.534254243892315,0.472069769768144,0.809135414516716,0.560122270654795,0.89105978316528,0.890022480849498,0.807718307876714,0.851851600968937,0.814058581369994,0.627290929863191,0.73958612784167,0.91036123999518,0.925325009015997,0.890388214367956,0.919182234795317,0.912146940360852,0.837249589507361,0.898532681507418,0.821948893892053,0.903436398349029,0.86514415924914,0.902463655001249,0.609750551800625,0.855383645737233,-0.0802496798841391,0.169725608645795,-0.0506105190108757,0.064989598881457,-0.0474702966174863,-0.110962952273505,-0.116665129154524,0.0460656933237804,0.0292038910719814,0.226988793102602,-60830.513006576
