"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",1,-0.196579199618396,-0.2040293828367,-0.206516952814971,-0.269691171265734,-0.371678770701752,-0.253002939756845,-0.438977808963141,-0.433668564897384,-0.363291340639975,-0.0170396961627745,-0.323347752213661,-0.226194641389745,-0.268509702074885,-0.302866428454314,0.451426434189359,-0.0784717425270619,-0.0797342821716952,-0.09470409543453,-0.0936144745601264,-0.163455081194048,-0.0878538819903252,-0.19281417971282,-0.173647949344894,-0.140191717536479,-0.00457675520428583,-0.14665726405864,-0.0869622996501096,-0.135297932643278,-0.126600815998453,0.0300380612412329,-0.0261113343194957,-0.0226197339272031,-0.000988109000852496,-0.0182962019817944,-0.0167193643073532,0.0111327209698494,0.0448832800869175,0.0291766090521864,0.000484082709929152,0.0147719677848315,0.0377046425836973,-0.0154223910396512,-0.0321995505546236,-0.057292855927698,-0.0183405561071439,-0.0171130719834832,0.0175475020683735,0.00190310864285648,-0.0252529041470553,-0.0169055472571575,0.0164166272063035,0.0276477687199773,-0.0504853515073938,-0.0278354221985831,0.029633024581887,-0.0174246477115484,-0.0547046390731838,-0.0271134684064311,-0.0165506999829779,-0.0421846281953688,0.0115862380034965,0.00517535065920514,0.0215059735893017,0.0158732063909935,-0.0175315067694599,0.0251480586805654,0.0200924878285957,-0.0375088971931825,-0.00982081773756559,0.0598658137340784,0.0218234713245505,0.00723460003633392,0.00864046462471719,0.00130913435626329,-0.0100191747285188,0.103905007408878,-0.00408258214107542,0.060870907816389,0.0464537749520407
"b_City_Midwest_same",-0.196579199618395,1,0.311459128815752,0.300489962203373,-0.0295245675781213,-0.00346890705283665,-0.00569678249836647,0.0471014545675435,0.0666307993958622,0.0200218420347157,-0.0272314481499619,-0.022606126237453,0.0102962540021456,-0.00103285498861119,-0.0442202205122759,-0.0923170704829269,0.457761778536142,0.14577396252266,0.135316352217145,-0.021402630595829,0.000831660210689597,0.0115852996897403,0.030929474119911,0.0160451459767024,-0.000429145103739708,0.00374318298941642,-0.0130588748971347,-0.0195762414961537,0.0161554062622665,-0.0324596125067962,0.0192682688530188,-0.0157974520307588,0.034364502974531,-0.0321291445756352,0.0350081609754373,-0.0201770083218552,-0.0293607542149059,0.0218256496111512,0.0180967710275969,-0.0159180047100244,0.00374915328795261,0.019014858216023,-0.00185133122046157,0.00844858526152922,0.0309491957654051,0.00875878105321649,0.0084241459257947,0.0167364060965686,-0.0304223719939282,-0.00268416172263184,-0.0261832150847858,-0.000901438818609708,-0.0146325544967786,0.0215826777353961,0.00329429172996614,0.00142638074499619,0.0436402793113013,-0.024929075214089,-0.0337152055271406,0.0363967339848138,0.00829555281601392,-0.0386124872031104,-0.0042590381872539,-0.0107484026896354,-0.040216831911819,-0.0055400493283455,-0.020839865937745,-0.0330041402524806,0.0327661960228533,0.0211006118359787,0.0353267217055349,0.0215520023820225,-0.00744813925886666,0.00289365337712114,0.018529313323789,-0.00268184451435366,-0.0149322850002885,-0.00600886489532213,-0.0044352050337442,-0.0214383255304165
"b_City_South_same",-0.204029382836698,0.311459128815752,1,0.330734906469518,-0.00449987121260206,0.0299785440805577,-0.00121638015678271,0.0543636185119431,0.0287132081424289,-0.00301408674728501,-0.0132254700782635,-0.0254275074223279,0.00920073755703607,-0.0186580727486831,-0.0249872785438846,-0.0867928971863238,0.1399229010303,0.451248104696836,0.151965317112632,-0.0146217866632875,-0.00497939834117843,-0.0096813904967919,0.0171746994321991,-0.0151544913816451,-0.00736460716186583,-0.00457506093330222,-0.00123024573530578,0.000402780148755332,-0.019661701665069,0.000901991847537513,-0.0249697058634042,0.0271729929450816,-0.00673770777645849,0.017432174731638,-0.00928660180081069,-0.0247376245838804,0.0396844713594181,0.00787235305891569,-0.0170909605014146,-0.0382173520764268,0.00292787354066375,0.0164372343501156,0.0152472733038802,0.0232669498753245,0.0148367189641165,6.0442604377488e-05,0.0457351735735558,0.00153027758117228,-0.0223738896303765,-0.020357161968842,-0.000548339667136077,-0.0273668049294615,0.00730842680366648,0.00326287337253177,0.0148006913265357,0.0163296310164505,-0.0058111906836728,-0.00856699749168524,0.011929474908291,0.0395433334499986,0.0435185352145774,0.00635458189970912,0.0196057273965191,-0.000908005073946256,0.0255572081392639,0.020060121164726,-0.0191502639328142,0.000190276993820756,0.0357200347822444,0.0299619773954383,0.0217323131000992,0.0210149806724404,0.00981986357699241,0.0260543799722189,-0.00941683192117288,-0.0133036702325562,-0.0684524368417105,-0.00925761979281248,0.00985231467978292,0.00817589095746489
"b_City_Northeast_same",-0.206516952814971,0.300489962203373,0.330734906469518,1,-0.0487398808954527,-0.000462474976355877,-0.0399559220439219,0.0221482235893774,0.0237104263586751,-0.00725998821047921,-0.0179292367382809,-0.0186696710193271,0.0313624468612382,-0.0200292325429897,0.0576583879052095,-0.0993168192697543,0.133430233977708,0.154974238259104,0.417794194687957,-0.0433312257038739,-0.0111933201351535,-0.0196851861653,0.00449117590019342,-0.0141148207285924,-0.0145627452120126,-0.0110463085713868,0.0210644975804623,0.0196294909018935,0.000920593010414546,0.0271705742560856,-0.014235652638902,0.0334626269059118,-0.00701065103094175,-0.0141145807871797,0.00777998111839107,-0.0205631674349963,-0.0153789423063881,-0.00177717371626333,-0.0303130872205204,-0.0241217770198737,0.00176333335171018,-0.00879157995432499,-0.0131535046174971,0.025663123027464,-0.00764412992250752,0.0107305674518804,0.0145295119909316,-0.00442995254110571,-0.0169830994472977,-0.00584069550402872,-0.0519870435548226,-0.0240970217896604,-0.0010436686696157,0.0131495968338269,-0.00884975401928309,0.0224751754353446,0.0061877319609622,0.00871434111852356,0.0340312869977473,0.0329761640524312,0.00861559018806773,0.00242031170226445,0.0097125472912149,-0.0205792451049366,0.00570031817967083,-0.0212112747177811,-0.0135868211575253,-0.015114542356945,0.0505999218142129,-0.0158868179489974,-0.0251329973793609,0.00181102812993714,0.00704213996600007,-0.0183014189932058,0.0199622491482195,0.0232053078140153,-0.0129145480685618,-0.00419026410756247,0.0373509050830273,0.00123450698039751
"b_Age_GenZ_same",-0.269691171265733,-0.0295245675781213,-0.00449987121260163,-0.0487398808954527,1,0.30037531837084,0.23471063639235,-0.0113749269497084,0.0291956249030823,0.0366573096587842,0.00229546412517273,0.224737751450506,-0.0499862801601914,0.0600484003610949,-0.0417002532069542,-0.103453143863445,-0.0244605683998415,-0.0144673115144953,-0.0437104070916764,0.574430650389509,0.127892882497772,0.0890125594147879,-0.0298986239938319,-0.0229313571069328,0.0157903132563713,-0.0354138534462355,0.120528745295939,-0.00148959824973144,0.0250333908292768,-0.0566657317003494,-0.0146003942391824,0.0359288336800991,0.0486906836647507,0.00483044795522568,0.0380035604243575,0.0612576224690846,0.00205904496039696,-0.0424177112067021,-0.0516579002429164,0.000617907779013194,0.0292629009735569,-0.0262203990333124,0.0258256954992544,0.0233157588925236,0.00249537987072221,0.0308029024524336,0.0298529353403306,0.0225919604686512,0.0337420076122255,0.0277319775276584,0.0192885883234349,-0.032741835121859,-0.0189790127681807,0.0333552933696342,-0.00287202512506509,-0.0758037754017454,0.0245974615324039,0.0514926670437726,0.076566925462153,-0.0170881502243072,0.0164478908767586,0.0221683223226999,-0.00636763434138507,-0.0202643753316735,0.0223306080494197,0.00577462558843961,-0.00832432759467115,0.0174779138987025,-0.0243927718354197,-0.0284397489699892,-0.0169442654985834,0.0209874113016959,0.0418128830305361,0.0450085960370879,0.0360267549146381,0.00761589186789148,-0.0566581861279248,-0.0195736788445068,-0.0433074413932603,-0.0169995684537167
"b_Age_Millenials_same",-0.371678770701749,-0.00346890705283723,0.0299785440805574,-0.000462474976356226,0.300375318370839,1,0.409038024480346,0.0407819178478954,0.112895854190213,0.0240191622257314,-0.0155022818546708,-0.0242381091824351,-0.0260333899196839,0.115936194245207,0.0577202500527939,-0.172510566960069,0.00269919624683133,-0.00592867981715143,-0.0104214440807274,0.132018601991092,0.43499731165162,0.1503547648604,0.0273010560059051,0.0646647672603174,0.00795439773745711,-0.00205723921232851,-0.0159317037150355,-0.0164129975723926,0.0334204496242058,0.0328891322255341,-0.0451242097247246,0.0578260712832134,0.0033032023689279,0.00825525640169443,-0.00770308632466778,-0.00945678545311923,0.0119850584326895,-0.0570051022053955,-0.0402990795587973,0.0111899136671979,-0.00764615962194084,-0.0385198282188711,-0.0108214500040394,0.0332319648634129,0.0298539180205698,0.0248798142610861,0.00242073293314583,0.00449914298923291,0.00010771350423256,0.0294200057274052,0.024220709132769,-0.0493643619493646,0.00645183062509512,0.0328074982722279,0.0207562580839899,-0.00103201940927868,-0.0114093113428292,0.0679923037816293,0.0455329665812164,-0.0187808883936197,0.0236635405262254,0.0135518492338382,0.0108308899243077,-0.0398522783867205,-0.00713068076009949,-0.0256203305860413,0.000599454124227059,0.000796394479969994,0.00824280495996031,-0.0227296477011332,0.00790217649496565,0.00487389124947903,0.0119173967645408,0.00339901242952008,0.0199972807037303,0.00302105682245419,-0.0522388169145742,-0.00739763696642009,-0.0430526183499905,-0.0197280509582841
"b_Age_Older_same",-0.253002939756844,-0.0056967824983667,-0.00121638015678282,-0.0399559220439221,0.23471063639235,0.409038024480346,1,0.0129117377611539,0.00497081946279945,-0.0636409125220551,0.0510557216172225,0.0280761592717531,0.00890564169363264,0.271561568665756,-0.0695386267898318,-0.114140834478808,0.0096609646439044,-0.0074722358946021,-0.020227422466995,0.110223737961129,0.173215307241084,0.358756827320656,-0.00065894856572731,-0.00192701518056162,-0.0348763094366141,0.0190392036756664,0.0164435382404134,0.00881809461720927,0.111090609335931,-0.0410251559049457,-0.0205020172213817,0.0267117453525266,0.00442616313095837,0.0103019086068372,-0.0079317325978446,0.0184361118221871,0.00820387729910687,0.00113843990067352,-0.0407236937777638,0.0117814263273836,0.0150498983906254,-0.018554419297637,-0.000903995440814987,0.0254910819255535,0.0594444034488278,0.00185610397806816,0.000802332577732739,0.00729613603032117,-0.00546276010088973,0.0285800244536152,0.0138365181831794,-0.000597065430112757,-0.012541471407569,0.0228256307584101,0.017811985595976,-0.00748845957346508,0.0128195193455684,0.04273169228735,0.043824950926375,-0.0250101019767461,-0.013865076092598,0.00246488165750932,-0.00891122151310209,-0.0272394476486302,0.00408290406169005,0.0396855277531946,0.00348485985538071,0.000897271022362409,0.00933272389295021,-0.00878626177658192,0.0545483637039543,0.0273631717321901,-0.0386035769106933,-0.0111482715044179,-0.0194588772007939,-0.0163724873066534,0.0665398929447618,0.0329830659533427,0.0497002848191295,0.0213759150477999
"b_Inc_Mid_same",-0.438977808963141,0.0471014545675436,0.0543636185119435,0.0221482235893773,-0.0113749269497081,0.0407819178478967,0.0129117377611545,1,0.752811157776743,0.0375588615051369,-0.0502889030809144,-0.217810998187796,0.0683099000886613,-0.0729155574271423,-0.019723036555177,-0.196994299692146,0.0311654409317144,0.0110815932928162,0.00565765980708107,-0.036786490501444,0.0247051445860846,-0.00178077280314433,0.518130170473619,0.373646273894116,0.0169223878087211,-0.0116133978284902,-0.143533329356718,0.0253097200640023,-0.0391061187091825,-0.0061549347225674,-0.0149800648442735,-0.00445799522239675,-0.0309026960195967,0.0173963122969404,-0.0145640682899802,-0.00577083593497906,-0.00927141226229308,-0.0084463395678823,0.0144996151035868,-0.0456041181644787,0.00118915043068392,-0.0059215557416302,0.000562698471121651,-0.0217189890724063,0.0551012890760343,0.00546443674101846,-0.021349897616691,-0.0291089691168837,-0.00530537799429186,0.00971998626250782,-0.0218596464900275,0.0056163658028523,-0.0175176409901748,-0.000653226493541446,0.00595717057778698,0.0103798386407214,0.00377217164746805,0.0282864998642466,-0.0133410638012215,0.0362345686058384,-0.00441610153014177,-0.0157577565965283,-0.00812456947880246,0.00316300589859952,-0.0394862471321069,0.0536399793355657,0.00803512872726504,-0.0221235227853311,0.036722352005734,-0.0202045999523428,-0.0346397525080021,-0.0366894074906022,-0.00104475655404006,-0.00796641015822316,0.00521199752614733,-0.00794175200510538,-0.042247363056794,-0.0173905010268608,0.0449500903707307,0.0207440253926454
"b_Inc_High_same",-0.433668564897384,0.0666307993958624,0.0287132081424292,0.023710426358675,0.0291956249030824,0.112895854190214,0.00497081946279981,0.752811157776743,1,0.0572149452276196,-0.0848525693976124,-0.329301276923528,0.0606495074669177,-0.0886314652963087,-0.0332464413580437,-0.183291859941695,0.0183048711215563,-0.0166033267621638,-0.0108825170683752,-0.0226030470607236,0.0619912615388582,-0.000907334061110341,0.384557395630248,0.4743797440285,0.00891571370482828,-0.0217901096468237,-0.180491600085264,0.00895890836188554,-0.0426028203064674,-0.00534659418312089,-0.0240473980438104,-0.0156937404225139,-0.0581796477162068,-0.00564618961568163,-0.0183551012738146,-0.0138656638923418,-0.0223637387280848,-0.00403776824109875,0.0232936492033236,-0.0243894136864823,-0.0212866295984483,-0.00241370713753407,-0.0234041768333926,-0.0425034619114453,0.0638641261045373,0.0178835234195725,-0.00368608433709964,-0.0319774989315816,-0.0114873108918271,0.0144729116823117,-0.0239915325766606,0.00763360293859422,0.00407785928139213,-0.000834948123044814,0.00456955183584507,0.0207042152986973,0.00239581233408615,0.00402859090155705,-0.0193854671664848,0.0159767861079366,-0.00101235826854422,-0.033522539881171,0.0175990249424263,0.0213432183088403,-0.0399437677575286,0.00093926406316916,-0.0183848547937962,-0.0194738358369231,0.0493117311308416,-0.0392326718754587,-0.0643767879142533,-0.0505558103701907,0.000816176200731122,-0.0102706571029667,-0.0440878816890745,-0.0238145357175638,-0.0475221305998296,-0.00527322336948939,0.0886398541878396,0.037325761910936
"b_Hel_same",-0.363291340639974,0.0200218420347156,-0.00301408674728493,-0.00725998821047949,0.0366573096587839,0.0240191622257322,-0.0636409125220553,0.037558861505138,0.0572149452276211,1,-0.0990791250754256,0.0194987597688783,-0.0879018397966607,-0.00250241678380741,0.0338794937887481,-0.150165719191528,-0.00268672253891255,-0.00540789804361384,-0.016240206993442,0.00827920342461052,0.00621920650482216,-0.032412499879244,0.0141624320152239,0.00301922830664139,0.437251925493248,-0.041162900633966,0.0122305224189666,-0.0494479991617788,0.0203997993495764,-0.00624797018502858,0.00809945231709699,-0.0109118415930825,0.013953343780789,0.0108353649278665,0.00320207302898589,-0.0149322698415448,-0.0144628262616161,0.0131539349892696,0.0186683258475347,0.0229103995815401,-0.0103010199011296,-0.0103682023089116,-0.0188361103408152,-0.00554776327347459,-0.00378336288738139,0.0292935666362841,0.0271717298449602,0.0306284379599937,-0.0113398889666783,-0.0053858026463852,0.0147009376958703,0.0113604196792882,-0.020283092328291,0.0260445452830811,-0.00845692577620575,-0.00460572633421437,0.0423535178053206,0.00628432649368203,-0.00059511322924035,0.00205732572255791,0.0486928647914698,0.0120709822677426,0.0213177454719087,0.00569940344383523,0.00847234586171313,-0.00655748753285241,-0.0344214890578156,0.00148997894768806,0.0235599009171592,0.0336208682234629,-0.0715108244063232,-0.0494419230060601,-0.0103809639399075,-0.000900638368263733,-0.0517045326448671,-0.0283382826965333,-0.193720136182652,-0.0663882748937251,-0.056274161670441,-0.0284948493047518
