"","b_asc_same","b_City_Midwest_same","b_City_South_same","b_City_Northeast_same","b_Age_GenZ_same","b_Age_Millenials_same","b_Age_Older_same","b_Inc_Mid_same","b_Inc_High_same","b_Hel_same","b_Vdc_same","b_Edc_MoreBachelor_same","b_Gen_NonMale_same","b_Chl_Yes_same","b_Ngh_NonUrban_same","b_asc_more","b_City_Midwest_more","b_City_South_more","b_City_Northeast_more","b_Age_GenZ_more","b_Age_Millenials_more","b_Age_Older_more","b_Inc_Mid_more","b_Inc_High_more","b_Hel_more","b_Vdc_more","b_Edc_MoreBachelor_more","b_Gen_NonMale_more","b_Chl_Yes_more","b_Ngh_NonUrban_more","d_A01_1_FL4","d_A01_2_FL5","d_A01_3_FL3","d_A01_4_FL2","d_A01_6_FL3","d_A02_1_FL1","d_A02_3_FL2","d_A03_1_FL5","d_A03_2_FL5","d_A03_3_FL3","d_A03_4_FL2","d_A03_5_FL5","d_A04_1_FL2","d_A04_2_FL5","d_A04_4_FL4","d_A04_5_FL4","d_A05_1_FL5","d_A05_3_FL4","d_A05_4_FL1","d_A05_5_FL4","sigma_A01_1_FL4","sigma_A01_2_FL5","sigma_A01_3_FL3","sigma_A01_4_FL2","sigma_A01_6_FL3","sigma_A02_1_FL1","sigma_A02_3_FL2","sigma_A03_1_FL5","sigma_A03_2_FL5","sigma_A03_3_FL3","sigma_A03_4_FL2","sigma_A03_5_FL5","sigma_A04_1_FL2","sigma_A04_2_FL5","sigma_A04_4_FL4","sigma_A04_5_FL4","sigma_A05_1_FL5","sigma_A05_3_FL4","sigma_A05_4_FL1","sigma_A05_5_FL4","lambda1_same","lambda1_more","lambda2_same","lambda2_more","lambda3_same","lambda3_more","lambda4_same","lambda4_more","lambda5_same","lambda5_more"
"b_asc_same",0.0543180182765744,-0.00683271514557135,-0.00647655727599997,-0.00671890737857329,-0.0143034168689274,-0.0104024363436348,-0.00956209418704205,-0.0173576466676019,-0.016934969718766,-0.00492153743220815,-0.000190088458100834,-0.0106813939601329,-0.00565419146039794,-0.0069760786765612,-0.00788443546414525,0.026581051827931,-0.00332626301560013,-0.00296111948792717,-0.00367158693187814,-0.00560276509493847,-0.00542978569085852,-0.00440645253723986,-0.00832479615282332,-0.00757460208030387,-0.00218655550917353,-6.57715939536647e-05,-0.00552104855849115,-0.00264041041655373,-0.004182563944196,-0.00385528778563308,0.00019406487743669,-0.000280177016929592,-0.000190345604486719,-8.39548691390547e-06,-0.000158348015211286,-7.44710240983067e-05,9.119999475766e-05,0.000468535101323093,0.000277747013537423,3.42789534249432e-06,0.000102633901371727,0.000320120101082721,-0.000115463452943616,-0.000332155835842155,-0.000361202132634927,-0.000132467759665528,-0.00012917055708302,0.000129085852831475,9.3674757292608e-06,-0.000179086776072496,-8.55784936357629e-05,8.52432407447163e-05,0.000155433276382387,-0.000251375858880739,-0.00013801624389397,0.000127850294108301,-8.07000394470464e-05,-0.00023717418730884,-9.49747286340277e-05,-6.76694267770152e-05,-0.000145718169275242,4.09666415193059e-05,2.19819235465027e-05,0.000100384126233013,6.49817753705938e-05,-7.84756416790531e-05,9.81505581159547e-05,9.48987083219619e-05,-0.000162609768875305,-4.27899292239844e-05,0.000902609480794048,0.00040264318418631,0.000115009783404147,0.000183734136255813,2.41200585800505e-05,-0.000216358673319383,0.00187963931197236,-8.95081201753986e-05,0.00108968409763142,0.00103033120851312
"b_City_Midwest_same",-0.00683271514557132,0.0222416800497753,0.00632651286189603,0.00625582730205638,-0.00100200167716138,-6.2125773680577e-05,-0.000137774525616827,0.00119177544262482,0.00166499656320897,0.000173564784379112,-0.000194391143690725,-0.000477854930794803,0.000164694570533476,-1.71712762352821e-05,-0.000736634757078189,-0.00347839602667196,0.0124163702425376,0.00346419746127239,0.00335696778086256,-0.000819668795822403,1.76783620127535e-05,0.000371832416425642,0.000854513662284393,0.00044786350287127,-4.28305990379171e-06,3.4421800053948e-05,-0.000314583243214667,-0.000380348380671321,0.000319581145084421,-0.000632521751115271,7.96580328756966e-05,-0.000108468172483115,0.00018504496106462,-0.000174683559360876,0.000193879910915656,-5.75090474716457e-05,-0.000153912018160917,0.000145792962070778,0.000110237031345192,-7.21287569575302e-05,1.66685383824749e-05,0.000103305404983836,-8.8692886971082e-06,5.576836404921e-05,0.000124856466081166,4.04811832177824e-05,4.06886492543399e-05,7.87838839730405e-05,-9.58217070448294e-05,-1.21807127881668e-05,-8.48145208677957e-05,-2.99518814566078e-06,-5.26400023643958e-05,6.87662505397003e-05,1.0452165628664e-05,3.93797589841449e-06,0.000129332924572036,-6.91610006357245e-05,-7.55719505971836e-05,9.52248685903663e-05,1.8336508726418e-05,-8.73629980855318e-05,-1.15757538208995e-05,-3.21041887474096e-05,-0.000105352925884472,-1.58686908557664e-05,-5.20469237319111e-05,-9.97486088306202e-05,9.08971356905077e-05,5.88302645622349e-05,0.000340828712526462,0.000254446207467958,-7.57669636886433e-05,3.93741415835281e-05,0.000218456664846625,-3.70584960596199e-05,-0.00017285269229011,-8.43008163546046e-05,-5.08061600323676e-05,-0.000304269583737414
"b_City_South_same",-0.00647655727599991,0.00632651286189603,0.0185506474800157,0.00628826097527185,-0.00013946997689793,0.000490326568179095,-2.6866083134813e-05,0.0012562156835502,0.000655263200339752,-2.38621225421712e-05,-8.62209088696095e-05,-0.000490873350287624,0.000134405926527365,-0.000283286414170238,-0.000380142128839584,-0.0029865991636861,0.00346608867261606,0.00979340720070946,0.00344300072106605,-0.000511407898508749,-9.66648788834245e-05,-0.000283774557880994,0.000433342577290997,-0.000386312807583515,-6.71267026157067e-05,-3.84224578980691e-05,-2.70655859738995e-05,7.14687287878559e-06,-0.000355205849108028,1.6052049399215e-05,-9.42748930220438e-05,0.000170391723394062,-3.3134094710001e-05,8.65565986402921e-05,-4.69695154406203e-05,-6.43921813403283e-05,0.000189986029490236,4.80252556792289e-05,-9.50798811250185e-05,-0.000158152533683815,1.18880980605596e-05,8.15557229624632e-05,6.67102538402249e-05,0.000140261703602691,5.46632290490955e-05,2.55122310011476e-07,0.000201740672837821,6.57871601827543e-06,-6.43588187153277e-05,-8.4367853129648e-05,-1.62215610568239e-06,-8.30438911220079e-05,2.4011284486952e-05,9.49436624619284e-06,4.28866348540376e-05,4.11727333395926e-05,-1.57283239197126e-05,-2.17059841567799e-05,2.44203503494379e-05,9.44837204934252e-05,8.7849911346938e-05,1.31305366218878e-05,4.86649688419264e-05,-2.47686187434795e-06,6.11431623823334e-05,5.24755212836316e-05,-4.36787951492515e-05,5.25194835188716e-07,9.04965010334034e-05,7.62907644906412e-05,0.000191484899867673,0.000226586010241799,9.12290792214103e-05,0.000323773332947392,-0.00010139266414608,-0.000167888677566604,-0.000723659941852107,-0.000118613582504676,0.000103071046777304,0.000105973800977422
"b_City_Northeast_same",-0.00671890737857329,0.00625582730205639,0.00628826097527185,0.0194868649340154,-0.00154830515384742,-7.75272856162143e-06,-0.000904498052116968,0.000524549171357312,0.000554580856519517,-5.89088698389937e-05,-0.000119799424607383,-0.000369397355014795,0.000469566564862139,-0.000311684155283633,0.000899044091530309,-0.0035027327838897,0.00338763465536166,0.00344722303557015,0.00970166971402709,-0.00155331456101064,-0.000222711281588427,-0.000591380085346601,0.000116143185299669,-0.000368777621955079,-0.000136044325221331,-9.50816879026201e-05,0.00047497212440707,0.000356983782432292,1.7045829139971e-05,0.000495584989677016,-5.50872960110566e-05,0.000215061416509064,-3.53356218979989e-05,-7.18303605796894e-05,4.03300954769334e-05,-5.48601014026569e-05,-7.54603796859518e-05,-1.11118521796523e-05,-0.000172839809882013,-0.000102309582031396,7.33813904948636e-06,-4.47078799644243e-05,-5.89838804992756e-05,0.000158562546681542,-2.8865356349538e-05,4.64215256522652e-05,6.568793542995e-05,-1.9519174593063e-05,-5.00696985514326e-05,-2.48093726600099e-05,-0.000157626616350736,-7.49442668484336e-05,-3.51435467543805e-06,3.92165739209302e-05,-2.62822546949623e-05,5.80801687612054e-05,1.7164859876204e-05,2.26295985353553e-05,7.14003576318457e-05,8.07560922484153e-05,1.78255747915692e-05,5.12575974189843e-06,2.47091660263178e-05,-5.75353029051699e-05,1.39773563052818e-05,-5.68697644729906e-05,-3.17618065535057e-05,-4.27583185429178e-05,0.000131389666963388,-4.14600541476024e-05,-0.000226967835439391,2.00133939734844e-05,6.70538843447046e-05,-0.000233096927234973,0.000220293984712868,0.000300143347506356,-0.000139931755977149,-5.50259983518962e-05,0.000400489370074589,1.64001727276706e-05
"b_Age_GenZ_same",-0.0143034168689274,-0.00100200167716138,-0.000139469976897917,-0.00154830515384742,0.0517847896756154,0.00820844145147391,0.00866142542833594,-0.000439163303498391,0.00111320053616977,0.000484881354854331,2.50030829128422e-05,0.00724875244714548,-0.00122002341839966,0.00152328785599651,-0.00105995470874466,-0.00594782276421549,-0.00101236934248835,-0.000524599444780658,-0.00165462299769119,0.0335680539956054,0.00414820096966105,0.00435921790587516,-0.00126041914190965,-0.000976672751394707,0.000240468418067131,-0.000496916043354413,0.00443034731131132,-4.41609822725385e-05,0.000755614456589692,-0.00168488377578643,-9.21019396745888e-05,0.000376422618074425,0.000400064838157476,4.00735291252945e-05,0.000321147920423225,0.00026641388275237,1.64698054464831e-05,-0.000432348469188701,-0.00048015392233722,4.27229069648346e-06,0.000198517598824276,-0.000217363472543194,0.00018878783514894,0.000234839303132506,1.53608642722871e-05,0.000217229339663524,0.000220014723829602,0.000162273056134992,0.000162165723465501,0.000192026947161636,9.53377718085617e-05,-0.000166000036330176,-0.000104180558581779,0.00016216312230719,-1.3904320689198e-05,-0.000319334422932987,0.000111231855165268,0.000217980578357622,0.00026187457936587,-6.8218212353456e-05,5.54751961606969e-05,7.65332036940156e-05,-2.64078581312604e-05,-9.23566785086698e-05,8.92599435990762e-05,2.52387947982599e-05,-3.17224426843411e-05,8.06019099069376e-05,-0.000103252990851353,-0.000120989818599115,-0.000249443906034796,0.000378080730346535,0.000649022155961455,0.000934495838247569,0.000648109567802938,0.00016058030495916,-0.00100075981595749,-0.000419014558954501,-0.000756976697439643,-0.000368148376500836
"b_Age_Millenials_same",-0.0104024363436347,-6.21257736805874e-05,0.00049032656817909,-7.75272856162729e-06,0.00820844145147388,0.0144208448600403,0.00796552721678513,0.000830881934658222,0.00227157912697079,0.000167659047958816,-8.91072260443268e-05,-0.000412553445461032,-0.000335306764685334,0.00155200751972618,0.000774231905556457,-0.00523388615894222,5.89523532223591e-05,-0.000113446795833359,-0.000208178728476588,0.00407115777703554,0.00744550620459229,0.0038856951917236,0.000607347822190364,0.00145338701767083,6.39247219098138e-05,-1.52331202533104e-05,-0.000309032107104038,-0.000256774398629979,0.000532337561659528,0.000516055137820234,-0.000150213182312012,0.000319705805624927,1.43223385587975e-05,3.61405696966995e-05,-3.43510357835907e-05,-2.17037358632192e-05,5.05891099913288e-05,-0.000306615896660537,-0.000197666513684103,4.08280006099403e-05,-2.73728009964428e-05,-0.000168510067541506,-4.17447324182463e-05,0.000176632856075831,9.69782994225556e-05,9.25908816254791e-05,9.41468574120885e-06,1.70536182080774e-05,2.73182291623219e-07,0.000107502443293528,6.3175058361409e-05,-0.000132072663979626,1.86891807967649e-05,8.41694892057983e-05,5.30279510851702e-05,-2.29423028954684e-06,-2.72265470342346e-05,0.000151889032107703,8.21811709367964e-05,-3.95654087871242e-05,4.21175013679741e-05,2.46893622269758e-05,2.37035529647831e-05,-9.58478740214816e-05,-1.50411588141088e-05,-5.9091328637044e-05,1.20550122161511e-06,1.93810910750995e-06,1.84124149868485e-05,-5.10281725419599e-05,6.13890793286947e-05,4.63335683207402e-05,9.76169089937948e-05,3.72416489680025e-05,0.000189840327583555,3.36143445302653e-05,-0.000486916810388861,-8.35687514297406e-05,-0.000397112719255188,-0.000225456841246011
"b_Age_Older_same",-0.00956209418704199,-0.000137774525616833,-2.68660831348153e-05,-0.000904498052116974,0.00866142542833594,0.00796552721678514,0.0262972892060013,0.000355235620175805,0.000135063501505091,-0.000599881788266184,0.00039629797491458,0.000645326229344322,0.000154894839480945,0.0049091152584682,-0.00125958972606386,-0.00467637954223687,0.00028493599519671,-0.000193083405701804,-0.000545643684872924,0.00459005699366514,0.00400363119377614,0.0125202167584548,-1.97956464454954e-05,-5.84869309318788e-05,-0.00037848807930064,0.000190376349815631,0.000430721740846267,0.000186293931860856,0.00238952902650755,-0.000869268756665134,-9.21626960503235e-05,0.000199429426508489,2.59159008336459e-05,6.09035011016692e-05,-4.77642843789922e-05,5.71373944015027e-05,4.67623338779937e-05,8.26896562126809e-06,-0.000269739953126896,5.80482842218157e-05,7.27561293890738e-05,-0.000109609706934761,-4.70915085865513e-06,0.000182963255442851,0.000260762022193891,9.32789236262169e-06,4.21379608063375e-06,3.73456309660712e-05,-1.87091758294517e-05,0.000141025717169355,4.87355368721087e-05,-2.15715561225195e-06,-4.90586890739486e-05,7.90796072062103e-05,6.14509015881798e-05,-2.24802829164358e-05,4.13109341422551e-05,0.000128907115149929,0.000106813945101447,-7.11500364282511e-05,-3.33246249882972e-05,6.06411630235555e-06,-2.63358102391044e-05,-8.84683168563868e-05,1.16299973932993e-05,0.000123603658289022,9.46361706620819e-06,2.94872154140449e-06,2.81516780605146e-05,-2.66367716897494e-05,0.000572250605944374,0.000351274390221027,-0.000427003406152864,-0.00016494677372585,-0.000249456858053223,-0.000246003085608735,0.000837536364596896,0.000503155310632771,0.000619060714569086,0.000329886156315842
"b_Inc_Mid_same",-0.0173576466676019,0.00119177544262483,0.00125621568355021,0.00052454917135731,-0.000439163303498378,0.000830881934658249,0.000355235620175822,0.0287840988422949,0.0214001535345625,0.000370392791512731,-0.000408385603991101,-0.00523771969412043,0.00124301453931523,-0.00137903709249781,-0.000373764118351078,-0.00844390221706443,0.000961658614432276,0.00029958316939754,0.000159671073564061,-0.00160269959749129,0.000597414863003111,-6.50191091440252e-05,0.0162846294472057,0.0118646567872571,0.000192133969034945,-0.000121491067096842,-0.00393346334089241,0.000559412444772889,-0.000880036131310649,-0.00013644201011781,-7.04519628551398e-05,-3.48214940174343e-05,-0.000189302387107043,0.000107597601238178,-9.17569026289803e-05,-1.87115882789069e-05,-5.5289637475884e-05,-6.41845413747894e-05,0.000100479025847849,-0.00023508039151418,6.01441849268035e-06,-3.65980797422069e-05,3.0667115280439e-06,-0.000163093271535059,0.000252880856490602,2.87307825087763e-05,-0.000117310183029437,-0.000155881483998718,-1.90098936335195e-05,5.01790227915245e-05,-8.05532186642016e-05,2.12293043147073e-05,-7.16908773969879e-05,-2.36769814454359e-06,2.15018974931958e-05,3.2600233642328e-05,1.2717611307117e-05,8.92743786244206e-05,-3.40187072396616e-05,0.000107845887008057,-1.11045992622936e-05,-4.05589463380409e-05,-2.51206359209646e-05,1.07475703628353e-05,-0.000117673082161328,0.000174786784915242,2.28289274248265e-05,-7.60650630353824e-05,0.000115890326513712,-6.40838408419898e-05,-0.000380189520201283,-0.000492766957022395,-1.20903736777619e-05,-0.000123316099225082,6.9904108098258e-05,-0.000124842667842179,-0.00055634220698246,-0.000277551743275915,0.0005857681629751,0.000334929374727462
"b_Inc_High_same",-0.016934969718766,0.00166499656320898,0.000655263200339758,0.000554580856519515,0.00111320053616978,0.00227157912697082,0.000135063501505101,0.0214001535345626,0.0280743071037663,0.000557234244203554,-0.00068052089377654,-0.0078204918292944,0.00108992858117626,-0.00165547215866337,-0.000622224628768597,-0.00775909230983822,0.000557818008201135,-0.000443290601507583,-0.000303317157127278,-0.000972543340342907,0.00148046212828775,-3.27173348943517e-05,0.0119365376268918,0.0148764348610518,9.99716429894816e-05,-0.00022512444919248,-0.00488492103578957,0.000195559122857462,-0.000946830727741064,-0.000117052335584913,-0.000111692934361561,-0.000121063289815177,-0.000351972726433884,-3.44888773082343e-05,-0.000114206554077558,-4.44008003381799e-05,-0.000131710519841789,-3.03027119293473e-05,0.000159417016599146,-0.000124162917177917,-0.000106326606666738,-1.47327987509241e-05,-0.000125970474693681,-0.000315209245163688,0.000289460543306234,9.28609974192105e-05,-2.0002458948376e-05,-0.000169118221924778,-4.0649942406202e-05,7.3788836884336e-05,-8.73124068037355e-05,2.8496278534228e-05,1.64815750951697e-05,-2.9888233023922e-06,1.62887802354982e-05,6.42195251513095e-05,7.97710120175675e-06,1.25568005596615e-05,-4.88182065548801e-05,4.69621657645591e-05,-2.51406371352128e-06,-8.52133024831814e-05,5.37399284097817e-05,7.16223235769374e-05,-0.000117559708911847,3.02263636358385e-06,-5.15859077593102e-05,-6.61242343894593e-05,0.000153689837278904,-0.000122892213806061,-0.000697803059548536,-0.00067057932683876,9.32796162794134e-06,-0.000157012254793295,-0.000583977258725752,-0.000369714976123449,-0.000618039895074064,-8.31163068319861e-05,0.00114078140103951,0.000595178300975631
"b_Hel_same",-0.00492153743220813,0.000173564784379111,-2.38621225421705e-05,-5.8908869838996e-05,0.000484881354854327,0.000167659047958821,-0.000599881788266186,0.000370392791512743,0.000557234244203568,0.00337868400579646,-0.000275662629043363,0.000160644886227425,-0.000548009380708297,-1.62148472191566e-05,0.000219967342893637,-0.00220524987273967,-2.84032435996881e-05,-5.00888624223322e-05,-0.000157028486573052,0.000123580456007643,5.15253641805297e-05,-0.000405454848274249,0.000152501567052697,3.28464128969394e-05,0.00170087230926511,-0.000147532765428594,0.000114832501508227,-0.000374447533597797,0.000157282047426899,-4.74527160773566e-05,1.30506615324246e-05,-2.92013765075188e-05,2.92843429549701e-05,2.29607677576694e-05,6.91169778319826e-06,-1.65880457385088e-05,-2.95493878221029e-05,3.42464110729304e-05,4.432224846092e-05,4.04615463150062e-05,-1.78498488004758e-05,-2.19544928498445e-05,-3.51710946834073e-05,-1.42728870220665e-05,-5.94880404311701e-06,5.27681384598858e-05,5.11510641149632e-05,5.61940099586596e-05,-1.39209741393821e-05,-9.52586566993079e-06,1.85601836918291e-05,1.47120170990247e-05,-2.84393660282656e-05,3.23427386936654e-05,-1.04579542945804e-05,-4.9559362229287e-06,4.89216456961342e-05,6.79522487978675e-06,-5.19905508150262e-07,2.09788180816215e-06,4.19494853106234e-05,1.06446738068046e-05,2.25823437558109e-05,6.63494252289981e-06,8.65032481511464e-06,-7.32073919024241e-06,-3.35057845627691e-05,1.75512700721306e-06,2.54734416993401e-05,3.65346264275665e-05,-0.000268902360850854,-0.000227506444401382,-4.11585220395629e-05,-4.77644773095539e-06,-0.000237588045166211,-0.000152622202700799,-0.000874006448873338,-0.000363011779605259,-0.000251247470290247,-0.000157624614392967
