"","asc","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"asc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Midwest",NA,1,0.298964637221958,0.283112290958325,-0.0247708627868477,0.00177082538828694,0.0170147169188631,0.038964158225669,0.0372836927412251,0.021624871953389,-0.0131976032146361,-0.02419441310152,0.00986049966095322,0.0249421439984696,-0.0464573851418948,NA,NA
"b_City_South",NA,0.298964637221958,1,0.323085916339162,-0.00203646956384521,0.0178470381164785,-0.00497747618441561,0.0394936384995049,0.00190510360517819,-0.0238125967341682,0.00652692949362686,-0.0365499918633244,-0.00477437344845755,-0.00619039496401142,0.00184125354922857,NA,NA
"b_City_Northeast",NA,0.283112290958325,0.323085916339162,1,-0.0167914779466803,0.008889747961417,-0.0518878833712354,0.0246931884723672,0.0243227044552118,-0.038473672041493,-0.00450964372962478,-0.0331366715918877,0.00794116716590723,-0.0274267068112325,0.0954802301829012,NA,NA
"b_Age_GenZ",NA,-0.0247708627868477,-0.00203646956384521,-0.0167914779466803,1,0.3641237130894,0.26120869270818,0.0473949160524103,0.103748055276705,0.0407091005398378,0.0157202622738222,0.258990435637512,-0.0802209301657461,0.0511308721361469,-0.0332902029974583,NA,NA
"b_Age_Millenials",NA,0.00177082538828694,0.0178470381164785,0.008889747961417,0.3641237130894,1,0.402927498569927,0.037648961512039,0.129728651614073,0.0117906555744731,-0.0137520691118075,-0.00142406331535748,-0.0172373372572339,0.0903720215266242,0.0523666117393076,NA,NA
"b_Age_Older",NA,0.0170147169188631,-0.00497747618441561,-0.0518878833712354,0.26120869270818,0.402927498569927,1,0.0152219533343354,-0.00842829455877519,-0.0249841974229728,0.0312019313978919,0.0379085158796213,0.0072184297414123,0.258791979334804,-0.106469389915903,NA,NA
"b_Inc_Mid",NA,0.038964158225669,0.0394936384995049,0.0246931884723672,0.0473949160524103,0.037648961512039,0.0152219533343354,1,0.730440697685895,-0.0198491400708595,-0.0482780522480346,-0.214946105345131,0.0520162362463059,-0.0764614861405808,0.019164127493142,NA,NA
"b_Inc_High",NA,0.0372836927412251,0.00190510360517819,0.0243227044552118,0.103748055276705,0.129728651614073,-0.00842829455877519,0.730440697685895,1,-0.0174252907863748,-0.0848468498909711,-0.329961818227032,0.0429670137322532,-0.0935863845020338,0.00743757245585615,NA,NA
"b_Hel",NA,0.021624871953389,-0.0238125967341682,-0.038473672041493,0.0407091005398378,0.0117906555744731,-0.0249841974229728,-0.0198491400708595,-0.0174252907863748,1,-0.12595626965797,-0.00860394992669524,-0.0949814945798795,-0.0107433877453625,0.060530375204814,NA,NA
"b_Vdc",NA,-0.0131976032146361,0.00652692949362686,-0.00450964372962478,0.0157202622738222,-0.0137520691118075,0.0312019313978919,-0.0482780522480346,-0.0848468498909711,-0.12595626965797,1,-0.0777824920658156,-0.0123135427438617,-0.0653153770546127,0.0223268091350075,NA,NA
"b_Edc_MoreBachelor",NA,-0.02419441310152,-0.0365499918633244,-0.0331366715918877,0.258990435637512,-0.00142406331535748,0.0379085158796213,-0.214946105345131,-0.329961818227032,-0.00860394992669524,-0.0777824920658156,1,0.0288522546122736,0.0208962407027836,0.0221852608709975,NA,NA
"b_Gen_NonMale",NA,0.00986049966095322,-0.00477437344845755,0.00794116716590723,-0.0802209301657461,-0.0172373372572339,0.0072184297414123,0.0520162362463059,0.0429670137322532,-0.0949814945798795,-0.0123135427438617,0.0288522546122736,1,0.136369443451423,-0.0572318486401334,NA,NA
"b_Chl_Yes",NA,0.0249421439984696,-0.00619039496401142,-0.0274267068112325,0.0511308721361469,0.0903720215266242,0.258791979334804,-0.0764614861405808,-0.0935863845020338,-0.0107433877453625,-0.0653153770546127,0.0208962407027836,0.136369443451423,1,0.0366722115256573,NA,NA
"b_Ngh_NonUrban",NA,-0.0464573851418948,0.00184125354922857,0.0954802301829012,-0.0332902029974583,0.0523666117393076,-0.106469389915903,0.019164127493142,0.00743757245585615,0.060530375204814,0.0223268091350075,0.0221852608709975,-0.0572318486401334,0.0366722115256573,1,NA,NA
"tau_fewer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tau_same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
