"","asc","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"asc",-9111.71969916944,-0.00537469814626161,-0.0936105044835417,-0.0768680297094615,0.0323643258928961,-0.0365933343935283,-0.0711502010981184,-0.0119541294469403,0.00802250071751076,0.0214374603567867,0.00860359150475423,-0.039192483587593,-0.460043965540204,-0.0867253978557513,-0.0165796120289449,-9112.05145066784,-9112.06161520424
"b_City_Midwest",-0.00537488169623291,0.0141010336773281,0.00381653700093786,0.00363660709820252,-0.000998222304894606,5.16939792262176e-05,0.000467514204670675,0.000840945876029328,0.000116074326015864,8.74393566582283e-05,4.93322628552579e-05,-0.000491109158620142,-0.000318561579773786,0.000612865467212131,-0.000642155711491395,-0.00173539789885547,-0.00167545953494692
"b_City_South",-0.093610018979394,0.00381653700093825,0.0117566075060872,0.00386075457132261,-0.000484162810436733,1.51227154531498e-06,-0.000319385622529449,0.00051790149222264,-0.000367383196054824,-9.00525571501659e-05,0.000140409935732273,-0.000374448286639665,-0.000322073527176512,-1.42002271344089e-05,0.000308968032792224,-0.090138129956146,-0.0902133788277803
"b_City_Northeast",-0.0768678889423957,0.0036366070982028,0.00386075457132246,0.0128405290203861,-0.000515162879306489,0.000143926820777348,-0.000805749965248508,0.000171570394315972,-0.000192263089967617,-0.000248956912600638,1.10300452696543e-05,-5.30415196948932e-05,-9.24951056733977e-05,-0.000276344678556967,0.00120235832743677,-0.0728979027120796,-0.0730400583687203
"b_Age_GenZ",0.0323635839646862,-0.00099822230489499,-0.000484162810437363,-0.000515162879307242,0.0269751993655423,0.00552721737085551,0.00512938022706544,0.00103883401954807,0.0022270549421783,0.000141230108650136,-1.15221840293502e-05,0.00535075993989173,-0.000775736504280618,0.000215793957507166,-0.00108573525780251,0.0420138585116051,0.0425495871766364
"b_Age_Millenials",-0.0365933743298973,5.16939792262895e-05,1.51227154512875e-06,0.000143926820777196,0.00552721737085585,0.00934452375825774,0.0048562550382204,0.000752105529795176,0.00210280657144733,-6.64376036145424e-06,-5.6999739363272e-05,0.000170714299666881,-5.29885573245046e-05,0.000537298083069811,0.000665422628114243,-0.0294436989347753,-0.029431935613988
"b_Age_Older",-0.0711496927404916,0.000467514204671035,-0.000319385622529102,-0.000805749965248105,0.00512938022706593,0.00485625503822072,0.0165197992437273,0.000355955689989472,-0.000294138192940872,-0.000148872981854416,-2.86604122032038e-05,0.000634672361083954,0.000258852224936237,0.00251741672896814,-0.00124685536854615,-0.0655824831569791,-0.0656939654107292
"b_Inc_Mid",-0.0119539736140939,0.000840945876029451,0.000517901492222914,0.000171570394316161,0.00103883401954812,0.000752105529795236,0.000355955689989462,0.018069573400648,0.0138711550599478,-0.000405628002994246,-0.000186971532842001,-0.0032681715214971,0.000427559227571113,-0.000601505232541465,0.000484996364061288,-0.000595902438027773,-0.000708028499965302
"b_Inc_High",0.0080225812101431,0.000116074326015939,-0.000367383196054653,-0.000192263089967526,0.00222705494217834,0.00210280657144735,-0.000294138192940891,0.0138711550599478,0.0182257948995503,-0.000436298372895017,-0.000433997893627417,-0.00432784396438944,0.000186900183195531,-0.000863376501064666,0.000290850440207071,0.0191292247798968,0.0187586908755095
"b_Hel",0.0214378023437386,8.74393566583331e-05,-9.00525571494936e-05,-0.000248956912600188,0.000141230108649709,-6.64376036128815e-06,-0.000148872981853991,-0.00040562800299406,-0.000436298372894896,0.00206548521488494,-0.000207319668920818,-3.682127783265e-05,-0.000392653144550091,8.58564324339148e-05,0.000114335911263091,0.0236164287408416,0.0235166487263541
"b_Vdc",0.0086035971443137,4.93322628552664e-05,0.000140409935732278,1.10300452696555e-05,-1.15221840293493e-05,-5.69997393632675e-05,-2.86604122031833e-05,-0.000186971532842001,-0.000433997893627413,-0.000207319668920826,0.00153582775122401,-0.000400722551601737,-0.000161768119701037,-0.000182103852400401,6.3327676885504e-06,0.0085284216150941,0.00860275537848417
"b_Edc_MoreBachelor",-0.0391929403762496,-0.000491109158620302,-0.000374448286640356,-5.30415196955895e-05,0.00535075993989229,0.00017071429966673,0.000634672361083286,-0.00326817152149719,-0.00432784396438944,-3.68212778326072e-05,-0.000400722551601742,0.0115191022506517,0.000356818270902004,0.000480810317343987,-0.000384481808885312,-0.0333738485303311,-0.0336636176116002
"b_Gen_NonMale",-0.46004734333568,-0.000318561579774304,-0.000322073527184149,-9.24951056782227e-05,-0.000775736504275271,-5.29885573261448e-05,0.00025885222492992,0.000427559227568722,0.000186900183193882,-0.000392653144551472,-0.000161768119701111,0.000356818270902814,0.00680776552284985,0.00104027138062915,-4.90533828871344e-05,-0.456485322057894,-0.456357578743056
"b_Chl_Yes",-0.086725770897707,0.000612865467212234,-1.42002271354391e-05,-0.000276344678557414,0.000215793957508152,0.000537298083069767,0.00251741672896731,-0.000601505232541609,-0.000863376501064624,8.58564324336486e-05,-0.000182103852400417,0.000480810317344216,0.0010402713806311,0.00721709192993396,-6.74446807198022e-05,-0.0828003243566284,-0.0827080796622071
