"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"b_City_Midwest",1,0.298964427155693,0.283112104477254,-0.0247710237462083,0.00177048963611013,0.0170146424687331,0.0389636395048871,0.0372831517414687,0.021625179416163,-0.0131973741009842,-0.0241942219818784,0.00986040469491399,0.0249422645864293,-0.0464574956796502,0.195256698384109,0.194808986321191
"b_City_South",0.298964427155693,1,0.323085849773354,-0.00203620959135842,0.0178471614137419,-0.00497749218198636,0.0394933014528706,0.00190455197047992,-0.0238128386665667,0.00652730144673605,-0.036550051604098,-0.00477461831958118,-0.00619012191072018,0.00184136478641153,0.19102022407492,0.193276403533304
"b_City_Northeast",0.283112104477254,0.323085849773354,1,-0.0167913907676013,0.00888984499525534,-0.051887631692146,0.0246931471790801,0.0243227246632363,-0.0384738222030632,-0.00450951009428179,-0.0331368049463161,0.00794083491223688,-0.0274267212708843,0.0954803767841688,0.203234747064841,0.199054661910488
"b_Age_GenZ",-0.0247710237462083,-0.00203620959135842,-0.0167913907676013,1,0.364124389909105,0.26120893971079,0.0473952117951463,0.103748166128084,0.0407081970222955,0.0157201051210978,0.258990044601021,-0.0802210080311438,0.0511313555955987,-0.0332905333693203,0.351352479082373,0.379352218201094
"b_Age_Millenials",0.00177048963611013,0.0178471614137419,0.00888984499525534,0.364124389909105,1,0.402927551965239,0.0376488927062694,0.129728386764172,0.0117899714114908,-0.0137520681590055,-0.00142436050401184,-0.0172371279309502,0.0903726237115487,0.0523661042226436,0.395867388831056,0.41257949773641
"b_Age_Older",0.0170146424687331,-0.00497749218198636,-0.051887631692146,0.26120893971079,0.402927551965239,1,0.0152217527401868,-0.00842860336548957,-0.0249841508851892,0.0312017907532603,0.0379084702360756,0.00721846744179357,0.258792025592453,-0.106469388495415,0.267016765212458,0.268158674405021
"b_Inc_Mid",0.0389636395048871,0.0394933014528706,0.0246931471790801,0.0473952117951463,0.0376488927062694,0.0152217527401868,1,0.730440273613838,-0.0198491776061141,-0.0482776505436933,-0.214946457471872,0.0520160950555351,-0.0764615901821387,0.0191642710377999,0.426098386427309,0.42345418138673
"b_Inc_High",0.0372831517414687,0.00190455197047992,0.0243227246632363,0.103748166128084,0.129728386764172,-0.00842860336548957,0.730440273613838,1,-0.017425163797696,-0.0848463241899734,-0.329962233736754,0.0429668486851284,-0.0935865535703874,0.00743770026159772,0.415653114653559,0.399908403173461
"b_Hel",0.021625179416163,-0.0238128386665667,-0.0384738222030632,0.0407081970222955,0.0117899714114908,-0.0249841508851892,-0.0198491776061141,-0.017425163797696,1,-0.125956088908434,-0.00860382745829535,-0.0949817436668487,-0.0107438518346342,0.0605307319669379,0.294356349463148,0.277440650172701
"b_Vdc",-0.0131973741009842,0.00652730144673605,-0.00450951009428179,0.0157201051210978,-0.0137520681590055,0.0312017907532603,-0.0482776505436933,-0.0848463241899734,-0.125956088908434,1,-0.0777822635372951,-0.0123136399001509,-0.0653155388299724,0.0223267735264532,0.0029363613936077,0.0140640779295169
"b_Edc_MoreBachelor",-0.0241942219818784,-0.036550051604098,-0.0331368049463161,0.258990044601021,-0.00142436050401184,0.0379084702360756,-0.214946457471872,-0.329962233736754,-0.00860382745829535,-0.0777822635372951,1,0.0288523508537028,0.0208962218396787,0.0221853749295435,0.308545659518416,0.293622397380887
"b_Gen_NonMale",0.00986040469491399,-0.00477461831958118,0.00794083491223688,-0.0802210080311438,-0.0172371279309502,0.00721846744179357,0.0520160950555351,0.0429668486851284,-0.0949817436668487,-0.0123136399001509,0.0288523508537028,1,0.1363694522966,-0.0572319604604734,0.234209682242171,0.23752560647268
"b_Chl_Yes",0.0249422645864293,-0.00619012191072018,-0.0274267212708843,0.0511313555955987,0.0903726237115487,0.258792025592453,-0.0764615901821387,-0.0935865535703874,-0.0107438518346342,-0.0653155388299724,0.0208962218396787,0.1363694522966,1,0.036671598872452,0.262306336488325,0.289284600197674
"b_Ngh_NonUrban",-0.0464574956796502,0.00184136478641153,0.0954803767841688,-0.0332905333693203,0.0523661042226436,-0.106469388495415,0.0191642710377999,0.00743770026159772,0.0605307319669379,0.0223267735264532,0.0221853749295435,-0.0572319604604734,0.036671598872452,1,0.337134598647291,0.319508117717204
"tau_fewer",0.195256698384109,0.19102022407492,0.203234747064841,0.351352479082373,0.395867388831056,0.267016765212458,0.426098386427309,0.415653114653559,0.294356349463148,0.0029363613936077,0.308545659518416,0.234209682242171,0.262306336488325,0.337134598647291,1,0.952026277777583
"tau_same",0.194808986321191,0.193276403533304,0.199054661910488,0.379352218201094,0.41257949773641,0.268158674405021,0.42345418138673,0.399908403173461,0.277440650172701,0.0140640779295169,0.293622397380887,0.23752560647268,0.289284600197674,0.319508117717204,0.952026277777583,1
