"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","tau_fewer","tau_same"
"b_City_Midwest",1,0.296416134604863,0.270258057034822,-0.051183001576086,0.004501521860318,0.030630242892968,0.0526800588031005,0.00723777450722895,0.0162035310057378,0.0106016212624717,-0.0385329122586054,-0.032513348193688,0.0607525879314439,-0.0625021525202372,0.168630122557909,0.173933394749667
"b_City_South",0.296416134604863,1,0.314224362434615,-0.0271864873570896,0.000144842591016562,-0.0229175844883091,0.0355316401491971,-0.0250997195715776,-0.0182749346126323,0.0330455425083078,-0.0321766564902634,-0.0360017609159981,-0.00154099309269263,0.0329351164087343,0.176176410573543,0.174898362293189
"b_City_Northeast",0.270258057034822,0.314224362434615,1,-0.0276797298942046,0.0131401914781213,-0.0553215845422637,0.0112639189916088,-0.0125669667890315,-0.0483423864691712,0.00248423111709427,-0.00436162077145022,-0.00989436423091193,-0.0287070945324937,0.122636230753817,0.192762514101534,0.188599448320323
"b_Age_GenZ",-0.051183001576086,-0.0271864873570897,-0.0276797298942045,1,0.348134923406965,0.242985726024437,0.0470547086177784,0.100440800218624,0.0189185207857987,-0.00179077501292,0.303544815974583,-0.0572437788882016,0.0154669414051899,-0.0764037467552142,0.323282982720446,0.346259481398232
"b_Age_Millenials",0.00450152186031766,0.000144842591016597,0.0131401914781213,0.348134923406965,1,0.39085989225207,0.0578795892251165,0.161130016657469,-0.00151379713286156,-0.0150464525313516,0.0164538178329438,-0.00664201148376769,0.0654291116812866,0.0795587940761772,0.406941982783938,0.41361955186921
"b_Age_Older",0.0306302428929683,-0.0229175844883089,-0.0553215845422633,0.242985726024438,0.39085989225207,1,0.0206014232131675,-0.0169532550368613,-0.0254860297356246,-0.00569180186309454,0.0460080562992562,0.0244095408097284,0.230555466933688,-0.112120930137406,0.238319302875682,0.236989072292502
"b_Inc_Mid",0.0526800588030996,0.0355316401491969,0.0112639189916086,0.0470547086177775,0.0578795892251162,0.0206014232131675,1,0.76435459296901,-0.0663961118314326,-0.0354905246664298,-0.226528087037332,0.0385489718463221,-0.052673774727991,0.0417017417528599,0.464893046962697,0.46708902328914
"b_Inc_High",0.0072377745072282,-0.0250997195715771,-0.0125669667890314,0.100440800218625,0.161130016657471,-0.01695325503686,0.76435459296901,1,-0.071109706234654,-0.0820289887533745,-0.298689275801118,0.0167782799474706,-0.0752806252512116,0.0249015472681863,0.452649198372612,0.443998693542687
"b_Hel",0.0162035310057376,-0.0182749346126325,-0.0483423864691712,0.0189185207857989,-0.00151379713286102,-0.0254860297356247,-0.0663961118314323,-0.0711097062346548,1,-0.116401310111685,-0.00754937679073605,-0.104712601316995,0.0222366251385032,0.0290771762940415,0.263751305689106,0.25537970267187
"b_Vdc",0.0106016212624717,0.0330455425083077,0.00248423111709423,-0.00179077501292016,-0.0150464525313516,-0.00569180186309476,-0.0354905246664301,-0.0820289887533743,-0.116401310111685,1,-0.0952710370723413,-0.0500293103400333,-0.0546972423847841,0.00186625049169387,-0.0105527931621879,-0.000119861413410188
"b_Edc_MoreBachelor",-0.0385329122586048,-0.0321766564902635,-0.00436162077145012,0.303544815974583,0.0164538178329437,0.0460080562992559,-0.226528087037332,-0.29868927580112,-0.0075493767907364,-0.0952710370723413,1,0.0402940481774886,0.0527332485821485,-0.0414033049633201,0.298311011205357,0.287633706310208
"b_Gen_NonMale",-0.0325133481936879,-0.0360017609159979,-0.0098943642309119,-0.0572437788882019,-0.00664201148376803,0.0244095408097283,0.0385489718463225,0.0167782799474704,-0.104712601316995,-0.0500293103400332,0.0402940481774883,1,0.148409760643406,-0.0068715972566695,0.237529773007068,0.24967542950533
"b_Chl_Yes",0.0607525879314438,-0.00154099309269267,-0.0287070945324938,0.0154669414051895,0.0654291116812857,0.230555466933688,-0.0526737747279912,-0.0752806252512125,0.0222366251385026,-0.054697242384784,0.0527332485821482,0.148409760643406,1,-0.00917830376077854,0.254233663616112,0.264041899629401
"b_Ngh_NonUrban",-0.0625021525202373,0.0329351164087341,0.122636230753816,-0.0764037467552145,0.0795587940761766,-0.112120930137406,0.0417017417528599,0.0249015472681859,0.0290771762940415,0.00186625049169385,-0.0414033049633204,-0.0068715972566701,-0.00917830376077841,1,0.327258624553602,0.318665489410292
"tau_fewer",0.168630122557908,0.176176410573543,0.192762514101533,0.323282982720446,0.406941982783937,0.238319302875681,0.464893046962697,0.45264919837261,0.263751305689105,-0.010552793162188,0.298311011205357,0.237529773007067,0.254233663616112,0.327258624553602,1,0.956234380831682
"tau_same",0.173933394749667,0.17489836229319,0.188599448320324,0.346259481398233,0.413619551869209,0.236989072292502,0.467089023289142,0.443998693542687,0.255379702671871,-0.000119861413410705,0.287633706310209,0.249675429505331,0.264041899629402,0.318665489410292,0.956234380831686,1
