"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","asc","tau_fewer","tau_same"
"b_City_Midwest",1,0.303463174663414,0.286030306740616,-0.0207423640216813,0.000563430040005345,0.0189919871748816,0.0478156412339834,0.0422802449033777,0.0152715770981152,-0.0135613101606669,-0.0221661552242067,-0.00305250612855476,0.0250193225193155,-0.0441825597524509,0.000187930729105189,0.000192244934474206,0.000192136481735979
"b_City_South",0.303463174663414,1,0.331015088383623,0.0032316172212302,0.00589677341411607,-0.00950669921837866,0.0444869633200821,0.00840078214125067,-0.0242798392647303,0.0133388647226095,-0.0339452722619887,-0.00912425169842897,0.00475469637098492,0.00328787535972122,0.000431789081116197,0.000436128577891578,0.000436148001674714
"b_City_Northeast",0.286030306740616,0.331015088383623,1,-0.0125968701333209,-0.00127449905853782,-0.0562997157836384,0.0238064365191153,0.021315375299059,-0.0486826810088994,-0.00697534859467679,-0.0312944577066691,0.00763310482136559,-0.0198496205922285,0.0880372895758529,0.000186246510789866,0.000190588846065896,0.000190415289939661
"b_Age_GenZ",-0.0207423640216813,0.0032316172212302,-0.0125968701333209,1,0.364192993035274,0.258568996080069,0.0621548526035145,0.110071834661596,0.0540698663503771,0.0134165499074783,0.254749425531164,-0.0771922213061272,0.0563578431088697,-0.0202508806383121,1.760365344425e-05,2.55962687329727e-05,2.61149456566931e-05
"b_Age_Millenials",0.000563430040005345,0.00589677341411607,-0.00127449905853782,0.364192993035274,1,0.398904625495947,0.0340155443377928,0.135857618908676,0.0170016872009134,-0.013120213797783,-0.00587878565409674,-0.0294408870237202,0.0781579391536139,0.0662352088889566,2.63560198599942e-05,3.48998534805986e-05,3.51518041022889e-05
"b_Age_Older",0.0189919871748816,-0.00950669921837866,-0.0562997157836384,0.258568996080069,0.398904625495947,1,0.0165262867245356,-0.00101007344627671,-0.0244332639176159,0.0323847161216288,0.0303429750134611,0.00585599802966826,0.249251392678056,-0.0964777069231657,4.67135643722297e-05,5.25055091649578e-05,5.23544751266208e-05
"b_Inc_Mid",0.0478156412339834,0.0444869633200821,0.0238064365191153,0.0621548526035145,0.0340155443377928,0.0165262867245356,1,0.736786170066057,-0.0185914437919847,-0.0427994604577954,-0.216308910255351,0.0581195499864506,-0.0812816863196588,0.0212392724396859,3.24471468630154e-05,4.20164695200358e-05,4.17747136802163e-05
"b_Inc_High",0.0422802449033777,0.00840078214125067,0.021315375299059,0.110071834661596,0.135857618908676,-0.00101007344627671,0.736786170066057,1,-0.0254441940716495,-0.063332507052709,-0.336768246535275,0.0496057085539768,-0.100214829397006,0.00756976066826623,2.05197422695457e-05,2.98093844486648e-05,2.92970072270826e-05
"b_Hel",0.0152715770981152,-0.0242798392647303,-0.0486826810088994,0.0540698663503771,0.0170016872009134,-0.0244332639176159,-0.0185914437919847,-0.0254441940716495,1,-0.126048168474499,0.0052584392154886,-0.108493588437596,-0.0091972364552202,0.0600048058890423,-1.63714026862696e-05,-9.82681596052681e-06,-1.02782209934507e-05
"b_Vdc",-0.0135613101606669,0.0133388647226095,-0.00697534859467679,0.0134165499074783,-0.013120213797783,0.0323847161216288,-0.0427994604577954,-0.063332507052709,-0.126048168474499,1,-0.0979904768227574,-0.0115813770640622,-0.072092649026392,0.0217962713566395,2.07805174865139e-05,2.08075998695504e-05,2.10407877639776e-05
"b_Edc_MoreBachelor",-0.0221661552242067,-0.0339452722619887,-0.0312944577066691,0.254749425531164,-0.00587878565409674,0.0303429750134611,-0.216308910255351,-0.336768246535275,0.0052584392154886,-0.0979904768227574,1,0.0201055139412038,0.0275050459073135,0.0300378693300092,-3.46282110815687e-05,-2.80054440807255e-05,-2.84158602499106e-05
"b_Gen_NonMale",-0.00305250612855476,-0.00912425169842897,0.00763310482136559,-0.0771922213061272,-0.0294408870237202,0.00585599802966826,0.0581195499864506,0.0496057085539768,-0.108493588437596,-0.0115813770640622,0.0201055139412038,1,0.131451710388247,-0.0617543168133309,-3.14822761863743e-05,-2.66438231576187e-05,-2.67514612750303e-05
"b_Chl_Yes",0.0250193225193155,0.00475469637098492,-0.0198496205922285,0.0563578431088697,0.0781579391536139,0.249251392678056,-0.0812816863196588,-0.100214829397006,-0.0091972364552202,-0.072092649026392,0.0275050459073135,0.131451710388247,1,0.0366221909740558,-1.88942131206298e-07,5.41538139771598e-06,5.91692901270585e-06
"b_Ngh_NonUrban",-0.0441825597524509,0.00328787535972122,0.0880372895758529,-0.0202508806383121,0.0662352088889566,-0.0964777069231657,0.0212392724396859,0.00756976066826623,0.0600048058890423,0.0217962713566395,0.0300378693300092,-0.0617543168133309,0.0366221909740558,1,-1.14170026604084e-05,-3.93557410012339e-06,-4.41195305734468e-06
"asc",0.000187930729105189,0.000431789081116197,0.000186246510789866,1.760365344425e-05,2.63560198599942e-05,4.67135643722297e-05,3.24471468630154e-05,2.05197422695457e-05,-1.63714026862696e-05,2.07805174865139e-05,-3.46282110815687e-05,-3.14822761863743e-05,-1.88942131206298e-07,-1.14170026604084e-05,1,0.999999999760403,0.999999999767233
"tau_fewer",0.000192244934474206,0.000436128577891578,0.000190588846065896,2.55962687329727e-05,3.48998534805986e-05,5.25055091649578e-05,4.20164695200358e-05,2.98093844486648e-05,-9.82681596052681e-06,2.08075998695504e-05,-2.80054440807255e-05,-2.66438231576187e-05,5.41538139771598e-06,-3.93557410012339e-06,0.999999999760403,1,0.999999999976065
"tau_same",0.000192136481735979,0.000436148001674714,0.000190415289939661,2.61149456566931e-05,3.51518041022889e-05,5.23544751266208e-05,4.17747136802163e-05,2.92970072270826e-05,-1.02782209934507e-05,2.10407877639776e-05,-2.84158602499106e-05,-2.67514612750303e-05,5.91692901270585e-06,-4.41195305734468e-06,0.999999999767233,0.999999999976065,1
