"","b_City_Midwest","b_City_South","b_City_Northeast","b_Age_GenZ","b_Age_Millenials","b_Age_Older","b_Inc_Mid","b_Inc_High","b_Hel","b_Vdc","b_Edc_MoreBachelor","b_Gen_NonMale","b_Chl_Yes","b_Ngh_NonUrban","asc","tau_fewer","tau_same"
"b_City_Midwest",1,0.306348793730103,0.278895594883519,-0.0285113630686244,0.0143944620200954,0.0395503293504351,0.0608760582778858,0.01238677772533,0.00965924015258196,0.0031502265548798,-0.0316644038426815,-0.040576877489582,0.0759685220890224,-0.0560030348414582,0.0372611124332329,0.0394831439420911,0.0368003031060337
"b_City_South",0.306348793730388,1,0.322283062516318,-0.0179575378539082,-0.00137493360351326,-0.0262958621055401,0.0402661289784783,-0.0141419723326134,-0.0227363883385648,0.0431160991929661,-0.027986368384096,-0.0435309901336588,0.0106516048365584,0.0338722459774376,0.0844111469416951,0.0884091225023718,0.0823389534423073
"b_City_Northeast",0.278895594883327,0.32228306251562,1,-0.0121803412560833,0.0065921107658493,-0.0783864173420356,0.0136345179987916,-0.00866357731644218,-0.0665742021669612,0.00872357405470762,0.00600776148369494,0.00146378989339643,-0.0135766301721615,0.115442559427927,0.0355213178828868,0.0377419662031354,0.0351277907869851
"b_Age_GenZ",-0.0285113630686432,-0.0179575378539864,-0.0121803412560715,1,0.349522250279273,0.243205450564054,0.084448174433649,0.12292855978768,0.0322405995846598,0.0068801935924275,0.296680516811227,-0.0525054872852845,0.0119717064245588,-0.0683481443996092,0.00154302190699823,0.00318531726466544,0.0030469577956184
"b_Age_Millenials",0.0143944620200769,-0.00137493360360278,0.00659211076587275,0.349522250279274,1,0.393892363562433,0.0553055291283978,0.169833633828426,0.0216902572755483,-0.00568128927839957,0.0044240866061033,-0.0297968728731481,0.0507433544351783,0.0981687733335629,0.00464250817364667,0.00667389251452759,0.00622386696915997
"b_Age_Older",0.0395503293504673,-0.0262958621055477,-0.0783864173419496,0.243205450564062,0.393892363562443,1,0.0338370894744545,0.00289722093243173,-0.0131636890023199,0.0142060989322142,0.023237391150736,0.0274197236708425,0.225637655907186,-0.0971715533705778,0.00731163932960632,0.00870134801574426,0.00808114967186687
"b_Inc_Mid",0.0608760582778717,0.0402661289784176,0.0136345179988308,0.0844481744336517,0.0553055291284004,0.0338370894744492,1,0.770122914757808,-0.0415634327524321,-0.0330462886463853,-0.214196418610142,0.0512516403212029,-0.0593501054806136,0.0333461508122431,0.005855594362495,0.00829449292208633,0.00771145827436521
"b_Inc_High",0.0123867777253091,-0.0141419723326748,-0.00866357731641873,0.122928559787682,0.169833633828429,0.00289722093242721,0.770122914757809,1,-0.0615056236540121,-0.0584638145883761,-0.299114824917886,0.0231083527018689,-0.0795110006793122,0.0234114675668531,0.00130420777769316,0.00350058559123624,0.003206311800573
"b_Hel",0.00965924015259426,-0.0227363883385033,-0.0665742021669546,0.0322405995846617,0.0216902572755486,-0.0131636890023117,-0.0415634327524297,-0.061505623654011,1,-0.117987154270204,0.00253751883007926,-0.131752784311533,0.0182284411754715,0.0256264762816412,-0.00318066526417208,-0.00205276454007729,-0.00195609051585717
"b_Vdc",0.00315022655487437,0.0431160991929184,0.00872357405472011,0.00688019359242926,-0.00568128927839781,0.014206098932209,-0.0330462886463845,-0.058463814588374,-0.117987154270205,1,-0.11137876787804,-0.0459164001333649,-0.0409734663008184,-0.00147040508024234,0.00657733655445118,0.00681132015163138,0.00638154083248619
"b_Edc_MoreBachelor",-0.0316644038426845,-0.0279863683840762,0.00600776148366241,0.296680516811224,0.00442408660609784,0.0232373911507406,-0.214196418610142,-0.299114824917888,0.00253751883008194,-0.111378767878041,1,0.0296451623668264,0.0590975537608291,-0.0213993001295455,-0.00594266782517687,-0.00482596823504666,-0.00455366040304377
"b_Gen_NonMale",-0.0405768774896112,-0.0435309901336757,0.00146378989334636,-0.0525054872852899,-0.0297968728731557,0.02741972367084,0.0512516403211983,0.023108352701863,-0.13175278431153,-0.0459164001333679,0.0296451623668282,1,0.124201938879237,-0.00544103829461032,-0.00919649647443504,-0.00856284836636556,-0.00794508355501692
